llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
23096101.0,7976779.0,2630121743.0,1677051312.0,468827767.0,34854.0,11.0,782960388,3014656,290324480,0
23096101.0,7976779.0,2630121743.0,1677051312.0,468827767.0,34854.0,11.0,782960388,3014656,290324480,0
8606685.0,2754505.0,1000087940.0,661168488.0,197489481.0,11512.0,9.0,419962410,25231360,76021760,262144
8606685.0,2754505.0,1000087940.0,661168488.0,197489481.0,11512.0,9.0,419962410,25231360,76021760,262144
6648947.0,2238502.0,779839044.0,512201810.0,152806818.0,6532.0,10.0,420254947,24182784,92602368,458752
6648947.0,2238502.0,779839044.0,512201810.0,152806818.0,6532.0,10.0,420254947,24182784,92602368,458752
6819968.0,2089770.0,749060574.0,500263141.0,150306298.0,7777.0,10.0,420047999,24510464,100007936,786432
6819968.0,2089770.0,749060574.0,500263141.0,150306298.0,7777.0,10.0,420047999,24510464,100007936,786432
7158858.0,2267869.0,734061662.0,487680015.0,148860462.0,7523.0,16.0,420147091,23986176,100401152,786432
7158858.0,2267869.0,734061662.0,487680015.0,148860462.0,7523.0,16.0,420147091,23986176,100401152,786432
6484631.0,2110731.0,677896624.0,458368977.0,140686896.0,7446.0,13.0,419317406,23461888,102825984,851968
6484631.0,2110731.0,677896624.0,458368977.0,140686896.0,7446.0,13.0,419317406,23461888,102825984,851968
7878424.0,2353455.0,871491520.0,575181857.0,171412827.0,8104.0,12.0,420527187,24379392,113311744,262144
7878424.0,2353455.0,871491520.0,575181857.0,171412827.0,8104.0,12.0,420527187,24379392,113311744,262144
7358192.0,2337606.0,795209000.0,533760365.0,162521797.0,5981.0,11.0,420055195,23789568,150470656,0
7358192.0,2337606.0,795209000.0,533760365.0,162521797.0,5981.0,11.0,420055195,23789568,150470656,0
7618334.0,2374887.0,914978171.0,603537932.0,177958933.0,6836.0,16.0,419982591,24444928,74317824,0
7618334.0,2374887.0,914978171.0,603537932.0,177958933.0,6836.0,16.0,419982591,24444928,74317824,0
7191886.0,2322975.0,827893632.0,552629455.0,167908892.0,7345.0,16.0,419698076,25034752,75694080,131072
7191886.0,2322975.0,827893632.0,552629455.0,167908892.0,7345.0,16.0,419698076,25034752,75694080,131072
6980672.0,2193594.0,789262202.0,518621305.0,155925099.0,6609.0,7.0,419906081,24903680,84672512,327680
6980672.0,2193594.0,789262202.0,518621305.0,155925099.0,6609.0,7.0,419906081,24903680,84672512,327680
6765810.0,2134426.0,776028838.0,515220983.0,155851180.0,7349.0,7.0,420013629,24117248,72024064,1441792
6765810.0,2134426.0,776028838.0,515220983.0,155851180.0,7349.0,7.0,420013629,24117248,72024064,1441792
6956734.0,2247946.0,799268875.0,528854077.0,158182668.0,9420.0,12.0,419804198,24969216,57999360,0
6956734.0,2247946.0,799268875.0,528854077.0,158182668.0,9420.0,12.0,419804198,24969216,57999360,0
7123545.0,2188432.0,851627401.0,555184901.0,164486102.0,9127.0,15.0,419791013,24903680,69533696,327680
7123545.0,2188432.0,851627401.0,555184901.0,164486102.0,9127.0,15.0,419791013,24903680,69533696,327680
6223040.0,2058423.0,709595700.0,471852496.0,143784123.0,7326.0,16.0,420127659,24576000,70975488,1376256
6223040.0,2058423.0,709595700.0,471852496.0,143784123.0,7326.0,16.0,420127659,24576000,70975488,1376256
7569679.0,2424855.0,833319993.0,548575615.0,165260221.0,8719.0,13.0,419959281,25493504,59899904,0
7569679.0,2424855.0,833319993.0,548575615.0,165260221.0,8719.0,13.0,419959281,25493504,59899904,0
7113872.0,2178375.0,764327044.0,500904461.0,150248990.0,7034.0,12.0,420122430,24903680,55050240,262144
7113872.0,2178375.0,764327044.0,500904461.0,150248990.0,7034.0,12.0,420122430,24903680,55050240,262144
7197276.0,2226962.0,871730871.0,570246285.0,168215292.0,6779.0,15.0,419690131,25034752,55115776,262144
7197276.0,2226962.0,871730871.0,570246285.0,168215292.0,6779.0,15.0,419690131,25034752,55115776,262144
7347844.0,2375937.0,869490449.0,578451593.0,173685860.0,7300.0,10.0,419214656,25624576,48496640,327680
7347844.0,2375937.0,869490449.0,578451593.0,173685860.0,7300.0,10.0,419214656,25624576,48496640,327680
6548845.0,2216437.0,769826279.0,512322562.0,153679452.0,7470.0,12.0,420515803,26476544,33947648,0
6548845.0,2216437.0,769826279.0,512322562.0,153679452.0,7470.0,12.0,420515803,26476544,33947648,0
7414968.0,2315256.0,859763369.0,563919979.0,166965329.0,9110.0,11.0,419774865,24641536,51118080,720896
7414968.0,2315256.0,859763369.0,563919979.0,166965329.0,9110.0,11.0,419774865,24641536,51118080,720896
7370649.0,2222231.0,804794293.0,522037570.0,154901225.0,7147.0,9.0,419787648,23986176,98304000,0
7370649.0,2222231.0,804794293.0,522037570.0,154901225.0,7147.0,9.0,419787648,23986176,98304000,0
6170948.0,2020892.0,716552073.0,472913089.0,143469767.0,5219.0,8.0,419235033,24510464,148635648,589824
6170948.0,2020892.0,716552073.0,472913089.0,143469767.0,5219.0,8.0,419235033,24510464,148635648,589824
7217643.0,2395319.0,766416842.0,511983268.0,154359544.0,6739.0,13.0,420716695,23658496,115343360,720896
7217643.0,2395319.0,766416842.0,511983268.0,154359544.0,6739.0,13.0,420716695,23658496,115343360,720896
7135798.0,2185096.0,819620044.0,538604622.0,161368232.0,7997.0,13.0,419058962,23920640,130088960,0
7135798.0,2185096.0,819620044.0,538604622.0,161368232.0,7997.0,13.0,419058962,23920640,130088960,0
6958944.0,2317556.0,760187565.0,513621028.0,156273259.0,8003.0,13.0,420622153,23396352,132186112,0
6958944.0,2317556.0,760187565.0,513621028.0,156273259.0,8003.0,13.0,420622153,23396352,132186112,0
7167803.0,2422265.0,730858913.0,495168102.0,147039128.0,6445.0,8.0,419885655,23330816,122945536,0
7167803.0,2422265.0,730858913.0,495168102.0,147039128.0,6445.0,8.0,419885655,23330816,122945536,0
6847053.0,1978021.0,785010973.0,508792580.0,149562929.0,8788.0,11.0,419067955,24313856,105578496,458752
