category,ntail-xapian,streamcluster
runtime,49.10171842575073,86.63245129585266
llc_references,35477155.630630635,256684076.91764706
llc_misses,12629442.252252253,198480688.51764706
instructions,3943235799.7297297,11593082517.341177
cycles,2916097806.9594593,15813498070.882355
stall_cycles,1091399939.7072072,10104079298.22353
intra_coh,49995.92342342342,15145619.835294116
inter_coh,35.54054054054054,0.6823529411764706
wall_cycles,2108402330.0,2104395312.8588235
llc_size,29963531.53153153,193632665.6
local_mem,4033934160.720721,21266644799.24706
remote_mem,36089081.08108108,21956873.035294116
