llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7585916.0,2326446.0,885368816.0,572252903.0,162941901.0,8753.0,12.0,795697371,10420224,8454144,0
7585916.0,2326446.0,885368816.0,572252903.0,162941901.0,8753.0,12.0,795697371,10420224,8454144,0
6300309.0,2130668.0,755003378.0,490955956.0,140792989.0,8002.0,10.0,419937878,12779520,4325376,0
6300309.0,2130668.0,755003378.0,490955956.0,140792989.0,8002.0,10.0,419937878,12779520,4325376,0
6513579.0,2135003.0,677969898.0,450391467.0,131357394.0,6592.0,9.0,420650293,14745600,5242880,65536
6513579.0,2135003.0,677969898.0,450391467.0,131357394.0,6592.0,9.0,420650293,14745600,5242880,65536
7022565.0,2262237.0,752371875.0,491573177.0,141454001.0,8502.0,10.0,419528004,15859712,4390912,65536
7022565.0,2262237.0,752371875.0,491573177.0,141454001.0,8502.0,10.0,419528004,15859712,4390912,65536
6835924.0,2146827.0,699855492.0,460806698.0,134695935.0,8845.0,11.0,418880812,16777216,4784128,65536
6835924.0,2146827.0,699855492.0,460806698.0,134695935.0,8845.0,11.0,418880812,16777216,4784128,65536
5949383.0,2077233.0,637007018.0,416360885.0,120894132.0,10228.0,13.0,420075530,17301504,3604480,131072
5949383.0,2077233.0,637007018.0,416360885.0,120894132.0,10228.0,13.0,420075530,17301504,3604480,131072
6927568.0,2042815.0,768358117.0,493757490.0,140165281.0,9123.0,10.0,419811927,17235968,2424832,0
6927568.0,2042815.0,768358117.0,493757490.0,140165281.0,9123.0,10.0,419811927,17235968,2424832,0
7108848.0,2147917.0,838876626.0,535537635.0,151995754.0,7679.0,13.0,420169041,17956864,3866624,196608
7108848.0,2147917.0,838876626.0,535537635.0,151995754.0,7679.0,13.0,420169041,17956864,3866624,196608
6432883.0,1907189.0,725705379.0,469991614.0,133475908.0,7140.0,6.0,420023162,18153472,3604480,0
6432883.0,1907189.0,725705379.0,469991614.0,133475908.0,7140.0,6.0,420023162,18153472,3604480,0
7491283.0,2431249.0,771318423.0,506277716.0,146178936.0,7582.0,16.0,419500123,18415616,4325376,65536
7491283.0,2431249.0,771318423.0,506277716.0,146178936.0,7582.0,16.0,419500123,18415616,4325376,65536
6396352.0,2103750.0,678059379.0,445040801.0,128798484.0,9977.0,11.0,419880888,18677760,4063232,65536
6396352.0,2103750.0,678059379.0,445040801.0,128798484.0,9977.0,11.0,419880888,18677760,4063232,65536
6871445.0,2276404.0,765987293.0,498100697.0,142873464.0,8236.0,8.0,419848170,18874368,4456448,131072
6871445.0,2276404.0,765987293.0,498100697.0,142873464.0,8236.0,8.0,419848170,18874368,4456448,131072
7767676.0,2624230.0,853210327.0,564474485.0,162513407.0,8990.0,12.0,419879943,19136512,5308416,0
7767676.0,2624230.0,853210327.0,564474485.0,162513407.0,8990.0,12.0,419879943,19136512,5308416,0
