llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
6976643.0,2446555.0,750474282.0,499117406.0,150981923.0,8824.0,8.0,646047028,7929856,8126464,196608
6976643.0,2446555.0,750474282.0,499117406.0,150981923.0,8824.0,8.0,646047028,7929856,8126464,196608
7947097.0,2537639.0,811179185.0,541857748.0,162839723.0,11173.0,17.0,419774369,9895936,4325376,65536
7947097.0,2537639.0,811179185.0,541857748.0,162839723.0,11173.0,17.0,419774369,9895936,4325376,65536
7707672.0,2454522.0,893155357.0,585072253.0,172162524.0,7608.0,17.0,419816225,11665408,3670016,0
7707672.0,2454522.0,893155357.0,585072253.0,172162524.0,7608.0,17.0,419816225,11665408,3670016,0
7004056.0,2052407.0,751880088.0,494515273.0,144114683.0,7631.0,15.0,419777922,13434880,6619136,0
7004056.0,2052407.0,751880088.0,494515273.0,144114683.0,7631.0,15.0,419777922,13434880,6619136,0
6606974.0,2097999.0,698492899.0,467902831.0,142810328.0,9720.0,9.0,420140412,14483456,15925248,131072
6606974.0,2097999.0,698492899.0,467902831.0,142810328.0,9720.0,9.0,420140412,14483456,15925248,131072
7403554.0,2331055.0,761075399.0,502500305.0,149439519.0,8436.0,9.0,419739146,15466496,15794176,131072
7403554.0,2331055.0,761075399.0,502500305.0,149439519.0,8436.0,9.0,419739146,15466496,15794176,131072
6458336.0,1932312.0,708375429.0,466424780.0,140394864.0,8317.0,9.0,419775167,16580608,15990784,65536
6458336.0,1932312.0,708375429.0,466424780.0,140394864.0,8317.0,9.0,419775167,16580608,15990784,65536
6610226.0,1970658.0,686920794.0,452542074.0,137025460.0,9369.0,30.0,419835535,17367040,12779520,0
6610226.0,1970658.0,686920794.0,452542074.0,137025460.0,9369.0,30.0,419835535,17367040,12779520,0
7016512.0,2225521.0,728123960.0,484633742.0,146901367.0,9511.0,20.0,419951553,17432576,13500416,327680
7016512.0,2225521.0,728123960.0,484633742.0,146901367.0,9511.0,20.0,419951553,17432576,13500416,327680
6718593.0,2177680.0,836573673.0,544078831.0,161221621.0,9627.0,20.0,419903232,17563648,15007744,0
6718593.0,2177680.0,836573673.0,544078831.0,161221621.0,9627.0,20.0,419903232,17563648,15007744,0
6467766.0,1940537.0,728207938.0,479445164.0,141957840.0,8934.0,14.0,419834278,17825792,13959168,131072
6467766.0,1940537.0,728207938.0,479445164.0,141957840.0,8934.0,14.0,419834278,17825792,13959168,131072
7318392.0,2348153.0,759224354.0,507820856.0,153579056.0,9310.0,17.0,420031574,18219008,14417920,196608
7318392.0,2348153.0,759224354.0,507820856.0,153579056.0,9310.0,17.0,420031574,18219008,14417920,196608
6616280.0,2172412.0,700174914.0,465591933.0,141242798.0,9066.0,18.0,419828661,18808832,15204352,65536
6616280.0,2172412.0,700174914.0,465591933.0,141242798.0,9066.0,18.0,419828661,18808832,15204352,65536
7014397.0,2101836.0,805897950.0,527020001.0,157536358.0,8964.0,31.0,419859629,19070976,8847360,65536
7014397.0,2101836.0,805897950.0,527020001.0,157536358.0,8964.0,31.0,419859629,19070976,8847360,65536
7713594.0,2387363.0,843060706.0,555128956.0,165248283.0,10058.0,24.0,419893404,19070976,9306112,0
7713594.0,2387363.0,843060706.0,555128956.0,165248283.0,10058.0,24.0,419893404,19070976,9306112,0
7402541.0,2484869.0,894085019.0,593580468.0,174792547.0,8762.0,36.0,419968325,19070976,5439488,0
7402541.0,2484869.0,894085019.0,593580468.0,174792547.0,8762.0,36.0,419968325,19070976,5439488,0
6866097.0,2121439.0,786143255.0,510930898.0,152339692.0,9200.0,27.0,420056980,17760256,5636096,65536
6866097.0,2121439.0,786143255.0,510930898.0,152339692.0,9200.0,27.0,420056980,17760256,5636096,65536
6682922.0,2025879.0,809117097.0,527308834.0,157544895.0,11509.0,25.0,420003794,17760256,2621440,65536
6682922.0,2025879.0,809117097.0,527308834.0,157544895.0,11509.0,25.0,420003794,17760256,2621440,65536
7166627.0,2301777.0,799698510.0,526479395.0,156689442.0,9903.0,12.0,419954478,17891328,3473408,131072
7166627.0,2301777.0,799698510.0,526479395.0,156689442.0,9903.0,12.0,419954478,17891328,3473408,131072
6495802.0,1897849.0,773688775.0,505526323.0,151099199.0,9814.0,28.0,419804848,17825792,2490368,65536
6495802.0,1897849.0,773688775.0,505526323.0,151099199.0,9814.0,28.0,419804848,17825792,2490368,65536
6878768.0,2079723.0,838709487.0,541901905.0,157550404.0,9917.0,11.0,419800085,18153472,5177344,0
6878768.0,2079723.0,838709487.0,541901905.0,157550404.0,9917.0,11.0,419800085,18153472,5177344,0
7018205.0,2362405.0,733475948.0,499261104.0,152266228.0,9567.0,13.0,419880904,18350080,6750208,0
7018205.0,2362405.0,733475948.0,499261104.0,152266228.0,9567.0,13.0,419880904,18350080,6750208,0
7943151.0,2422818.0,822306758.0,540441016.0,159370202.0,10074.0,18.0,419822683,18350080,3211264,65536
7943151.0,2422818.0,822306758.0,540441016.0,159370202.0,10074.0,18.0,419822683,18350080,3211264,65536
6400464.0,2084068.0,732599841.0,484939247.0,145068702.0,10090.0,24.0,419981128,18677760,6356992,196608
6400464.0,2084068.0,732599841.0,484939247.0,145068702.0,10090.0,24.0,419981128,18677760,6356992,196608
6910954.0,2185562.0,868758179.0,564322560.0,166405563.0,9056.0,25.0,419819764,18546688,4849664,0
6910954.0,2185562.0,868758179.0,564322560.0,166405563.0,9056.0,25.0,419819764,18546688,4849664,0
7486407.0,2657366.0,856912597.0,569834020.0,169348953.0,9099.0,21.0,419847260,18546688,5963776,65536
7486407.0,2657366.0,856912597.0,569834020.0,169348953.0,9099.0,21.0,419847260,18546688,5963776,65536
6809115.0,2127764.0,784129443.0,510463490.0,149173871.0,9550.0,24.0,419771639,18087936,4194304,0
6809115.0,2127764.0,784129443.0,510463490.0,149173871.0,9550.0,24.0,419771639,18087936,4194304,0
8048484.0,2324807.0,876960556.0,581207045.0,173429700.0,9491.0,13.0,419805491,18481152,6291456,65536
8048484.0,2324807.0,876960556.0,581207045.0,173429700.0,9491.0,13.0,419805491,18481152,6291456,65536
7395428.0,2411857.0,788830486.0,526077068.0,160586311.0,8964.0,16.0,419820625,18481152,9502720,65536
7395428.0,2411857.0,788830486.0,526077068.0,160586311.0,8964.0,16.0,419820625,18481152,9502720,65536
6045607.0,2041793.0,679813749.0,453389930.0,136098574.0,8289.0,31.0,420027118,18546688,5636096,65536
6045607.0,2041793.0,679813749.0,453389930.0,136098574.0,8289.0,31.0,420027118,18546688,5636096,65536
6791143.0,2191950.0,800015954.0,526646782.0,158289334.0,9990.0,12.0,419940640,18481152,7405568,196608
6791143.0,2191950.0,800015954.0,526646782.0,158289334.0,9990.0,12.0,419940640,18481152,7405568,196608
7534901.0,2150465.0,837275843.0,545094031.0,160860580.0,9284.0,17.0,419818042,18874368,4128768,0
7534901.0,2150465.0,837275843.0,545094031.0,160860580.0,9284.0,17.0,419818042,18874368,4128768,0
7011363.0,2112533.0,782428989.0,509680340.0,151448472.0,10076.0,12.0,419980617,19005440,5570560,0
7011363.0,2112533.0,782428989.0,509680340.0,151448472.0,10076.0,12.0,419980617,19005440,5570560,0
7009875.0,2256359.0,748364536.0,493520076.0,147645352.0,8338.0,13.0,420093891,19005440,5308416,65536
7009875.0,2256359.0,748364536.0,493520076.0,147645352.0,8338.0,13.0,420093891,19005440,5308416,65536
6944121.0,2172876.0,777964674.0,511009097.0,151648486.0,9704.0,28.0,419976718,19202048,5505024,0
6944121.0,2172876.0,777964674.0,511009097.0,151648486.0,9704.0,28.0,419976718,19202048,5505024,0
7515614.0,2426911.0,785110441.0,523271145.0,158983479.0,7497.0,8.0,419945295,19464192,5898240,65536
