llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
8345377,7874448,8602033821,3282013280,767821001,12743,0,674164638,36044800,821624832,3342336
8345377,7874448,8602033821,3282013280,767821001,12743,0,674164638,36044800,821624832,3342336
8780318,8733248,8535127728,3313489015,795728114,1002,0,420124068,37224448,635174912,2097152
8780318,8733248,8535127728,3313489015,795728114,1002,0,420124068,37224448,635174912,2097152
9345900,9568498,8355745858,3288527436,808289706,8142,0,420062886,36569088,697565184,2162688
9345900,9568498,8355745858,3288527436,808289706,8142,0,420062886,36569088,697565184,2162688
9382573,9956326,8352938386,3264279056,805526495,9389,0,419923362,40960000,738131968,0
9382573,9956326,8352938386,3264279056,805526495,9389,0,419923362,40960000,738131968,0
10093917,10779246,8380817259,3310680859,793714234,32044,0,419992059,41484288,808517632,2424832
10093917,10779246,8380817259,3310680859,793714234,32044,0,419992059,41484288,808517632,2424832
10102441,11018874,8305557078,3324162691,813075955,10322,0,420120015,41484288,840826880,1638400
10102441,11018874,8305557078,3324162691,813075955,10322,0,420120015,41484288,840826880,1638400
10228604,11235748,8258132046,3313313117,801796745,5886,0,420028763,41353216,872742912,917504
10228604,11235748,8258132046,3313313117,801796745,5886,0,420028763,41353216,872742912,917504
10329843,11519662,8234756916,3304911641,792181718,1648,0,419815597,41549824,930873344,2621440
10329843,11519662,8234756916,3304911641,792181718,1648,0,419815597,41549824,930873344,2621440
10089688,11371838,8242382233,3186085880,770048814,1816,0,420161198,38010880,958136320,1703936
10089688,11371838,8242382233,3186085880,770048814,1816,0,420161198,38010880,958136320,1703936
10646021,12047187,8503304501,3313301317,773540143,1166,0,419970817,41418752,999489536,2621440
10646021,12047187,8503304501,3313301317,773540143,1166,0,419970817,41418752,999489536,2621440
10360632,11854595,8192276652,3301021084,785624279,1981,0,420080668,41287680,967180288,0
10360632,11854595,8192276652,3301021084,785624279,1981,0,420080668,41287680,967180288,0
65367313,23309323,2974923934,2134900137,1026755205,37802,0,420073976,39452672,2498822144,9502720
65367313,23309323,2974923934,2134900137,1026755205,37802,0,420073976,39452672,2498822144,9502720
168384648,31539047,1553228512,3290144499,2332250231,54494,0,420234521,38928384,2014904320,2293760
168384648,31539047,1553228512,3290144499,2332250231,54494,0,420234521,38928384,2014904320,2293760
154503936,28786352,1440233191,3173273418,2277998298,79332,0,419990984,38600704,1876099072,1310720
154503936,28786352,1440233191,3173273418,2277998298,79332,0,419990984,38600704,1876099072,1310720
162330178,30405902,1500839005,3288953854,2363923649,63809,0,420080367,39452672,1956773888,5832704
162330178,30405902,1500839005,3288953854,2363923649,63809,0,420080367,39452672,1956773888,5832704
162998853,30483822,1498921441,3288423439,2366285103,60773,0,420086569,38928384,1948123136,0
162998853,30483822,1498921441,3288423439,2366285103,60773,0,420086569,38928384,1948123136,0
161043935,29942724,1495808774,3264863667,2336583538,81852,0,420061355,38535168,1936326656,2883584
161043935,29942724,1495808774,3264863667,2336583538,81852,0,420061355,38535168,1936326656,2883584
165706914,31024398,1536252390,3247098025,2295338705,64927,0,420037660,39387136,1991639040,3473408
