llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
21879904,482643,5417330200,2457669121,234120826,1355206,0,686753993,21233664,25034752,393216
21879904,482643,5417330200,2457669121,234120826,1355206,0,686753993,21233664,25034752,393216
27483922,406733,5286354943,2386490609,227500700,1458053,0,419967086,26148864,14811136,0
27483922,406733,5286354943,2386490609,227500700,1458053,0,419967086,26148864,14811136,0
17291182,561461,5157830338,2256592495,211828835,1304749,0,419914912,28770304,12713984,131072
17291182,561461,5157830338,2256592495,211828835,1304749,0,419914912,28770304,12713984,131072
18183323,493296,5159328950,2280372572,218341862,1386300,0,419770613,30408704,15466496,131072
18183323,493296,5159328950,2280372572,218341862,1386300,0,419770613,30408704,15466496,131072
29080354,430726,5118891273,2311644154,228749839,1424590,0,419820002,30736384,11862016,458752
29080354,430726,5118891273,2311644154,228749839,1424590,0,419820002,30736384,11862016,458752
20913487,345763,5479100583,2418454615,225687307,1317002,0,419734084,23592960,12582912,0
20913487,345763,5479100583,2418454615,225687307,1317002,0,419734084,23592960,12582912,0
16236484,382400,5238692051,2281283870,208321360,1314956,0,419699628,23265280,11665408,0
16236484,382400,5238692051,2281283870,208321360,1314956,0,419699628,23265280,11665408,0
18468372,503244,5197506733,2262652573,209372450,1333988,0,419957398,25362432,11927552,0
18468372,503244,5197506733,2262652573,209372450,1333988,0,419957398,25362432,11927552,0
20864513,567444,5253407952,2318043668,222638342,1245701,0,419800542,26869760,12910592,131072
20864513,567444,5253407952,2318043668,222638342,1245701,0,419800542,26869760,12910592,131072
36500162,479181,5183688247,2337309734,228548810,1447656,0,419921750,27852800,7667712,131072
36500162,479181,5183688247,2337309734,228548810,1447656,0,419921750,27852800,7667712,131072
24072398,562560,5237537196,2347889225,232460855,1516882,0,419805075,27459584,5570560,131072
24072398,562560,5237537196,2347889225,232460855,1516882,0,419805075,27459584,5570560,131072
24610385,541980,5363692988,2364688699,227557185,1515100,1,419930707,27000832,7929856,262144
24610385,541980,5363692988,2364688699,227557185,1515100,1,419930707,27000832,7929856,262144
17766287,584313,5123979587,2218475405,206210748,1208928,0,419928264,29622272,13172736,327680
17766287,584313,5123979587,2218475405,206210748,1208928,0,419928264,29622272,13172736,327680
22132506,512308,5142828342,2292910101,221799354,1512530,0,419896449,31129600,14483456,131072
22132506,512308,5142828342,2292910101,221799354,1512530,0,419896449,31129600,14483456,131072
16568336,487933,5211772760,2263488553,209287943,1437869,0,419804414,32571392,12189696,458752
16568336,487933,5211772760,2263488553,209287943,1437869,0,419804414,32571392,12189696,458752
17284098,502803,5089030542,2267330223,217347503,1563994,0,420147860,33357824,11141120,131072
17284098,502803,5089030542,2267330223,217347503,1563994,0,420147860,33357824,11141120,131072
18784377,390080,5411285402,2427292496,235103603,1567343,0,419662201,33292288,10682368,0
18784377,390080,5411285402,2427292496,235103603,1567343,0,419662201,33292288,10682368,0
20920333,404836,5016726783,2229090584,212945821,1718190,0,419937203,32964608,14417920,0
20920333,404836,5016726783,2229090584,212945821,1718190,0,419937203,32964608,14417920,0
19005747,314616,5042172825,2211904026,202839595,1421949,0,419923595,33882112,13893632,65536
19005747,314616,5042172825,2211904026,202839595,1421949,0,419923595,33882112,13893632,65536
19669428,503599,5146980364,2264555224,211644495,1432082,0,419937462,33161216,8519680,65536
19669428,503599,5146980364,2264555224,211644495,1432082,0,419937462,33161216,8519680,65536
14318269,342329,5008970881,2209044213,207277233,1424227,0,419965931,33685504,15007744,65536
14318269,342329,5008970881,2209044213,207277233,1424227,0,419965931,33685504,15007744,65536
25169897,444142,5267176975,2370941834,233415662,1438029,0,419768727,34078720,11730944,1048576
25169897,444142,5267176975,2370941834,233415662,1438029,0,419768727,34078720,11730944,1048576
21413374,447423,5203545294,2309813067,220826000,1439132,0,419806395,33816576,13959168,0
21413374,447423,5203545294,2309813067,220826000,1439132,0,419806395,33816576,13959168,0
22396117,390789,5045434859,2242621257,210167433,1518876,0,419932020,33947648,14876672,0
22396117,390789,5045434859,2242621257,210167433,1518876,0,419932020,33947648,14876672,0
20584143,509756,5075054076,2205915274,207008416,1364380,0,419972716,33751040,14680064,0
20584143,509756,5075054076,2205915274,207008416,1364380,0,419972716,33751040,14680064,0
18810064,522884,5096062608,2253245869,219219553,1582273,0,420104909,34537472,17694720,0
18810064,522884,5096062608,2253245869,219219553,1582273,0,420104909,34537472,17694720,0
25432562,359873,5488172565,2471184480,243585131,1522255,0,419950055,34078720,9306112,2359296
25432562,359873,5488172565,2471184480,243585131,1522255,0,419950055,34078720,9306112,2359296
15554263,402634,5043029075,2204276806,206455011,1436433,0,419795705,33357824,18219008,0
15554263,402634,5043029075,2204276806,206455011,1436433,0,419795705,33357824,18219008,0
19657784,387897,5058997916,2206014944,208781755,1542876,0,419916420,32964608,10027008,65536
19657784,387897,5058997916,2206014944,208781755,1542876,0,419916420,32964608,10027008,65536
14612382,539553,5179826179,2244618319,209732685,1445249,1,419959211,33423360,12320768,65536
14612382,539553,5179826179,2244618319,209732685,1445249,1,419959211,33423360,12320768,65536
19438071,270100,5030383990,2213401556,203612244,1400036,0,419919906,34013184,12320768,0
19438071,270100,5030383990,2213401556,203612244,1400036,0,419919906,34013184,12320768,0
17978675,273018,5159634357,2296712873,223066018,1692133,0,419805114,33947648,10944512,393216
17978675,273018,5159634357,2296712873,223066018,1692133,0,419805114,33947648,10944512,393216
25164191,552546,5149604265,2295960801,225343776,1678061,1,419900340,33619968,12517376,0
25164191,552546,5149604265,2295960801,225343776,1678061,1,419900340,33619968,12517376,0
19735315,398550,5078774074,2231670294,208762175,1319776,0,419947577,30605312,14876672,0
19735315,398550,5078774074,2231670294,208762175,1319776,0,419947577,30605312,14876672,0
21482772,593847,5091847514,2218777331,213552630,1580504,0,420070833,30801920,14942208,0
21482772,593847,5091847514,2218777331,213552630,1580504,0,420070833,30801920,14942208,0
17659289,442238,5103469736,2249434969,210970810,1343224,0,419824650,30998528,15400960,0
17659289,442238,5103469736,2249434969,210970810,1343224,0,419824650,30998528,15400960,0
19344130,425685,5087739705,2230968062,210503728,1365035,0,419941564,32243712,12058624,196608
