llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3743721,2275949,12805363,82234260,65572050,1019,0,693675675,33619968,1502871552,4390912
3743721,2275949,12805363,82234260,65572050,1019,0,693675675,33619968,1502871552,4390912
5752131,1951072,2655086180,1257798355,256410715,683660,0,419952633,30932992,248381440,0
5752131,1951072,2655086180,1257798355,256410715,683660,0,419952633,30932992,248381440,0
5888442,1888472,2132111173,1100836332,247349697,735018,0,419904777,32112640,204865536,0
5888442,1888472,2132111173,1100836332,247349697,735018,0,419904777,32112640,204865536,0
7422486,2340976,1734740745,1037847514,299819080,803001,0,419964069,31719424,295239680,1966080
7422486,2340976,1734740745,1037847514,299819080,803001,0,419964069,31719424,295239680,1966080
5526710,1754489,2096325257,1080684862,259204505,580608,0,419949096,33226752,192675840,0
5526710,1754489,2096325257,1080684862,259204505,580608,0,419949096,33226752,192675840,0
5436269,1742449,2114024679,1048259999,234616330,655251,4,419934725,40239104,175177728,2359296
5436269,1742449,2114024679,1048259999,234616330,655251,4,419934725,40239104,175177728,2359296
6720542,2029724,1904022145,1041679052,263748518,735587,0,419648096,39714816,244842496,0
6720542,2029724,1904022145,1041679052,263748518,735587,0,419648096,39714816,244842496,0
7522469,2487907,1930481961,1109766009,295406554,621636,0,419871179,40435712,306970624,0
7522469,2487907,1930481961,1109766009,295406554,621636,0,419871179,40435712,306970624,0
6180246,1940273,2156665454,1076799998,252791085,732210,0,419758465,39124992,187695104,851968
6180246,1940273,2156665454,1076799998,252791085,732210,0,419758465,39124992,187695104,851968
5933500,1901082,2061679142,1042849815,247251615,775152,0,419868820,39911424,219348992,262144
5933500,1901082,2061679142,1042849815,247251615,775152,0,419868820,39911424,219348992,262144
6242664,1854037,1974308436,1052627440,256267589,731987,4,419740328,39714816,217382912,1769472
6242664,1854037,1974308436,1052627440,256267589,731987,4,419740328,39714816,217382912,1769472
6464965,2176759,2481191041,1259625919,285603959,703142,4,420048622,40435712,237043712,0
6464965,2176759,2481191041,1259625919,285603959,703142,4,420048622,40435712,237043712,0
5767247,1659682,2026213982,1015891217,243702194,820757,0,419909371,39714816,168099840,983040
5767247,1659682,2026213982,1015891217,243702194,820757,0,419909371,39714816,168099840,983040
5946248,1946516,2019694498,1041429225,241662178,729565,0,419970354,32309248,210108416,0
5946248,1946516,2019694498,1041429225,241662178,729565,0,419970354,32309248,210108416,0
7733087,2077954,1693335844,1074866681,329605780,701093,0,419988135,30867456,331939840,851968
7733087,2077954,1693335844,1074866681,329605780,701093,0,419988135,30867456,331939840,851968
4653084,1138839,1769135189,968329066,269266962,815826,0,419788446,29687808,112590848,0
4653084,1138839,1769135189,968329066,269266962,815826,0,419788446,29687808,112590848,0
4725696,1287153,1838591508,920997659,219061573,834971,0,420096699,31850496,113442816,327680
4725696,1287153,1838591508,920997659,219061573,834971,0,420096699,31850496,113442816,327680
5328588,1333796,1793192299,917456862,224166830,943037,0,420014007,31326208,122880000,0
5328588,1333796,1793192299,917456862,224166830,943037,0,420014007,31326208,122880000,0
5376158,1049959,1635261890,895357569,242153972,1115108,0,419824524,28704768,67502080,393216
5376158,1049959,1635261890,895357569,242153972,1115108,0,419824524,28704768,67502080,393216
10342319,2131414,2057238298,1303343282,379842018,1562630,1,419842872,35258368,61734912,0
10342319,2131414,2057238298,1303343282,379842018,1562630,1,419842872,35258368,61734912,0
9616072,2644053,4236546202,2392871376,554687898,645053,0,419877695,40828928,113180672,786432
9616072,2644053,4236546202,2392871376,554687898,645053,0,419877695,40828928,113180672,786432
7002998,2463848,5553900034,3059313353,673540899,239279,0,419907733,41025536,206045184,0
7002998,2463848,5553900034,3059313353,673540899,239279,0,419907733,41025536,206045184,0
6470963,2462132,5563823267,3060361933,675489047,295275,1,419816334,40697856,239534080,1638400
6470963,2462132,5563823267,3060361933,675489047,295275,1,419816334,40697856,239534080,1638400
6551839,2462746,5478969196,3008459563,653733305,357087,0,419371837,34209792,299630592,0
6551839,2462746,5478969196,3008459563,653733305,357087,0,419371837,34209792,299630592,0
5647913,2488498,5672582340,3075608887,659788959,206718,0,420310932,33685504,208535552,1703936
5647913,2488498,5672582340,3075608887,659788959,206718,0,420310932,33685504,208535552,1703936
6362886,2417589,5492598703,3043955441,665184863,281283,0,419686454,33619968,220004352,0
6362886,2417589,5492598703,3043955441,665184863,281283,0,419686454,33619968,220004352,0
6031146,2314045,5681628285,3117440955,673250788,276031,0,419777067,34406400,250347520,851968
6031146,2314045,5681628285,3117440955,673250788,276031,0,419777067,34406400,250347520,851968
6889154,2265190,4999786408,2807591583,639395835,253785,1,419897496,33685504,202506240,917504
6889154,2265190,4999786408,2807591583,639395835,253785,1,419897496,33685504,202506240,917504
7176989,2351083,5284649957,2949121408,657112347,317653,0,419654704,33161216,216530944,0
7176989,2351083,5284649957,2949121408,657112347,317653,0,419654704,33161216,216530944,0
6263544,2339242,5508094038,3056836081,671319739,246329,0,419995982,34013184,238682112,1966080
6263544,2339242,5508094038,3056836081,671319739,246329,0,419995982,34013184,238682112,1966080
6177738,2253353,5063795057,2836077440,637316435,266342,0,419858187,34865152,278659072,1900544
6177738,2253353,5063795057,2836077440,637316435,266342,0,419858187,34865152,278659072,1900544
5782922,2309533,5274614249,2936926552,658098772,317371,0,419864158,34603008,320405504,0
5782922,2309533,5274614249,2936926552,658098772,317371,0,419864158,34603008,320405504,0
6032900,2435107,5239002452,2936174483,655135765,283240,0,419681780,34799616,314245120,589824
6032900,2435107,5239002452,2936174483,655135765,283240,0,419681780,34799616,314245120,589824
3400907,1418417,2716405998,1527891331,347539903,105664,0,419734611,30081024,174129152,0
3400907,1418417,2716405998,1527891331,347539903,105664,0,419734611,30081024,174129152,0
335991,130300,35058454,47578002,24010171,0,0,419642568,16711680,21037056,0
