llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
329894,192657,224243319,147558839,56450694,0,0,655298789,37224448,891092992,0
329894,192657,224243319,147558839,56450694,0,0,655298789,37224448,891092992,0
9144728,8642130,3127813539,1566231699,376727700,629775,0,419765962,41877504,642383872,1114112
9144728,8642130,3127813539,1566231699,376727700,629775,0,419765962,41877504,642383872,1114112
19187700,12128708,6360895519,3152993415,943646936,1772638,0,419897297,41353216,899940352,0
19187700,12128708,6360895519,3152993415,943646936,1772638,0,419897297,41353216,899940352,0
21905335,14355978,6493022640,3164822769,732106723,1456678,0,419848981,41746432,902955008,655360
21905335,14355978,6493022640,3164822769,732106723,1456678,0,419848981,41746432,902955008,655360
22711809,11834481,6686563533,3140237262,733530713,1526127,0,419843615,41615360,898301952,393216
22711809,11834481,6686563533,3140237262,733530713,1526127,0,419843615,41615360,898301952,393216
20860270,13592652,6319784295,3105819066,759432195,1576270,0,419784333,41549824,894304256,917504
20860270,13592652,6319784295,3105819066,759432195,1576270,0,419784333,41549824,894304256,917504
19385884,11311901,6287169881,3047117233,729325510,1524830,0,419888256,41811968,806092800,0
19385884,11311901,6287169881,3047117233,729325510,1524830,0,419888256,41811968,806092800,0
18574621,12526921,6284000303,3076864151,743214625,1362999,0,419851836,41549824,816775168,65536
18574621,12526921,6284000303,3076864151,743214625,1362999,0,419851836,41549824,816775168,65536
19297832,12549654,6418388850,3112484660,723570024,1165391,0,419884119,41353216,857997312,1507328
19297832,12549654,6418388850,3112484660,723570024,1165391,0,419884119,41353216,857997312,1507328
20689682,14192091,6213438686,3080865265,729418107,1418863,0,419836392,41156608,856162304,0
20689682,14192091,6213438686,3080865265,729418107,1418863,0,419836392,41156608,856162304,0
18547024,13725903,6054080019,3052547497,705082297,1068560,0,419857116,41484288,814809088,65536
18547024,13725903,6054080019,3052547497,705082297,1068560,0,419857116,41484288,814809088,65536
17338677,9431368,6090063719,2889726593,646326064,1271680,0,419912868,41877504,828571648,9437184
17338677,9431368,6090063719,2889726593,646326064,1271680,0,419912868,41877504,828571648,9437184
16205111,9994009,6161018528,2978357135,608079115,1322141,0,419836917,41680896,510001152,0
16205111,9994009,6161018528,2978357135,608079115,1322141,0,419836917,41680896,510001152,0
18017923,12494627,5767121015,2993111115,737420915,1122512,0,419734332,41811968,853016576,3801088
18017923,12494627,5767121015,2993111115,737420915,1122512,0,419734332,41811968,853016576,3801088
18286921,11107911,6043479701,3043980751,714440350,1358911,0,419840757,41615360,762380288,589824
18286921,11107911,6043479701,3043980751,714440350,1358911,0,419840757,41615360,762380288,589824
18104015,12567546,6136286510,3110343593,750394432,1196274,0,419934678,41091072,810614784,0
18104015,12567546,6136286510,3110343593,750394432,1196274,0,419934678,41091072,810614784,0
18059063,10519689,6058105143,3047867755,729422503,1329825,0,419868642,41615360,784859136,983040
18059063,10519689,6058105143,3047867755,729422503,1329825,0,419868642,41615360,784859136,983040
13412402,9070722,6130522585,2981858592,591981419,1311067,0,419870100,41746432,533200896,5570560
13412402,9070722,6130522585,2981858592,591981419,1311067,0,419870100,41746432,533200896,5570560
18084350,10958299,6150726770,3146813063,726917749,1338925,0,419903217,41484288,790626304,0
18084350,10958299,6150726770,3146813063,726917749,1338925,0,419903217,41484288,790626304,0
17757058,10933011,6119619778,3165242717,771545820,1239864,0,419860371,41418752,820707328,0
17757058,10933011,6119619778,3165242717,771545820,1239864,0,419860371,41418752,820707328,0
19983365,14336144,5962113969,3181287177,772750550,1256244,0,419751408,41418752,872087552,393216
19983365,14336144,5962113969,3181287177,772750550,1256244,0,419751408,41418752,872087552,393216
20017012,12108096,6128644101,3159086590,720198597,1296047,0,419932234,41877504,844103680,458752
20017012,12108096,6128644101,3159086590,720198597,1296047,0,419932234,41877504,844103680,458752
13431610,7565466,6546311237,3227997641,600684608,1193740,0,419725754,41811968,511705088,72941568
13431610,7565466,6546311237,3227997641,600684608,1193740,0,419725754,41811968,511705088,72941568
17878825,11770407,5832912059,3127778381,776456268,1358845,0,419858724,41680896,698941440,0
17878825,11770407,5832912059,3127778381,776456268,1358845,0,419858724,41680896,698941440,0
20052862,11617150,5982096949,3136097322,705656185,1369401,0,419832942,41746432,797900800,0
20052862,11617150,5982096949,3136097322,705656185,1369401,0,419832942,41746432,797900800,0
18218379,10968361,6079058250,3165441211,613425071,1135174,0,420016251,41746432,697958400,37355520
18218379,10968361,6079058250,3165441211,613425071,1135174,0,420016251,41746432,697958400,37355520
12588595,8828231,5968942332,3179747560,726443812,1110438,0,419910675,41418752,662896640,0
12588595,8828231,5968942332,3179747560,726443812,1110438,0,419910675,41418752,662896640,0
17374833,9629796,5964318132,3169451996,728889798,1201582,0,419828130,41680896,789970944,589824
17374833,9629796,5964318132,3169451996,728889798,1201582,0,419828130,41680896,789970944,589824
13690921,8694946,6253709771,3217056450,595196435,1015694,0,419919945,41549824,458424320,15138816
13690921,8694946,6253709771,3217056450,595196435,1015694,0,419919945,41549824,458424320,15138816
16571846,9228612,5755675033,3119495301,751853966,1167417,0,419877753,41418752,685178880,0
16571846,9228612,5755675033,3119495301,751853966,1167417,0,419877753,41418752,685178880,0
14798424,8497390,5827625264,3050985863,636528700,1125092,0,419916600,41680896,551485440,2555904
14798424,8497390,5827625264,3050985863,636528700,1125092,0,419916600,41680896,551485440,2555904
12038562,7563472,5459074830,3004430775,691307096,1214202,0,419845698,41615360,709361664,0
12038562,7563472,5459074830,3004430775,691307096,1214202,0,419845698,41615360,709361664,0
13625742,9600746,5971143849,3140797673,635140931,1003746,0,419816561,41680896,658505728,32047104
13625742,9600746,5971143849,3140797673,635140931,1003746,0,419816561,41680896,658505728,32047104
14486952,9082688,5710070009,3172879839,704498846,1195525,0,420000476,41615360,433520640,0
14486952,9082688,5710070009,3172879839,704498846,1195525,0,420000476,41615360,433520640,0
14788453,9493623,5992995863,3168495953,649696709,1062689,0,420000035,41418752,578748416,38338560
14788453,9493623,5992995863,3168495953,649696709,1062689,0,420000035,41418752,578748416,38338560
12835276,8754569,5709731273,3126626638,669164904,1119688,0,419873685,41353216,683081728,0
12835276,8754569,5709731273,3126626638,669164904,1119688,0,419873685,41353216,683081728,0
11197101,5995627,6130612101,3117408573,538572800,906135,0,419859489,41680896,406585344,720896
11197101,5995627,6130612101,3117408573,538572800,906135,0,419859489,41680896,406585344,720896
14135084,8802844,5392511727,3039834590,741430463,1003117,0,419901692,41680896,599130112,917504
14135084,8802844,5392511727,3039834590,741430463,1003117,0,419901692,41680896,599130112,917504
11088164,5652046,5699762959,3010590715,559847444,1030280,0,419768563,41680896,484114432,0
11088164,5652046,5699762959,3010590715,559847444,1030280,0,419768563,41680896,484114432,0
14266443,9758662,5619160788,3122501935,725285985,1045618,0,419909007,41746432,708509696,327680
14266443,9758662,5619160788,3122501935,725285985,1045618,0,419909007,41746432,708509696,327680
10222794,6251764,5888010074,3184868092,627298714,925204,0,419717193,41615360,308084736,1376256
10222794,6251764,5888010074,3184868092,627298714,925204,0,419717193,41615360,308084736,1376256
10949459,6186523,6141367042,3179806330,570379116,1168358,0,419925964,41287680,461242368,0
10949459,6186523,6141367042,3179806330,570379116,1168358,0,419925964,41287680,461242368,0
13272568,8107646,5657130539,3142428723,752229363,1274346,0,419848247,41615360,698613760,0
13272568,8107646,5657130539,3142428723,752229363,1274346,0,419848247,41615360,698613760,0
10888861,4754208,6083973346,3207273342,574519524,964881,0,419861141,41680896,321191936,2555904
10888861,4754208,6083973346,3207273342,574519524,964881,0,419861141,41680896,321191936,2555904
11058066,6073691,5987582163,3104962896,534097034,1064876,0,419824729,41418752,404946944,0
11058066,6073691,5987582163,3104962896,534097034,1064876,0,419824729,41418752,404946944,0
15388722,9399749,5431078665,3066381000,687644957,1421250,0,419876392,41811968,717422592,262144
15388722,9399749,5431078665,3066381000,687644957,1421250,0,419876392,41811968,717422592,262144
9125309,5231556,5917132197,3206651955,602326933,900932,0,419771793,41549824,289734656,1572864
9125309,5231556,5917132197,3206651955,602326933,900932,0,419771793,41549824,289734656,1572864
9850580,5925311,5833182897,3087540516,534579470,773507,0,419902371,41418752,402784256,0
9850580,5925311,5833182897,3087540516,534579470,773507,0,419902371,41418752,402784256,0
12539646,6699024,5895017573,3137648028,587161268,812252,0,419995430,41615360,606601216,5111808
12539646,6699024,5895017573,3137648028,587161268,812252,0,419995430,41615360,606601216,5111808
11707623,7839906,5572016175,3165636474,693239616,933429,0,419817456,41353216,354942976,0
11707623,7839906,5572016175,3165636474,693239616,933429,0,419817456,41353216,354942976,0
10084587,6043526,5745599212,3140673766,570605093,824064,0,419860083,40501248,431685632,0
10084587,6043526,5745599212,3140673766,570605093,824064,0,419860083,40501248,431685632,0
9500787,5873073,5997348489,3173387119,549986447,831872,0,419795346,41615360,328400896,1638400
9500787,5873073,5997348489,3173387119,549986447,831872,0,419795346,41615360,328400896,1638400
8955629,4431191,5594551981,2985248598,523886911,833265,0,419864127,41025536,332791808,0
8955629,4431191,5594551981,2985248598,523886911,833265,0,419864127,41025536,332791808,0
14290562,8404815,5101302286,2958778699,678040544,1022646,0,419844138,41680896,641204224,393216
14290562,8404815,5101302286,2958778699,678040544,1022646,0,419844138,41680896,641204224,393216
9032388,5396728,5819249528,3159710841,577987388,768450,0,419866191,41680896,269811712,851968
9032388,5396728,5819249528,3159710841,577987388,768450,0,419866191,41680896,269811712,851968
9411447,5361585,5794054767,3115390697,584616390,766156,0,419864319,40632320,421658624,0
9411447,5361585,5794054767,3115390697,584616390,766156,0,419864319,40632320,421658624,0
10725957,5316919,5995839417,3140836698,524799654,703362,0,419774508,41680896,356188160,1114112
10725957,5316919,5995839417,3140836698,524799654,703362,0,419774508,41680896,356188160,1114112
12697023,8012304,5481782381,3036060305,652213122,941285,0,419974728,41746432,532217856,5439488
12697023,8012304,5481782381,3036060305,652213122,941285,0,419974728,41746432,532217856,5439488
10847272,6128611,5699910793,3141732852,575536159,709309,0,419760846,41811968,467599360,0
10847272,6128611,5699910793,3141732852,575536159,709309,0,419760846,41811968,467599360,0
9951817,5728081,5667765246,3065483724,550384472,738233,0,419916912,41287680,288555008,2228224
9951817,5728081,5667765246,3065483724,550384472,738233,0,419916912,41287680,288555008,2228224
8635495,4751142,5641871851,3004089171,552543503,925538,0,419835729,41156608,404946944,0
8635495,4751142,5641871851,3004089171,552543503,925538,0,419835729,41156608,404946944,0
9896412,5729757,5961329795,3173755218,553285365,764503,0,419906433,41680896,384434176,720896
9896412,5729757,5961329795,3173755218,553285365,764503,0,419906433,41680896,384434176,720896
14383440,8793208,5169589317,2965492313,669328914,894973,0,419900430,41811968,518062080,1835008
14383440,8793208,5169589317,2965492313,669328914,894973,0,419900430,41811968,518062080,1835008
9993621,6572056,5738810729,3168349488,581086700,762595,0,419859252,41549824,458686464,0
9993621,6572056,5738810729,3168349488,581086700,762595,0,419859252,41549824,458686464,0
9000658,4845772,5899593231,3133684234,574873726,904756,0,419864058,41811968,350420992,1638400
9000658,4845772,5899593231,3133684234,574873726,904756,0,419864058,41811968,350420992,1638400
9890182,6694072,5907525387,3176952591,565032416,756238,0,419901417,40894464,383975424,0
9890182,6694072,5907525387,3176952591,565032416,756238,0,419901417,40894464,383975424,0
14175949,9067977,5216990430,2991054308,697929384,935886,0,419834454,41680896,695795712,196608
