llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
43937080,34724343,1855587414,2622591066,1635326347,187095,0,678994933,41615360,2736848896,5439488
43937080,34724343,1855587414,2622591066,1635326347,187095,0,678994933,41615360,2736848896,5439488
48484763,37902112,2033177273,2871551951,1813985432,990289,0,420109438,41877504,2551578624,24248320
48484763,37902112,2033177273,2871551951,1813985432,990289,0,420109438,41877504,2551578624,24248320
53103200,38775384,2228154146,3177488778,2051752587,4924294,0,420086737,41877504,2523463680,6946816
53103200,38775384,2228154146,3177488778,2051752587,4924294,0,420086737,41877504,2523463680,6946816
55077912,38615790,2239340904,3183253609,2048939230,6364915,0,420076223,41746432,2520711168,7274496
55077912,38615790,2239340904,3183253609,2048939230,6364915,0,420076223,41746432,2520711168,7274496
56423280,39662196,2266295730,3117436796,1963729542,6028654,0,420134666,41877504,2578841600,0
56423280,39662196,2266295730,3117436796,1963729542,6028654,0,420134666,41877504,2578841600,0
53299087,37257573,2165969652,3087663501,1990331291,5705443,0,420068992,41877504,2448162816,12124160
53299087,37257573,2165969652,3087663501,1990331291,5705443,0,420068992,41877504,2448162816,12124160
56664403,39410640,2318808292,3263663837,2090572413,7100084,0,420086380,41746432,2576547840,7798784
56664403,39410640,2318808292,3263663837,2090572413,7100084,0,420086380,41746432,2576547840,7798784
57432746,39879823,2351121247,3179774554,1989953912,7129012,0,420082145,41877504,2602434560,393216
57432746,39879823,2351121247,3179774554,1989953912,7129012,0,420082145,41877504,2602434560,393216
58554055,40908007,2401605222,3244403635,2027774518,7055121,0,420073913,41811968,2676883456,12910592
58554055,40908007,2401605222,3244403635,2027774518,7055121,0,420073913,41811968,2676883456,12910592
59551129,41753033,2409882776,3126344399,1907075138,6934172,0,420104951,41615360,2721447936,8781824
59551129,41753033,2409882776,3126344399,1907075138,6934172,0,420104951,41615360,2721447936,8781824
58037521,40498467,2352293084,3139125905,1945322171,7023740,0,420130196,41811968,2634022912,3604480
58037521,40498467,2352293084,3139125905,1945322171,7023740,0,420130196,41811968,2634022912,3604480
57931154,40068745,2349091660,3149862223,1961243647,7064736,0,420031908,41287680,2620653568,7864320
57931154,40068745,2349091660,3149862223,1961243647,7064736,0,420031908,41287680,2620653568,7864320
56912239,39686600,2353822510,3185327842,1993185013,6904995,0,420103473,41746432,2611871744,5439488
56912239,39686600,2353822510,3185327842,1993185013,6904995,0,420103473,41746432,2611871744,5439488
59008905,41230608,2384100084,3166366137,1961365029,6884845,0,420061917,41746432,2671771648,6815744
59008905,41230608,2384100084,3166366137,1961365029,6884845,0,420061917,41746432,2671771648,6815744
59154315,41352252,2432694175,3268527708,2038281558,7320184,0,419955891,41877504,2700673024,6160384
