llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4258350,536605,295088384,379077224,0,1300,0,1866
7653736,867496,235763507,336172040,0,1300,0,1866
12278995,828188,236829768,297175639,0,1300,0,1866
4733875,476772,98061048,147738755,0,1300,0,1866
26956973,1001019,186611578,399365649,0,1300,0,1866
12552959,1249232,306238412,403676929,0,1300,0,1866
13060660,2050845,217651981,400342323,0,1300,0,1866
5404271,899828,621586208,403792043,0,1300,0,1866
3396903,707481,701169520,404450884,5,1300,0,1866
4669240,849949,632469540,401546638,9,1300,0,1866
10435423,2432935,100273361,211482661,0,1300,1,1866
8397578,2267460,696447146,421589939,8,1300,1,1866
11507889,2977925,366028807,427704420,0,1300,1,1866
11943886,2848446,392702179,314901808,4,1300,1,1866
10389337,2277572,312676055,282558348,0,1300,1,1866
10414399,2164904,246576179,276168272,5,1300,2,1866
8336818,1290634,152897871,217024177,4,1300,2,1866
3349279,399534,63880951,96701622,0,1300,2,1866
3630805,408957,54049005,86183509,10,1300,2,1866
2814941,486230,58474984,72856680,0,1300,2,1866
2525265,391801,51059264,73858653,5,1300,2,1866
4016629,655424,70166339,87993678,4,1300,3,1866
3642674,480549,75522030,78472214,4,1300,3,1866
3173343,284061,47098611,78272233,1,1300,4,1866
3547674,461338,61815110,80301911,3,1300,4,1866
3355144,459297,60790070,77718239,0,1300,4,1866
3785029,168434,50694033,84098681,3,1300,4,1866
3266094,220859,41403282,79989705,0,1300,4,1866
3629179,136653,42143001,80253038,0,1300,4,1866
3309449,189238,38756541,79811660,0,1300,4,1866
3550191,234692,57897951,79560831,2,1300,4,1866
2759752,354277,38828876,78659467,1,1300,4,1866
2857441,408846,58400685,80498858,0,1300,4,1866
3663043,276732,54836427,81268358,3,1300,4,1866
4181108,341187,68727866,87856682,0,1300,4,1866
3279709,179411,44837943,79288574,4,1300,4,1866
3425743,368225,58449241,80169030,4,1300,4,1866
3409398,296065,43133198,77361753,2,1300,4,1866
3351602,290748,47128241,80858769,4,1300,4,1866
3786253,92340,51170314,79495706,0,1300,4,1866
3218139,348112,43006336,80357357,0,1300,6,1866
3336308,249900,47669266,79904303,0,1300,7,1866
3731600,154368,48908507,79858762,0,1300,8,1866
3451853,384667,45023589,78022852,98,1300,7,1866
3730153,414361,58816705,79544824,99,1300,10,1866
3466058,513885,51826904,82636743,19,1300,13,1866
2562955,432941,38232769,77452404,99,1300,13,1866
3228414,412757,56779915,86812141,0,1300,15,1866
3127397,359986,45752355,75173687,99,1300,15,1866
3127280,405305,49740467,78688874,99,1300,16,1866
3446961,446524,50382734,80241705,99,1300,18,1866
3221069,607779,51539060,79948234,99,1300,18,1866
2973804,344172,54186314,80094351,99,1300,20,1866
3087477,392231,40325195,79518769,99,1300,20,1866
2768757,248654,22074869,84574639,99,1300,20,1866
1936036,172391,12128770,78530693,0,1300,20,1866
3907230,77309,24951532,79640062,99,1300,19,1866
3278573,229663,32393738,79601704,99,1300,18,1866
3218294,465217,43485997,78673857,99,1300,18,1866
3724483,673055,73279701,79985675,99,1300,18,1866
2588895,545144,57629041,80325122,0,1300,19,1866
3525402,434702,37094361,80780518,0,1300,18,1866
3816556,499590,42316517,88426921,99,1300,17,1866
2283829,390609,32666735,78584604,99,1300,17,1866
1593001,267328,19044331,77749892,92,1300,17,1866
3822680,147313,44980200,79668623,99,1300,18,1866
3841957,337607,58791019,80193305,0,1300,18,1866
3536396,328326,49611333,80809797,46,1300,16,1866
3271474,410747,49275752,85281736,99,1300,18,1866
3114506,389815,45517621,78769124,96,1300,18,1866
3052845,420933,45874258,81305752,0,1300,18,1866
3279735,471683,47149874,80880718,98,1300,17,1866
3185706,488636,40541894,73591336,97,1300,18,1866
3521320,367631,58011685,88715145,62,1300,19,1866
2974993,314554,32856566,74272037,3,1300,17,1866
3629186,395078,42164814,80028391,95,1300,17,1866
3380357,487881,48578743,84665881,99,1300,15,1866
3013094,421926,43994245,77920284,99,1300,14,1866
3324038,549189,44291432,80894983,99,1300,14,1866
2972466,415862,49604859,81672296,99,1300,14,1866
2920639,340831,56605886,88211079,99,1300,14,1866
3056828,134352,33464860,72888275,4,1300,14,1866
3616887,259806,52454536,81853121,21,1300,13,1866
3266522,528108,45655820,80932634,5,1300,13,1866
3165746,450317,43512299,79446378,14,1300,13,1866
3841042,499917,48137549,84803365,10,1300,13,1866
2758330,425296,37413559,74776627,4,1300,13,1866
3117909,263258,51259896,81385105,56,1300,13,1866
3034784,394126,45529147,79437721,99,1300,12,1866
3502300,709791,76582370,81709605,99,1300,12,1866
3610666,395228,54683556,88236408,99,1300,12,1866
3270557,390308,40525891,75343687,18,1300,12,1866
2832204,365195,26724489,74847894,99,1300,12,1866
4459421,91874,25998648,83463781,86,1300,12,1866
4846808,150773,38090658,80554848,24,1300,12,1866
3512239,322525,38374686,77170753,11,1300,12,1866
3071395,366578,48072646,79178421,99,1300,12,1866
3117185,457362,50036610,83312430,99,1300,12,1866
3774503,335761,45872297,86891492,99,1300,12,1866
2783446,330412,40620204,72175912,99,1300,12,1866
3171729,426716,55573808,85035812,99,1300,12,1866
3481637,323610,46578104,84630714,5,1300,11,1866
3191966,223905,27416778,78887758,99,1300,11,1866
3973345,126266,40611303,76748117,99,1300,11,1866
3166858,409778,54908064,82475409,2,1300,10,1866
2968768,295751,41989377,77777175,6,1300,10,1866
3216331,419637,49659651,83868413,99,1300,10,1866
2999295,427448,54756086,84377631,99,1300,10,1866
2860624,227223,38493204,67059066,9,1300,10,1866
3244873,480456,53834064,83081187,3,1300,10,1866
3864749,225513,51562713,84242146,79,1300,10,1866
3288099,355034,58073423,81162465,31,1300,11,1866
3448429,327825,45187486,84185142,96,1300,11,1866
3657547,206672,30544207,82449210,5,1300,11,1866
3487209,236702,45074288,78975439,99,1300,11,1866
3133086,464022,45330451,79509302,99,1300,11,1866
3164565,311477,50591674,87251399,19,1300,11,1866
2873233,206112,35237094,61835709,3,1300,11,1866
3633318,538357,59085507,93660068,99,1300,10,1866
3310846,294394,42193712,75988243,99,1300,10,1866
3049545,282209,30005836,84058868,99,1300,11,1866
4036793,117000,33833792,79265809,99,1300,11,1866
2758334,392396,45688888,77594030,99,1300,11,1866
3405757,481228,46591090,83392101,6,1300,11,1866
3325029,427204,49568601,82865670,65,1300,11,1866
3009710,452736,36980618,79039223,11,1300,11,1866
3328945,478958,44453728,81153143,11,1300,11,1866
3675865,514026,41830580,80941539,4,1300,11,1866
3248920,458573,49705641,82458159,99,1300,11,1866
3372164,533218,49945862,86739280,99,1300,11,1866
3040666,397833,52654237,80664617,99,1300,11,1866
3976956,140718,58455561,81079720,19,1300,11,1866
2671180,407504,44985550,73964449,7,1300,11,1866
3831241,320412,41756328,83392349,99,1300,11,1866
3435680,482266,44082084,77528202,99,1300,11,1866
3226972,408280,46637881,79385599,11,1300,10,1866
2876931,382165,47078779,75160403,25,1300,10,1866
2877211,413583,40668578,76141297,99,1300,11,1866
3873015,545956,48645192,89782005,16,1300,11,1866
2914896,443804,47031736,75190651,99,1300,10,1866
3637912,353759,39690919,83950013,99,1300,10,1866
3231347,355516,44171517,76214618,12,1300,11,1866
2636195,475366,50051644,79388516,99,1300,10,1866
2681679,636310,78883965,80434754,99,1300,10,1866
1632488,444066,62318198,79877406,99,1300,11,1866
2722923,553030,49309206,80296869,99,1300,11,1866
2393512,446367,77552642,80018341,99,1300,11,1866
1986306,454371,92667934,79723587,99,1300,11,1866
2125303,508202,109648818,87285238,99,1300,11,1866
946031,209989,93375107,79898434,99,1300,11,1866
2119564,450566,79949890,73489571,99,1300,12,1866
1314535,287416,101190609,85589712,99,1300,12,1866
282100,91874,84287618,80297305,99,1300,12,1866
1148496,385556,120925051,80588805,99,1300,12,1866
2587119,599681,93092156,80576345,99,1300,12,1866
4691843,796578,38232470,80133648,90,1300,12,1866
4374289,764826,35261150,76052062,8,1300,12,1866
4654743,806086,37660229,79727687,99,1300,11,1866
4538904,796764,36632782,80233443,99,1300,11,1866
4645469,852052,36873293,80316444,6,1300,11,1866
4629789,824114,36850741,80458404,55,1300,10,1866
4669713,833671,37097388,79974226,99,1300,11,1866
4606963,835491,36509409,80500873,99,1300,11,1866
4220465,693591,56947205,88264279,99,1300,11,1866
131877,28261,99307129,79244545,99,1300,11,1866
7178714,334184,103995852,80199102,23,1300,11,1866
7196502,335226,105788308,80080921,83,1300,11,1866
6333464,309659,96069240,74395430,99,1300,11,1866
7306554,325448,107361549,80396705,88,1300,12,1866
7129732,361694,106601899,82726628,99,1300,12,1866
7167869,356949,105498680,80540384,99,1300,12,1866
7270354,338927,106523091,79768696,99,1300,13,1866
6403269,334517,103322040,80108639,99,1300,13,1866
2366721,115455,102705969,79665043,99,1300,13,1866
6207781,317957,102270006,77706517,99,1300,13,1866
8060979,371129,108901450,80418185,99,1300,13,1866
7106338,320763,107553299,79778983,99,1300,12,1866
7362312,356417,110532931,84240733,5,1300,12,1866
7081037,327757,107620252,80281484,99,1300,11,1866
3076828,157596,103994661,80461656,99,1300,11,1866
6354971,289073,108142771,79345768,99,1300,11,1866
7028639,333180,106676268,80294818,5,1300,11,1866
7202114,326992,108934682,79772056,6,1300,11,1866
7147439,333660,108077014,80016573,99,1300,11,1866
7543375,353857,113071627,85229316,99,1300,11,1866
2639384,120572,96734799,80541325,99,1300,11,1866
4688867,239166,102008989,80055101,99,1300,11,1866
7073881,333663,102332192,79965197,99,1300,11,1866
7402037,308417,106350483,79675187,99,1300,11,1866
6836585,358916,99220825,80306516,99,1300,12,1866
7095001,348792,102646365,80225743,99,1300,12,1866
7336637,330157,105462886,79955985,99,1300,11,1866
7404552,326743,106257361,80285071,10,1300,11,1866
6853648,335445,100890416,79645448,5,1300,11,1866
3220408,163332,101748274,80498486,33,1300,11,1866
6078296,302323,103171598,80565772,6,1300,11,1866
7150874,334422,106439992,80149443,99,1300,11,1866
7242795,318841,107908148,80264471,99,1300,10,1866
6242796,295233,99427969,75488786,50,1300,10,1866
7157623,329920,106632402,79945418,12,1300,10,1866
5193017,249909,104226830,79500268,6,1300,11,1866
7020718,336479,105065330,79962207,99,1300,11,1866
7214098,340918,107491947,80776737,99,1300,11,1866
7212393,326144,107513507,80150261,99,1300,11,1866
7089399,338914,105821639,80269500,99,1300,11,1866
7141355,327728,106591170,79540275,99,1300,10,1866
3535832,236185,103045068,80639761,99,1300,11,1866
439549,145894,89271594,80529416,99,1300,11,1866
1389337,464785,130829662,79561508,7,1300,11,1866
989441,320553,63099394,80628763,99,1300,10,1866
949862,304685,55489831,79970944,99,1300,11,1866
957385,310314,56370010,80711576,99,1300,11,1866
944082,304760,55650619,80386445,99,1300,11,1866
2735900,579318,54269908,80081950,5,1300,11,1866
5580311,999201,48920570,87174877,5,1300,11,1866
4009205,687686,54509358,80140772,78,1300,11,1866
1913767,88050,101229339,80441162,1,1300,10,1866
6823036,320681,97175830,76393099,5,1300,10,1866
