llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
5012126,817297,592525654,721981377,0,1300,1,1866
10221802,1502415,262954509,405494144,0,1300,1,1866
15158164,1300155,306052915,403137668,0,1300,1,1866
23472475,777978,149733393,320788384,0,1300,1,1866
14120458,1146208,302605433,402601878,0,1300,1,1866
13228362,2028569,223704755,404765918,3,1300,1,1866
6036421,937037,587982118,403168703,0,1300,1,1866
3389173,712525,699370714,404423561,0,1300,1,1866
4488956,838812,657367824,404885950,2,1300,1,1866
15657708,3774378,545689789,404211223,5,1300,1,1866
11312228,3126664,483494149,544734630,1,1300,1,1866
23660082,4799400,588705687,626411592,0,1300,1,1866
21338644,4046645,502469399,588596022,5,1300,2,1866
15606647,2716474,319262595,400370652,0,1300,2,1866
11931735,1902379,196837716,302081086,11,1300,2,1866
16333012,2366615,237575021,402024061,3,1300,2,1866
15870976,2279766,249153789,401905989,0,1300,2,1866
15461686,1395040,165042368,404553778,7,1300,2,1866
14196063,2135177,225100765,323598942,4,1300,2,1866
15875199,1281631,203300157,321012046,2,1300,3,1866
12627967,1584420,186539302,324679707,3,1300,3,1866
12824061,1768896,183525518,321720249,0,1300,4,1866
13338341,1749448,174865997,323527763,5,1300,4,1866
13239792,1156569,197983094,320229956,64,1300,4,1866
10750315,1774506,146559388,321972897,1,1300,5,1866
11761997,1793354,192310190,326843770,7,1300,5,1866
7088562,910762,112617329,182378543,0,1300,5,1866
6225118,339985,46141086,120223677,3,1300,6,1866
6895921,323138,62832156,120441409,0,1300,6,1866
4953658,500361,63044413,118463536,0,1300,6,1866
4669028,663401,71583075,125233306,4,1300,5,1866
2974914,298347,36336553,89200349,2,1300,5,1866
1489888,179900,20869740,37841898,1,1300,6,1866
1749671,276364,22702715,45470116,99,1300,7,1866
1099732,146782,30601537,38439282,6,1300,9,1866
1425481,147879,18223923,35587922,0,1300,10,1866
1640856,151162,21454709,39816462,0,1300,9,1866
1546452,194365,21224528,45024461,99,1300,11,1866
1476929,139543,15170306,38391132,99,1300,13,1866
1435476,77325,9044687,40352114,12,1300,14,1866
2307795,25700,15504728,39806016,67,1300,16,1866
1719008,110133,25469858,38174972,0,1300,16,1866
1843833,240078,30119461,44171870,98,1300,16,1866
1339179,179916,25946208,37936590,98,1300,18,1866
1342825,152571,18372485,39979534,96,1300,19,1866
1287433,124895,19957340,36862885,99,1300,20,1866
1597779,240784,23855794,39911576,97,1300,21,1866
1547081,191858,25016240,40875253,99,1300,21,1866
1253139,214895,19282332,37560628,30,1300,21,1866
1461412,226145,30511364,44951510,0,1300,19,1866
1531407,159739,22297649,39647020,99,1300,19,1866
1591811,125401,18424373,40057350,99,1300,19,1866
1600151,287104,29422068,42596991,99,1300,19,1866
1500574,182482,26300071,39910555,99,1300,19,1866
1292143,198321,16878659,40334099,0,1300,19,1866
1616134,94876,21291652,39700001,99,1300,17,1866
2137060,31299,31517146,39991733,99,1300,17,1866
1151125,248091,28329761,35802219,97,1300,17,1866
1707904,170558,22204097,39920366,24,1300,19,1866
1665917,154094,21926834,40153387,90,1300,18,1866
1487677,177724,20159538,39977492,98,1300,19,1866
1620305,107034,14455455,39685938,99,1300,18,1866
2249313,29736,14915178,40034949,99,1300,18,1866
1889735,124226,24586281,40169359,19,1300,19,1866
1432313,166788,21938452,37772362,5,1300,19,1866
1653454,241025,24759114,44232707,99,1300,17,1866
1346040,213965,27838438,37532285,6,1300,16,1866
1626949,151104,22762428,40027648,38,1300,15,1866
1506947,134082,17721590,39601686,70,1300,14,1866
1888419,111791,23402478,39076861,99,1300,14,1866
1548658,240128,19972157,38776231,99,1300,14,1866
1747709,295173,36081008,47178837,99,1300,14,1866
1699804,164879,21857313,40114384,99,1300,12,1866
1697812,156773,22522774,40040505,99,1300,12,1866
1463084,181009,19759888,39647160,99,1300,12,1866
1375463,128947,13863715,38108196,99,1300,12,1866
2405228,17218,15436088,39740155,99,1300,12,1866
2221704,45381,20217189,39907629,99,1300,12,1866
1396396,203140,24280115,40779764,99,1300,12,1866
1216141,153560,17222626,33323251,9,1300,12,1866
1610381,234188,24312018,41430790,4,1300,12,1866
1849243,268491,27763820,44645437,23,1300,12,1866
