llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4969301,651473,389795976,499477634,0,1300,0,1866
9195822,958113,255555651,372686127,0,1300,1,1866
12808449,950034,271749479,337687773,0,1300,1,1866
2225474,215064,32084597,61635321,0,1300,1,1866
26875624,987870,196421599,402370167,0,1300,1,1866
13932376,1192563,304769928,403491713,0,1300,1,1866
12690411,2050417,227218307,403412513,0,1300,1,1866
4333440,754317,664037706,400305609,4,1300,1,1866
3238841,709583,700101156,403890005,0,1300,1,1866
5566183,997681,581086849,387054536,6,1300,1,1866
14423894,3649672,518063849,367156887,3,1300,1,1866
7978016,2090365,391381418,404011656,2,1300,1,1866
17073525,2017583,287607895,404151313,16,1300,1,1866
16517771,1640457,308236128,404378831,0,1300,1,1866
16258541,1926960,319132573,402518528,4,1300,1,1866
16651582,2543265,348360191,403931476,0,1300,1,1866
17638555,2625567,324348767,403715584,0,1300,2,1866
15373077,3163597,348869270,403768969,7,1300,2,1866
14807454,2803034,360633418,371272859,2,1300,2,1866
12888992,2154206,236670571,322638086,0,1300,2,1866
10740592,1512176,172081616,280859206,0,1300,3,1866
11485483,1662121,178946622,287218912,2,1300,3,1866
13797329,738040,117904619,282558665,2,1300,3,1866
12226125,1972369,199449740,278974093,1,1300,3,1866
11852037,1045429,146585080,282987850,4,1300,3,1866
11113613,1403578,169668045,283253516,59,1300,3,1866
10791245,1569215,166505041,281604561,0,1300,3,1866
11909119,1478940,148294459,331931783,4,1300,5,1866
8243966,1297686,114720356,236577727,4,1300,5,1866
9397304,839594,147092727,250198978,10,1300,5,1866
7915371,1041400,119322109,189955880,2,1300,5,1866
7689522,1108264,107824590,205714183,4,1300,5,1866
4571504,476430,69307175,122510755,4,1300,5,1866
6175308,992773,125290046,157587628,4,1300,5,1866
3755055,487123,42910772,94258014,1,1300,5,1866
1335621,201079,18742447,37159208,5,1300,5,1866
1420715,225305,14391500,39516644,99,1300,5,1866
1668649,132777,13485764,40103038,5,1300,9,1866
2126800,70183,12556408,47489708,4,1300,9,1866
2359031,27409,13795794,39678489,4,1300,9,1866
1832071,44769,10596973,35929670,99,1300,10,1866
2422619,127229,22715015,40115571,99,1300,13,1866
1396548,214978,21457940,39851467,0,1300,14,1866
1859873,130933,17194767,40290472,99,1300,15,1866
1837252,199450,27092705,43380171,0,1300,16,1866
1260810,167590,20475348,34190059,99,1300,16,1866
1701736,276014,24108979,41776155,85,1300,18,1866
1307547,134980,26593845,37012662,99,1300,19,1866
1589687,228227,21220524,45560341,99,1300,20,1866
2092784,116774,17687375,39550891,26,1300,21,1866
1061315,136746,21071918,33403775,99,1300,21,1866
1513308,223840,22305575,44459106,99,1300,20,1866
1197180,184991,15337164,37558209,7,1300,20,1866
1333954,222311,31943543,39554441,99,1300,18,1866
1736304,157840,22891730,39551781,99,1300,18,1866
1435839,157660,18690250,40051240,99,1300,18,1866
1474761,171588,20752588,39684827,99,1300,18,1866
1052190,161928,12598232,41513783,0,1300,19,1866
1297890,67196,8081704,38285061,99,1300,18,1866
2372281,21028,15432809,40091461,99,1300,18,1866
1886350,99849,24626429,40352547,11,1300,18,1866
1602449,231623,25481497,42204352,47,1300,17,1866
1389513,193860,28185980,39811542,98,1300,18,1866
1600344,137839,21737451,40033992,80,1300,18,1866
1414315,145156,21336027,38389772,0,1300,18,1866
1687921,246636,25927696,42178798,98,1300,18,1866
1576406,214197,25414725,44148864,98,1300,18,1866
1304433,187606,20268953,32746315,85,1300,19,1866
1502599,238325,31620028,45972157,5,1300,17,1866
1487265,157040,21268139,40050629,34,1300,16,1866
1932148,150043,25363792,39803756,99,1300,15,1866
1367540,273599,31295987,40372995,99,1300,15,1866
1718222,202488,22866640,40195967,99,1300,15,1866
1291739,185835,17004584,40296768,99,1300,15,1866
2003661,35842,27851507,39900375,99,1300,14,1866
1933514,213827,28283301,39915632,99,1300,13,1866
1352644,156009,30807100,39902082,99,1300,13,1866
1659156,154907,21932307,39703124,99,1300,13,1866
1627045,141854,22646699,39519505,25,1300,12,1866
993034,174816,13991321,36064613,2,1300,12,1866
2415637,25741,15647557,39988628,4,1300,12,1866
2171761,68327,22534158,39865751,13,1300,12,1866
1496464,180144,22961653,39389802,7,1300,12,1866
1592051,196806,23139832,41364148,99,1300,12,1866
1550175,272782,30039943,41653625,99,1300,12,1866
1569830,159161,23699569,39603770,99,1300,12,1866
1413870,162482,19046001,40371299,99,1300,12,1866
1819947,59298,20562966,39186723,99,1300,12,1866
1406873,218643,18951941,37064915,99,1300,12,1866
1606109,337678,20893259,39930883,2,1300,11,1866
1423395,151612,30364507,40092336,6,1300,11,1866
1699942,159480,22397856,39834134,67,1300,11,1866
1776091,172909,23827159,44137856,99,1300,11,1866
1229842,216878,16470441,40610571,73,1300,11,1866
1535017,65734,11992254,37111300,18,1300,12,1866
2332051,23431,15099941,39636281,18,1300,10,1866
2064432,83493,21404912,39747319,70,1300,10,1866
1597428,218950,27702194,44017075,10,1300,11,1866
1565398,235292,23116225,41217670,99,1300,10,1866
1417195,199532,22681027,37411052,86,1300,10,1866
1646852,274148,20730143,37875269,1,1300,10,1866
1511013,202420,24079545,39615105,9,1300,10,1866
1808813,197707,26427045,39931804,99,1300,10,1866
1421693,210407,16966372,39862383,99,1300,10,1866
1627847,294828,21279799,39739474,99,1300,10,1866
1628744,186017,25856611,39637139,99,1300,11,1866
1775946,230679,17177231,38647304,99,1300,11,1866
1968413,300652,26808405,45540819,69,1300,10,1866
1695895,249755,21064089,40650537,99,1300,10,1866
1536879,256582,19233556,38533536,11,1300,11,1866
1438054,184748,24481810,40062558,5,1300,11,1866
1170361,196404,21608704,35868085,99,1300,10,1866
1825984,310579,30146559,45446812,99,1300,10,1866
1498687,188161,27458214,39280340,99,1300,11,1866
1632535,239295,19808995,39999168,99,1300,11,1866
2045285,57025,28723705,39703189,99,1300,11,1866
1761808,54135,27941692,34976538,9,1300,11,1866
1726989,243237,25944103,47375867,11,1300,11,1866
1398758,242436,24609921,36560951,3,1300,11,1866
1629621,202757,21383384,40092038,9,1300,11,1866
2086142,108331,18626071,43674276,4,1300,12,1866
1627546,279337,19944366,36934774,99,1300,11,1866
1674051,247815,25522725,42374922,99,1300,11,1866
1570143,219855,23961879,39185997,99,1300,11,1866
1578807,182577,21797459,37304425,99,1300,11,1866
1310147,177291,21309503,37828771,99,1300,11,1866
1616817,220658,23884249,38786886,32,1300,11,1866
1723566,246652,25764513,44860424,8,1300,11,1866
1448462,246977,20803649,36967029,99,1300,10,1866
1819217,228051,19448172,39779133,99,1300,10,1866
1511490,238277,21005865,38837230,99,1300,10,1866
1698962,246018,23687936,42764665,8,1300,11,1866
1441341,246939,25872273,39974844,99,1300,10,1866
1635136,192478,21535485,39940796,99,1300,10,1866
1952592,110007,16956936,38800155,10,1300,10,1866
1742908,221582,24573646,41940474,99,1300,10,1866
1388039,184871,21103138,38036622,99,1300,10,1866
1336956,249095,22277087,35732159,99,1300,10,1866
1238773,231184,26376463,39907066,99,1300,10,1866
1322788,315301,38228666,41648886,99,1300,11,1866
876434,211156,29454185,40204470,99,1300,11,1866
761163,189121,14805002,42256719,99,1300,11,1866
890863,184141,31899458,40227420,99,1300,12,1866
