llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
12472200,1343723,202020910,375255491,0,1300,0,1866
11038233,2089378,177069063,389196849,0,1300,1,1866
8519297,2314823,141327781,341060998,0,1300,1,1866
7595661,2390822,84677956,297024235,0,1300,3,1866
9029390,2710907,120342668,343338570,0,1300,4,1866
9702467,2859079,121786139,370854423,0,1300,5,1866
8185381,1771062,111305181,283590884,0,1300,5,1866
6340023,1675332,165791300,254943774,0,1300,6,1866
9620635,2505380,126143587,352432754,0,1300,6,1866
9941221,3001448,128837128,384745731,0,1300,7,1866
9030811,2766101,124589125,357037686,0,1300,8,1866
9754021,3099973,120652858,378750283,0,1300,8,1866
8927290,2807311,118940766,349847723,0,1300,8,1866
9979303,3197464,133292618,394707026,0,1300,8,1866
10124753,3243681,125930122,399114660,0,1300,9,1866
8886286,2811936,113832827,351722834,0,1300,9,1866
11477304,3025898,90171448,401177491,0,1300,9,1866
7688188,2072393,76427905,277984944,0,1300,9,1866
6740549,2128751,56096309,253170317,0,1300,10,1866
9680692,2551822,72029309,330697530,0,1300,10,1866
7114297,2205933,104004364,290266670,0,1300,10,1866
6573559,1915129,109329350,267225352,0,1300,10,1866
5489278,1474985,66839888,204557998,0,1300,10,1866
9437991,2399735,145480471,371627087,0,1300,10,1866
5473383,1030037,92833986,191708756,0,1300,10,1866
5960554,1434379,113304947,225156002,0,1300,10,1866
6822553,1818954,87509967,251564902,0,1300,10,1866
5867841,1104052,128047810,206014146,0,1300,10,1866
7321534,1454287,145965305,262161141,0,1300,10,1866
6605622,1341146,130446914,240645913,0,1300,10,1866
7996283,1470956,158357079,265005842,0,1300,10,1866
6368773,1346336,116037221,219606704,0,1300,10,1866
7107361,1351481,152579421,245085592,0,1300,10,1866
7270486,1437211,142094924,252450855,0,1300,10,1866
8134566,1538138,140627315,268135031,0,1300,10,1866
7753065,1618772,144421242,269922279,0,1300,10,1866
7324765,1575486,125493118,258325364,0,1300,10,1866
9314877,1686167,180508695,318482417,0,1300,10,1866
7496147,1531758,158664595,273107473,0,1300,10,1866
5777666,1406611,106973351,214717325,0,1300,10,1866
8246307,1878561,142909508,298045833,0,1300,10,1866
7862312,1775775,140276180,280754991,0,1300,10,1866
8093320,1807531,123248582,279102637,0,1300,10,1866
6815614,1522757,117856730,240379367,0,1300,10,1866
6462560,1317508,92690379,215883678,0,1300,10,1866
8244440,2097336,123441885,295381895,0,1300,10,1866
9269282,1790185,164460059,319208474,0,1300,10,1866
4895435,1282784,65552784,176078584,0,1300,10,1866
7688352,1997256,131665115,285434331,0,1300,10,1866
6015299,1523561,105260837,223299741,0,1300,10,1866
7333174,1822555,126905136,268610872,0,1300,10,1866
8775225,2335645,146052118,328998788,0,1300,10,1866
8263117,2244541,122548291,303256347,0,1300,10,1866
7464435,1704148,137612305,290322479,0,1300,10,1866
3895905,812889,111045626,177522976,4,1300,10,1866
7770220,1807339,100197152,274375918,0,1300,10,1866
6889723,1624080,93464227,245529275,0,1300,10,1866
8018432,2171101,102539262,277807084,0,1300,10,1866
7047418,2106631,103913918,281575394,2,1300,10,1866
8124538,2605241,96531797,310844488,0,1300,10,1866
9336859,2557022,109594898,339874475,0,1300,10,1866
7364793,2035798,97126115,268075139,0,1300,10,1866
10321770,2561797,141116935,377156473,0,1300,10,1866
9258121,1333366,165893837,302296905,0,1300,10,1866
9027209,2065119,116160238,321644028,0,1300,10,1866
7670817,2153998,91173151,285362719,0,1300,10,1866
12260940,2640167,173858397,402304197,0,1300,10,1866
10509739,2893092,155928096,401513267,0,1300,10,1866
9148630,2524780,289164905,497564205,0,1300,10,1866
4644128,1309244,478966888,556524932,0,1300,10,1866
8497861,1783989,341452783,452735795,0,1300,10,1866
10642994,2890048,161303971,401172508,0,1300,10,1866
10308372,2925917,148302360,393044322,0,1300,10,1866
8283334,2234906,330157830,404501916,0,1300,10,1866
8257418,1802645,107864850,276807280,0,1300,10,1866
8673956,1197853,139987234,235007845,0,1300,10,1866
7803507,1220334,82766250,202137839,0,1300,10,1866
8900611,2412156,123876015,350364501,0,1300,10,1866
9156951,2417655,105011540,348789435,0,1300,10,1866
6417061,1374396,86847615,233191490,0,1300,10,1866
7630668,1852898,101681307,273629283,0,1300,10,1866
6872011,1679574,89722243,239474003,0,1300,10,1866
14260450,1817492,194710896,379298087,0,1300,10,1866
7450918,2210056,135897718,311512034,0,1300,10,1866
8478806,2418058,138131165,347617510,0,1300,10,1866
8912448,2591723,180928466,388635168,0,1300,10,1866
6794226,2021495,178914339,322109543,0,1300,10,1866
10331944,2820534,168943063,381229055,2,1300,10,1866
8468188,1775434,232159155,367325333,0,1300,10,1866
6231727,1043599,292590868,293545786,1,1300,10,1866
5401789,1346330,252166698,245476110,0,1300,10,1866
5816467,1267518,191772739,227161785,0,1300,10,1866
5683710,1200879,340099163,264059232,0,1300,10,1866
6541403,1725687,132125879,267478230,0,1300,10,1866
5667201,1469258,185350512,244580995,0,1300,10,1866
4999474,1256245,70824414,189251774,0,1300,10,1866
8449551,2193535,130466106,336090481,0,1300,10,1866
7014291,2086401,141406176,311439208,0,1300,10,1866
9345715,2682414,242347046,437527572,0,1300,10,1866
9031195,2498781,433666076,674366761,0,1300,10,1866
6797952,1504384,616896901,581650550,0,1300,10,1866
8306582,2230635,163007419,322460912,0,1300,10,1866
7153598,1954346,147411064,285649415,0,1300,10,1866
6319493,1208286,271934124,272413051,0,1300,10,1866
6643678,1715307,510819378,373810709,0,1300,10,1866
5363741,1263106,285519063,245440740,0,1300,10,1866
4290826,952119,171599981,179988629,0,1300,10,1866
5012600,1025381,252344172,216820992,0,1300,10,1866
6772616,1794697,205135357,291554432,0,1300,10,1866
