llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
14244062,1519378,234629693,412530179,0,1300,0,1866
17140637,3544939,270033127,604159200,0,1300,0,1866
14229813,3596010,243081619,562885462,0,1300,2,1866
17100985,4395098,294589141,692987557,0,1300,3,1866
17994292,4755074,278223801,726060205,0,1300,4,1866
16998583,4679995,274864164,681344046,0,1300,5,1866
16295076,4460884,217039783,627081404,0,1300,5,1866
16567602,3553624,346971600,658679183,0,1300,6,1866
17364612,4393284,400503336,731736654,0,1300,7,1866
16993905,4301831,236231030,671898902,0,1300,7,1866
17623354,4743472,298581011,720367860,0,1300,7,1866
17101771,4692136,290205268,702666526,3,1300,8,1866
15561898,4507115,225270123,618365809,0,1300,9,1866
12854805,3693080,191984816,509892522,2,1300,9,1866
13311319,3954891,187352663,526933835,0,1300,9,1866
18615861,5110373,297644693,766289578,0,1300,9,1866
15383051,4345721,235689887,621779599,0,1300,9,1866
16647917,4263412,193528084,616740170,0,1300,9,1866
18171707,4487726,210907603,660176333,0,1300,9,1866
17927861,4508345,258692114,680890300,0,1300,9,1866
18465200,4736768,226661393,696702129,0,1300,10,1866
17904613,4927388,295654104,769847729,0,1300,10,1866
17047579,4320449,302937345,708749676,0,1300,10,1866
16692288,4238325,245042766,645721085,0,1300,10,1866
17349540,3516668,348333116,671504799,0,1300,10,1866
17609787,4155145,320988091,711795016,0,1300,10,1866
20639057,4862155,315902740,785148966,0,1300,10,1866
18520185,3823663,362098175,724577866,0,1300,10,1866
18483249,4296660,344639138,746973947,0,1300,10,1866
18173226,4181964,285172356,696295867,0,1300,10,1866
17948408,3664805,317432978,664490645,0,1300,10,1866
20024037,4723588,356536691,803610996,0,1300,10,1866
19648304,4426622,349662875,774511127,0,1300,10,1866
18225792,4285863,349693705,747652813,0,1300,10,1866
19862878,3983447,336534607,723584927,0,1300,10,1866
16888760,4055078,235308007,633122386,0,1300,10,1866
23755821,4318245,291867072,793669331,0,1300,10,1866
23049796,4044271,318164648,794286333,0,1300,10,1866
18236950,3623821,288805961,676224064,0,1300,10,1866
21773581,4132925,366204139,729183275,0,1300,10,1866
16480740,4062281,370887843,706597201,0,1300,10,1866
17647261,4205632,349518887,734386997,0,1300,10,1866
21447414,4889414,310535032,803835188,0,1300,10,1866
17851032,3795317,317609166,687820251,0,1300,10,1866
18716353,4583090,369020578,784569328,0,1300,10,1866
15399580,3784314,231498307,595342444,0,1300,10,1866
17906347,3901841,332667958,709113607,0,1300,10,1866
20178603,4878667,336695370,800634187,0,1300,10,1866
17330077,4296643,334082711,731286982,3,1300,10,1866
19478592,4639441,356206499,786024359,0,1300,10,1866
16261467,3997555,286870381,648564870,0,1300,10,1866
16500727,3871638,296186524,652977903,0,1300,10,1866
19752117,4509206,394397625,804428373,0,1300,10,1866
14804808,3628146,374020955,740147929,0,1300,10,1866
18930897,4302534,295429808,739867713,0,1300,10,1866
18394854,4169681,262581649,665510938,0,1300,10,1866
20025971,4140301,275540724,668316472,0,1300,10,1866
17273170,4701660,345253494,769492305,0,1300,10,1866
18539033,4865860,302673428,757727159,0,1300,10,1866
19009004,5077353,223415701,708845992,0,1300,10,1866
22399571,4825820,275910785,777048294,0,1300,10,1866
14395125,4092235,196936013,625803878,0,1300,10,1866
19515589,3554759,345696341,729796214,0,1300,10,1866
24831408,3526748,419343738,802865907,0,1300,10,1866
19439539,4265529,300560444,704522149,0,1300,10,1866
22420892,4703788,402328211,797768505,0,1300,10,1866
15885303,3889896,313848972,648688711,0,1300,10,1866
15989693,3878010,291425660,663386036,0,1300,10,1866
9167322,2719759,393129867,647258941,0,1300,10,1866
7005446,1692925,640611063,681230298,0,1300,10,1866
18269191,4415993,313556328,723104078,0,1300,10,1866
