llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
9556812,1418540,266278430,403276185,0,1300,1,1866
13300079,1796618,264646023,403997689,0,1300,1,1866
17582754,1753518,136272476,402463930,0,1300,1,1866
15089189,1644384,161249916,404434592,0,1300,3,1866
11075537,1765232,245787806,403740122,0,1300,3,1866
11123423,2497702,172442060,404605273,0,1300,4,1866
6775483,1316563,488844823,403702976,0,1300,5,1866
3364756,753208,688155240,404902737,0,1300,5,1866
3860045,882048,657412038,403991576,0,1300,6,1866
13693135,3484107,437491134,404611683,0,1300,6,1866
5637237,1724428,537221925,469861181,0,1300,7,1866
21640405,6177791,663340158,757315446,0,1300,7,1866
18533216,4672871,727518312,664791273,2,1300,8,1866
20340858,3841440,372296089,608513264,2,1300,8,1866
24773943,4788305,471303920,766923967,2,1300,9,1866
20578888,3881829,365917169,652465256,0,1300,9,1866
12777496,1751262,165565013,395772275,1,1300,9,1866
10424544,1950544,147698098,404635980,8,1300,9,1866
7068547,1053251,44375890,361579214,0,1300,9,1866
13292823,2046516,196892858,402074492,4,1300,9,1866
12266556,1613812,136940895,403524572,0,1300,9,1866
13296434,2199233,201371895,401283394,0,1300,9,1866
11808883,1906051,176243844,401115736,0,1300,9,1866
13101359,2227035,210030917,370280983,0,1300,9,1866
7456689,1437442,60135425,360030735,0,1300,9,1866
13410492,1805672,156633370,403513434,0,1300,9,1866
12163231,1740828,147845070,401446072,3,1300,9,1866
13550804,2123748,183016869,400110249,0,1300,9,1866
13833323,2437284,185180860,403319394,1,1300,9,1866
13585872,2192761,227952359,402776802,3,1300,9,1866
13612247,2524384,183739122,405109941,4,1300,10,1866
8774355,1953344,111718197,405016553,0,1300,10,1866
10795329,1690022,150932963,405128977,0,1300,10,1866
11975481,1964058,177892055,404460725,0,1300,10,1866
12968423,2238136,195755279,401785814,1,1300,10,1866
14155095,2352199,191348608,402962745,4,1300,10,1866
13572223,2145823,188129391,404852933,2,1300,10,1866
13013694,2352745,187497412,401724074,2,1300,10,1866
13620181,2090494,191940750,402160644,8,1300,10,1866
12788420,1900880,183102348,401350098,7,1300,10,1866
13413394,1659566,183056249,405119482,0,1300,10,1866
13534790,2031690,176931177,404335499,0,1300,10,1866
15409025,3541721,447751532,641197492,0,1300,10,1866
10331846,2170119,779443134,797387900,0,1300,10,1866
14991942,2989297,356708497,620971157,0,1300,10,1866
24533402,5440051,247394905,618950628,0,1300,10,1866
51696687,4453468,685156661,751304803,0,1300,10,1866
39830810,2500885,951837957,804432823,0,1300,10,1866
44582727,2703326,946576880,803004206,0,1300,10,1866
36026290,2424645,811039188,717740161,4,1300,10,1866
39390541,2551812,702202807,617658901,0,1300,10,1866
43551924,2672801,871377582,754686939,0,1300,10,1866
22788773,1891136,912110762,798914728,0,1300,10,1866
4067656,1344138,636843762,798538835,0,1300,10,1866
37104888,3485333,687730275,739370658,0,1300,10,1866
37259497,1907646,851978807,698834990,0,1300,10,1866
32935083,1836505,774347060,651864167,0,1300,10,1866
31323493,1808378,875000960,763871873,0,1300,10,1866
13536382,2602461,625163763,797184072,0,1300,10,1866
36581301,2993812,837843898,795166171,0,1300,10,1866
44230605,2425076,831553031,684603168,0,1300,10,1866
31439000,1734855,728895322,590346666,0,1300,10,1866
45791276,2451304,953015595,786749060,0,1300,10,1866
39271150,2183728,952355312,798230594,0,1300,10,1866
45034165,2433136,961459086,796140416,0,1300,9,1866
23324292,1717560,821221459,756951657,0,1300,9,1866
9133123,1628183,593823300,700509234,0,1300,9,1866
36412467,1842505,818962975,660393547,0,1300,9,1866
37206414,1837406,969574484,780678915,0,1300,9,1866
38267418,1888702,982614927,791388162,0,1300,9,1866
23568335,2667775,762009978,806051883,0,1300,9,1866
33144343,1735629,727597879,598675769,0,1300,9,1866
31344437,1552686,861269717,689207949,0,1300,9,1866
40225953,2007105,941418537,759238505,0,1300,9,1866
38747070,1846563,918168208,747116104,0,1300,9,1866
48217235,2320466,930700179,765384267,0,1300,9,1866
44878411,2244456,746862640,618105850,0,1300,9,1866
20621388,2184436,630732906,646037884,0,1300,9,1866
37712649,2218454,916556928,805772772,4,1300,9,1866
32447560,1636421,948787147,761019113,0,1300,9,1866
42847271,2086633,981118999,792154421,0,1300,9,1866
29339042,1436030,899738027,724631851,0,1300,9,1866
33575038,1589741,893990774,721127732,0,1300,9,1866
39651372,1997231,924831215,753461097,0,1300,8,1866
38821508,1881956,975209699,788091093,0,1300,8,1866
18047016,1731892,798738219,789959978,0,1300,8,1866
32741199,1541953,954187108,751646626,0,1300,8,1866
29613261,1392405,842011542,672852085,0,1300,8,1866
32968874,1503657,859655713,684024888,0,1300,8,1866
22221558,1877551,829268161,756550799,0,1300,8,1866
34693721,1727458,921106567,739159632,0,1300,8,1866
32785566,1563822,860787635,685358829,0,1300,8,1866
27354666,1296313,846133445,662780849,0,1300,8,1866
29390010,1331217,845709064,662460703,0,1300,8,1866
31985599,1456409,987369629,795924526,0,1300,8,1866
41917193,1902828,989123102,789259764,0,1300,8,1866
36967639,1716864,869772846,693977967,0,1300,8,1866
23431592,1779742,833543240,724859816,0,1300,8,1866
26416480,1467496,809732305,657506673,0,1300,8,1866
39540699,1802046,963463848,757046419,0,1300,8,1866
36388206,1687405,980769555,776643257,0,1300,8,1866
29344741,1369109,986909633,775672485,0,1300,8,1866
25524870,1197306,848328874,677603766,0,1300,8,1866
26038668,1224953,846839783,674277648,0,1300,8,1866
37698272,1719021,922403499,731953382,0,1300,8,1866
34783009,1570011,1002505383,794739505,0,1300,8,1866
11443661,1646654,855055062,796786819,0,1300,8,1866
11459804,615418,809058310,650908843,0,1300,8,1866
12857055,667745,952143404,755843712,0,1300,8,1866
9702376,527826,839535623,680499979,0,1300,8,1866
14304055,736228,988797054,799628078,0,1300,8,1866
10404887,635271,934114836,794036985,0,1300,8,1866
14373407,930592,886797209,718308496,0,1300,8,1866
15044961,775325,1009046662,801375890,0,1300,8,1866
7422288,428014,824513534,666022233,0,1300,8,1866
13560620,722546,962885067,776847608,0,1300,8,1866
13284256,708886,981889729,794293297,0,1300,8,1866
10837058,839703,952182621,795705858,0,1300,8,1866
10704172,568908,934351082,748484476,0,1300,8,1866
13366710,701899,891517616,716404829,0,1300,8,1866
9467337,519328,882425361,722605889,0,1300,8,1866
13625632,712506,1000304579,806595281,0,1300,8,1866
11139083,616965,905532843,756913196,0,1300,8,1866
17236105,1019751,920459868,793075296,4,1300,8,1866
25683983,1252984,927344848,747828486,0,1300,8,1866
21415489,1038180,854707372,693024227,2,1300,8,1866
16395851,844442,934315370,796555350,0,1300,8,1866
29376271,1401018,981202712,795178274,0,1300,8,1866
21562715,1171311,948765424,794807649,0,1300,8,1866
21157003,1069245,986584020,793925283,0,1300,8,1866
8286333,590196,775622497,659886384,0,1300,8,1866
5478150,361279,931379540,761440424,0,1300,8,1866
3029182,428102,972020068,793340043,0,1300,8,1866
2253425,360634,948377853,764294309,0,1300,8,1866
2342678,361063,974074043,805445009,0,1300,8,1866
506841,135348,903840780,741934627,0,1300,7,1866
700538,199742,887955995,723770508,0,1300,7,1866
322837,102255,923141324,769143434,0,1300,7,1866
611400,176009,984305638,807152948,0,1300,7,1866
377474,121956,963638920,806253845,0,1300,7,1866
6890586,1373317,883594223,803974524,0,1300,7,1866
3331272,437557,909193070,733946416,0,1300,7,1866
3089914,403196,994762481,799500674,0,1300,7,1866
2869597,373930,975424279,798275232,0,1300,7,1866
2995976,378578,989772288,806436528,0,1300,7,1866
4117382,513370,965813467,796120024,0,1300,7,1866
10233348,1399418,760119348,695535268,0,1300,7,1866
11848229,774960,982248869,798172540,0,1300,7,1866
10794937,687387,926547053,750368222,0,1300,7,1866
10912635,745430,944025266,787972498,0,1300,7,1866
12953370,862879,970257531,797183422,0,1300,7,1866
7452558,906275,866122010,749183154,0,1300,7,1866
1963682,224329,940892904,756172791,0,1300,7,1866
1867018,206929,972799926,784691609,0,1300,7,1866
1928391,215674,979452994,786830186,0,1300,7,1866
