llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
25767785,4803056,577539650,721493413,0,1300,1,1866
23449640,4797087,520799841,729251681,0,1300,2,1866
24247593,4950902,539084003,769768422,0,1300,3,1866
22173386,4573864,509224301,710064118,0,1300,4,1866
21320989,4321305,453842509,655957332,0,1300,6,1866
22252119,4582348,483388426,690922228,0,1300,6,1866
18954461,4005673,423425774,600391607,0,1300,7,1866
22673776,4689813,494578870,712882684,0,1300,7,1866
23010441,4751201,548824535,755063708,0,1300,8,1866
18630329,3893025,424772818,600219319,0,1300,9,1866
21856633,4535991,478956512,687886792,0,1300,9,1866
20464633,4287467,450873171,648057347,0,1300,9,1866
22444941,4632248,501213665,715991611,0,1300,9,1866
22772216,4682987,521655970,733003761,0,1300,10,1866
19972677,4133830,439866152,625011696,0,1300,10,1866
19431412,4045117,423624507,610341365,0,1300,10,1866
19858153,4206350,437299614,625209421,0,1300,10,1866
22208314,4540537,478439148,687218771,0,1300,11,1866
23646824,4822355,539954997,752067402,0,1300,11,1866
20125628,4143137,437659467,633714810,0,1300,11,1866
21887650,4533706,495601212,697785730,0,1300,11,1866
19394600,4071942,438861391,618813228,0,1300,11,1866
20328297,4194242,470450923,651203369,0,1300,11,1866
24481241,4934666,555748896,778094409,0,1300,11,1866
23099243,4714797,519075233,725064227,0,1300,11,1866
23456358,4826101,522273147,737239022,0,1300,11,1866
26523632,5182063,577627023,798453367,0,1300,11,1866
20067299,4153562,453803766,633294110,0,1300,11,1866
24301576,4956066,561657597,785883250,0,1300,11,1866
24563788,5004996,551666722,777506294,0,1300,11,1866
24141787,4913933,545993438,766405758,0,1300,11,1866
25877935,5235524,581482356,804875706,0,1300,11,1866
22508694,4606897,517906990,721267584,0,1300,11,1866
24169448,4936836,567313342,772750183,0,1300,11,1866
24837027,5119847,562357414,798784415,0,1300,11,1866
22424197,4623370,518352440,723913261,0,1300,11,1866
25151060,5097015,578687770,796927819,0,1300,11,1866
20760301,4287255,466592065,652796145,0,1300,11,1866
24737917,4977625,566581466,784662355,0,1300,11,1866
24029661,4924747,534923695,766901058,0,1300,11,1866
22143299,4559226,508174128,708396751,0,1300,11,1866
24731238,4951478,575046327,788941113,0,1300,11,1866
23791717,4827109,542084741,751828579,0,1300,11,1866
24242286,4909083,527994312,753437902,0,1300,11,1866
25576303,5196666,571909489,804567249,0,1300,11,1866
22582517,4583337,516897938,717412574,0,1300,11,1866
25250607,5072160,567087833,798736374,0,1300,11,1866
25372465,5198886,572868659,795751876,0,1300,11,1866
22661922,4598660,519259978,723317734,0,1300,11,1866
24601551,4974014,565568350,778178076,0,1300,11,1866
24146544,4939286,551850283,775500706,0,1300,11,1866
22046532,4553919,517019116,716040717,0,1300,11,1866
23104762,4719192,529993246,729161973,0,1300,11,1866
22097020,4514020,497270635,698563396,0,1300,11,1866
25390725,5043311,592498931,804630679,0,1300,11,1866
24687766,5032843,556964190,789325712,0,1300,11,1866
22435210,4638154,495907990,708303518,0,1300,11,1866
25560623,5096983,559592549,790568891,0,1300,11,1866
20528763,4267090,462122424,653402256,0,1300,11,1866
25517647,5120952,572345444,801308442,0,1300,11,1866
23475513,4789442,538149794,753128127,0,1300,11,1866
21881074,4481678,499020156,702811519,0,1300,11,1866
25670495,5263869,580496369,817653704,0,1300,11,1866
22239893,4588394,486653411,692194978,0,1300,11,1866
24100842,4953690,541473380,762488022,0,1300,11,1866
25585438,5128216,577511718,802795853,0,1300,11,1866
22110499,4580736,499785363,705950471,0,1300,11,1866
23381013,4826281,537518772,752295654,0,1300,11,1866
21205837,4394662,473251923,669317265,0,1300,11,1866
25132819,5062657,561124614,783364908,0,1300,11,1866
25001510,5048335,588636391,797317557,0,1300,11,1866
23858897,4836163,528710358,755062139,0,1300,11,1866
23495207,4827750,536594968,753818225,0,1300,11,1866
22373031,4595995,488961245,701801109,0,1300,11,1866
21627848,4425273,489974844,686046704,0,1300,11,1866
22734960,4640877,518136158,722766961,0,1300,11,1866
25109285,5094107,580988976,799906277,0,1300,11,1866
22943428,4710849,513843237,730816164,0,1300,11,1866
23285251,4752157,522116380,738438734,0,1300,11,1866
21856597,4502355,514013678,709251235,0,1300,11,1866
22868557,4656438,508217321,722889956,0,1300,11,1866
22426147,4595413,523730520,722049540,0,1300,11,1866
21413177,4420351,490419140,684166342,0,1300,11,1866
25066378,5058746,560232663,795958835,0,1300,11,1866
20846008,4345710,451060847,652603664,0,1300,11,1866
22688943,4638542,494109219,711786187,0,1300,11,1866
22503848,4646232,522504512,727228536,0,1300,11,1866
21643457,4493004,489669465,692304234,0,1300,11,1866
24947232,5162046,569943370,805868519,0,1300,11,1866
21254911,4399987,471620644,670754294,0,1300,11,1866
21085274,4378062,479616278,672580435,0,1300,11,1866
22943869,4678961,521715389,733267398,0,1300,11,1866
23015359,4662375,528825768,740762089,0,1300,11,1866
23684774,4843814,532928606,757630999,0,1300,11,1866
22962993,4660719,519796719,729110299,0,1300,11,1866
21038366,4332832,489017593,677454610,0,1300,11,1866
23958690,4909262,541164145,769866028,0,1300,11,1866
22154851,4578657,499836956,705713299,0,1300,11,1866
21704023,4528188,490731028,691378636,0,1300,11,1866
23044362,4753177,525458116,737834648,0,1300,11,1866
22129899,4528223,502131755,705657755,4,1300,11,1866
23015998,4727802,509778470,727695149,0,1300,11,1866
22674561,4665211,512456275,721359265,0,1300,11,1866
22017918,4581688,494256630,705137675,0,1300,11,1866
24415562,4973313,558547939,786450505,0,1300,11,1866
19356005,4065611,431639494,609974164,0,1300,11,1866
22798138,4599764,509890482,721964275,0,1300,11,1866
22374877,4557734,518278852,719100213,0,1300,11,1866
22448193,4698068,522774585,729532454,0,1300,11,1866
24502040,4995265,541279763,777107799,0,1300,11,1866
22464629,4592252,480222959,701569882,0,1300,11,1866
19636016,4118960,447040219,627348909,0,1300,11,1866
24692862,5064661,572285970,799703676,0,1300,11,1866
20385851,4228380,468282399,657598263,0,1300,11,1866
22608517,4611233,513783369,722202223,0,1300,11,1866
22096083,4570029,517302863,715863534,0,1300,11,1866
21906211,4496056,483710266,690912472,0,1300,11,1866
22978580,4749107,527800012,740989036,0,1300,11,1866
22324837,4617492,500780416,711476915,0,1300,11,1866
22645848,4623157,512020575,721009964,0,1300,11,1866
23984016,4797372,533460456,751766699,0,1300,11,1866
20349233,4157081,460082130,642661602,0,1300,11,1866
22584481,4669803,515304417,725964120,0,1300,11,1866
21026794,4377320,494106044,685889106,0,1300,11,1866
22783016,4655668,505691952,719707987,0,1300,11,1866
24904287,5080036,569236645,800895611,0,1300,11,1866
20497593,4276773,467427139,655231218,0,1300,11,1866
23572395,4715597,547587487,750074787,0,1300,11,1866
21847230,4512981,492767397,693829601,0,1300,11,1866
23113264,4711684,511867249,729797392,0,1300,11,1866
23908892,4894958,547989008,768027835,0,1300,11,1866
22521077,4652452,498021308,712283262,0,1300,11,1866
22420677,4602381,498152886,704194943,0,1300,11,1866
24298005,4955496,556631158,780069734,0,1300,11,1866
21232706,4365897,487592273,683657777,0,1300,11,1866
24116841,4827441,537075177,746587422,4,1300,11,1866
22180205,4594306,512954248,716002756,0,1300,11,1866
22652390,4692241,502449224,719906248,5,1300,11,1866
22531627,4619328,503446849,717227018,0,1300,11,1866
22034451,4533567,488405357,699967488,0,1300,11,1866
25168540,5086828,567674692,791290565,0,1300,11,1866
23055300,4741669,521476383,740422835,0,1300,11,1866
21715693,4478510,489772670,687778053,0,1300,11,1866
21723239,4526186,503601326,700941096,0,1300,11,1866
22557736,4625827,507303146,716145598,0,1300,11,1866
24683527,5007254,566279113,781135871,0,1300,11,1866
24469505,5024078,552660352,787288804,0,1300,11,1866
20825569,4379461,468377858,669126301,0,1300,11,1866
23265627,4744640,514938937,730525737,0,1300,11,1866
24152768,4933796,552922223,772006883,0,1300,11,1866
23674082,4849593,527497005,743871994,0,1300,11,1866
24312527,4944424,540554444,760139847,0,1300,11,1866
22342339,4661345,518932990,723685681,0,1300,11,1866
20795592,4325336,479710393,667801504,0,1300,11,1866
23225632,4781156,521988474,741284821,0,1300,11,1866
22422483,4575746,497293424,709210909,0,1300,11,1866
25065802,5098271,561525420,784810364,0,1300,11,1866
22182566,4591061,494726987,707762978,0,1300,11,1866
20994924,4370647,475061726,670414958,0,1300,11,1866
22411827,4620739,504843798,712849351,0,1300,11,1866
22445541,4630486,505734847,715393787,0,1300,11,1866
25340496,5164440,570758765,795156433,0,1300,11,1866
23538736,4787389,557875797,767951709,0,1300,11,1866
20070652,4150426,449534568,636797827,0,1300,11,1866
22978266,4715355,514939520,730536800,0,1300,11,1866
21653489,4488540,480902262,689500050,0,1300,11,1866
24823935,5048004,569668218,781033218,0,1300,11,1866
24671163,4963702,563859251,787282858,0,1300,11,1866
22039829,4554275,513042198,707808397,0,1300,11,1866
22804845,4705776,526116678,732529821,0,1300,11,1866
23954659,4844041,539007639,759011996,0,1300,11,1866
22999259,4696749,530194905,732158120,0,1300,10,1866
24578343,4949494,561166639,779054622,0,1300,9,1866
23590305,4783543,528855221,739687824,0,1300,8,1866
30785517,4972983,655933688,805280766,0,1300,8,1866
