llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
8961670,2030713,717009147,710370554,0,1300,0,1866
16184159,3880262,603320612,794747528,0,1300,1,1866
24020576,3887543,559500804,800965146,4,1300,1,1866
83465936,2454459,689783076,807952777,0,1300,1,1866
17334657,5694815,232952654,800281081,4,1300,1,1866
17886316,5830843,233959218,799571077,0,1300,1,1866
18075077,6070527,254140422,808284173,0,1300,2,1866
21232590,6631099,309974328,801642389,0,1300,2,1866
18490291,5927951,279523719,796105072,0,1300,2,1866
17592114,5697804,285839829,799829959,0,1300,2,1866
19483621,5515314,326477405,799849184,0,1300,2,1866
23032106,5969052,353408214,800372560,0,1300,2,1866
19123214,5616395,284529755,799651444,0,1300,2,1866
19917710,4694557,347901245,799957419,0,1300,3,1866
27640861,4776780,436066285,807855831,0,1300,3,1866
23722288,5182725,392065229,800535401,0,1300,3,1866
17551601,6036352,231554890,799562526,0,1300,3,1866
17767408,6150900,251151703,799217258,0,1300,3,1866
20306103,6437245,280564325,799559795,0,1300,3,1866
21182778,6383637,316338794,799795856,0,1300,3,1866
21825777,6196659,361697008,800119437,0,1300,3,1866
19440142,5476766,295665216,799638870,0,1300,3,1866
21128178,5738157,321102765,799273973,0,1300,3,1866
18319429,5151385,261576296,741657650,0,1300,3,1866
20316727,6068835,300210336,800625144,0,1300,3,1866
18500067,6116691,253818437,798979023,0,1300,3,1866
17616548,5878547,241028926,806997942,0,1300,3,1866
17876924,5823496,263047461,808142688,0,1300,3,1866
20564405,6311301,318041304,808178790,0,1300,3,1866
20777191,5650073,307410693,797362146,0,1300,3,1866
22335987,6178775,341398529,808835712,0,1300,3,1866
19567528,5689881,287584758,807354825,0,1300,3,1866
23379161,4698055,386245021,808225221,0,1300,3,1866
17610698,5960307,255438665,808692009,0,1300,3,1866
18061365,5858400,256501219,799280955,0,1300,3,1866
19161031,5853819,264456477,800539529,0,1300,3,1866
22323422,5792688,332391726,800662180,0,1300,3,1866
18769968,5433783,276465633,800845719,0,1300,3,1866
18686764,5201072,285779756,799674892,0,1300,3,1866
18251183,5980602,257060028,799637766,0,1300,3,1866
19958610,6267405,292944209,807510969,0,1300,3,1866
19009306,6195425,254341597,800057438,0,1300,3,1866
18344374,5835040,259470704,807550746,0,1300,3,1866
19744540,5883969,281089148,799904850,0,1300,3,1866
21063560,6310535,300074549,806704059,0,1300,4,1866
18882475,5788564,287862593,800062261,0,1300,4,1866
20896570,6473165,289189479,807142592,0,1300,4,1866
19231926,6408252,255575073,807629768,0,1300,4,1866
17859821,5874376,254854530,806936185,0,1300,4,1866
15658144,5399002,221669086,799522025,4,1300,4,1866
17678616,5553308,252058031,799491594,0,1300,4,1866
19644304,6392328,273942476,800454443,4,1300,4,1866
22636521,5722492,351955232,799496039,0,1300,4,1866
18400098,5871437,242946057,800091695,0,1300,4,1866
21370403,5631186,327898151,799955482,0,1300,4,1866
22210517,5968441,339469037,807346669,0,1300,4,1866
25422598,5959792,391395813,808041231,0,1300,4,1866
20599084,6413274,281342609,808665425,0,1300,4,1866
19684232,6225721,270127841,797123025,0,1300,4,1866
18279979,5712557,263292248,807019243,0,1300,4,1866
18008858,6053673,239976247,799504287,0,1300,4,1866
20483992,5707884,303519947,807601713,0,1300,4,1866
18614468,5799778,268922366,799527455,0,1300,4,1866
20011672,6243845,292477752,807982308,0,1300,4,1866
20194818,6461813,284709863,799791774,0,1300,4,1866
20112402,6241918,283432771,808105293,0,1300,4,1866
19489851,5938195,265689758,807645105,0,1300,4,1866
22451114,6041296,325407021,803321974,0,1300,4,1866
20877112,6231867,299305855,807278204,0,1300,4,1866
23207847,6213432,350218880,800385898,0,1300,4,1866
24201977,6050261,370201723,807638585,0,1300,4,1866
21244459,6458720,311698420,800519709,0,1300,4,1866
23353246,6749510,341508419,808029695,0,1300,4,1866
21137734,5726350,312892083,800021411,0,1300,4,1866
19409680,5568530,280146295,799546663,0,1300,4,1866
20791371,5838175,290025772,808106890,0,1300,4,1866
18883172,5872214,256860004,799939199,0,1300,4,1866
17132134,5690139,230175755,807800311,0,1300,4,1866
17817648,5714668,246028119,799445465,0,1300,4,1866
20407413,6392412,299677357,808039593,0,1300,4,1866
18805105,6046173,273891820,799730379,0,1300,4,1866
18289338,5902045,255213429,799624395,0,1300,4,1866
16812782,5999282,217965408,799421327,0,1300,4,1866
17439850,5920895,253741417,800431817,0,1300,4,1866
19031423,5759829,291889412,799315734,0,1300,4,1866
17575383,5966173,243598053,800412817,0,1300,4,1866
18948284,6079508,270092503,799903220,0,1300,4,1866
20712147,5647560,321324017,800002387,0,1300,4,1866
22753577,5267636,346929540,799842970,0,1300,4,1866
20080355,5474204,288713662,809019003,0,1300,4,1866
19071633,5262613,295514475,799700170,0,1300,4,1866
19530632,5334650,302585265,800247488,0,1300,4,1866
20667187,5662292,297587205,802891984,0,1300,4,1866
20548929,6348452,302367976,800987933,0,1300,4,1866
18736455,5960734,273939987,808144620,0,1300,4,1866
16673195,5907474,216614040,807739881,0,1300,4,1866
15722663,5468356,221796395,804681661,0,1300,4,1866
17367995,5728151,250273894,799565322,0,1300,4,1866
20680483,6501611,290593592,800073497,2,1300,4,1866
23846205,6869391,349812058,807915772,0,1300,4,1866
22363596,6655229,342947020,800130028,0,1300,4,1866
