llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
10142659,1987609,154226398,347854352,0,1300,0,1866
18830649,3910184,290041578,646874485,0,1300,2,1866
17284221,3701235,273550781,606115139,0,1300,2,1866
17913618,3729988,323392765,647531853,0,1300,3,1866
17050451,3919468,286586250,628251111,0,1300,4,1866
16965854,4117341,247414892,589969528,0,1300,4,1866
18722752,4212992,245143611,634424773,0,1300,5,1866
22377558,3901232,453178485,778343150,0,1300,5,1866
19884578,4214494,328430820,701852836,0,1300,5,1866
17467675,3962048,301618880,644215946,0,1300,5,1866
17718787,4302411,258240035,621565035,0,1300,6,1866
17313564,4184252,266554186,619877346,0,1300,6,1866
17257702,4320575,244814674,599118975,0,1300,6,1866
17244218,4150478,255053961,607537500,0,1300,6,1866
17157790,4045241,287529630,642046292,0,1300,7,1866
16610505,3957483,243405518,592784154,0,1300,7,1866
20342947,4251692,221974122,638557023,0,1300,7,1866
22835092,5096464,307900546,796717170,0,1300,7,1866
22574276,4986478,274063794,746181321,0,1300,7,1866
17305097,4081015,276567325,657580251,0,1300,7,1866
20603371,4192098,323154642,727459782,4,1300,7,1866
19194262,4361636,349746813,740630530,0,1300,7,1866
21240765,3679662,445041339,767361371,4,1300,7,1866
21691291,4121055,408714407,778000821,0,1300,7,1866
18416826,4020338,306331700,688319943,0,1300,7,1866
20606273,3443185,369685066,686315684,0,1300,7,1866
21140655,4282404,413852410,797416275,0,1300,7,1866
20349226,3878866,370233613,717106921,0,1300,7,1866
22629025,4392890,393682812,788368430,0,1300,7,1866
20113102,4209844,347940994,729284832,0,1300,7,1866
19477822,3692695,320626551,668615123,0,1300,7,1866
23084731,4274844,396943915,783392294,0,1300,7,1866
20460492,3810408,389159020,722644024,0,1300,7,1866
23158931,4562512,372177923,802700102,0,1300,7,1866
22815137,4050537,334993209,742772988,0,1300,7,1866
22796849,3607943,394831645,723670811,0,1300,7,1866
19343806,4263088,425919494,760802408,0,1300,7,1866
20720020,4223287,341346885,722923339,0,1300,7,1866
21718594,4264100,400859477,794485104,0,1300,7,1866
22796171,4579306,379886759,788584941,0,1300,7,1866
20900493,4001640,368080444,734038922,0,1300,7,1866
19348467,4008576,374810509,728782298,0,1300,7,1866
20649344,4254588,348776645,727051703,0,1300,7,1866
20218226,4334446,405795196,778979571,0,1300,7,1866
21752517,4460501,385485455,775540960,0,1300,7,1866
19825919,3834949,390054850,720848601,0,1300,7,1866
22520410,3186923,396007708,715827527,0,1300,7,1866
23799357,4246865,368479127,786359657,0,1300,7,1866
21080474,4491417,316022902,720775774,0,1300,7,1866
20311356,4556667,364371623,783496263,0,1300,7,1866
20253243,4532038,285093613,689221013,0,1300,7,1866
20133879,4287064,350939879,728962445,0,1300,7,1866
21678581,4544929,346547533,768197774,0,1300,7,1866
22204844,3361584,397683344,711334155,0,1300,7,1866
25998462,4290374,345744250,792078118,0,1300,7,1866
26187806,3690728,309762671,747568059,0,1300,7,1866
20796652,4218482,371272688,750213145,0,1300,7,1866
18867299,4209931,400500537,789027240,0,1300,7,1866
7680714,2225868,465174006,613131914,0,1300,7,1866
12081073,2416334,570961460,699339586,0,1300,7,1866
21882250,4644579,340291923,758487415,0,1300,7,1866
19606021,5102200,293108101,770587321,0,1300,7,1866
17872998,4086240,484257055,784496371,0,1300,7,1866
26892522,4484599,299231227,746807652,0,1300,7,1866
24503730,3384235,477020244,731774196,0,1300,7,1866
18483670,4552396,414713217,776047741,0,1300,7,1866
19495767,4381963,336591156,759370505,0,1300,7,1866
21287814,4555700,355026304,796215966,0,1300,7,1866
21213232,3939823,384689620,771390679,0,1300,7,1866
20856975,4235512,325860858,706059897,0,1300,7,1866
28043297,3834176,385576318,782443596,0,1300,7,1866
19883742,4712007,336189329,788703854,0,1300,7,1866
23607519,4365015,310579119,735844849,0,1300,7,1866
25257964,3905712,462409231,797760437,0,1300,7,1866
14487613,4112173,434265878,715368132,0,1300,7,1866
21572258,4729113,419098719,795430983,0,1300,7,1866
17958290,3549975,482907585,703104696,0,1300,7,1866
20302347,3760371,667843731,789894853,0,1300,7,1866
15560761,3415620,577664651,712982245,0,1300,7,1866
22369683,3605416,484955045,721438903,0,1300,7,1866
19026578,4082219,581458009,789354419,0,1300,7,1866
21707316,4645019,350323889,787775873,0,1300,7,1866
19392713,3969907,316972451,681854856,0,1300,7,1866
17639581,3720928,345052818,673640971,0,1300,7,1866
13954761,2938233,320054635,562221534,0,1300,7,1866
9085708,2522254,450726373,652055704,0,1300,7,1866
9367499,2220252,711155722,707525893,0,1300,7,1866
19568585,4214549,369689556,734638104,0,1300,7,1866
19089579,4048408,418976071,747472561,0,1300,7,1866
19612918,3632429,606546460,790699328,0,1300,7,1866
17169016,3618343,599457376,719238858,0,1300,7,1866
21167583,3943736,504550093,776930898,0,1300,7,1866
20806239,4721743,377520991,778871775,0,1300,7,1866
23289347,4361260,266483763,712954296,0,1300,7,1866
19593742,4575539,296919902,787373599,0,1300,7,1866
27012816,3020039,425334514,720126667,0,1300,7,1866
17409707,3997785,544125470,794035610,4,1300,7,1866
22651587,3355840,543081341,795419988,0,1300,7,1866
23245431,2789099,406486200,682303806,4,1300,7,1866
27258582,3907732,409631437,806878388,0,1300,7,1866
23828178,3501376,350709861,710083997,0,1300,7,1866
22628856,3309810,314050542,734750383,0,1300,7,1866
23092701,4419365,362928808,795301048,1,1300,7,1866
20623673,3505836,363135788,653574771,0,1300,7,1866
20787208,4879201,401276226,795540715,0,1300,7,1866
19726344,4889589,392872182,784609297,0,1300,7,1866
18619263,4422316,422763999,743462817,0,1300,7,1866
21234257,4594015,375892301,802837687,0,1300,7,1866
17585754,3384626,298509734,605535763,0,1300,7,1866
18661666,4069245,302195027,656328426,0,1300,7,1866
18331541,4128189,262024805,650452794,0,1300,7,1866
19095899,3910101,340577739,709968235,0,1300,7,1866
16080917,3768282,231412700,568253449,0,1300,7,1866
19380041,3573785,357759254,705388662,0,1300,7,1866
21071429,3487180,306688099,641074100,0,1300,7,1866
24854544,4239151,360183130,800675396,0,1300,7,1866
15558038,3738955,264822397,589337305,0,1300,7,1866
14054328,3487655,198682827,498643398,0,1300,7,1866
18677130,4083745,267390506,685441328,0,1300,7,1866
16015427,3678680,344170534,684527328,0,1300,7,1866
16501603,3727043,324999377,662309962,0,1300,7,1866
13186954,3342722,221121716,519714224,0,1300,7,1866
10036685,2593668,161038381,390453242,0,1300,7,1866
13928963,3456705,204074471,511195765,0,1300,7,1866
19110453,3829284,308761599,664045856,0,1300,7,1866
13596329,3262418,253567174,535021094,0,1300,7,1866
14306982,3428147,370160374,638773474,0,1300,7,1866
14804891,3638699,245907044,551988261,0,1300,7,1866
21857201,4481157,356757843,777792596,0,1300,7,1866
14514608,3440724,191031929,497472523,0,1300,7,1866
13657568,3559430,240233882,535557345,0,1300,7,1866
13514745,3521487,277656903,561892465,0,1300,7,1866
17668279,4196926,292323742,688563524,0,1300,7,1866
14206451,3695716,255562955,570275888,0,1300,7,1866
17314595,3743341,309773851,633054529,0,1300,7,1866
13346600,3256628,231118446,503360527,0,1300,7,1866
21671102,5526613,292926802,801840530,0,1300,7,1866
16525100,4687742,262024012,716673231,0,1300,7,1866
20006797,4673575,353135592,803307532,0,1300,7,1866
23371913,4441536,352078635,776009112,4,1300,7,1866
21167424,3402250,363466114,674935836,0,1300,7,1866
18951030,4381800,358328188,732532202,0,1300,7,1866
15778510,4217264,340304616,671087963,0,1300,7,1866
18972903,4799379,245376389,681373340,0,1300,7,1866
21708880,4797464,234704173,695285375,0,1300,7,1866
18748597,3832551,239805542,594476969,0,1300,7,1866
13738523,3238938,303198975,574671486,0,1300,7,1866
15396529,3446307,251452307,548261737,0,1300,7,1866
16689930,4092554,216088401,581946566,0,1300,7,1866
21095880,5054270,293626072,732758448,0,1300,7,1866
16390401,3979649,173177662,521245952,0,1300,7,1866
22094042,3845930,248746232,623306701,0,1300,7,1866
27035706,4313688,318803928,761509319,0,1300,7,1866
20684598,5138391,232354620,705226964,0,1300,7,1866
25187012,5011986,258539018,766338066,0,1300,7,1866
20499760,3880355,244269313,675060995,0,1300,7,1866
18242294,3817480,246647671,653138556,0,1300,7,1866
25365714,4846462,307392567,790191577,0,1300,7,1866
19911441,4427224,317017061,709568948,0,1300,7,1866
21389693,4752099,347609351,756090947,0,1300,7,1866
21668608,4595064,264787492,702415191,0,1300,7,1866
17800404,3985316,181602339,545643512,0,1300,7,1866
22471318,4615115,250124752,678270399,0,1300,7,1866
10183725,2918570,169678340,410077659,0,1300,7,1866
12724083,3676738,211204483,505156653,0,1300,7,1866
15362001,4066978,261674127,615120952,0,1300,7,1866
10927001,2836626,187547148,433474295,0,1300,7,1866
10847059,2943508,186798962,429717665,0,1300,7,1866
12105883,3435647,220194389,499024803,0,1300,7,1866
15625034,4085189,244456544,605800705,0,1300,6,1866
22869116,4823128,282857523,749993125,0,1300,5,1866
25507280,3888500,337114938,734637771,0,1300,5,1866
14497831,2591869,260031287,497014141,0,1300,4,1866
17832092,2684901,303664175,579870256,0,1300,4,1866
16776925,2571594,292429589,542644901,0,1300,4,1866
18618027,2902926,336020829,619730609,0,1300,4,1866
22799675,3608821,439448601,789928185,0,1300,4,1866
18360745,4041814,495049535,797205919,0,1300,4,1866
22005544,3932504,501072302,766974704,4,1300,4,1866
30889170,2908185,694957986,808921559,0,1300,4,1866
18629391,4347572,527886245,800135947,4,1300,3,1866
23166925,3611303,457416230,793561178,0,1300,3,1866
24438626,3888497,444164759,801043128,0,1300,3,1866
21830307,4284836,395034386,780017574,0,1300,3,1866
20879378,3647985,327126694,677865500,0,1300,3,1866
25325679,3503691,462915501,797187049,0,1300,3,1866
24027247,3508962,417483822,772178489,0,1300,3,1866
21903901,2991356,356521304,674571077,0,1300,2,1866
25717151,3971616,358436165,795819807,0,1300,2,1866
23594550,3609986,435102920,782042483,0,1300,2,1866
28377281,2788034,476416222,792754209,0,1300,2,1866
28698868,2182454,559438294,799311075,0,1300,2,1866
14541377,2105819,411458890,597431094,0,1300,2,1866
18008705,2954346,463695118,701949047,0,1300,2,1866
19806627,2566103,512423396,759246383,0,1300,2,1866
19817005,3189583,403442444,646049666,0,1300,2,1866
8853053,2395855,503069529,632883243,0,1300,2,1866
19385598,3440100,437081654,732416875,0,1300,2,1866
19974005,3700252,302394625,691018544,0,1300,2,1866
27584677,3995682,434212763,808724760,0,1300,2,1866
25297981,3786573,470186945,797883245,0,1300,2,1866
23518939,3468122,560289972,798898015,0,1300,2,1866
26886215,3440326,520299580,796173372,0,1300,2,1866
27330009,3847687,421692335,794847719,0,1300,2,1866
16800707,2475065,279962221,533409900,0,1300,2,1866
29246286,3902253,327991744,742842672,0,1300,2,1866
26772334,3857609,409204295,790257466,0,1300,2,1866
23168343,3099325,443084067,719314487,0,1300,2,1866
24806163,3041756,783893875,808801464,0,1300,2,1866
27662946,3156042,539596032,798883549,0,1300,2,1866
29244297,3933693,397687998,802007928,0,1300,2,1866
29772248,4192259,371099953,803630194,0,1300,2,1866
30251852,4557901,338324240,802663026,0,1300,2,1866
34369875,4102193,312357713,806848733,0,1300,2,1866
33214436,3556120,352848210,803533584,0,1300,2,1866
26791642,3919377,478330747,804721118,0,1300,2,1866
26678295,3710216,471546967,785625735,0,1300,2,1866
25938982,3674961,429856760,796156005,35,1300,2,1866
31807205,3620136,469314778,808469988,0,1300,3,1866
22152252,4313608,560755280,807035833,0,1300,3,1866
25701987,3176928,498583238,797844765,5,1300,3,1866
29929759,2686478,722792261,808467633,0,1300,3,1866
28013793,4271471,470326396,763980666,0,1300,3,1866
34773397,2880446,421898121,807472297,0,1300,3,1866
40021570,2594495,398745038,797108690,0,1300,3,1866
37093519,2908534,400699986,807390802,4,1300,3,1866
44173714,2820786,348456075,805314163,0,1300,3,1866
42298415,2795720,368474700,808602091,4,1300,3,1866
35182687,2814105,534404630,806590246,0,1300,2,1866
37785279,2410719,513828646,809390709,0,1300,2,1866
42740491,2742709,363653701,801126958,0,1300,2,1866
46191235,2487924,364102542,807754800,0,1300,3,1866
40833176,2652213,401403328,808994408,0,1300,3,1866
40073061,2884083,414750053,803373671,0,1300,3,1866
34491009,2898272,541386210,808372972,0,1300,3,1866
