llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
27059076,4954318,588449337,746429247,0,1300,0,1866
29084372,5465093,597878247,795838466,0,1300,2,1866
29282416,5430202,601014528,798396482,0,1300,2,1866
27770130,5334415,582908546,767959157,0,1300,3,1866
29197180,5482347,575294092,787499652,0,1300,4,1866
28907204,5500858,603932935,794504913,0,1300,4,1866
29377834,5653356,589740446,803081599,0,1300,5,1866
28260979,5357886,614122036,792841493,0,1300,5,1866
28175981,5397656,594091649,788134813,0,1300,5,1866
28507843,5446376,572335822,772393108,0,1300,5,1866
28583479,5461252,596342929,795927622,0,1300,6,1866
28499279,5427704,599227848,792785431,0,1300,6,1866
28917900,5466668,582959637,784777574,0,1300,6,1866
28991740,5543181,602879940,802666630,0,1300,6,1866
27402273,5231813,553096322,747110118,0,1300,7,1866
28934118,5482474,599565924,792271263,0,1300,7,1866
28576719,5472069,580329180,782995338,0,1300,7,1866
27908893,5445681,587239552,781308225,0,1300,7,1866
28400380,5533401,596554639,799347976,0,1300,7,1866
27603444,5332987,575813704,766652656,0,1300,7,1866
27784043,5338526,583726144,772966324,4,1300,7,1866
28449936,5459674,584137181,780495240,0,1300,7,1866
28186908,5304129,569743516,765101793,4,1300,7,1866
28672087,5422027,600906212,793113361,0,1300,7,1866
28486682,5456537,593251688,790551973,0,1300,7,1866
27530635,5257325,580856861,756414514,0,1300,7,1866
28090857,5369469,568216994,767473351,0,1300,7,1866
28550280,5477579,596600005,789161936,0,1300,7,1866
27863934,5304964,598884413,782277386,0,1300,7,1866
27019186,5206109,576764322,755366604,0,1300,7,1866
28254259,5347781,600950925,781979882,0,1300,7,1866
28716404,5474892,598972131,791660318,0,1300,7,1866
27736107,5278678,585425340,770071048,0,1300,7,1866
28134634,5403465,584627695,781281169,0,1300,7,1866
28489253,5424512,584752728,781188087,0,1300,7,1866
25998646,4997361,550840374,721046762,0,1300,7,1866
28122196,5369102,600556144,789428199,0,1300,7,1866
28235097,5449123,595699209,788545504,0,1300,7,1866
28022935,5357012,562986038,763218665,0,1300,7,1866
28605926,5511839,589663207,791943413,0,1300,7,1866
23787547,4620036,491576380,656701696,0,1300,7,1866
28625623,5429630,591324125,789016105,0,1300,7,1866
28475499,5479191,596783932,796579405,0,1300,7,1866
28156822,5390563,599049761,787931150,0,1300,7,1866
27158543,5304090,561782451,753871741,0,1300,7,1866
27578723,5293011,579010303,767284812,0,1300,7,1866
26751131,5085261,571619562,738594455,0,1300,7,1866
27914915,5326176,599962721,783697539,0,1300,7,1866
28525422,5555646,579696788,785998281,0,1300,7,1866
27922475,5422117,597792359,786380670,0,1300,7,1866
27098313,5177784,565062842,756029506,0,1300,7,1866
25997249,4974608,524801775,709548114,0,1300,7,1866
28356020,5451840,572318368,779666932,0,1300,7,1866
28926970,5400089,598254293,790348505,0,1300,7,1866
28263149,5419364,594869930,787172235,0,1300,7,1866
25472535,4887288,536096474,702426242,0,1300,7,1866
24754093,4836951,505864323,678444874,0,1300,7,1866
27510772,5263941,563991085,754748265,0,1300,7,1866
29248266,5307551,609579934,785331640,0,1300,7,1866
28358358,5048697,584970519,759745005,0,1300,7,1866
28960108,5581369,596808241,801260594,0,1300,7,1866
22848761,4598151,484376641,642411872,4,1300,7,1866
25478871,4886469,521780404,688114063,0,1300,7,1866
28182742,5401930,585870932,782545316,0,1300,7,1866
27471308,5154059,591942821,765387261,0,1300,7,1866
28384129,5461272,584102893,788508699,0,1300,7,1866
24360786,4813876,507350429,670096575,0,1300,7,1866
25111179,4896044,504137308,682075340,0,1300,7,1866
29153706,5518471,587506621,790437282,0,1300,7,1866
26705763,5156280,574115696,749531643,0,1300,7,1866
