llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
27127074,5760292,254873517,426360674,0,1300,1,1866
45570818,10206047,425262859,792544599,0,1300,1,1866
45843515,10293597,426326459,794582004,0,1300,3,1866
48781279,10443834,457094230,802130796,0,1300,3,1866
50214946,10452544,471019582,807791075,0,1300,4,1866
49924598,10508681,467240006,794717310,0,1300,5,1866
44608511,9266439,418497736,721184563,0,1300,5,1866
46997631,9795044,438796837,743035961,0,1300,5,1866
49240772,9899710,464327979,788364704,0,1300,6,1866
46148476,9723031,430403203,727240112,0,1300,6,1866
46380751,9691416,432878498,741366748,0,1300,6,1866
49683604,10491860,464133682,808117859,0,1300,6,1866
37680264,7879293,352452965,593204555,0,1300,6,1866
42941174,9127557,400336862,698318534,0,1300,6,1866
46087827,10304908,429298345,798969912,0,1300,6,1866
41283316,9227517,385639585,735048803,0,1300,7,1866
40127115,9157557,375192194,736130247,0,1300,7,1866
43172769,9815205,404078918,790257751,0,1211,8,1866
43779162,9760197,410723162,794104852,0,1211,8,1866
43973349,9961064,412283990,806466161,2,1211,8,1866
42855910,9865459,399208201,794040000,0,1211,8,1866
42943085,9908818,402536265,800701369,0,1211,9,1866
41002246,9179479,382938755,734220955,0,1211,9,1866
41100460,9520926,384431276,774737615,6,1211,9,1866
41509390,9358656,386687417,745104587,0,1122,9,1866
42728465,9681357,397154587,766425907,0,1122,9,1866
42014374,9443577,393230891,765017696,1,1032,9,1866
34797800,7991210,325064674,625140840,0,1032,10,1866
46876427,10201948,436958024,799056107,0,943,10,1866
42506940,9680372,396800198,778099293,1,943,10,1866
43907134,9942173,411125789,795338415,3,943,10,1866
36333288,8450058,341396360,700207415,0,943,10,1866
44703268,9957956,417363797,783355367,0,943,10,1866
39532398,8904408,368797016,709160711,0,943,10,1866
43479297,9919133,406749363,792908757,4,943,10,1866
43208292,9748052,406285673,800823107,5,943,10,1866
40957228,9454171,383842383,759197482,3,943,10,1866
41633261,9520736,390442354,779109584,0,943,10,1866
41091285,9401252,382973403,741361830,0,943,10,1866
40772490,9354998,382095899,754046033,0,943,10,1866
45247982,10190734,421029501,795618987,5,943,10,1866
41106919,9608264,385752536,782514130,0,943,10,1866
42748229,9692990,400715770,780340857,2,943,10,1866
43181608,9793611,404770981,792690392,27,943,10,1866
38438712,9289549,364461004,783219704,0,854,10,1866
40334826,9571013,381386356,794554214,0,854,10,1866
37226983,8889884,350772446,733046318,0,765,10,1866
43030517,9845100,405431703,796024394,0,675,11,1866
35095714,8531946,334303772,727389121,0,675,11,1866
40296415,9556932,383583811,796858482,0,586,11,1866
37868015,8760460,359027173,725005844,0,586,11,1866
43231440,9735290,407069509,783615910,0,497,11,1866
34633799,8085254,326697793,659167264,0,497,11,1866
42932397,9734232,406712527,806022459,7,408,11,1866
35738827,8293131,337038720,679948002,18,408,11,1866
43177027,9679009,407337899,801140283,7,408,11,1866
40170685,9315918,378780372,769816672,9,408,11,1866
40920494,9546234,384029609,775102117,0,408,11,1866
41428992,9628719,390121131,790101832,0,408,11,1866
41707448,9588419,391032726,767260599,0,408,11,1866
41593242,9597790,390291705,786089249,0,318,11,1866
47278544,10210587,441723801,795804489,0,318,10,1866
47208433,10229553,441358652,804721721,0,318,10,1866
46496327,9893069,436887874,806389197,0,318,10,1866
48263438,10491874,450647317,806953958,0,318,10,1866
43057215,9708829,402040298,775767008,0,318,10,1866
48650381,10270010,455971191,804300234,0,229,10,1866
