llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
6701542,1628471,661841602,660879274,0,1300,0,1866
13692858,3463369,438480933,614009234,0,1300,1,1866
12104008,3722193,439389251,787697404,0,1300,2,1866
46955665,2767993,628624857,763951125,0,1300,2,1866
57799660,3878790,466811754,784153747,0,1300,2,1866
17153574,5679487,225695452,798504421,0,1300,2,1866
17916153,5790949,243630129,808651818,0,1300,3,1866
18193706,6238081,255771970,806079553,0,1300,3,1866
21115004,6526649,318082683,807099330,0,1300,3,1866
17950710,5870022,273965894,792549870,0,1300,3,1866
17256099,5704381,287957302,800600506,0,1300,3,1866
20331081,5652289,338926455,799930761,4,1300,3,1866
21824579,5827585,334302790,800401727,0,1300,3,1866
19210335,5498525,297302900,799977207,0,1300,3,1866
20171537,4814598,365416810,807291386,0,1300,3,1866
24938183,5256566,374028582,802442823,0,1300,4,1866
21041188,5805539,330698783,787201204,0,1300,4,1866
16518645,5961045,219627098,794747570,0,1211,4,1866
13597331,4938133,192660371,670370051,0,1211,5,1866
18121131,6268457,255139032,742850281,0,1211,5,1866
16077543,5892896,213547883,746569117,0,1211,5,1866
20321566,6663223,323994784,801778239,0,1211,5,1866
18319484,6107614,301873136,777916241,0,1211,5,1866
18341556,5948695,274096825,825357437,0,1211,5,1866
16893291,5602155,250394748,743010140,2,1211,6,1866
17650191,5582535,253934169,754564132,0,1211,6,1866
18588452,6166995,270548178,800085642,0,1211,6,1866
16024377,5655734,221731127,755777576,0,1211,6,1866
16389880,5981345,221404839,791772592,0,1211,6,1866
15278094,5506093,207941895,745487752,0,1211,6,1866
17935941,6042314,272050441,791074273,0,1211,6,1866
17072633,5752586,261370454,759260078,0,1211,6,1866
18519862,5713911,266626125,780570199,0,1211,6,1866
19677616,6057207,308405456,792007925,0,1211,6,1866
17014110,5309496,237499515,724721956,0,1211,6,1866
17218060,5045952,285476479,746018059,0,1211,6,1866
21137060,5059163,330022873,806449348,0,1122,6,1866
16960144,5860585,251237243,800429198,0,1122,6,1866
16778890,5893988,220223136,807967458,0,1122,6,1866
21687809,6048669,311033501,795793650,0,1122,6,1866
20172198,6162355,287526001,808046526,0,1122,5,1866
16824321,5348772,263038962,799910681,0,1122,5,1866
18414093,5678796,257340715,808003782,0,1122,5,1866
17087722,5905326,242835166,798946781,0,1122,5,1866
19373999,6278998,285729247,800091150,0,1122,5,1866
18292121,6206201,247293604,798851862,0,1122,5,1866
17453000,5776175,242682930,795934075,0,1122,5,1866
20617031,5868009,301784221,803134344,0,1122,5,1866
17621052,6015291,238818575,787951362,0,1122,5,1866
18933961,5979458,275589212,802674256,0,1122,5,1866
21110548,6615282,317311652,804860160,0,1122,5,1866
18325198,6179696,242940893,797338941,0,1122,5,1866
