llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4929412,1022405,585833668,591749112,0,1300,0,1866
15837912,3975634,612640067,774516009,0,1300,0,1866
11957107,3677625,408214071,760097348,0,1300,1,1866
57777474,2740952,650485492,773857926,0,1300,2,1866
53842264,4330568,450687710,808419512,0,1300,2,1866
17302292,5811445,223912678,804249081,0,1300,2,1866
17888901,5664271,251222261,800403443,0,1300,2,1866
18588073,6316377,258555716,800570066,0,1300,2,1866
20805385,6399848,315308313,805409884,0,1300,3,1866
17848378,5856876,276712298,796452893,0,1300,3,1866
17348968,5639992,289476775,796339565,0,1300,3,1866
21931181,5880939,353229801,807257191,0,1300,3,1866
20718644,5598474,315739797,798018273,0,1300,3,1866
19953218,5300003,322030302,808556495,0,1300,3,1866
19639487,5113945,346334263,807308000,0,1300,3,1866
23064233,4959627,333058291,749681353,0,1300,4,1866
22398369,6073016,356360241,823357580,0,1211,4,1866
15418128,5691824,204038619,788381727,0,1211,4,1866
16134731,5886810,222475376,784365416,0,1211,5,1866
19359396,6700095,267597022,798394421,0,1211,5,1866
15911381,5667776,214275374,710545437,0,1211,5,1866
19705071,6441360,321151529,780090973,0,1211,5,1866
17279565,5746267,283341441,745430608,0,1211,5,1866
16741250,5291901,249236351,731906893,0,1211,5,1866
17201892,5673716,251480979,748463156,0,1211,6,1866
18417368,5917300,259778247,803976636,0,1211,6,1866
17807386,6009403,258844473,783419663,0,1211,6,1866
17027250,5905027,237168072,793590629,0,1211,6,1866
14647087,5405247,193573990,720406820,0,1211,6,1866
16171952,5821257,219029772,784984648,0,1211,6,1866
16562941,5755517,247183375,733369333,0,1211,6,1866
17218134,5660370,269366110,765904822,0,1211,6,1866
17117312,5551025,248234401,763276930,0,1211,6,1866
20109898,6101331,309098422,791348611,0,1211,6,1866
17324384,5847379,244755518,761000130,0,1211,6,1866
18292210,5333506,295481487,770654561,0,1211,6,1866
19633983,4637586,320615921,796172953,0,1211,6,1866
18167442,5879220,269921473,810007249,0,1211,6,1866
16610928,5799041,217719735,807596926,0,1211,6,1866
23179547,6289730,332448159,808926901,0,1211,5,1866
19285328,5861383,276289041,808382911,0,1211,5,1866
18829582,5623427,290002679,808420900,0,1211,5,1866
18642563,5702630,256617939,801001257,0,1211,5,1866
17254567,5900957,246096528,808558529,0,1211,5,1866
