llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
10818422,1729698,236507820,404559659,0,1300,0,1866
13531513,1450153,290908563,403883977,0,1300,1,1866
18777431,1432013,174707954,382100810,0,1300,1,1866
16745117,1542075,187906715,397057012,0,1300,2,1866
12095029,1686632,253409990,402553308,0,1300,2,1866
12079372,2237408,223300446,403715515,0,1300,2,1866
13053538,1994226,190248285,357905559,0,1300,2,1866
14398125,2085333,213708723,397204497,0,1300,3,1866
13247938,2119614,192742313,377082534,0,1300,3,1866
13126713,1908908,194135536,348864853,0,1300,3,1866
12443078,1943604,150713496,404131988,0,1300,3,1866
13593501,2208896,199867298,384966987,0,1300,3,1866
14461268,2093279,223252265,404819518,0,1300,3,1866
14291339,1808972,174599474,400365900,0,1300,3,1866
13428546,2234746,187017701,367418962,0,1300,3,1866
12511078,1773266,160713869,370801865,0,1300,4,1866
11376982,1025384,114091784,303086908,0,1300,4,1866
11764805,1616614,168017950,311310193,10,1300,4,1866
10973130,2014201,182238620,290450435,4,1300,4,1866
6038742,860912,91842991,159635714,7,1300,5,1866
4233548,614282,40075865,132862159,0,1300,5,1866
2465816,211650,14304872,80409855,0,1300,5,1866
2970392,165784,17154155,76860883,9,1300,6,1866
3724788,329866,39780052,77638897,13,1300,6,1866
3338296,354727,44122877,85717074,4,1300,6,1866
2799860,355613,37163827,81616100,0,1300,6,1866
2872749,481629,43808073,78655077,0,1300,6,1866
3159997,298455,38072769,79913778,0,1300,6,1866
2878284,485565,49323586,85563064,2,1300,6,1866
3021950,481290,44431327,80023136,0,1300,6,1866
2893033,464727,45628950,78969427,0,1300,6,1866
2757347,420591,50782300,80606197,0,1300,6,1866
3178295,369366,42469745,81126612,0,1300,6,1866
2623477,455168,42922545,74440306,0,1300,6,1866
3355758,577602,41717230,86137448,0,1300,6,1866
3022632,461130,43072111,80023051,0,1300,5,1866
3016599,491067,45604028,79522143,0,1300,5,1866
2885028,404421,46300640,79614264,0,1300,5,1866
2844884,521797,44798086,85189372,0,1300,5,1866
3001713,532650,38567144,79215125,0,1300,5,1866
2700180,438036,44596655,78280734,0,1300,5,1866
2999164,461591,48563044,79985933,0,1300,5,1866
2929304,410647,45273367,82606950,3,1300,5,1866
2913386,464132,46419608,79839065,2,1300,5,1866
2737978,502030,50108879,81016774,3,1300,5,1866
3094788,378894,40408935,80711303,1,1300,5,1866
2546754,315291,29256729,81290719,0,1300,5,1866
3461192,130795,25844243,80727310,1,1300,5,1866
2742783,449138,43793283,79342659,0,1300,5,1866
3167455,544437,39592728,79293412,0,1300,5,1866
3075534,609249,47372133,88528941,0,1300,5,1866
2619995,382338,41135856,80530437,0,1300,5,1866
2880806,343442,45866001,78914461,0,1300,5,1866
2500818,370848,39246591,75481447,2,1300,5,1866
2284604,224062,24894410,79852449,0,1300,5,1866
3229805,225781,43552324,88375396,0,1300,5,1866
3098484,554720,43768210,79400838,0,1300,5,1866
3036977,482123,39686675,80135108,4,1300,5,1866
2903331,488134,42004263,77308889,0,1300,5,1866
3102649,454218,42417288,80885649,3,1300,5,1866
2881858,511476,51770410,78944839,0,1300,5,1866
2309307,293945,31587893,81035418,0,1300,5,1866
2886809,265211,44339413,81971683,0,1300,5,1866
2980504,534957,44674215,79167480,5,1300,5,1866
3186578,498950,43926120,84823345,0,1300,5,1866
2889735,514867,42040678,80405500,0,1300,5,1866
2833526,476974,41034190,79204245,0,1300,5,1866
2774114,423074,42136789,79914128,0,1300,5,1866
2735373,469965,43193430,79424639,0,1300,5,1866
2996614,569162,42247949,86621664,0,1300,5,1866
3030006,574434,31691909,84552524,0,1300,5,1866
2702823,393039,47894881,80423746,0,1300,5,1866
4191869,1060102,33794841,81230781,0,1300,5,1866
4296766,1044391,34605771,76646885,0,1300,5,1866
4774439,1279396,20435644,82581820,0,1300,5,1866
2683028,726644,29721844,75893724,0,1300,5,1866
1452133,615854,34013607,79670021,0,1300,5,1866
1470352,621729,33927455,75483997,0,1300,5,1866
1700953,739290,38286670,83351525,8,1300,5,1866
1577229,723148,34782388,78144609,59,1300,5,1866
2170483,492555,60741257,91700682,1,1300,5,1866
2878787,757367,68561990,77523613,0,1300,5,1866
3189260,894901,85287545,84761213,0,1300,5,1866
3080704,771058,97296150,77769394,0,1300,5,1866
3057550,861091,77095146,78354047,0,1300,5,1866
3061176,646778,68731794,76515657,0,1300,5,1866
3383929,721423,87030696,91045891,0,1300,5,1866
2580050,559199,53605602,71969718,0,1300,5,1866
2975642,672034,49884965,76449044,0,1300,5,1866
3280735,492621,59043399,88845791,0,1300,5,1866
2881197,403238,57664784,77433894,0,1300,5,1866
2819096,587338,59182396,76710955,0,1300,5,1866
2763608,503421,109933162,90237055,4,1300,5,1866
3416430,654352,58664036,76419219,0,1300,5,1866
2804959,500678,39911329,80033215,2,1300,5,1866
2765507,643033,72813894,80099983,0,1300,5,1866
2799646,655530,56565341,77880527,0,1300,5,1866
2156354,551734,79825289,82226903,0,1300,5,1866
2612598,620758,70318502,79206312,0,1300,5,1866
2329963,567998,77342102,83416668,0,1300,5,1866
3277278,950338,78736740,86651451,0,1300,5,1866
3089458,616216,69910635,75662878,0,1300,5,1866
2558132,499564,55576410,78955082,0,1300,5,1866
3028325,731925,66107552,86603388,0,1300,5,1866
2820589,560725,66531399,79632633,0,1300,5,1866
2706614,377842,55060866,76510343,0,1300,5,1866
2958007,451235,71217376,83326443,0,1300,5,1866
2797513,468428,71243764,79847156,0,1300,5,1866
3251442,640841,57631780,79861407,0,1300,5,1866
3216379,660439,57467141,79102441,0,1300,5,1866
2846295,490469,61862724,84968827,0,1300,5,1866
2938365,510249,60962584,79786905,0,1300,5,1866
2899522,512766,58346334,74913036,0,1300,5,1866
3407882,683266,56010162,91326714,0,1300,5,1866
3134678,482016,40489928,80166876,0,1300,5,1866
