llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
12991832,2765149,183136467,442332465,0,1300,1,1866
14954453,3151343,225385068,519194779,0,1300,2,1866
17720421,3822019,280005288,619601088,0,1300,3,1866
17767630,3778746,315260654,657376000,0,1300,3,1866
18464360,4139658,314088514,676947297,0,1300,4,1866
1319576,347209,16390856,44872103,4,1300,5,1866
16338836,3866485,247324575,567122088,0,1300,5,1866
13584698,3324106,170362672,463099181,0,1300,5,1866
18948444,3100164,342922871,628901790,0,1300,5,1866
19954518,4133645,373897123,691349723,0,1300,5,1866
16721871,3459485,254079003,589906920,0,1300,5,1866
16497003,3816080,270391923,598427541,0,1300,5,1866
14829270,3599383,220465794,521227903,0,1300,5,1866
15676554,3934322,236462438,567983255,0,1300,5,1866
14344661,3536590,211034015,501435290,0,1300,5,1866
13493911,3595653,184535794,468910823,0,1300,5,1866
15731123,3830625,239554814,577075148,0,1300,5,1866
13169416,3359133,198408879,478247492,0,1300,5,1866
15498109,3533751,190265766,517701755,0,1300,5,1866
14951215,3348971,193004799,503306480,0,1300,6,1866
14846982,3316832,173059041,478502090,0,1300,6,1866
13424101,3164539,157840292,453613336,0,1300,6,1866
13235915,2742427,163372160,429328646,0,1300,6,1866
10926839,2752391,172830613,401944003,0,1300,6,1866
10400606,2269081,187693853,385314138,0,1300,6,1866
12966379,2605158,215072518,446502874,0,1300,6,1866
11747092,2641219,175912707,428121652,0,1300,7,1866
7936341,1612648,123434824,262947500,0,1300,7,1866
7934614,1508319,121830122,252008245,0,1300,7,1866
7503374,1590495,160641003,301916484,0,1300,7,1866
4670449,984035,97224987,169892009,0,1300,7,1866
5105528,1188978,66853189,175623274,0,1300,7,1866
4522957,995922,63086966,161680040,0,1300,7,1866
3411167,795909,51348165,126369344,0,1300,7,1866
1984497,469826,26101115,74469867,0,1300,7,1866
2322634,539501,34667411,85891156,0,1300,7,1866
2386060,498812,28210436,83116483,0,1300,7,1866
2275571,506041,22653627,76186053,0,1300,7,1866
2069928,503623,30293106,83874093,0,1300,7,1866
1947461,499892,23287503,75851699,0,1300,7,1866
1863592,389698,36089030,84377249,0,1300,7,1866
2010317,476822,29275075,79800214,0,1300,6,1866
2288222,461205,50365250,79230860,0,1300,6,1866
2149459,509125,33211743,86211208,0,1300,6,1866
2003826,411905,36244858,78181740,0,1300,6,1866
2216762,339652,50500281,77728002,1,1300,6,1866
1926619,319355,45356097,82549082,0,1300,6,1866
2430842,383706,44153253,83972695,0,1300,6,1866
2838875,516496,54675694,103700971,0,1300,6,1866
2215606,492675,44224242,87801135,0,1300,6,1866
2706735,308169,42227568,72855344,0,1300,6,1866
1946969,476584,36802544,78840979,2,1300,6,1866
2415125,502673,51785170,93190332,0,1300,6,1866
1848804,503280,36256143,77804539,0,1300,6,1866
2438861,481307,31394193,77376292,0,1300,6,1866
4306495,549714,34347803,90578179,0,1300,6,1866
4116830,419224,28978875,75633873,0,1300,6,1866
2657613,448946,44652905,84861850,0,1300,6,1866
1779685,443835,42286445,75841317,0,1300,6,1866
3505820,396451,45401181,82979819,0,1300,6,1866
2805647,223586,61331060,83048645,0,1300,6,1866
2567230,429105,42261233,79402955,0,1300,6,1866
2580055,457261,38961348,79107175,0,1300,6,1866
2745810,361900,51361538,80278000,0,1300,6,1866
2461552,373200,49178331,76478711,0,1300,6,1866
2902545,510383,50428581,92023105,0,1300,6,1866
2694016,292944,56242270,81298095,0,1300,6,1866
2375777,338820,44919474,74787843,0,1300,6,1866
2291156,463213,51045734,79871594,0,1300,6,1866
2265507,381467,45895505,77309514,0,1300,6,1866
1738768,410860,60115271,83216524,0,1300,6,1866
1976289,464750,46119421,83538605,0,1211,6,1866
1973311,391749,49300697,77116941,0,1211,6,1866
2305987,437328,48275979,80451529,0,1211,6,1866
2098232,422884,55705146,88311708,0,1211,6,1866
2205178,464575,40140846,76636658,0,1211,6,1866
1536142,410870,42254547,75746142,0,1211,6,1866
2005922,391566,77858503,84437115,0,1211,6,1866
1864162,480996,51424241,80685822,0,1211,6,1866
1868078,381218,44537623,80545240,0,1211,6,1866
2167498,624369,28245743,80860356,0,1122,6,1866
1978291,360260,39609439,71048127,0,1122,6,1866
2514048,481965,68955664,93520630,0,1122,6,1866
2437442,387800,54500822,80083294,0,1122,6,1866
2473178,404396,42698503,82282985,0,1122,6,1866
2017500,397222,42261834,75732064,0,1122,6,1866
2051230,406199,42321265,78382030,0,1122,6,1866
2288372,470828,43921268,83252422,0,1122,6,1866
2313904,370209,42013364,73225684,0,1122,6,1866
2527201,482942,42922732,86554765,0,1122,6,1866
1989436,451495,38513819,79313384,0,1032,6,1866
2133477,440586,44367370,77110575,0,1032,6,1866
2442869,376515,56367101,85019589,0,1032,6,1866
2248582,431872,42109162,80327255,0,1032,6,1866
2551440,411347,50196529,87475880,0,1032,6,1866
1982329,408369,47386238,80226714,0,1032,6,1866
1893538,428119,34292663,72414159,0,1032,6,1866
2479927,398430,44945104,84410633,0,1032,6,1866
1970325,372576,45368197,78092667,0,1032,6,1866
2585021,507678,37271823,84434045,0,1032,6,1866
2149761,422874,35242236,72615736,0,1032,6,1866
2641863,555970,31536192,84763316,0,1032,6,1866
2355960,296617,58668027,81431080,0,1032,6,1866
2602916,338691,57387419,79755841,0,1032,6,1866
2389841,485151,37118313,80026393,0,1032,6,1866
2453802,465674,45235942,88313660,0,1032,6,1866
2268506,402412,40818461,74665433,0,1032,6,1866
1930422,392041,47124126,78955582,0,1032,6,1866
2181883,405752,52325650,79393336,0,1032,6,1866
2420037,489765,42993413,83418265,0,1032,6,1866
2114033,456853,33350197,75264077,0,1032,6,1866
2308657,493182,33277402,83642681,0,1032,6,1866
2246026,485172,33387950,79977931,0,1032,6,1866
2409199,411549,46214666,80169734,0,1032,6,1866
2628915,437863,49266215,85118772,0,1032,6,1866
2330808,398943,50258892,80053275,0,1032,6,1866
1881237,398163,39637425,77638238,0,1032,6,1866
1890621,428228,45038223,79741655,0,1032,6,1866
2332702,500140,36587131,82829588,0,1032,6,1866
2469365,376116,44512448,79957196,0,1032,6,1866
2342906,385193,40768475,79397925,0,1032,6,1866
1968889,348495,44526353,80091208,0,1032,6,1866
1921446,350826,36372190,74575780,0,1032,6,1866
2080538,299781,60882458,88521184,0,1032,6,1866
1929050,495033,36389327,77932270,0,1032,6,1866
2149011,417311,40355368,76023376,4,1032,6,1866
2543609,468402,52552601,86823431,0,1032,6,1866
2374887,356087,48566721,79168140,0,1032,6,1866
2092353,354860,52527802,84400875,0,1032,6,1866
2071483,429840,42232840,80056667,0,1032,6,1866
2055003,380819,45824806,77106483,0,943,6,1866
1814954,423384,43716915,78218575,0,943,6,1866
2212614,439227,46322418,81463584,0,943,6,1866
2218308,316807,43805040,77466964,0,943,6,1866
2232015,321067,52532685,82276069,0,943,6,1866
2000340,378223,48972083,80639030,0,943,6,1866
2342195,402641,55146457,85953073,0,943,6,1866
1963618,398379,40145164,73434662,0,854,6,1866
2491774,424755,47629964,82796094,0,854,6,1866
2222917,449959,49178094,82396071,0,854,6,1866
2586599,526795,39573062,88517230,0,854,6,1866
2111729,424717,48535327,74184416,0,854,6,1866
2533244,470431,48975323,88292773,0,854,6,1866
2136832,417487,34657036,74833971,0,854,6,1866
2097243,442617,38096268,79868379,0,854,6,1866
1962062,481628,37026068,77426091,0,854,6,1866
2605478,542527,42040216,86458945,0,854,6,1866
2202869,443053,46356435,80862927,0,854,6,1866
1982517,377169,51171085,79340589,0,854,6,1866
2309355,426775,52752529,78902760,0,854,6,1866
2355460,453489,49562617,80955134,0,854,6,1866
2348550,447839,42750059,83961269,0,765,6,1866
2351616,473864,40717555,79529504,0,765,6,1866
2049862,395570,46189107,75974220,0,765,6,1866
2274243,447220,42105137,82554541,0,765,6,1866
14415683,2333183,276347792,461143831,0,765,6,1866
25396411,3622218,438298225,785730045,0,765,6,1866
26938372,3385983,496080965,797540049,0,765,6,1866
29406855,3762186,440692576,806808123,0,765,6,1866
29577845,3402828,481441733,798343950,0,765,6,1866
22760151,4087529,511824053,803202308,0,765,5,1866
25781291,3656763,481784245,792638375,0,1300,5,1866
25095674,3727062,501511881,807340720,4,1300,5,1866
25644171,3546023,510046381,797859623,0,1300,5,1866
29515225,2416044,522078720,791638342,0,1300,4,1866
26960661,3312794,456899507,798005267,0,1300,4,1866
26190332,3542097,469650266,781320719,0,1300,4,1866
25319339,4127355,411716983,792115018,0,1300,4,1866
29536649,4243183,385205621,792645401,0,1300,3,1866
23956622,4128995,370488668,804374365,6,1300,3,1866
33915497,2542071,617653061,806390633,0,1300,3,1866
30236489,3790068,531747074,800425809,0,1300,3,1866
25301703,3968632,523416032,793683445,0,1300,3,1866
32172031,2862342,461625999,808130795,0,1300,3,1866
13552234,2526594,435703459,653133553,0,1300,3,1866
11191357,1949649,721945191,767396872,0,1300,3,1866
24806757,3364778,502945415,805668578,0,1300,3,1866
21767401,2699189,561173334,727577834,0,1300,3,1866
24524340,2983849,475767533,774179043,0,1300,3,1866
29862560,3088776,507848459,794329713,0,1300,3,1866
26693240,3212535,455763126,797183062,0,1300,3,1866
25271129,4021835,400711756,793363556,0,1300,3,1866
24605796,3470993,401860866,799201927,0,1300,3,1866
34707398,3479314,444453094,806079031,0,1300,2,1866
27615543,3199862,561579020,806276066,0,1300,2,1866
20463529,4458421,485913526,801053986,0,1300,2,1866
24573689,2865372,518193600,801808710,0,1300,2,1866
23846524,3525607,527340974,802262725,0,1300,2,1866
25894557,3271674,467476319,775626260,0,1300,2,1866
23532507,3189876,632877433,804330894,0,1300,2,1866
20755580,2773823,774993186,807641436,0,1300,2,1866
21887917,3361018,702268656,799701007,0,1300,2,1866
24869022,3496834,544935565,795739271,0,1300,2,1866
26964643,3580393,405570486,800046587,0,1300,2,1866
22557303,3780046,418472381,801989265,0,1300,2,1866
18960493,3185612,493674041,786856312,0,1300,2,1866
8318678,2294339,557415966,687107287,0,1300,2,1866
19190610,3179219,691344544,797642299,0,1300,2,1866
33544819,2935929,610028831,798123411,0,1300,2,1866
17432929,3764407,789749367,806787858,0,1300,2,1866
21802522,3347766,775938849,800733661,0,1300,2,1866
21733583,3278174,678054157,807621411,0,1300,2,1866
24334940,3462609,483807931,794936631,0,1300,2,1866
24754849,2888860,435456149,741149333,0,1300,2,1866
27422080,2369482,583013241,789593344,0,1300,2,1866
23923051,2563632,670531423,804653516,0,1300,2,1866
26732451,2638106,555710908,804902542,0,1300,2,1866
26462438,2351525,590078991,790449113,0,1300,2,1866
26386077,2832986,524386516,807554984,0,1300,2,1866
25808051,2744059,507169728,796120626,0,1300,2,1866
24995013,3493494,434346096,780928928,0,1300,2,1866
26378819,3395610,396508478,730857806,0,1300,2,1866
23161255,2942585,411972452,710027885,0,1300,2,1866
23351120,2936010,370260790,662314509,4,1300,2,1866
24292959,3708041,427355954,807634738,0,1300,2,1866
20699088,2967255,396013369,691920089,4,1300,2,1866
23286985,2740886,431434023,725978372,0,1300,2,1866
27649970,2776044,454571119,763098420,0,1300,2,1866
