llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
26911526,5292242,590234337,770446988,0,1300,0,1866
25576845,4843868,556835259,722944053,0,1300,2,1866
29138419,5327541,606516505,790542960,0,1300,2,1866
28594552,5164974,629527776,793219759,0,1300,3,1866
29900462,4957364,624899646,803270385,0,1300,3,1866
29869832,4827098,645986542,804329665,0,1300,4,1866
29913158,4880675,640139746,801808759,0,1300,4,1866
29052972,4722580,662063113,805183186,0,1300,4,1866
29423977,4648382,661965091,805684889,0,1300,4,1866
29646418,4825928,633166814,792769232,0,1300,4,1866
29868737,4740905,650851477,804652727,0,1300,4,1866
29396214,4746726,655132134,806177112,0,1300,4,1866
30160923,4832101,640997196,802903417,0,1300,4,1866
29993986,4670726,645001532,804511930,0,1300,4,1866
29440658,4968671,644258386,803514282,0,1300,4,1866
29351508,5361135,620320591,804801583,0,1300,4,1866
26252362,5098938,565744576,745686879,0,1300,5,1866
27264601,5187342,599435051,779135246,0,1300,5,1866
27228714,5083649,596610648,773299468,8,1300,5,1866
24678558,4758293,546752835,719882499,0,1300,5,1866
28442297,5193134,607342373,794081047,4,1300,6,1866
27295816,5156769,573865627,772497877,0,1300,6,1866
26385930,4987710,572491309,743814932,3,1300,6,1866
27927747,5300010,615338296,798829828,0,1300,6,1866
27719293,5048173,608663993,785926670,4,1300,6,1866
27873048,5321843,589609783,792767271,7,1300,7,1866
26429985,5130889,579872826,765445628,0,1300,7,1866
28603260,5305302,645816533,813185892,1,1300,7,1866
27666121,5194080,612515450,793826455,3,1300,7,1866
27337559,5144085,606984540,791649806,0,1300,7,1866
28457538,5194049,626114012,802729810,0,1300,7,1866
28524527,5099905,619537071,789203298,0,1300,7,1866
26888133,4921109,596879615,762279052,0,1300,7,1866
28735055,5129505,621648062,799687731,0,1300,7,1866
28427468,5082392,637122469,803132337,1,1300,7,1866
28358287,5120171,638318495,802898945,3,1300,7,1866
28568817,4973728,614215675,792295240,2,1300,7,1866
28697695,5065372,613057377,789150134,1,1300,7,1866
29245733,4975997,642338977,805740859,3,1300,7,1866
29068580,4818097,639996424,802336457,2,1300,7,1866
28958938,5047621,636633396,803161513,2,1300,6,1866
28841108,5045021,643246917,806544616,2,1300,6,1866
29170387,4958521,637532055,802888182,0,1300,6,1866
28711736,4962795,651794368,805648842,0,1300,6,1866
28516603,4927852,644270693,801281345,0,1300,6,1866
28790686,4970021,625305395,796960088,0,1300,6,1866
29028845,4947101,646367735,803342894,0,1300,6,1866
29205218,4835269,643846428,801344218,0,1300,6,1866
29348088,5144512,619381622,798850096,0,1300,6,1866
29188531,4875665,630113837,798680867,0,1300,6,1866
29390945,4840365,643256741,804020839,0,1300,6,1866
28626742,4917950,629468189,793399854,0,1300,6,1866
29105333,4974950,637592114,804220527,0,1300,6,1866
29325524,5067978,637408238,802975174,0,1300,6,1866
29422148,5033955,635307609,803562389,0,1300,6,1866
28835989,4832995,637995490,800486291,0,1300,5,1866
28860162,4992946,625465557,792389484,0,1300,5,1866
29197928,4874375,648667246,805314979,2,1300,5,1866
29233980,4970798,628506196,801123511,0,1300,5,1866
28267792,4941118,643897165,801795757,4,1300,5,1866
29352304,5035992,634859263,804336800,0,1300,5,1866
28949419,4991511,643929241,803500503,0,1300,5,1866
29311720,4858631,625415022,792806904,2,1300,5,1866
29327329,4937257,632243137,799711366,0,1300,5,1866
28495654,5127022,641058786,803098966,0,1300,5,1866
29314549,4866838,642671102,804388923,0,1300,5,1866
29121802,5135977,628326299,804998093,0,1300,5,1866
28549158,4928771,641824632,801162353,0,1300,5,1866
29044217,5023438,644028019,805381996,0,1300,5,1866
28814524,5119318,642670134,805548755,0,1300,5,1866
29460199,4973337,633196506,802679052,0,1300,5,1866
29376012,5104958,626831680,804093859,0,1300,5,1866
29019972,4975575,633397571,805184586,0,1300,5,1866
29317238,4965861,634355503,801937432,0,1300,5,1866
28539488,5096563,632822101,804013083,0,1300,5,1866
28845113,5002017,624862205,804547779,0,1300,6,1866
28339997,4973847,618774073,802443824,0,1300,6,1866
28775552,4980841,640466078,804307405,0,1300,6,1866
29109026,4763374,638592306,795409535,0,1300,6,1866
28745039,5122456,623326537,799924393,0,1300,6,1866
28586476,4951205,631674225,798812112,0,1300,6,1866
28537717,4949844,642370019,804475639,0,1300,6,1866
29575189,4945593,635459983,802535411,0,1300,6,1866
28739908,5002536,637615483,804684951,0,1300,6,1866
30176587,5225879,652094853,839789938,0,1300,6,1866
29199710,5026446,635568916,805457492,0,1300,6,1866
29395713,4840654,643080119,805193673,0,1300,6,1866
28965700,5066582,638672351,805499234,0,1300,6,1866
29183934,4937882,641711831,806205698,0,1300,6,1866
29154044,4980898,637291002,806244747,0,1300,5,1866
29212714,4870991,662398295,815555098,2,1300,5,1866
29189333,5118827,618879277,802168405,0,1300,5,1866
29404877,5219712,612814204,800800286,0,1300,5,1866
28612277,4872112,640298875,802798240,0,1300,5,1866
28875809,4888829,656766579,808419341,0,1300,5,1866
28592501,4932657,636389862,799748304,0,1300,5,1866
28906777,5094725,626835471,803245275,0,1300,5,1866
28512331,5155957,627814761,799340766,0,1300,5,1866
29045541,4926917,635848982,801294036,0,1300,5,1866
29237431,5039009,632791138,804595597,0,1300,5,1866
29236480,4926448,631878160,803773277,0,1300,5,1866
28554252,4827200,644583862,804795396,0,1300,5,1866
28397009,5086207,634566668,803420396,2,1300,5,1866
28976593,5008950,628317368,801479398,0,1300,5,1866
28938022,4937515,636807079,803026393,0,1300,5,1866
29040016,4830375,656313860,804347291,0,1300,5,1866
28940542,4926180,636138177,804978725,4,1300,5,1866
28847388,5181784,615390971,802793270,0,1300,5,1866
29064633,4868842,649878151,805510566,3,1300,5,1866
29139993,5031618,630489854,805016351,0,1300,5,1866
29366352,5034281,629352300,806613393,0,1300,5,1866
28544224,4965097,635912599,800362848,0,1300,5,1866
29340278,4909321,645198436,804944602,0,1300,5,1866
28357723,5177070,611980297,793283914,0,1300,5,1866
