llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
20594110,2689839,342184781,619808614,0,1300,0,1866
13867636,3095636,218114635,499608560,0,1300,1,1866
17901505,4468654,302389797,709622293,0,1300,2,1866
17083324,4572498,287524187,708130508,0,1300,3,1866
14508051,4081039,215325184,562537201,0,1300,4,1866
14063505,3856212,207662055,547983956,2,1300,5,1866
14388269,3780705,211986340,569696670,0,1300,6,1866
19827393,4212946,409221190,784078038,0,1300,6,1866
18701435,4080154,408923661,781327901,0,1300,7,1866
17255424,4404022,235772607,661616587,2,1300,7,1866
17442814,4574617,298315132,727482372,0,1300,8,1866
12855302,3584642,187594209,496184544,0,1300,8,1866
14890300,4132862,235822354,603254193,0,1300,8,1866
14645910,4328755,203323251,576845550,0,1300,8,1866
14640668,4149940,212487131,581212161,0,1300,9,1866
14116978,4151886,191831056,543147349,0,1300,9,1866
15976131,4319515,258698202,658746569,0,1300,9,1866
13477820,3636315,170720166,517948571,0,1300,9,1866
17670373,4408412,230200494,662369290,0,1300,10,1866
17885788,4207278,206163952,645987900,0,1300,10,1866
16058807,4280077,233093474,628496158,0,1300,10,1866
17677258,4227523,227076312,648667651,0,1300,10,1866
16051544,4135699,236821510,618375525,0,1300,10,1866
16886602,4393611,282049804,741115596,0,1300,10,1866
19516597,4359359,286826714,739178220,0,1300,10,1866
13571690,3840911,284730164,637148327,0,1300,10,1866
19110386,4077718,331941277,722146206,0,1300,10,1866
18584169,3557121,382765324,701975515,0,1300,10,1866
18412670,4262154,325256324,749549811,0,1300,10,1866
18035518,4340649,264062991,693223744,0,1300,10,1866
17965649,3673849,382830996,738312378,0,1300,10,1866
16568799,3718532,282482051,663305665,0,1300,10,1866
15130548,3296280,292720138,614203503,0,1300,10,1866
18717803,4325736,331497902,759386264,0,1300,10,1866
21175231,4194070,359314509,804208752,0,1300,10,1866
18795241,4342392,366228072,780251618,0,1300,10,1866
18883903,4575880,283494238,717637113,0,1300,10,1866
18956194,4175156,272711394,716746206,0,1300,10,1866
20951167,3931948,261289278,736434122,0,1300,10,1866
23645235,4643000,340496044,858805813,0,1300,10,1866
22200732,4395205,357724947,854643485,0,1300,10,1866
26470255,5055037,347584787,872521334,0,1300,10,1866
23997593,4339162,424742236,859836787,0,1300,10,1866
18679825,4116564,394481788,775575288,0,1300,10,1866
19331586,5054672,330547377,818040037,0,1300,10,1866
17720037,4700082,274795673,792876912,0,1300,10,1866
16778633,4063058,277106564,727328458,0,1300,10,1866
22987794,4422388,394384245,842004060,0,1300,10,1866
17206597,4122956,341898374,727109763,0,1300,10,1866
18541496,4290825,340171391,770482567,0,1300,10,1866
21574248,4503090,340698911,787137005,0,1300,10,1866
21785156,4367264,423403891,837403276,0,1300,10,1866
22815489,5441168,413775139,919113534,0,1300,10,1866
23657571,4362747,418648511,852339677,0,1300,10,1866
21417475,4638142,356359009,822459510,0,1300,10,1866
21501182,4851085,398365060,859319510,0,1300,10,1866
22523626,5431897,398265126,917354604,0,1300,10,1866
32558051,4543598,442363832,874561057,2,1300,10,1866
23526429,4714999,445084213,914877066,0,1300,10,1866
17222419,4374194,402144589,785171767,0,1300,10,1866
21115363,5184988,336960732,821584513,0,1300,10,1866
17099338,4160519,361898283,739667717,2,1300,10,1866
17539112,3884699,334621242,731163960,0,1300,10,1866
24456592,4463211,387667625,878906867,0,1300,10,1866
17843275,4334221,286091854,728271357,0,1300,10,1866
22048938,4858485,337877646,822466182,0,1300,10,1866
22021515,4966838,392704470,861590678,0,1300,10,1866
17916027,4147039,345159369,759568266,0,1300,10,1866
17523169,4555153,270763772,707922724,0,1300,10,1866
16084317,4229350,197573976,580396926,0,1300,10,1866
18793141,4759830,275545361,695055027,0,1300,10,1866
21019191,4119576,372328478,779261755,0,1300,10,1866
20541858,4191093,386128921,792809724,0,1300,10,1866
20178849,3696987,331162738,751203200,0,1300,10,1866
23243998,3301819,318166215,718324337,0,1300,10,1866
19545409,3617312,362200941,742172572,0,1300,10,1866
21581816,5018199,278803348,796880150,0,1300,10,1866
24945808,4550949,398483327,900491284,0,1300,10,1866
21791144,4538429,410783659,854692101,0,1300,10,1866
14398060,3213534,267959233,545582074,0,1300,10,1866
12277807,3104398,201458834,476754378,0,1300,10,1866
14213015,3595576,410605591,737796908,0,1300,10,1866
5687804,1586756,504539294,619188680,0,1300,10,1866
11170690,2530233,444600463,644485337,0,1300,10,1866
19972452,4747928,253812673,714481942,0,1300,10,1866
15190155,4280012,240045281,660657991,0,1300,10,1866
16913477,4896572,246500372,765622954,0,1300,10,1866
17978108,4674141,276350240,812264519,0,1300,10,1866
18390415,3566282,487988035,771655223,0,1300,10,1866
23051945,5039218,250124958,751165290,0,1300,10,1866
26665873,4136379,332889833,746426785,0,1300,10,1866
23200552,2873331,479808136,725658782,0,1300,10,1866
19395695,4636534,491373264,891747089,0,1300,10,1866
18609804,4503602,389599811,798453871,0,1300,10,1866
11854101,3324524,280762897,605171189,0,1300,10,1866
15863301,3873549,241825934,612738966,0,1300,10,1866
17494634,4267978,254629327,695128868,0,1300,10,1866
20197350,4233036,391937968,832390978,0,1300,10,1866
19008979,4676178,293378201,743045998,2,1300,10,1866
22526208,4578095,316699215,764131269,0,1300,10,1866
26748743,4282091,354976226,847639019,0,1300,10,1866
20995136,5186057,383200417,891783885,0,1300,10,1866
17473015,4274230,318553440,769582722,0,1300,10,1866
22356430,5184004,271912537,789863771,0,1300,10,1866
19052974,3837858,349742908,740708454,0,1300,10,1866
17616428,4353087,432724847,807543790,0,1300,10,1866
16704128,4322616,337951597,737057366,0,1300,10,1866
17110670,4175825,357991667,763478221,0,1300,10,1866
15930357,3843126,287362366,614280908,0,1300,10,1866
19143668,3826884,453266334,782365726,0,1300,10,1866
