llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
36871402,8212576,342701549,632300952,0,1300,0,1866
44963572,9772609,420163229,768033701,0,1300,2,1866
42561837,9114731,398593069,728005561,0,1300,2,1866
46928463,10337859,436776264,798355966,0,1300,4,1866
45444431,10142647,424242643,804116701,0,1300,4,1866
45423638,10251252,423683146,807398594,0,1300,5,1866
46069353,10133894,431457978,801803104,0,1300,6,1866
44504672,9885951,417077917,793942977,8,1300,6,1866
46679461,10194022,434492729,795966869,8,1300,7,1866
47692538,10092486,446540035,800495108,0,1300,7,1866
45484422,10094633,426264869,813043471,0,1300,8,1866
46117244,10111582,431211815,804274063,3,1300,8,1866
45802202,10436282,427080501,809076796,4,1300,8,1866
45138340,10069704,422715921,805533335,4,1300,8,1866
45099219,9989029,419573403,795614767,8,1300,8,1866
44270624,9972015,410550390,789195559,0,1300,8,1866
43423884,9800334,400793068,767633973,4,1300,9,1866
43524175,9905004,404429777,796889750,3,1300,9,1866
43115529,9750352,402391043,795700122,0,1300,9,1866
43561863,9622163,409767142,800595983,4,1300,9,1866
40362965,9536081,386227228,771968355,0,1300,9,1866
44926244,9283536,432296711,780334005,0,1300,9,1866
43555370,9817879,403294178,786230246,6,1300,9,1866
42949181,9748750,398884968,789145999,0,1300,9,1866
44567200,10061036,413508628,803924446,2,1300,9,1866
44261617,9896706,416274200,805225144,0,1300,9,1866
44241395,9921011,413810219,796339245,0,1300,9,1866
43858492,9938601,407200449,793783952,4,1300,9,1866
42659081,9727311,397823901,803448539,2,1300,9,1866
46009462,10278461,429767044,805276064,3,1300,9,1866
45752394,10135216,426584205,796655415,0,1300,9,1866
45914198,9963512,439097392,802235061,5,1300,9,1866
41467045,9314045,394046338,768781556,0,1300,9,1866
41062098,9564712,387427996,792999524,0,1300,10,1866
40076725,9306955,377514406,759523026,0,1300,10,1866
41695007,9726597,394114885,800754428,0,1300,10,1866
32176024,7891855,307536996,665035391,0,1300,11,1866
35023548,8469154,330847518,686314445,0,1300,11,1866
41228338,9643907,389646789,794520785,2,1300,11,1866
42803688,9904035,399927115,784120839,1,1300,11,1866
44781402,10178179,418958976,808324377,1,1300,11,1866
43873056,10110955,414290009,798575595,0,1300,11,1866
47558916,10758731,448715232,806700626,0,1300,11,1866
48165362,9627406,464143513,808724465,0,1300,11,1866
47110899,9464101,453801289,793960476,0,1300,10,1866
47295896,9328013,459202508,808558856,2,1300,10,1866
42990668,9410737,415969785,796037646,4,1300,10,1866
42736473,9591091,403872774,774667445,0,1300,10,1866
44329534,10004301,414540372,796989925,3,1300,10,1866
40980773,8034653,403556469,777658403,0,1300,10,1866
46286968,9597182,441429060,801855322,48,1300,13,1866
36948470,6977185,362253915,804202420,96,1300,13,1866
39601773,7114391,393059381,765030415,98,1300,16,1866
44771640,8755658,426491669,808538933,12,1300,18,1866
41941606,7764098,410238648,804262931,99,1300,19,1866
43151691,8464934,409796214,807823699,99,1300,21,1866
39705216,6921558,392817507,800566806,99,1300,22,1866
42387922,8245840,408933505,807949970,99,1300,23,1866
45262483,8766094,433134408,805588774,99,1300,24,1866
41495742,9081519,395811207,807707714,99,1300,25,1866
45040436,9066694,427536802,807736580,99,1300,26,1866
39163000,7263176,383076635,804717163,99,1300,26,1866
44370142,8751527,426211166,795166202,99,1300,26,1866
35290456,7157275,331918609,602198376,98,1300,26,1866
34370683,7756454,326015363,702059351,99,1300,26,1866
39864563,9106066,377757878,806949893,94,1300,26,1866
45034097,8956578,431561529,806375069,43,1300,26,1866
34912044,8003884,336679638,757727422,99,1300,26,1866
42856625,9342003,408069375,806239818,55,1300,26,1866
39736215,7633486,387911226,805832282,99,1300,26,1866
40941357,8748744,391425478,772668064,99,1300,26,1866
36621148,8254843,346073444,801354306,38,1300,27,1866
35354234,8157204,335456680,787128996,82,1300,26,1866
35623008,8275453,340662598,758286728,65,1300,26,1866
36053300,8453260,345239925,795991762,98,1300,26,1866
41947156,9336614,399396002,806245909,99,1300,26,1866
35263726,7720909,342884270,798332796,56,1300,27,1866
39888147,8474249,383828596,806759267,39,1300,27,1866
42194583,8373977,407359883,805586533,46,1300,27,1866
33803687,6998783,333100410,800157232,99,1300,27,1866
31675140,7960436,306061894,797152147,99,1300,27,1866
41584144,9138266,396336736,807111335,99,1300,27,1866
43882427,8665317,420406268,806655781,99,1300,27,1866
44138339,8645905,425016695,807760806,99,1300,28,1866
41289669,7929150,399398824,806361098,98,1300,28,1866
43266690,8646775,411660004,809551974,80,1300,29,1866
40796030,8066761,393616419,805140547,99,1300,28,1866
45537088,10151385,429278556,808229233,99,1300,29,1866
44279277,8947743,421570714,808158557,98,1300,29,1866
38357897,7228811,372251166,804200853,99,1300,29,1866
44079663,8718891,421223530,808398611,93,1300,29,1866
45073742,8972054,428951689,809134289,99,1300,29,1866
39293245,7846032,381434941,804557715,99,1300,29,1866
46935608,10039544,443288710,808252111,53,1300,29,1866
43115707,8421861,414722376,807376799,97,1300,29,1866
44828064,9052467,428620857,808414869,97,1300,28,1866
43672537,9588805,413295442,808363196,99,1300,27,1866
47702116,9338368,455693922,808033947,99,1300,27,1866
46053617,9057429,439066265,805911138,92,1300,27,1866
45962263,10048243,434842924,807700601,99,1300,28,1866
39398821,7898217,380865510,805739974,99,1300,27,1866
36084991,6803480,357817192,802915610,99,1300,27,1866
42659881,8700293,411856989,805920322,99,1300,29,1866
39449497,8771807,375222516,804183540,73,1300,31,1866
39694264,7834714,378102776,808034707,99,1300,30,1866
39400900,8072280,376735677,802594878,99,1300,29,1866
42706068,9384111,407173574,805785137,99,1300,30,1866
42123822,9866318,396071080,803722690,99,1300,31,1866
42248206,8313371,399898019,809390913,99,1300,32,1866
41297768,8167293,392938834,808722331,17,1300,30,1866
36412992,7865969,346025019,772557414,99,1300,30,1866
45771522,9664864,428211144,807039396,99,1300,32,1866
40941060,8947241,381532044,806215674,99,1300,33,1866
40131470,8276417,373997686,807933331,99,1300,32,1866
37261793,8197727,348264609,750150128,99,1300,31,1866
43870346,9172543,419487955,804337815,99,1300,32,1866
44298976,8658874,426879858,807701913,99,1300,33,1866
41076992,8096884,389965819,809548836,99,1300,32,1866
