llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
13055222,2517106,183919239,421584208,0,1300,0,1866
18289697,3532134,280078060,606729503,0,1300,1,1866
16405186,3224396,295953915,566721829,0,1300,2,1866
21163404,4176029,333128629,729634891,0,1300,2,1866
18088198,4103508,319484892,663422938,0,1300,2,1866
15717065,3880058,233350187,543118099,0,1300,3,1866
16753522,4143743,203957629,559503800,0,1300,4,1866
21047380,4060104,406288582,735209160,0,1300,4,1866
20104679,4374680,401184248,743640295,0,1300,4,1866
20975630,4774675,308467586,738855160,0,1300,5,1866
16769106,4319382,231804236,571025037,0,1300,5,1866
15616466,3883632,230141763,546467777,0,1300,5,1866
15664499,4137533,222263042,542332057,0,1300,5,1866
17032377,4427653,242240355,588912154,0,1300,5,1866
20808546,4977954,327977084,738510958,0,1300,5,1866
17229775,4190442,255508686,599603926,0,1300,5,1866
16566293,3488600,197244417,520888599,0,1300,5,1866
21309900,4799063,242052752,693188017,0,1300,5,1866
20117938,4567846,293390514,690311400,0,1300,6,1866
22786463,5107091,293815516,760012595,0,1300,6,1866
19637113,4757920,313550966,746236251,0,1300,6,1866
16766080,3403503,252726910,601729503,0,1300,6,1866
19235962,4549704,369785278,763323222,0,1300,6,1866
18486833,4092016,200381654,594208207,0,1300,6,1866
20133718,4676999,345144804,773444265,0,1300,6,1866
18946416,4187021,349818053,740054766,0,1300,6,1866
15981248,3657429,241969343,636753110,1,1300,6,1866
21470815,4499089,262608301,699145560,0,1300,6,1866
19613091,4201290,294536053,669791161,0,1300,6,1866
25966882,3560040,446007122,785092272,0,1300,6,1866
23997680,4267164,412204572,770406829,0,1300,6,1866
21823382,4055538,360439790,696170306,0,1300,6,1866
20167190,3101276,455231926,667924310,0,1300,6,1866
19607941,3713461,393637816,694099200,0,1300,6,1866
19925484,4141494,437460666,779417984,0,1300,6,1866
19478172,3925084,478356369,778147676,0,1300,6,1866
21608058,3875994,371276692,723904397,0,1300,6,1866
19111706,3662877,372976738,696809697,0,1300,6,1866
20536146,4216336,362104090,726833899,0,1300,6,1866
20398493,3930328,321387332,696986172,0,1300,6,1866
21581147,4105828,452682500,802256932,0,1300,6,1866
22568391,4690206,354124218,785931982,0,1300,6,1866
21677516,3616672,393118336,747090191,0,1300,6,1866
25956901,4622326,426659741,881783557,0,1300,6,1866
26370947,4571250,440902890,867016308,0,1300,6,1866
23659197,4789070,465082878,863843361,0,1300,6,1866
21343903,4568482,379235432,786654939,0,1300,6,1866
17847360,3823293,275497665,643186557,0,1300,6,1866
19115034,4421018,319828342,715520261,0,1300,6,1866
17969598,3217792,295111839,649805563,0,1300,6,1866
19291451,4219714,417278544,777111058,0,1300,6,1866
21702115,4370590,412166860,784583774,0,1300,6,1866
20191325,4086671,336717557,714522687,0,1300,6,1866
17694937,3719321,343610047,653566344,0,1300,6,1866
20643175,4321677,384673998,724148545,0,1300,6,1866
22707961,4723271,375652903,781838986,0,1300,6,1866
21873656,4260566,415537543,758372572,0,1300,6,1866
20111048,4041450,399539175,713302950,0,1300,6,1866
17733959,3210069,342202215,643417368,0,1300,6,1866
25760166,4139622,384496367,837790641,0,1300,6,1866
20803743,3893573,390291517,742883374,0,1300,6,1866
21507067,4275900,364101969,726097608,0,1300,6,1866
20553720,4257709,337002652,720804085,0,1300,6,1866
15318010,4001975,224596584,557010132,4,1300,6,1866
19633687,4569859,257802700,652981241,0,1300,6,1866
22676586,4965886,359802773,782340138,0,1300,6,1866
22930044,4705397,357137905,790040314,0,1300,6,1866
25471005,3813898,386674472,786224776,0,1300,6,1866
22329647,3481511,316002852,698949441,0,1300,6,1866
23262879,3291048,400358661,715272934,0,1300,6,1866
21395640,4806504,357218304,786598061,0,1300,6,1866
19965974,4849698,340420977,785082584,0,1300,6,1866
24055859,4041010,322156477,785580641,0,1300,6,1866
22018117,3163273,318029477,667901341,0,1300,6,1866
21887250,3911722,368441789,698496991,0,1300,6,1866
20076131,4303197,418049753,766790252,0,1300,6,1866
17333640,4310735,503820662,833251489,0,1300,6,1866
8083176,2274047,618712918,700486474,0,1300,6,1866
14737058,3217036,578523083,786579982,0,1300,6,1866
17992191,3947043,319026809,648653518,0,1300,6,1866
15505993,3660400,244983104,555770166,0,1300,6,1866
15610671,3376778,338701844,610747996,0,1300,6,1866
22967706,4310334,371205567,743317015,0,1300,6,1866
26296858,4535341,369502826,800600080,0,1300,6,1866
18682102,4106940,345308154,727086844,0,1300,6,1866
16827678,3739279,247135308,564499757,0,1300,6,1866
20080895,3644224,336134174,679638278,0,1300,6,1866
22040002,4482871,334787456,738854699,0,1300,6,1866
27139284,3758634,415809889,766005908,0,1300,6,1866
19311511,3903962,374564715,717087339,0,1300,6,1866
18520971,3965434,308364918,666789136,0,1300,6,1866
14671091,3252615,304772291,586703341,0,1300,6,1866
18758547,3988035,396571059,740331573,0,1300,6,1866
18890154,4244115,340094175,666095539,0,1300,6,1866
18309683,3965463,287010756,663965699,0,1300,6,1866
14719832,3040422,417155371,623285449,0,1300,6,1866
18090642,3354708,483251272,729418639,0,1300,6,1866
20011536,3944411,644838551,803074496,0,1300,6,1866
21573703,3673554,564083684,786882438,0,1300,6,1866
19207917,3588659,377100495,727037378,0,1300,6,1866
20468558,3467622,471337869,714039497,0,1300,6,1866
22011519,4067311,429479770,775704864,0,1300,6,1866
19179049,4398918,370287246,744292983,0,1300,6,1866
21294993,4272020,405278481,798683644,0,1300,6,1866
18089953,3801181,312932532,644712484,0,1300,6,1866
11351935,2646615,226347323,432747021,0,1300,6,1866
12047233,2965171,383223624,565723026,0,1300,6,1866
5963166,1858155,513572465,625724571,0,1300,6,1866
15666482,3423792,636986135,791313514,3,1300,6,1866
21734189,4525005,366164008,773377389,0,1300,6,1866
18209911,3948527,385376998,726593123,2,1300,6,1866
19054067,3118407,449055159,698234444,0,1300,6,1866
17807408,3161983,506062216,728650803,0,1300,6,1866
17399748,3398318,618637718,804530037,0,1300,6,1866
18036647,3624973,645940418,781663088,0,1300,6,1866
19255050,3925834,434179215,725187836,0,1300,6,1866
19156086,4083650,385564434,681321653,0,1300,6,1866
23499875,4228889,321709880,713896707,0,1300,6,1866
21880047,4677203,355528341,825758802,0,1300,6,1866
22751855,5016062,369109861,913102713,0,1300,6,1866
25432454,3845391,383457615,774548716,0,1300,6,1866
20376036,2789801,429504593,689571409,0,1300,6,1866
19129119,3986125,384195285,741308663,0,1300,6,1866
18527984,3766622,344340739,677041670,0,1300,6,1866
26958403,3787249,427958466,796790427,0,1300,6,1866
23972421,3453776,317189724,723294568,0,1300,6,1866
26972574,2690347,374711486,752969049,0,1300,6,1866
24584985,3115966,319882153,719406734,0,1300,6,1866
19081369,3470688,355504287,715962551,0,1300,6,1866
24132842,4174562,439130836,784384098,0,1300,6,1866
19375335,5121733,391609563,774357196,0,1300,6,1866
17940533,3814281,242944423,573094174,0,1300,6,1866
19928333,4089181,314231765,663364409,0,1300,6,1866
16736132,3970615,239093202,570471165,0,1300,6,1866
16278587,3452117,265707258,546322331,0,1300,6,1866
21136124,4694169,296920011,702404592,0,1300,6,1866
18251473,4042725,285439448,673363265,0,1300,6,1866
15073162,3608750,311517196,623710478,0,1300,6,1866
14784203,3589384,215083151,511645078,0,1300,6,1866
19123664,3946529,337962392,700982394,0,1300,6,1866
23881993,3934445,362639649,731774906,0,1300,6,1866
18898391,4014597,291192230,684228536,0,1300,6,1866
21295147,3405645,333617718,662514862,0,1300,6,1866
15764266,4058649,258658259,586893733,0,1300,6,1866
12803848,3377325,183480919,459266924,0,1300,6,1866
19398159,4523386,292132014,727668140,0,1300,6,1866
18161611,3808142,353137918,702215869,0,1300,6,1866
15170919,3973172,293605186,622245322,0,1300,6,1866
10637132,2893338,166470629,401978148,0,1300,6,1866
13518978,3641170,190302015,494615289,4,1300,6,1866
16426354,3523568,257401093,562831534,0,1300,6,1866
17791119,3761896,313854653,636710022,4,1300,6,1866
10615969,2674862,232340882,447474374,0,1300,6,1866
12368880,3081942,379012146,604875828,0,1300,6,1866
14403739,3784203,251255752,551776437,0,1300,6,1866
21671128,4663583,309348532,772618767,0,1300,6,1866
21735981,4878387,325750333,785096689,0,1300,6,1866
21747445,4321107,341561050,708022799,0,1300,6,1866
17761335,4389413,339072670,667322792,0,1300,6,1866
11397652,3351760,239518166,482847581,0,1300,6,1866
21466523,5275637,315691405,774200482,0,1300,6,1866
20306125,5379796,312231201,792757668,0,1300,6,1866
18178348,4418099,289244696,708135598,0,1300,6,1866
16495280,3637781,237985211,601687714,0,1300,6,1866
17520672,3641843,295685897,704763224,0,1300,6,1866
29118478,4423713,362992185,817061564,0,1300,6,1866
22396302,3638133,446506795,785449889,0,1300,6,1866
18100090,4945700,420051972,801363056,0,1300,6,1866
14373915,3604337,340012176,593273332,0,1300,6,1866
11512223,3172026,225035901,475213377,0,1300,6,1866
12910946,3399323,227985836,511905462,0,1300,6,1866
11722896,2823975,255278022,461262895,0,1300,6,1866
15562495,3839858,248320648,574119500,0,1300,6,1866
16372548,4015287,174332148,536563773,0,1300,6,1866
20586217,4657862,254723905,673285297,0,1300,6,1866
22543470,4856320,226903787,671913425,0,1300,6,1866
15486566,3742177,340280284,636216730,0,1300,6,1866
18633003,4401537,321481059,688372069,0,1300,6,1866
10174912,2977316,181601786,409730339,0,1300,6,1866
19902057,4619456,251608386,647818477,0,1300,6,1866
17145949,4007863,213847884,572933449,0,1300,6,1866
20919298,4674033,206413557,613342181,0,1300,6,1866
23955727,4280016,288148047,680900954,0,1300,6,1866
22743640,3839550,267020937,642918369,0,1300,6,1866
22003662,5407179,279563942,757110572,0,1300,6,1866
23880642,4805961,261880073,708038812,0,1300,6,1866
24337949,4600745,307615594,796784565,0,1300,6,1866
19786122,4182083,268788747,692481041,0,1300,6,1866
20026319,3800193,247878929,646620957,0,1300,6,1866
16610592,3612778,252411058,582957556,0,1300,6,1866
24626020,4314017,270333053,681300581,0,1300,6,1866
21156038,4532084,289127186,695445181,0,1300,6,1866
20167642,4842161,327383274,738989651,0,1300,6,1866
18347788,4518682,251884294,615179431,0,1300,6,1866
