llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
26346116,5056314,581898623,741885376,0,1300,1,1866
28233670,5231822,600851396,763977347,0,1300,2,1866
28621310,5488516,631502966,799645539,0,1300,3,1866
27345672,5165089,578087906,761186982,0,1300,4,1866
27462260,5262530,561881940,754668237,0,1300,4,1866
26932347,5175243,583334003,744893691,0,1300,4,1866
27663865,5252277,616627826,774057810,0,1300,5,1866
27948411,5273766,634009727,788836718,0,1300,5,1866
28209410,5313802,611525999,776874183,0,1300,6,1866
26472822,5075002,575652714,733467763,0,1300,6,1866
25215729,4944668,528228604,704862384,0,1300,6,1866
28040079,5388194,609667856,798541202,0,1300,6,1866
28511724,5533555,587793697,794640191,0,1300,6,1866
27270979,5322987,564416822,766813256,0,1300,6,1866
28589642,5488460,594341429,794802300,0,1300,7,1866
25006489,4939681,548314446,706500335,0,1300,7,1866
29040911,5489998,629429409,800975011,0,1300,7,1866
27316462,5424965,591014870,776029501,0,1300,7,1866
27054998,5408675,578951738,773016122,0,1300,7,1866
22783453,4603352,490439583,655012682,0,1300,7,1866
21940148,4379238,458244460,615787215,0,1300,7,1866
27719895,5413659,578408658,779957297,0,1300,7,1866
27374247,5329442,569729697,771621677,2,1300,7,1866
26776252,5198299,569754018,752819668,0,1300,7,1866
24988622,4765131,543996842,685715323,2,1300,7,1866
24588772,4744535,540545461,682101753,0,1300,7,1866
18408132,3791744,399017661,507022260,0,1300,7,1866
25778845,4864992,558632234,703026702,0,1300,7,1866
23060715,4472649,515883299,642690807,0,1300,7,1866
24119310,4639203,552542397,679867525,0,1300,7,1866
21556565,4197677,471481327,591018836,0,1300,7,1866
23195241,4367265,519275571,644047372,0,1300,7,1866
15712961,3236292,338703417,422003920,0,1300,7,1866
19598319,3867102,426997173,542902804,0,1300,7,1866
22735448,4394569,478202499,627707843,0,1300,7,1866
24535423,4737445,526031667,691019168,0,1300,7,1866
21234077,4105819,431531880,576704086,0,1300,7,1866
26508881,5176157,575215533,748788442,0,1300,7,1866
22823105,4537623,495060671,638917203,0,1300,7,1866
25200416,4979198,544718697,715088562,0,1300,7,1866
24102186,4728658,506450064,676019120,0,1300,7,1866
21132954,4199238,434633665,578583213,0,1300,7,1866
25243738,4903783,542841263,691961385,0,1300,7,1866
28807102,5367330,639259881,802501423,0,1300,7,1866
27668667,5276009,593511644,758556711,0,1300,7,1866
25753302,4899742,576321295,721616707,0,1300,7,1866
25008445,4894908,562623540,702827033,0,1300,7,1866
19433465,3958926,428702213,537069593,0,1300,7,1866
25860523,4923298,569565504,719081448,0,1300,7,1866
22428676,4440910,499723636,631491162,0,1300,7,1866
22866189,4586132,500024497,652728836,0,1300,7,1866
26006247,5121712,544041448,726725860,0,1300,7,1866
21758162,4244046,488913416,608058536,0,1300,7,1866
20065340,4015133,426361407,549895725,0,1300,7,1866
25433649,5086948,528500140,719122075,0,1300,7,1866
26093526,5143865,539059295,724728035,0,1300,7,1866
28024646,5350035,593938921,784120879,0,1300,7,1866
24971823,4869062,521262495,687680310,0,1300,7,1866
19836033,3935048,442002424,556589630,0,1300,7,1866
17197916,3574155,357514399,465673143,0,1300,7,1866
25431174,5089544,547100937,723774650,0,1300,7,1866
27563981,5399735,584727128,781295427,0,1300,7,1866
26065801,5165501,541121066,727086563,0,1300,7,1866
27518641,5298739,590258056,779034598,0,1300,7,1866
27313375,5455171,572859977,773743668,0,1300,7,1866
27305816,5442988,591700130,787381837,4,1300,7,1866
27530788,5354396,577111559,770544012,0,1300,7,1866
27328177,5383390,574194113,774584750,0,1300,7,1866
25796937,4969152,568882764,731671476,0,1300,7,1866
24479180,4767820,508194442,676470392,0,1300,7,1866
28071306,5393774,597591394,788323941,0,1300,7,1866
21919825,4393071,439181557,600708065,0,1300,7,1866
28282162,5370297,597640196,792594307,0,1300,7,1866
22201085,4376144,480908320,632477774,0,1300,7,1866
26399658,5126184,578490940,754874396,0,1300,7,1866
25268009,5022818,523331028,711581347,0,1300,7,1866
23151920,4566934,484905809,645085563,0,1300,7,1866
24082945,4338018,543358827,660703833,0,1300,7,1866
25491948,4776255,548744099,693122911,0,1300,7,1866
28665153,5431111,643764599,796121881,0,1300,7,1866
