llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
22705448,4400860,461391948,625548132,2,1300,1,1866
29953016,5390106,621765970,792285418,0,1300,3,1866
30084551,5410472,643477374,804465891,0,1300,3,1866
26288711,4787255,552595679,703247541,0,1300,4,1866
30516056,5454467,624834962,802431237,0,1300,4,1866
30182357,5511612,627509064,801201971,0,1300,4,1866
30217962,5455625,648597302,805901981,0,1300,5,1866
29513214,5400022,649339307,805423942,0,1300,5,1866
22460420,4268808,461087165,585991671,0,1300,6,1866
21999141,4230802,446820331,578818975,0,1300,6,1866
26524457,4889372,558833283,711050864,0,1300,6,1866
26763109,4976428,571079106,725309678,0,1300,6,1866
30348746,5570106,627122937,804547471,0,1300,6,1866
28499150,5278524,598112283,765434646,0,1300,6,1866
28719301,5361653,565127917,769541923,0,1300,6,1866
28267004,5455128,583906364,783340543,0,1300,7,1866
29148599,5478053,581384936,782755972,0,1300,7,1866
28054051,5367759,582360613,771968143,0,1300,7,1866
26623338,5004535,565307643,715279582,0,1300,7,1866
28486388,5232563,604542834,763472566,0,1300,7,1866
27992623,5235411,596574335,761844775,0,1300,7,1866
29377507,5352354,612243225,780098635,0,1300,7,1866
30073780,5424428,626818752,803777340,0,1300,7,1866
29095641,5354076,634618279,794867958,0,1300,7,1866
29368952,5390229,614048928,787597542,0,1300,7,1866
24998794,4818484,515998602,685725934,0,1300,7,1866
27362936,5204605,561978714,732357161,2,1300,7,1866
23445539,4510039,497938808,629169747,0,1300,7,1866
29340030,5318896,650144003,801026648,0,1300,7,1866
27951185,5136086,595648137,742766694,0,1300,7,1866
25845590,4870060,551322296,700023597,2,1300,7,1866
29393548,5333967,630480922,793145565,0,1300,7,1866
26558829,4832572,560852066,704373932,0,1300,7,1866
25355317,4774136,545293866,687985451,0,1300,7,1866
26278927,4887651,538554448,690022747,0,1300,7,1866
29766198,5425597,639026611,799013555,0,1300,7,1866
29093424,5315131,640642540,795063204,0,1300,7,1866
25792097,4783296,550146319,692571460,0,1300,7,1866
27975845,5132812,579476339,739165252,0,1300,7,1866
28482943,5254483,601249496,764957203,0,1300,7,1866
24200427,4564694,494824851,646593659,0,1300,7,1866
