llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
9761029,1632786,238201086,401835891,0,1300,1,1866
13027081,1780886,268108586,403406665,0,1300,2,1866
21727936,1380437,140092494,402446634,0,1300,2,1866
13414919,1550304,227373993,395121589,0,1300,3,1866
12957221,1920817,216056295,404221903,0,1300,4,1866
10900810,1841293,222793840,366255051,0,1300,4,1866
14312702,1999385,208903557,401445505,0,1300,4,1866
15817861,2033952,226743596,402681235,3,1300,4,1866
12989157,1326934,115287132,404119701,0,1300,5,1866
15082738,1957178,215162111,400035620,5,1300,5,1866
14747177,1728070,180100553,400789924,4,1300,5,1866
14390944,1989153,215816737,401191832,3,1300,5,1866
15127104,2376268,252967976,400950932,0,1300,5,1866
12043139,1497198,103134287,365122460,0,1300,6,1866
14884988,1874539,165377813,402822223,5,1300,6,1866
13992218,1962269,174481145,392768692,4,1300,6,1866
15395587,2258583,202475700,397356166,2,1300,6,1866
14583877,2289754,202295695,388580150,5,1300,6,1866
14955288,2540703,240677008,394297027,0,1300,7,1866
11409791,1942525,129314215,403531853,0,1300,7,1866
13593578,1695739,183041423,402472083,0,1300,7,1866
14058338,2033198,192180196,403270681,0,1300,7,1866
14185584,2295359,203606956,401527157,0,1300,7,1866
15037277,2493646,181854971,401677231,2,1300,7,1866
14472651,2257904,187036052,403503761,1,1300,7,1866
13682234,2353458,185377883,399311543,2,1300,7,1866
14328134,2291485,186595576,399306698,0,1300,7,1866
14082539,2051478,186766079,401224621,0,1300,7,1866
14477280,1810495,184405918,403661500,0,1300,7,1866
14697410,2070113,181748695,403542947,4,1300,7,1866
16062111,3363472,166604583,402724932,12,1300,7,1866
12216764,3759012,139488972,422567925,0,1300,7,1866
17872709,5136993,674734638,689903447,0,1300,8,1866
29119678,6815954,889875237,833061724,0,1300,8,1866
29791831,6677727,766566724,833976293,0,1300,8,1866
28947651,6957100,802059012,815330429,0,1300,8,1866
