llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
25375230,5388658,236160152,401175497,0,1300,0,1866
51128915,10715635,476180557,804188702,0,1300,1,1866
44889559,9432392,420005970,738659772,0,1300,1,1866
48538381,10291605,450933069,762373127,0,1300,3,1866
49028319,10070723,459611879,770319427,0,1300,3,1866
48134536,10008716,450849688,766329249,0,1300,4,1866
44985238,9007772,423147445,696342759,0,1300,4,1866
45046998,9663090,419743234,735490802,0,1300,5,1866
50510987,10541542,473147621,805984341,0,1300,5,1866
46665622,9604325,436378828,720944233,0,1300,5,1866
46333597,9506689,434465209,738231004,0,1300,5,1866
50298618,10531292,468503358,791791167,0,1300,6,1866
37140509,7894262,344975573,590548194,0,1300,6,1866
44600943,9235245,416015056,697182705,0,1300,6,1866
49054105,10184358,457348723,773460225,0,1300,6,1866
39642959,8090503,371579817,614554527,0,1300,6,1866
50996136,10595716,476611825,806235593,0,1300,6,1866
49080270,10543803,458052273,807423319,0,1300,6,1866
50014214,10285324,470124911,801290032,2,1300,6,1866
50816967,10448475,477216078,803856041,0,1300,6,1866
49133075,10250446,460220127,783285837,2,1300,7,1866
42137810,8883249,392921822,648859522,0,1300,7,1866
48126104,9811432,451967954,770695097,0,1300,7,1866
49771112,10314773,467293861,807221027,0,1300,7,1866
48721605,9868887,458629007,767896730,0,1300,7,1866
43905137,9264710,408949415,689244484,0,1300,7,1866
47046378,9705636,440869498,739258461,0,1300,7,1866
38864916,7812956,364363675,591742926,0,1300,7,1866
44754251,9411513,419067118,725899632,0,1300,7,1866
38652985,7999611,360502080,596905933,0,1300,7,1866
40628505,8379318,380801865,640351133,0,1300,7,1866
44630105,9202612,417992109,694645948,0,1300,7,1866
40134857,8434299,373348032,630191260,0,1300,7,1866
44682300,9672254,415785647,730601640,0,1300,7,1866
32031052,6383392,301088735,480311039,0,1300,7,1866
43978651,8967713,412977368,694116533,0,1300,6,1866
47655006,9704040,447571076,755412564,0,1300,6,1866
46388798,9288807,435334288,721387496,0,1300,6,1866
39302086,8087761,369000648,616958551,0,1300,6,1866
41940222,8536118,391700539,644552811,0,1300,6,1866
42082861,8683246,393930208,657558495,0,1300,6,1866
47063132,9859967,439243619,742703325,0,1300,6,1866
44571037,9203654,415795815,696004087,0,1300,6,1866
40087379,8093930,376634046,631560245,0,1300,6,1866
