llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
10941179,2472665,746280008,746922016,0,1300,0,1866
14872231,3649270,601094837,785292637,0,1300,0,1866
29355210,3638658,592218772,804146383,0,1300,1,1866
79843928,2746216,654322717,807641850,0,1300,1,1866
17043978,5732195,226860577,808375643,0,1300,1,1866
17873426,5838372,239428173,807640947,0,1300,1,1866
17898633,6078380,251263690,807164623,0,1300,1,1866
21457877,6586456,319920718,806287268,0,1300,2,1866
18461961,5967506,284720109,807885528,0,1300,2,1866
17233606,5762334,284735340,808506661,0,1300,3,1866
19670888,5654099,330984230,808504999,0,1300,3,1866
23024466,5939601,351375717,808487921,0,1300,3,1866
19587860,5484082,300854449,805898285,0,1300,3,1866
20123802,4663813,354428636,800047267,0,1300,3,1866
26603934,4772311,421671065,799905296,0,1300,3,1866
23551213,5525283,371914170,802171459,0,1300,3,1866
17202195,5982311,231376922,799824286,0,1300,3,1866
18308548,6226940,258662101,799702349,0,1300,3,1866
19816297,6337099,275225928,807614589,0,1300,3,1866
20999209,6433397,323163837,801115465,0,1300,3,1866
21536025,6279185,357960205,807519494,0,1300,3,1866
19491719,5510545,292187650,800130608,0,1300,3,1866
21638070,5614514,329415269,799835923,0,1300,3,1866
17426884,5074343,241719675,719160512,0,1300,3,1866
20025804,6031508,301943479,800165329,0,1300,3,1866
18321959,6164425,255963899,807571497,0,1300,3,1866
17455385,5841589,237623639,799518823,0,1300,3,1866
17567430,5728790,258571838,800073020,0,1300,3,1866
20638591,6213994,320346247,799547508,0,1300,3,1866
20948975,5574893,309584572,799772783,0,1300,3,1866
22038115,6257008,334430734,807413843,0,1300,3,1866
19344563,5685500,283694606,808821954,0,1300,3,1866
22107695,4378461,371610451,758921933,0,1300,3,1866
14424338,4669278,202912606,654066280,0,1300,3,1866
17657815,5799519,265184000,800631333,0,1300,3,1866
17406624,6005300,231249801,799633725,0,1300,3,1866
21541155,5973432,308100628,800368966,0,1300,3,1866
20496845,5834612,298936828,807122786,0,1300,3,1866
16516072,5226106,259543045,805663830,0,1300,4,1866
20237033,5780204,279062917,799977445,0,1300,4,1866
19408346,6228755,293332145,808134530,0,1300,4,1866
18266409,6094509,245848969,799369716,0,1300,4,1866
19002876,6080217,261866874,808044998,0,1300,4,1866
17371170,5761546,236295602,805472844,0,1300,4,1866
23338919,6087470,356930048,807303861,0,1300,4,1866
19193979,6097534,281791412,807111613,0,1300,4,1866
19408104,6026504,278542427,799849065,0,1300,4,1866
19328124,6275108,258624346,797588989,0,1300,4,1866
17663414,6042151,243839604,807699173,4,1300,4,1866
16850533,5515721,243778565,800018554,0,1300,4,1866
16775824,5475497,236941654,807678135,4,1300,4,1866
19006971,6033779,278462939,808606648,0,1300,4,1866
19773120,5998699,280283357,800201900,0,1300,4,1866
22083103,6017336,321920850,807509708,0,1300,4,1866
21230821,5764922,310578983,799580186,0,1300,4,1866
20498182,5613799,320861277,808216592,0,1300,4,1866
24995410,6183485,369666532,802631800,0,1300,4,1866
20194914,5925786,296964422,798871206,0,1300,4,1866
21784505,6642414,305206357,799885231,0,1300,4,1866
17272319,5592726,240287812,799707677,0,1300,4,1866
18660341,5731177,267883487,799783735,0,1300,4,1866
16476783,6022953,206901432,806916038,0,1300,4,1866
21292555,5651559,326391042,807963636,0,1300,4,1866
17813779,5890914,249381163,799637627,0,1300,4,1866
20496746,6384079,296564612,799786700,0,1300,4,1866
20741015,6344908,302879453,807889419,0,1300,4,1866
19204082,6183598,261742276,800121889,0,1300,4,1866
19600541,5963880,265081731,807786085,0,1300,4,1866
24065317,6305060,362978097,799398661,0,1300,4,1866
21358201,5846889,311883753,808536949,0,1300,4,1866
24021260,5879198,372638709,799967697,0,1300,4,1866
22252697,6596579,329309650,807169646,0,1300,4,1866
20539849,6299112,304136759,799743272,0,1300,4,1866
22009088,6509941,309353668,799965810,0,1300,4,1866
21550129,5510816,322397408,799473285,0,1300,4,1866
19203386,5499996,270190401,800876081,0,1300,4,1866
21973062,6185305,318693070,799761278,0,1300,4,1866
16554654,5680205,214778943,799896028,0,1300,4,1866
17173204,5531608,229590748,799700071,0,1300,4,1866
17954504,5906161,254274481,799970813,0,1300,4,1866
20520111,6417594,303978235,808856048,0,1300,4,1866
18324848,5979836,266052971,799122780,0,1300,4,1866
17908281,5885069,241058810,800319157,0,1300,4,1866
16515959,6009332,213739684,799107794,0,1300,4,1866
18393667,5996814,281008443,807785986,0,1300,4,1866
18471409,5737188,272393998,807741148,0,1300,4,1866
17924448,6000153,257763140,799926816,0,1300,4,1866
19841304,6037920,294515754,808447845,0,1300,4,1866
20742087,5630660,315308426,799821489,0,1300,4,1866
21235779,5307201,314951772,808138257,0,1300,4,1866
19900014,5335716,291988461,799704091,0,1300,4,1866
19409592,5340678,293173988,800121995,0,1300,4,1866
19914010,5415694,307022102,800695075,0,1300,4,1866
21110913,5868878,308886587,803019976,0,1300,4,1866
19570155,6260125,283683866,800753541,0,1300,4,1866
18220087,5944804,264014635,808205212,2,1300,4,1866
16575993,5800147,219264081,807514544,0,1300,4,1866
15267801,5402557,213282537,795997623,2,1300,4,1866
17685894,5909112,259169903,806073392,0,1300,4,1866
21898534,6658745,307942101,800055275,0,1300,4,1866
23539010,6789246,356544591,800480239,0,1300,4,1866
22854635,6716538,340942773,800811072,0,1300,4,1866
17872058,6173566,226795149,803668411,0,1300,4,1866
19790706,5698369,286795610,799842623,0,1300,4,1866
22637980,5762315,352556000,800904263,0,1300,4,1866
25046893,5247435,379796452,799741755,0,1300,4,1866
22120257,5805730,344564666,800528158,0,1300,4,1866
23913587,6199908,375307355,797838662,0,1300,4,1866
22262628,5706994,320035021,799638654,0,1300,4,1866
19235724,6146844,275345863,798413302,0,1300,4,1866
19583017,6220893,284485324,807964735,0,1300,4,1866
17836154,5630161,286099407,799465662,0,1300,4,1866
18621198,5841533,278516580,800033394,0,1300,4,1866
20262030,5433953,316899306,808662406,0,1300,4,1866
20166527,5837187,309894427,808284612,0,1300,4,1866
16763339,6053732,214425664,800027648,0,1300,4,1866
18519033,6230886,254467602,808344003,0,1300,4,1866
18154648,6060166,252447456,801371136,0,1300,4,1866
17627559,5875105,243178328,808274074,0,1300,4,1866
19795766,5686167,300697318,800982871,0,1300,4,1866
21105108,5648789,318082192,800510656,0,1300,4,1866
20389023,5680828,296339780,799621143,0,1300,4,1866
19812192,5799527,282292712,799504642,0,1300,4,1866
17241448,5850027,249814805,798228363,0,1300,4,1866
19813889,5871177,307894644,808898209,0,1300,4,1866
21644073,5643911,330909328,800509045,0,1300,4,1866
19714130,6104079,278595954,799390737,0,1300,4,1866
21267718,6384194,335058673,807743406,0,1300,4,1866
21357882,6359472,331209559,799983809,0,1300,4,1866
18218601,6019306,255054863,799800175,0,1300,4,1866
18046635,5828687,273157123,799861657,0,1300,4,1866
20293491,6145849,308747749,800710279,0,1300,4,1866
17574901,5825483,240830569,807771535,0,1300,4,1866
21710673,6034427,329602949,799765385,0,1300,4,1866
23085653,6140994,357582855,800789078,0,1300,4,1866
21541288,5076506,338307304,807910070,0,1300,4,1866
25445913,5083465,405799867,800330768,0,1300,4,1866
20413576,5748006,294337922,808180234,0,1300,4,1866
18365076,5882327,300101614,799458370,0,1300,4,1866
19924501,5949692,329763088,807729658,0,1300,4,1866
19197388,6082617,293997523,808431171,0,1300,4,1866
19254009,5997830,273257651,807360034,0,1300,4,1866
17593310,5767962,247211549,800013480,0,1300,4,1866
17986719,5753770,297082570,802614247,0,1300,4,1866
18229767,5335716,281791782,800017601,4,1300,4,1866
18460130,4778026,282796391,806994307,0,1300,4,1866
17831715,5012599,292261959,800188463,0,1300,4,1866
22993782,6165776,337418709,804618914,0,1300,4,1866
23414054,5380570,343334675,800763766,0,1300,4,1866
17816293,5784574,251365996,807676214,0,1300,4,1866
20577737,6315422,312337077,800768230,0,1300,4,1866
19602760,6040961,299338899,799433676,0,1300,4,1866
21363206,6310743,333736937,799824959,0,1300,4,1866
20435106,5494109,312929865,807908336,0,1300,4,1866
21281895,5453875,327710187,800247469,0,1300,4,1866
19893467,5762975,298827281,808016034,0,1300,4,1866
19187753,5708344,267644692,800864129,0,1300,4,1866
21356523,5492481,318845647,799434774,0,1300,4,1866
25167451,5851129,376515536,804122748,0,1300,4,1866
19119835,5944136,279955631,799587006,0,1300,4,1866
16769031,5672931,220910243,800436928,0,1300,4,1866
21517849,5790985,311939153,808273733,0,1300,4,1866
17421363,5844839,227783065,798303482,0,1300,4,1866
16951736,5632949,230197792,807328714,0,1300,4,1866
19668517,5639950,314311778,806971974,0,1300,4,1866
16264270,5136785,236350439,803174972,0,1300,4,1866
