llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
1603436,310330,772102284,684805796,0,1300,0,1866
2298657,442131,603371885,407244078,0,1300,0,1866
2337039,434555,599655357,406861540,0,1300,0,1866
2262934,415279,590839291,407208742,0,1300,0,1866
2144242,398442,587913877,406872194,0,1300,0,1866
2282342,436973,594647168,407158036,0,1300,0,1866
2261306,425586,612110386,407238390,0,1300,0,1866
2104869,398990,604071642,407231531,0,1300,0,1866
8429782,2295568,646126416,406918840,0,1300,0,1866
3826601,962186,708731888,406277652,0,1300,0,1866
1671402,245484,751843008,406857579,0,1300,0,1866
24740594,1397712,322987147,407196386,0,1300,0,1866
40005420,7265834,395933364,654003436,0,1300,0,1866
53393392,9722739,502297006,812546824,0,1300,2,1866
51927121,10497005,481318672,805828677,0,1300,2,1866
52334823,10318319,487288950,805791085,0,1300,3,1866
52189703,9967908,488803799,813575298,0,1300,4,1866
52727855,10250079,491802016,813915621,0,1300,4,1866
52429126,10617385,486103002,806340042,0,1300,5,1866
52407011,10758451,484198044,805953160,0,1300,5,1866
52416012,9616820,493462927,805888087,0,1300,6,1866
52314780,9600279,492821409,805649859,0,1300,6,1866
52821020,10260889,492483477,813655224,0,1300,6,1866
53100451,10541042,493397182,814534074,0,1300,7,1866
53752663,9792104,505022180,813834917,0,1300,7,1866
52923755,10155204,494901680,814101282,0,1300,7,1866
51748736,10728609,478599213,813464709,0,1300,7,1866
52543295,10700124,486293443,806085124,0,1300,7,1866
52275841,10530326,484752248,805743855,0,1300,7,1866
52468174,10602094,486821534,806366699,0,1300,7,1866
53496342,9702550,503489070,814348744,0,1300,7,1866
52339742,10043198,490683659,813797118,0,1300,7,1866
52330670,10788443,484518147,813550205,0,1300,8,1866
53209032,10360536,495717759,814640996,0,1300,8,1866
52345377,10801323,484036391,812191308,0,1300,8,1866
52277972,10939081,482516334,806292325,0,1300,8,1866
52046838,9789121,488535865,804759782,0,1300,8,1866
53089592,10967286,491076260,814610832,0,1300,8,1866
52473570,9613344,493606111,804685849,0,1300,8,1866
52750194,10279927,491547692,806452463,0,1300,8,1866
52628650,10630940,487171794,806174390,0,1300,8,1866
51958552,10089952,485509418,813975846,0,1300,8,1866
52156610,11051042,480385050,806394816,0,1300,8,1866
53292331,9754072,500908109,804700806,0,1300,8,1866
52410186,11105866,482525655,802892436,0,1300,8,1866
54408702,9996679,510539707,814474766,0,1300,8,1866
53557591,9738563,505547402,816613192,0,1300,8,1866
53366526,9919434,501097213,807543311,0,1300,8,1866
52524349,10583815,487169243,814578293,0,1300,8,1866
52497857,10933016,484628514,814575386,0,1300,8,1866
52907491,9649980,497689998,805953345,4,1300,8,1866
52399358,10857266,484880079,814024051,0,1300,8,1866
51626778,10793056,477543090,805438607,4,1300,8,1866
54082788,10085265,507077471,814670969,0,1300,8,1866
53994675,9765606,509167825,814321337,0,1300,8,1866
53868229,9756418,507840922,813771298,0,1300,8,1866
52565265,10701495,487371601,812587990,0,1300,8,1866
52500678,10172175,489242658,807445109,0,1300,8,1866
52683805,10624813,488863738,813729569,0,1300,8,1866
53450757,9872132,501347124,811975511,0,1300,8,1866
53512052,9848542,501951351,808390892,0,1300,8,1866
52835392,9539674,498203697,810665812,0,1300,8,1866
51913172,10134859,484759204,805409185,0,1300,8,1866
53214005,9608925,501746207,811949492,0,1300,8,1866
52789118,10892783,487390043,812571947,0,1300,8,1866
52397921,10767150,484423947,806029656,0,1300,8,1866
52789002,10229792,492880438,814459510,0,1300,8,1866
52731817,9619346,497234639,814023368,0,1300,8,1866
52570026,10244725,490215944,805535640,0,1300,8,1866
52697803,10565435,488475086,811643604,0,1300,8,1866
53324835,9877337,499748592,806389024,0,1300,8,1866
52512116,10366634,488821864,813726760,0,1300,8,1866
52783742,10214409,493217732,814207593,0,1300,8,1866
53948021,9773955,507061496,813966082,0,1300,8,1866
52631331,10342363,490417202,806459417,0,1300,8,1866
53201304,10145299,497077977,814086466,0,1300,8,1866
52906427,10160566,494465224,814010185,0,1300,8,1866
52024703,10763876,481202770,813816978,0,1300,8,1866
52327584,10843996,483825338,806474129,0,1300,8,1866
52619926,10308030,490066067,806480562,0,1300,8,1866
52926099,9940087,495445488,805850806,0,1300,8,1866
52908908,9650933,498558043,813807338,0,1300,8,1866
53032054,9961718,497793037,813919704,0,1300,8,1866
50688180,10933868,462317945,806058422,0,1300,8,1866
52998180,10464092,486310750,814488632,0,1300,8,1866
52394467,10424799,483016581,806350801,0,1300,8,1866
52548993,10353042,495241043,813394749,0,1300,8,1866
52837857,10340941,500108296,811387598,0,1300,8,1866
52530028,10077291,498043416,805271016,0,1300,8,1866
52214479,10628322,484949227,808415010,0,1300,8,1866
52419051,10343316,487378522,801711610,0,1300,8,1866
51411627,9779633,481033320,798012314,0,1300,8,1866
52383667,10537658,484961672,803245920,0,1300,8,1866
51572362,10866178,475440153,810672781,0,1300,8,1866
52509945,10448746,487344656,814642175,0,1300,8,1866
51588227,10743147,476493429,805672816,0,1300,8,1866
50334298,9845679,469405580,793721225,0,1300,8,1866
53031208,10864756,490635689,814548619,2,1300,8,1866
51969549,10753214,481125476,806034083,0,1300,8,1866
53178109,9704404,499897030,813813241,0,1300,8,1866
53312589,9685132,502139545,814263749,0,1300,8,1866
52752308,9648003,496187517,805714976,0,1300,8,1866
52026556,10650044,482168902,805731400,0,1300,8,1866
52651143,9563078,497015132,814246370,0,1300,8,1866
53234484,9670805,501339248,814244457,0,1300,8,1866
