llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
93366033,716952112,1562227208,3199138304,0,1122,0,1600
103237409,806733826,1807278505,3628026154,0,1122,3,1600
102047913,721793319,1570414034,3568958327,0,1122,4,1600
106702351,820984864,1754423846,3742965154,0,1122,5,1600
113660337,955943403,2080213131,3896092750,0,1122,5,1600
111660298,899970702,1950953405,3871228257,0,1122,5,1600
113977533,915336575,2029000412,3951954128,0,1122,5,1600
106738519,911185571,1998683323,3862962415,0,1122,6,1600
114909557,913296985,1962014764,3907096569,0,1122,6,1600
115946224,884054164,1950838933,3801187940,0,1122,6,1600
104236073,941615619,2120802601,3753542766,0,1122,6,1600
92473421,745917821,2147310213,3662689590,0,1122,5,1600
107881833,864421237,1903545767,3803024183,0,1122,5,1600
110297216,883803689,2012583537,3878535946,0,1122,5,1600
104378297,1016740630,2712076435,3822908829,0,1122,5,1600
101611950,925302221,2165077306,3790206200,0,1122,5,1600
74639922,907259343,2658835708,3660348046,0,1122,5,1600
102614430,993904541,2566653772,3758177673,0,1122,5,1600
115456847,950785453,2286537978,3879137982,0,1122,5,1600
100387893,783701120,1732892865,3505897473,2,1122,5,1600
93536466,722152106,1602592267,3347786975,0,1122,5,1600
109494942,812981003,1759738038,3762544283,0,1122,5,1600
81828767,652939960,1483952547,3067572914,0,1122,5,1600
99747989,756546684,1733093088,3609995592,0,1122,5,1600
79651105,647977612,1522108985,3109704396,0,1122,5,1600
109308978,772701936,1764823064,3874694106,0,1122,5,1600
98519232,696894438,1554093065,3540371486,0,1122,5,1600
102616838,641404111,1471109313,3376913894,0,1122,6,1600
109260000,628989314,1379768891,3593453150,0,1122,6,1600
123777677,730773581,1597581905,3902798140,0,1122,6,1600
73808753,563389816,1337797312,2906372963,0,1122,6,1600
113003227,652186457,1474360988,3898422150,0,1122,6,1600
95501113,905062015,2098133111,3824988660,0,1122,6,1600
100937458,823658130,1815413145,3814851912,0,1122,6,1600
107965386,802588618,1771310026,3947184564,0,1122,6,1600
99964986,745509742,1608179524,3637656469,0,1122,6,1600
103114657,1002912737,2339608477,3715830293,0,1122,6,1600
85841841,859130056,2191500663,3581151304,0,1122,6,1600
125157264,1011833728,2206546033,3852453651,0,1122,4,1600
119465099,1050542701,2417560769,3777522138,0,1122,4,1600
154979887,836467635,1854030005,3996118810,0,1122,3,1600
128227538,1039326479,2364164139,3973487377,0,1122,3,1600
141307799,1179445374,2651777031,3973526657,0,1122,3,1600
125114473,979583083,2194682207,3870099533,0,1122,4,1600
139088709,908621851,2031769953,3978496875,0,1122,3,1600
130039285,995517607,2296871346,3846751473,0,1122,3,1600
116504238,898422890,2044231830,3577907868,0,1122,4,1600
116936532,931547083,2126956667,3648130146,0,1122,4,1600
128555457,862063461,1930057754,3815819228,0,1122,5,1600
120720666,973277289,2139215564,3780851824,0,1122,4,1600
115154098,955036716,2166934213,3657222826,0,1122,4,1600
118829297,1086435104,2514400181,3920568610,0,1122,4,1600
113665213,1016253545,2353722156,3755718489,0,1122,4,1600
113924654,992469914,2264736139,3781683204,0,1122,4,1600
77743460,769816027,1782595228,2777185662,0,1122,5,1600
