llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
96353005,727035835,1584438877,3278506877,0,1122,0,1600
104705079,870606850,1906213796,3755414400,0,1122,3,1600
98282913,682763048,1492807262,3400395259,0,1122,5,1600
106083761,836430602,1783342110,3778406160,0,1122,5,1600
110632301,952239777,2078752926,3810979805,0,1122,5,1600
112195722,893931976,1941381401,3852274972,0,1122,5,1600
116375328,863893100,1901131944,3826666634,0,1122,5,1600
96667311,885520424,1985497534,3731502752,0,1122,6,1600
103850242,887999203,1953245671,3802632901,0,1122,6,1600
126011208,744360650,1643169130,3500607291,0,1122,6,1600
113872974,932699840,2126561831,3677108160,2,1122,6,1600
77278884,830575819,2282654236,3487743277,0,1122,5,1600
111749385,872763009,1896056300,3680813467,2,1122,5,1600
106951530,851924919,1948795145,3765188909,0,1122,5,1600
99513022,1007913594,2542548637,3706728203,0,1122,5,1600
99968851,844156943,1912413394,3709353651,0,1122,5,1600
79487786,869911929,2562600718,3671829642,2,1122,5,1600
99562747,1101569035,2739052133,3864141431,0,1122,5,1600
115146448,966243837,2194135255,3837792940,4,1122,5,1600
105889917,819290221,1804048427,3543761962,0,1122,5,1600
93984644,699869823,1556775294,3312232880,0,1122,5,1600
105602256,795627846,1727500735,3498933824,0,1122,5,1600
79419406,619588870,1386861664,2955090534,0,1122,5,1600
94509442,730849965,1680700619,3403907015,0,1122,5,1600
92770509,721294681,1642879862,3595217507,0,1122,5,1600
101639520,716732308,1680683171,3846964392,0,1122,5,1600
102682079,760037958,1670780352,3571971871,0,1122,6,1600
93879865,634078926,1442925234,3259639682,0,1122,6,1600
133000692,773823101,1713656617,3672817162,0,1122,6,1600
124827710,784391003,1739988565,3728992388,0,1122,4,1600
105775776,795246327,1821191107,3508065174,0,1122,4,1600
116285972,838414449,1887685773,3826015455,0,1122,3,1600
98753998,962928131,2255784060,3711059037,0,1122,3,1600
120217916,874001340,1940221494,3880179300,0,1122,3,1600
112959687,895464743,1979321306,3784692278,0,1122,3,1600
102098771,1039563970,2350646805,3575943873,0,1122,3,1600
100224450,885007440,2194102281,3744411852,0,1122,3,1600
122731082,998074367,2197847553,3844187506,0,1122,3,1600
123618573,1170404665,2733853678,3969717169,0,1122,3,1600
154465192,841721028,1895214532,4001547295,0,1122,3,1600
132261431,1004018985,2245785037,3979875479,0,1122,3,1600
129547832,1121977782,2472570644,3869997772,0,1122,3,1600
136490928,946665391,2078760420,3918755576,2,1122,4,1600
142289345,971277590,2213092775,3966564308,0,1122,4,1600
135886689,1002248522,2278334969,3844988019,0,1122,3,1600
123382543,937148821,2096097575,3627392794,0,1122,4,1600
137635154,945152787,2132951658,3926445413,0,1122,4,1600
125825545,876525277,1959789559,3671903114,12,1122,4,1600
123342161,982607079,2205597921,3921200966,0,1122,4,1600
118458432,964454932,2141447250,3658847136,0,1122,4,1600
113818569,937797663,2115584055,3532794160,0,1122,4,1600
110358073,1096586371,2475507638,3684747004,0,1122,4,1600
118773063,1014688845,2269845581,3826340320,0,1122,4,1600
99510037,1032008581,2382420567,3359134885,0,1122,4,1600
5056350,62039170,153626489,252436549,0,1122,4,1600
