llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
19484727,143693771,305853560,642293124,0,1122,0,1600
19659703,172251597,374349615,684168124,0,1122,1,1600
21371688,167872458,366608965,706240197,0,1122,2,1600
21128604,159622531,360571649,642290104,0,1122,2,1600
25873942,209929889,458115495,768263452,0,1122,2,1600
25048260,233017331,544303240,789321414,0,1122,2,1600
24181494,184427287,400956286,748529119,0,1122,2,1600
19542993,148711454,337621257,623780072,0,1122,2,1600
20077711,146074929,334673385,627637351,0,1122,2,1600
20550862,168683524,371825263,680725837,0,1122,2,1600
20916379,167913472,375491900,663926967,0,1122,2,1600
27552628,180722394,371232765,756756156,0,1122,2,1600
22889118,142282385,298697577,703757092,0,1122,2,1600
21268229,153249994,334986268,752199182,0,1122,2,1600
21586862,159388274,334504337,764061313,0,1122,3,1600
19424582,162293332,351265710,724274727,0,1122,3,1600
19938994,214980790,475057005,752767939,0,1122,4,1600
22250718,170673498,368537934,759824614,0,1032,4,1600
21543129,192500502,417923947,747890162,0,1122,4,1600
21527474,190006686,410776145,768317400,0,1032,4,1600
20624183,173002424,381551638,742310063,0,1122,4,1600
20173704,185362169,396257671,747384931,0,1032,4,1600
19055181,179632295,391719953,723310600,0,1032,4,1600
21511196,187190455,394799823,769772910,0,1122,5,1600
23164461,164636074,361513172,778622224,0,1122,5,1600
23244600,160272777,336266614,749617445,0,1122,5,1600
23398938,203871879,442717372,789664106,0,1032,5,1600
18600489,190805699,441594856,774127985,0,943,5,1600
19377677,169667558,366822319,742893740,0,1032,5,1600
17879512,193712709,417325884,728762770,0,943,5,1600
21379293,176768887,373624725,759356263,0,1032,5,1600
22969287,198106437,422956156,780748628,0,1032,5,1600
21617624,177802979,381568644,764329461,4,1032,5,1600
21399911,205551635,464915092,788749667,0,1032,5,1600
20980525,184480547,396901613,770446279,0,1032,5,1600
20558372,185929380,402274191,777187153,0,1032,5,1600
20928989,187351324,405329971,776805030,0,1032,6,1600
20948414,157890768,337120915,732625599,0,1032,6,1600
20749662,196711260,435618657,757496841,0,1032,6,1600
18910584,187525454,423403734,752662985,0,943,6,1600
21567990,171207772,362975104,753539016,0,1032,6,1600
19409107,187023353,396965235,731580680,0,943,6,1600
19620991,160662689,361037305,735521419,0,1032,6,1600
20656157,137762712,298280364,729849358,0,943,6,1600
22250026,167071873,357152050,766877679,0,943,6,1600
20906584,191311049,428810627,777009663,0,854,6,1600
21578274,143879226,314808008,742241863,0,765,6,1600
24302262,170541133,393795385,759594539,0,675,6,1600
19359452,153567636,333633625,738693558,0,586,6,1600
26604079,168292509,358567859,770662142,0,497,6,1600
23755763,186484527,416405835,735390155,0,408,6,1600
27090114,187766280,442774386,764370084,0,408,6,1600
13572916,207143068,522791719,710793652,0,497,6,1600
6274061,135237123,641715843,669515794,0,1122,6,1600
25296109,207502345,462871041,786101413,0,1122,5,1600
23571725,224263644,558808524,805172275,0,1122,5,1600
24744208,222617456,540074789,803513950,0,1122,4,1600
27026696,237710873,548735287,798928054,0,1122,4,1600
22854110,192846907,403846323,709859833,0,1122,4,1600
26805434,230832383,477908508,786116621,0,1122,4,1600
26482590,206669252,465032069,766336013,0,1122,4,1600
28067187,231789959,532680655,797035891,0,1122,3,1600
24660997,212037027,478304857,800636534,0,1122,3,1600
22505590,220838945,509263049,771529366,0,497,3,1600
21595069,149459318,379110507,783325010,0,497,3,1600
19632766,136479220,307792723,744296398,0,408,4,1600
20484405,192022039,468795595,740173497,0,318,4,1600
28761831,255807630,615012978,783637911,3,318,4,1600
16227853,221305156,611976873,737375651,0,229,4,1600
17664925,195302246,517320870,779830124,5,318,4,1600
19151326,206143774,528468751,735139808,0,229,5,1600
21686535,151606561,366032303,769181487,0,140,5,1600
20789315,140812242,287575654,779511327,0,140,5,1600
21519983,152039616,345937615,746107152,0,140,5,1600
28486262,193301280,419184534,790534718,0,140,5,1600
18768789,223834441,512701913,790129367,0,140,5,1600
11969213,223224407,551878525,778155011,0,140,5,1600
4708886,117134273,466902895,502523934,0,140,5,1600
12413536,170163859,624980433,748530583,0,140,5,1600
21114689,170748170,410121486,757303316,0,140,5,1600
20161431,218659051,555507514,759842320,0,140,5,1600
16048881,258668939,780301951,741594911,0,140,5,1600
19416301,227698225,597126280,769819532,0,140,5,1600
24407661,180113713,429878380,786174722,0,140,5,1600
19004082,156840391,340160703,755640951,0,140,5,1600
22307034,171641149,355715725,741836873,0,140,5,1600
21274939,183476704,442636321,779115192,0,140,5,1600
20429159,224956999,576303956,759141979,0,140,5,1600
25528209,195921305,445151952,760836298,0,140,5,1600
24225262,198964880,485980803,782795354,0,140,5,1600
29573852,200658977,459315272,774448315,0,140,5,1600
22905676,189392241,421668379,770920223,0,1122,5,1600
20555065,192079794,433544735,755571072,0,1122,5,1600
24729333,197712909,431795191,802308507,0,1122,4,1600
25618463,202366663,438551117,756411594,0,1122,4,1600
21091158,171808363,376763559,640499004,0,1122,4,1600
21538565,152800592,345792999,613180901,0,1122,4,1600
24192861,187461979,417407709,801635890,0,1122,4,1600
23031810,199913444,440915360,800056133,0,1122,4,1600
19460793,155182691,346599594,619591765,0,1122,3,1600
26400422,235367782,493081393,779962031,0,1122,3,1600
27741411,199786684,435637935,793653451,0,140,3,1600
23833992,181611267,414059373,766933546,5,140,3,1600
17971514,124846724,278650216,611753754,0,140,3,1600
20534851,183832450,401037156,789528989,0,140,3,1600
17492796,149138260,340393031,662440511,0,140,3,1600
12512446,92362063,217293531,466083395,0,140,4,1600
12990998,88534647,206059631,458281573,0,140,4,1600
20640090,158286460,353311903,680293263,0,140,4,1600
14243972,115395079,261387288,525646514,0,140,4,1600
16750736,163204617,424521364,670545456,0,140,4,1600
19987627,163343164,355682080,690652711,0,140,4,1600
26294613,197484493,437346607,796241903,0,140,4,1600
17396232,138259100,321644293,602098301,0,140,4,1600
14644085,143816233,341841748,567018475,0,140,3,1600
18909647,148693103,340809718,648573183,0,140,3,1600
19167950,154573005,354008376,636357591,0,140,3,1600
20992484,187180988,436860389,723759838,0,140,3,1600
22448251,140683891,334367312,747400525,0,140,3,1600
21012109,155721518,347047911,804273407,0,140,3,1600
22708684,172868517,415977414,803904464,0,140,3,1600
30365724,233808386,511460081,803993114,0,140,3,1600
22122021,192314058,435412440,799280978,0,140,3,1600
22329083,167229193,394770859,775316585,0,140,3,1600
22844335,140998775,301696585,803210350,0,140,3,1600
23999539,153347139,326132427,798587869,0,140,3,1600
27343632,145996213,333241995,793755194,0,140,3,1600
27032217,221711995,517729845,801833842,0,140,3,1600
