llc_references,llc_misses,instructions,cycles
242919,80088,1554566349,696118648
205007,85773,1605881103,717635122
195427,79896,1602819066,717565610
197441,76957,1602518721,716813865
1696594,1017098,1689766305,909171752
5329994,3231263,1782905239,1427955369
5658753,3374923,1899459614,1412541097
5729257,3395203,1929249825,1403432197
5854980,3483775,1982691349,1429382674
5771612,3416253,1948952598,1405228804
5870835,3490984,1990943865,1430137213
5822718,3475507,1964406868,1416121681
5766452,3437729,1951410349,1404140912
5888380,3510491,1988016833,1428950650
5900459,3496533,1988571051,1429064427
5878360,3490020,1998819209,1431020125
5799739,3445833,1966395319,1415395386
5677975,3362605,1946049341,1401469343
5542892,3297883,1946828207,1403959657
5442431,3245876,1958128644,1406019224
5218210,3096320,1963945657,1382339269
4924569,2976497,1966469765,1351855631
4870543,2912967,2010928841,1364602319
4801747,2904880,2127741678,1399462726
4800325,2884442,2221923691,1426494973
4635988,2836256,2250167553,1405379693
4681293,2868041,2269836680,1411902562
4805684,2860122,2309204589,1429124761
4731794,2895383,2309862772,1429270500
4822476,2869652,2303768326,1429103489
4626524,2833005,2265056984,1404973196
4702484,2846255,2267926408,1413035114
4657589,2847024,2273596512,1408990622
4715655,2822353,2233565118,1392069751
4723114,2892904,2309698335,1428784623
4845245,2893922,2308995128,1431278904
4618628,2836134,2280756785,1416304645
4746844,2891765,2305066460,1428729876
4758807,2813503,2255352729,1402579126
4615646,2846513,2259171820,1404340786
4739755,2835188,2287762116,1416184194
4655837,2839824,2252645070,1401174694
4725772,2857981,2231331615,1397136637
4627455,2832524,2267200365,1405066234
4769193,2909370,2299717209,1426558077
4715707,3008618,2217179814,1410708182
3737232,2382736,1726617086,1109583471
4700895,2866936,2287108481,1414643521
4755866,2839621,2280442419,1416853128
4649994,2851571,2259882734,1402909258
4768244,2884002,2316994114,1429652256
4739506,2846868,2268146424,1413645437
4633148,2870292,2263269801,1404190868
4784242,2957021,2245029709,1365746034
4722741,2955679,2264463534,1404586839
4767076,2931173,2234632347,1402626154
3812780,2591001,1785179296,1154718308
3394127,2186637,1463667928,973841166
3002172,1896429,1288806951,854315451
4707601,3015579,2167495953,1358937691
3670098,2294994,1685279834,1072544548
4482448,2746097,2059411164,1270195229
4744558,2956163,2306345555,1431530174
4813805,2894499,2314749132,1433883734
4678657,2849311,2272687583,1408703837
4776734,2862911,2260435280,1408577545
4642715,2857526,2275281836,1413312979
4744909,2898147,2309578152,1430853432
4733613,2822355,2261521902,1406019565
4705113,2912055,2310119322,1430819819
4789269,2874457,2323706408,1435363717
4701988,2883990,2276238068,1415967602
4796434,2896322,2316849448,1434660481
4450356,2734447,2152684832,1342208697
4816041,2890769,2311797790,1433965127
4651808,2852874,2278001739,1409812810
4723292,2887123,2278564826,1416094540
4742598,2845057,2264118861,1409690378
4650199,2850221,2277092965,1409424623
4835432,2983601,2298636675,1409180570
4901144,3075098,2326002644,1410221227
4736129,2913276,2262390509,1415497137
4813969,2909719,2320212131,1434782288
4693526,2838425,2266882483,1408925536
4743644,2914859,2315680757,1433821731
4864628,3182978,2235152675,1430560786
4645878,3284210,2158819927,1404988600
4795270,3413177,2177726615,1430558594
4822088,3007007,2259236890,1377949776
3687046,2271597,1723113557,1057302543
4629472,2833681,2129124032,1303769075
4696734,2938291,2263244403,1414339273
4779265,2879168,2280266933,1421091445
4724499,2896051,2307161935,1429168559
4635323,2838566,2261996834,1405799858
4819755,2902756,2303558168,1430431987
4123212,2696568,1854904465,1219050880
3342902,2193344,1462017279,970816444
4619863,3201481,2079585965,1360109432
3561501,2325656,1580632800,1029208186
4604229,2843068,2160448331,1355160552
4706082,2895275,2281786223,1418362084
4726211,2839354,2269637695,1410601132
4728822,2898837,2325557970,1435208715
4758996,2843267,2261474512,1408373133
4629448,2838157,2278625178,1410083076
4701949,2897436,2282344020,1418483622
4828274,2869646,2322605202,1435060720
4663144,2854205,2272925144,1408943341
4797995,2868724,2321105366,1433739839
4705553,2996786,2241396489,1414622682
3855498,2430131,1800314222,1131060923
3552950,2063215,1569470319,984903958
3488064,2014733,1499446790,936085428
5015753,3090399,2332387565,1423576757
4026505,2409287,1811553710,1124991256
4850813,3069468,2338293471,1415737485
4819998,2977759,2304456008,1430371254
4663508,2835547,2257773182,1404827831
4763523,2895825,2307248633,1431763180
4787254,2887345,2325552181,1434716032
4697210,2873629,2267037984,1414635500
4641343,2832722,2265478807,1405421673
4576397,2789976,2222297847,1380481826
4796361,2855152,2306248054,1429281161
4704283,2885141,2308817965,1428268437
4766443,2849462,2270426073,1414981394
4685594,2896701,2312783659,1430486920
4777205,2873624,2310303326,1431312185
4690626,2852559,2259298415,1405376166
4758650,2865365,2308851541,1429188972
4680107,2880107,2272816243,1414731836
4790604,2874470,2304790692,1430608951
4732834,2890739,2308468880,1429422990
4746792,2830298,2247529224,1402659413
4673153,2863395,2317249988,1432698658
4682817,2877980,2277194794,1415017992
4351863,2611806,2064188577,1288041601
4727620,2979789,2285530704,1426109911
4812520,2886314,2311069826,1433204021
4618856,2829605,2268439014,1405224994
4678797,2867313,2275327380,1415672368
4765375,2868992,2283952702,1420627347
4710735,2906906,2312608370,1431859532
4718412,2832332,2267219649,1406803993
611977,399026,296440307,187313648
