llc_references,llc_misses,instructions,cycles
426096,132694,2101164773,709330489
419217,146216,2003638943,663918051
424220,140352,2074684620,687214846
406796,128471,1970144916,652006907
398783,135094,1939404816,642949901
437871,145207,2166678617,718112973
414602,135505,2065891280,683137150
425248,142661,2031153280,671890350
449387,145211,2172299925,717363368
430857,139147,2107758539,695305253
446524,133738,2161929725,716784070
358468,114172,2000295631,717940219
293325,96302,1826754262,699086901
296520,96254,1817359519,696032293
293639,91972,1876323205,718131581
296727,95313,1798014275,688554443
298238,94157,1875787839,718021487
288736,91765,1784895525,683428718
297825,93595,1874577707,717526303
293851,93438,1876953310,718137797
291089,92521,1876478123,717995287
295574,93118,1877069125,718096159
302804,102813,1849319847,708310098
286902,97560,1788770856,684785027
299112,95469,1838295870,703964439
250115,85269,1557897778,596574365
295858,94100,1876271204,717936327
296663,95351,1875031682,717881874
293267,95495,1820817714,696992719
297256,94280,1874924416,718148449
292152,93848,1875318454,718147719
296316,93709,1875709701,717925541
294667,95427,1875744902,718014821
298832,93816,1874491014,717575213
289939,97318,1815734317,695345581
293850,100296,1828157952,700436309
294655,93476,1876047481,718034990
291187,93598,1811101903,693441872
298752,93102,1874401647,717439965
284248,91438,1758487864,673208987
291899,93336,1876589633,718092557
298558,98632,1849454163,708395372
295629,96508,1876471898,718007799
297731,93595,1874986271,717535225
287249,93731,1814482724,694672978
292900,93823,1875356098,717918936
295309,94678,1875577042,718009331
298083,95885,1875595533,717654736
300522,93581,1874696546,717493254
303496,99289,1870033088,716206191
300523,101303,1874425729,717566618
254170,96611,1553480820,595211284
293671,94987,1876570144,718062688
301041,94556,1873719373,717544638
293604,97613,1844703395,706064211
291033,90997,1821407605,697160823
294255,92384,1875680120,718037841
296341,94741,1876067964,717937946
298973,94283,1874100502,717600603
296075,94760,1876875342,718112829
296272,93593,1876647763,717935807
297073,93133,1875755412,717815020
292889,94172,1876790408,718098695
302715,94849,1873462093,717187246
292840,92930,1876202239,718172238
297873,95266,1830333579,700682663
294461,92086,1876920411,718053100
297207,100362,1849138309,707791277
303293,95104,1873774250,717506129
293112,92789,1876366120,718110938
293820,93547,1877264872,718148244
296372,93503,1875874285,717919451
294827,95016,1875137129,717799241
301301,94490,1873582866,717610349
294051,93025,1876498041,718126203
295483,94187,1875696409,717757899
294016,93123,1876622822,718119051
246031,82588,1495465087,572831125
299779,93490,1874757929,717543110
291471,94777,1836979960,702994109
294987,94982,1876058595,718127368
296584,94005,1876175106,717879964
294250,94354,1876067986,718034089
298110,93290,1874406947,717490868
294718,92293,1875606349,718158474
299693,95628,1874700803,717903791
295002,93440,1875719577,718026637
299818,94678,1874425002,717943661
298393,93405,1874117051,717461006
289785,92196,1876492654,718128839
287820,92230,1819032699,696653615
296031,93882,1875334119,717988192
286078,96074,1799370349,688829385
298989,93581,1874351713,717399939
288995,98904,1819625057,696450244
286858,89912,1803138981,690237044
296665,94250,1874681276,718046847
299014,96520,1874079207,717671589
298845,93866,1875206156,717571021
626816,419471,2448571189,897536002
23014568,19510824,780063816,1410937631
24576894,17299440,277986244,1436399864
33992261,28866977,256199345,1436968589
19143558,10285021,215880471,1421474103
34124753,24644185,330175819,1413608210
37438865,27455863,334549948,1422434092
25924920,16667149,364992578,1424331893
11703267,8039175,1479470958,1098328357
95842,54189,2077864873,717521325
89718,53734,2080417159,718203671
91053,51963,2079579463,717948106
93075,51937,2080733982,717950477
90774,51701,2080445110,718165649
96638,51962,2060867104,717203917
90040,51616,2063228427,718062883
97689,52148,2058821695,716720296
159233,68351,1396723939,489779101
