r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
144420025,1236505065,2742695041,4626855195,0,140,1,1866
129912135,988231121,2180606136,4019377313,0,140,1,1866
181165416,1512363037,3240828416,5881913303,0,140,2,1866
220211172,1770589827,3848986497,7255184861,0,140,3,1866
207471799,1748863573,3867132535,7044493277,0,140,3,1866
203240583,1691309638,3668957578,6697562015,0,140,4,1866
188999116,1641797233,3803402143,6162241732,0,140,4,1866
179344927,1455028745,3510337621,5862198474,0,140,4,1866
191281106,1529243724,3401456873,6216919277,0,140,3,1866
183408945,1910858637,4597081650,6533227500,0,140,3,1866
141547424,1549342412,3854872667,5573954580,0,140,3,1866
208340560,1858445459,4261077864,6790183861,0,140,3,1866
164576510,1435920186,3333875598,5571049121,0,140,3,1866
163445085,1825527268,5043664801,6534642445,0,140,3,1866
189091523,1527905819,3370682401,6191645437,0,140,3,1866
218985869,1662669437,3705306613,6653358014,0,140,3,1866
169380805,1395326296,3166511815,5624127685,0,140,3,1866
137761599,1088476539,2375179248,4300273666,0,140,3,1866
98037135,841357989,2011397952,3451275664,0,140,3,1866
122045185,1009702757,2249145420,4218590646,0,140,3,1866
183038089,1438201641,3137817299,6270346794,0,140,3,1866
118319563,1047484337,2452780263,4037654297,0,140,3,1866
138240102,855050593,1885560430,3822107026,0,140,3,1866
189572048,1138455811,2438563270,5541751220,0,140,3,1866
141786391,1106614492,2479913824,4829825984,0,140,3,1866
125066575,929340342,2111172360,4067218045,0,140,3,1866
122449731,1096285862,2459914990,4234586604,0,140,3,1866
156883799,1035414498,2275136860,4830130793,0,140,3,1866
176028211,1327144627,2909458178,5555167607,0,140,3,1866
162243308,1300896387,3145131461,5793121810,0,140,3,1866
193347851,1449289329,3171131685,6376154081,0,140,3,1866
213607044,1529430025,3298586139,6833827461,0,140,3,1866
204026226,1456280325,3230507720,6576271738,0,140,4,1866
107074001,833902851,1899536916,3822737080,0,140,4,1866
