llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
6862565,1476540,92625083,221512475,0,1300,1,1866
10495061,1851581,149238875,317073855,0,1300,1,1866
4720893,839088,79562220,154705980,0,1300,1,1866
8662893,1765071,127936343,278949120,0,1300,1,1866
7295216,1482397,110879411,242572178,0,1300,1,1866
11673070,1976131,222332199,387336028,0,1300,1,1866
11753268,2247772,207344826,401002437,0,1300,1,1866
10535074,2140420,160175587,352773673,0,1300,1,1866
9361279,1863579,143970299,295898636,0,1300,1,1866
10656133,2311822,160238576,345571568,4,1300,1,1866
3434208,729486,51990193,114955631,2,1300,1,1866
16132134,2832041,217971837,505006771,0,1300,1,1866
13028351,2433105,277645881,486563138,4,1300,1,1866
12008793,2219906,277217829,426196536,5,1300,1,1866
12246949,2157867,205537083,401370230,1,1300,1,1866
12524725,2517434,184491210,407562620,0,1300,2,1866
8417666,1841542,148394757,299748144,5,1300,3,1866
6026657,1098520,107167173,196624376,0,1300,3,1866
6898251,1393595,92569301,210604678,0,1300,3,1866
5762663,1212243,90709203,189067167,0,1300,3,1866
6504013,1019224,117252818,207134922,0,1300,4,1866
6178962,1308306,92114879,196349441,4,1300,4,1866
6741852,1419398,89984537,208590929,3,1300,4,1866
5577115,1130019,88048874,179996989,3,1300,3,1866
5769386,1271296,78634330,182529104,4,1300,3,1866
5935195,1442592,88228032,200078652,0,1300,3,1866
6340774,1096936,97579907,196183819,1,1300,3,1866
5550374,1207667,76669941,209849007,0,1300,3,1866
5104844,1137200,94119597,196818292,3,1300,3,1866
6378992,1104876,106816122,204510218,1,1300,3,1866
6043341,928021,114257867,201540513,1,1300,3,1866
6036374,1075904,89163711,201415355,0,1300,3,1866
6196014,1038254,83065111,193714825,0,1300,3,1866
7361653,962242,93192304,206289718,3,1300,4,1866
5473359,1131284,74530615,192731867,0,1300,4,1866
5709614,938309,67257714,161192513,0,1300,4,1866
5322894,576632,64127697,142274911,0,1300,4,1866
4295138,661485,55231617,139471622,0,1300,4,1866
2860708,461206,44945195,99360855,0,1300,4,1866
1538339,192733,20800680,43631969,1,1300,4,1866
957923,207875,13989832,34472358,0,1300,4,1866
1469034,223137,22949183,44029100,0,1300,4,1866
1715761,246903,18856199,44022313,0,1300,4,1866
1097503,194265,17666627,34563058,2,1300,4,1866
3716215,565844,52587634,108736141,2,1300,4,1866
2313775,497751,50032529,89577371,9,1300,4,1866
1296972,228288,21303530,45516604,0,1300,5,1866
962381,233317,11695917,34726406,99,1300,8,1866
1489902,250724,16969143,40560849,4,1300,10,1866
1360389,265596,13015284,38171120,0,1300,10,1866
1945648,404628,18488750,62443271,99,1300,9,1866
2453049,554992,22716241,79470521,99,1300,11,1866
2878119,509656,31544152,87327727,99,1300,14,1866
1380197,223060,18417651,40615212,97,1300,15,1866
1268077,174587,18928767,39147478,0,1300,16,1866
1151512,149430,25188508,41385422,98,1300,16,1866
833366,156653,20325600,37131526,99,1300,18,1866
1616946,214346,19652910,42566703,99,1300,19,1866
1239594,214752,19291958,37490809,99,1300,20,1866
805397,97427,21469601,38444145,99,1300,22,1866
1156035,217912,24092127,43437401,99,1300,22,1866
1392197,269829,13534099,37862668,99,1300,22,1866
1557638,193371,15111202,37376380,0,1300,22,1866
1313314,239634,15913117,41038805,98,1300,20,1866
1294962,263055,15163970,40936830,99,1300,19,1866
1109595,191703,26609294,39723792,99,1300,19,1866
1204305,237916,31318369,49468910,99,1300,19,1866
3451251,555679,42734552,99521164,99,1300,20,1866
4204099,797391,62493015,138095600,99,1300,19,1866
4438695,735383,72425615,153046443,99,1300,18,1866
4545167,670189,103366982,169527383,98,1300,18,1866
5155560,889105,79115657,173417720,14,1300,19,1866
6200805,758572,75506147,150480806,77,1300,19,1866
4803581,811049,72823016,148010974,0,1300,18,1866
1821701,390507,40052091,75072532,99,1300,19,1866
2444327,507161,43372785,93360150,0,1300,19,1866
1244214,265165,14160485,37601772,0,1300,19,1866
1718851,352656,48367973,75376570,99,1300,18,1866
2644675,502275,42822833,89567877,89,1300,18,1866
3796076,668915,64107828,127941188,73,1300,20,1866
5342436,867230,95896236,174334396,99,1300,19,1866
5222364,764802,88982499,167081001,61,1300,19,1866
6027634,758889,141787406,196854719,99,1300,17,1866
5602905,831214,143315967,200809123,99,1300,17,1866
5391695,727430,158151610,192988003,99,1300,16,1866
6489406,1121173,104537303,209035713,99,1300,15,1866
6710551,1091200,106964458,199574344,99,1300,15,1866
5745250,903791,98400524,187175602,10,1300,14,1866
5655554,990350,94908108,183490456,99,1300,13,1866
3648921,615422,52235492,113159190,99,1300,13,1866
4601893,664413,82458588,138413232,99,1300,13,1866
2488543,314420,48585702,79026688,43,1300,13,1866
2580412,292764,55962145,80555706,99,1300,13,1866
1007121,103190,30267799,39115302,9,1300,13,1866
1377938,154294,23526305,37688574,11,1300,13,1866
1044976,157362,30530484,39279656,6,1300,13,1866
1292206,266574,20637116,43127936,99,1300,12,1866
1372972,215208,21743199,39761067,99,1300,12,1866
3315188,380862,90813508,113277219,9,1300,12,1866
3914761,493221,66379586,112087546,38,1300,12,1866
5003124,671657,86926109,155141661,99,1300,12,1866
2958685,604876,41882144,92435758,99,1300,12,1866
3920789,645420,79449446,132536120,2,1300,12,1866
2768299,478429,45083452,89213805,9,1300,10,1866
1295080,159860,22693781,40195298,7,1300,10,1866
974735,115320,36168500,39123822,93,1300,10,1866
1582975,160710,25700544,40539426,99,1300,11,1866
2664699,563223,55621121,108613878,5,1300,11,1866
2425141,419316,45953074,83890902,91,1300,11,1866
4875121,801622,99249722,155728116,99,1300,11,1866
3916505,616356,70915038,121106281,99,1300,12,1866
5466523,703123,110089777,165683389,99,1300,12,1866
1652922,210283,53742630,81253391,99,1300,12,1866
2499019,261045,41823850,66973775,99,1300,12,1866
1531853,179829,21359777,43064800,99,1300,12,1866
1363320,140897,28135613,37308723,99,1300,12,1866
1161298,236887,16689166,38526960,99,1300,12,1866
1283286,197261,19162462,39583991,99,1300,12,1866
1425746,208438,32101848,45015382,58,1300,12,1866
1916496,303526,43673103,67789577,5,1300,12,1866
2452024,451585,42291142,80792764,23,1300,10,1866
4722774,713364,73406530,135723510,99,1300,10,1866
4233033,501886,82237494,122634575,5,1300,10,1866
3619183,720125,70299915,132030449,99,1300,9,1866
3088703,638379,43550882,95330587,99,1300,10,1866
2877995,551829,40435347,86943025,99,1300,10,1866
1348654,164598,26272026,39708437,99,1300,10,1866
1331771,302919,15818928,42693358,3,1300,10,1866
1450181,224850,25485284,42657781,99,1300,10,1866
