llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
7515126,1215024,109344716,229434496,0,1300,1,1866
6782236,1138844,94005835,201585835,0,1300,1,1866
2162196,352813,28634142,63227069,0,1300,1,1866
6069150,1095352,88874597,182854592,0,1300,1,1866
8179931,1271967,133382301,255640358,0,1300,1,1866
10083582,1861869,159966800,325612366,0,1300,1,1866
15978908,2671171,284435183,523559096,0,1300,2,1866
15255913,2460854,260105538,495069735,0,1300,2,1866
7257609,1195312,118990143,226578998,0,1300,2,1866
8523930,1596776,126362522,260708014,0,1300,2,1866
14069792,2513569,211683983,439150358,0,1300,2,1866
13595532,2500889,222181541,443398827,0,1300,2,1866
14925661,2072782,335713588,490815751,0,1300,2,1866
17386904,2872727,328433091,566415091,0,1300,2,1866
17106844,2918114,258789056,531191531,0,1300,2,1866
14893165,2953631,249688417,508451817,0,1300,3,1866
12327339,2569405,195175845,434467586,1,1300,3,1866
12024526,2479140,187481629,397288772,4,1300,3,1866
11960453,2649098,183626076,412004138,0,1300,3,1866
11532769,2903099,161559455,400522062,4,1300,4,1866
12202435,3072452,163385838,428214259,0,1300,5,1866
13598480,3341253,198083160,483476119,1,1300,5,1866
14017770,2424442,223745997,452218380,0,1300,5,1866
14388400,2471609,177529925,432666135,4,1300,5,1866
15286148,2301219,205624652,449539733,0,1300,5,1866
13325641,2524020,204400420,436523511,13,1300,5,1866
13249001,2658549,161231382,414340358,0,1300,5,1866
16548158,2853584,190222919,479994364,9,1300,5,1866
11940258,2492066,180436602,406360118,0,1300,5,1866
10804572,2080765,201522402,403859461,0,1300,5,1866
13227130,2206328,190177002,407066776,0,1300,5,1866
11836094,2444640,227831976,442208783,15,1300,5,1866
11945165,2330994,184997995,402824641,4,1300,5,1866
13758130,2221641,276325166,468026076,7,1300,5,1866
14904175,2232381,320371245,527307172,3,1300,5,1866
11728049,2249739,203094951,397663713,9,1300,5,1866
12024460,2248110,193776803,405463164,9,1300,5,1866
13518333,2275852,233870107,449505872,16,1300,5,1866
15559176,2094036,296212242,492653452,2,1300,5,1866
12264975,2043636,210247128,404276824,19,1300,5,1866
11558838,1976339,234142851,403531519,5,1300,5,1866
12042538,2260256,192717258,403975192,29,1300,5,1866
15789090,2592776,281653967,513049189,4,1300,5,1866
15433915,3011785,224169500,509083287,3,1300,5,1866
13426731,2668667,216725935,490877808,0,1300,6,1866
13494066,2379428,253600151,486612096,5,1300,7,1866
12794471,2079205,249410549,458464880,0,1300,7,1866
12825330,2514881,224634402,512605891,0,1300,7,1866
13651999,2345874,276013397,484772840,0,1300,7,1866
12534017,2389986,187546900,404237629,0,1300,7,1866
12421169,2351729,171474848,405221564,2,1300,6,1866
16156726,2531896,257721819,505397927,0,1300,6,1866
11790931,2438455,250428330,453308846,2,1300,6,1866
13979253,2555843,218660187,446415371,6,1300,6,1866
14067586,2374779,203965457,421985098,0,1300,6,1866
14436240,2342637,174081567,439073785,0,1300,6,1866
14854417,2071087,186222726,421703527,0,1300,6,1866
14051648,2231177,205129384,463413559,1,1300,6,1866
18789937,2302471,299871195,475961242,1,1300,6,1866
11458294,2703592,253062773,476020248,1,1300,6,1866
12819126,2529691,259591169,455181177,1,1300,6,1866
12690447,2502892,192755465,418370664,88,1300,6,1866
16004182,2876233,268446738,551160401,97,1300,7,1866
19533084,3466003,292230326,662918362,62,1300,10,1866
18638591,3126687,369009561,652142272,87,1300,12,1866
17387231,2981106,282113915,583520773,99,1300,14,1866
19519950,3010825,370771466,679577158,99,1300,15,1866
18082738,3079729,299292687,616108502,92,1300,16,1866
15750720,2868696,288600719,564232375,32,1300,15,1866
10175655,1986712,201054371,384500795,65,1300,15,1866
13264865,2587999,203239406,476253537,50,1300,15,1866
13058473,2527754,209853493,444773078,99,1300,15,1866
11083959,2284942,213323931,417966062,99,1300,14,1866
14969635,2444771,263063355,501083183,99,1300,14,1866
23784489,2394214,286167272,525864192,2,1300,14,1866
18257529,2919434,281928933,572764223,66,1300,14,1866
14582631,2764931,347395835,602360801,6,1300,13,1866
16910305,2460424,299704308,547217447,2,1300,13,1866
17559668,2768606,310464905,605581220,3,1300,12,1866
12699038,2417688,218788303,431403564,99,1300,11,1866
17492675,2953563,303150404,593404877,99,1300,12,1866
15607394,3071764,247750541,552296969,4,1300,12,1866
15624258,3124051,239710673,535867827,71,1300,11,1866
12853100,2713468,189030471,414394222,3,1300,11,1866
17334586,3112777,301302669,598833749,99,1300,11,1866
16461052,2935810,270407946,551713909,99,1300,11,1866
21389219,2228920,368173616,599821875,0,1300,11,1866
19668259,2178552,409812464,650812518,7,1300,11,1866
14266509,2382737,219283850,456229426,2,1300,12,1866
13024681,2278442,219276402,470137909,99,1300,11,1866
14029712,2298564,181266026,400583471,99,1300,12,1866
17805739,3374964,272546520,630666396,3,1300,12,1866
15721240,3201291,261610655,606141487,99,1300,11,1866
7558587,1610942,241169419,397350809,99,1300,12,1866
5848706,1714850,341520989,473041773,3,1300,11,1866
10131649,1687816,582960638,643362860,7,1300,10,1866
21918509,2940968,265067557,532824565,99,1300,10,1866
14363722,2404079,234578148,438324327,33,1300,10,1866
18441736,2953006,386399607,619540921,2,1300,11,1866
12297641,2889699,393549937,550062873,99,1300,11,1866
15648787,3269867,306474083,574023602,4,1300,11,1866
18133978,2981740,359976290,621877057,0,1300,9,1866
12324171,2073803,219551478,418893670,3,1300,10,1866
14607828,2248671,248690370,485269199,99,1300,9,1866
17760870,2516803,311434425,565807752,0,1300,9,1866
17209761,1961073,298858780,508907322,99,1300,10,1866
20614914,2586536,337627421,607746768,90,1300,9,1866
24513439,2044006,370839828,608236900,7,1300,9,1866
14764417,1934215,307771213,498742022,3,1300,10,1866
17517920,2996837,292418861,579047422,99,1300,10,1866
16797738,2473132,319043391,579509086,99,1300,10,1866
10766162,1642810,252230664,402031211,85,1300,10,1866
11215615,1608381,283378939,417086516,5,1300,11,1866
4622848,959273,86824471,157610843,38,1300,11,1866
8347193,1329998,142904030,260851286,99,1300,11,1866
14066684,2096885,248177216,425536966,99,1300,11,1866
16474434,2267912,482021825,597651853,0,1300,11,1866
16619857,2393539,509355753,644292389,78,1300,11,1866
18017875,3112808,646934291,684882622,3,1300,10,1866
22755508,3176260,502028528,710133243,99,1300,10,1866
12886771,2413677,362239933,523417449,99,1300,11,1866
18289403,2504803,387475604,548635891,3,1300,11,1866
15224800,2953562,394081502,570733205,3,1300,9,1866
17106038,3297135,334573203,632137126,99,1300,9,1866
12770080,2121623,212490182,425125659,3,1300,9,1866
12328373,2006475,249584028,434275659,10,1300,8,1866
17416480,3037745,390413237,663437665,80,1300,9,1866
5820937,1542227,300702591,388200290,78,1300,9,1866
5080322,1570253,506538780,529932987,99,1300,9,1866
14143692,2763081,457731572,602702978,2,1300,9,1866
20331465,3260940,400541332,703543261,1,1300,10,1866
18204200,2535873,602805020,664642542,3,1300,9,1866
25205140,2023776,725590596,613637364,87,1300,9,1866
16128917,2494958,534274102,560596521,3,1300,9,1866
10777606,2409312,296383522,426459959,99,1300,9,1866
15283419,3367300,403438210,624567331,3,1300,9,1866
14325646,2895108,291490862,527395478,99,1300,9,1866
18555352,2677983,281189321,543719909,99,1300,9,1866
24389620,2236500,287102582,566072881,99,1300,10,1866
20302813,2670072,371453845,665969710,2,1300,10,1866
17518722,2693818,441826841,617813913,99,1300,10,1866
20666616,2541450,406057588,638570413,99,1300,10,1866
17677899,1676546,368178399,525956439,99,1300,11,1866
24973361,1978059,398021488,618631635,99,1300,11,1866
18856719,2423684,344879399,574823581,3,1300,11,1866
16093135,2060917,273019572,536687782,5,1300,11,1866
17813690,2796581,292384737,609949963,99,1300,11,1866
19540311,2720778,355620974,568773558,4,1300,11,1866
17658508,3811010,359610576,656832788,99,1300,10,1866
17213763,2864604,402991682,624193240,4,1300,10,1866
14060194,2349800,243125693,458974854,2,1300,9,1866
19745693,2684393,342105959,623367988,99,1300,8,1866
16420626,2736378,241938845,490955487,2,1300,9,1866
10703349,1730943,199272239,344912315,3,1300,8,1866
12908404,1994614,212140774,395202971,3,1300,7,1866
16194090,2527149,231402179,497416225,91,1300,8,1866
10496164,1884395,160108940,331355959,7,1300,8,1866
8359121,2007213,163131743,325592969,11,1300,8,1866
14545985,2287694,251933783,498633426,99,1300,8,1866
9487885,1946241,138624828,302869811,3,1300,8,1866
14589412,2234188,244364822,475313536,3,1300,8,1866
11028330,1277760,214330811,346094500,29,1300,7,1866
20808244,2039833,327400848,556761876,2,1300,8,1866
12614024,2101813,189708497,385436830,4,1300,7,1866
13412654,1693237,210511468,385513953,2,1300,6,1866
17249821,2834187,291633097,558394718,2,1300,6,1866
10212567,1996891,142660558,320235599,2,1300,5,1866
10440810,2072969,141965531,331719285,7,1300,5,1866
10737129,2049647,164428014,361132217,11,1300,6,1866
11053753,1851621,208682306,385461496,3,1300,6,1866
11133377,1965051,218106600,390602655,99,1300,5,1866
12080682,1955484,253548308,438250935,3,1300,6,1866
11447724,1843554,192846848,377638802,3,1300,6,1866
9852229,1886689,143653395,318013718,3,1300,5,1866
11510331,1932785,189865393,386571172,99,1300,5,1866
13411464,2030624,209319539,391121635,3,1300,6,1866
10658596,2030648,169377616,351985056,2,1300,6,1866
11003443,1868791,174570638,349426420,99,1300,5,1866
11262612,2328304,348350416,511663824,3,1300,6,1866
8630510,1865575,150494677,306297115,3,1300,6,1866
11064831,2270561,185899092,371467836,2,1300,5,1866
18093189,2615429,282099089,562690002,96,1300,5,1866
16457662,2340589,305211808,504242311,0,1300,6,1866
11937754,2034073,182502495,373065721,2,1300,6,1866
10672055,2238662,139945113,337739500,99,1300,7,1866
8141147,1820172,163144623,322211344,2,1300,7,1866
11559865,2731691,258259492,476526926,99,1300,8,1866
11858351,2609695,188481734,413644548,2,1300,8,1866
10096718,2333685,161808512,370886967,3,1300,7,1866
11815040,2161420,194183611,391327589,4,1300,7,1866
14402492,2809984,278216871,533272240,99,1300,7,1866
9148186,1920252,162272927,316360429,2,1300,7,1866
11346509,2779500,130016670,378748318,2,1300,7,1866
11035370,2679307,155957041,382430527,3,1300,6,1866
17594738,3697140,283519736,687865406,3,1300,6,1866
15767794,2721008,258520791,558045242,2,1300,5,1866
13177493,2083651,209227474,377555433,2,1300,5,1866
16256956,1864634,229896964,390936965,0,1300,6,1866
13748698,1492842,288716021,392459047,2,1300,6,1866
9508290,2297614,222659471,392455295,1,1300,6,1866
10575007,2370584,253208464,427539932,1,1300,6,1866
18830093,3362570,371450566,682106474,2,1300,6,1866
17843489,3427179,197522099,537516802,3,1300,6,1866
11754423,2693818,136021500,399954903,2,1300,6,1866
17915610,3876133,242307561,653464619,6,1300,7,1866
15432443,2814320,187760525,466419027,2,1300,7,1866
11045470,2511520,136907258,360214383,2,1300,7,1866
10980908,2579079,124636216,364894305,0,1300,6,1866
23562425,3417294,272605849,629155989,2,1300,8,1866
11595046,2250364,265805049,435900141,2,1300,8,1866
18585291,2336831,262978807,494081077,2,1300,7,1866
10290660,2728217,224593093,431521494,99,1300,6,1866
15165725,4006019,305004003,638986380,2,1300,8,1866
10850426,2884823,184332434,395977425,6,1300,7,1866
9333604,2542489,171058031,370755927,1,1300,8,1866
11993440,2586680,149462566,372080480,99,1300,8,1866
17869250,3307759,246860832,573590741,2,1300,9,1866
15947775,2579095,186137204,429108385,4,1300,8,1866
21926300,2962170,246065842,569368775,2,1300,8,1866
16608968,2760983,201050905,465687698,99,1300,8,1866
12712116,2797047,190813841,462410108,3,1300,8,1866
10124938,2296124,121014195,325184436,2,1300,8,1866
13012970,2949651,172945773,429458304,2,1300,8,1866
11593170,2954761,120144387,377149603,2,1300,7,1866
14847321,2799624,211043302,524742488,1,1300,7,1866
15154431,2621979,197370276,469314714,2,1300,7,1866
11439051,2152432,128076800,355003262,1,1300,6,1866
11635523,2579516,127477211,373221601,2,1300,7,1866
11868759,2354229,118235658,362948183,1,1300,7,1866
11414870,2377221,130845239,357885018,99,1300,7,1866
10938533,2492606,140012890,368939266,2,1300,8,1866
20529864,2665597,207964100,483078905,2,1300,8,1866
18338807,3681773,222554010,589970581,2,1300,8,1866
14153589,3090280,187631866,470364119,8,1300,7,1866
10359161,2922169,246502101,485186812,1,1300,8,1866
13078704,3247284,222638697,498361902,3,1300,8,1866
9481028,2459619,158060601,357106063,2,1300,8,1866
9636675,2717385,159115897,373433948,99,1300,8,1866
12704868,2849937,215850552,476899929,1,1300,8,1866
15706198,3761894,285304153,632002303,2,1300,8,1866
9886750,2461025,191039988,392380662,3,1300,7,1866
9491636,2418428,140508849,353379375,99,1300,8,1866
15045522,3184386,234024398,558876759,2,1300,8,1866
13165790,2896590,248455768,499307718,2,1300,8,1866
11163163,2653457,126107368,354098283,1,1300,9,1866
11689603,2759853,126778322,371808599,99,1300,8,1866
14673757,3168434,177248530,496109204,0,1300,9,1866
14604344,3507817,197250766,576969614,3,1300,9,1866
9898323,2507091,158987889,390779089,2,1300,8,1866
23148340,3539000,253174546,645541393,99,1300,8,1866
15625880,2144048,286896439,464259134,0,1300,8,1866
14450132,3783996,320536636,639718065,2,1300,8,1866
9746476,2723919,260920807,456787880,2,1300,7,1866
9466510,2510307,161370708,360063283,2,1300,7,1866
10763477,2645563,152617508,393767766,2,1300,6,1866
17471907,3895843,264303437,653463230,2,1300,6,1866
13677097,3159016,214414136,512424417,2,1300,6,1866
