llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4503805,764667,572544022,706722557,0,1300,1,1866
3456766,568268,307213499,385520775,0,1300,1,1866
2228648,256213,52237841,81475951,0,1300,1,1866
3686704,606867,106729684,179061742,0,1300,1,1866
5924946,624806,162769691,229702651,0,1300,1,1866
5575768,921433,99912866,184368779,0,1300,2,1866
925055,168932,27249933,43155766,0,1300,2,1866
9472917,366011,78541271,148295392,0,1300,2,1866
19368722,996745,182342151,352367962,0,1300,2,1866
8969054,996404,193126597,281068755,0,1300,2,1866
10510634,1631723,170879660,322529911,0,1300,2,1866
9254815,1218429,256322964,317437819,0,1300,2,1866
3590888,747808,683518841,404381715,1,1300,2,1866
3215639,707255,702417753,404544205,0,1300,2,1866
5795229,1081317,476402419,351362253,2,1300,3,1866
8695888,2181734,505071646,329344258,4,1300,3,1866
15143016,3083099,502871457,608832962,0,1300,3,1866
30376998,4785305,626619094,778003760,2,1300,4,1866
26970605,5241233,584034479,775124847,5,1300,5,1866
24561580,4356444,458261978,639838089,0,1300,5,1866
16525792,1191133,152681370,404317430,5,1300,5,1866
11313883,1759230,171147983,309643677,2,1300,5,1866
13292770,1402305,202882681,348430870,3,1300,5,1866
12867888,1928334,191238687,344484240,8,1300,5,1866
13067534,1646920,189458072,347268637,8,1300,5,1866
13202557,1719291,190962622,332590223,2,1300,5,1866
14997431,1805745,225411143,403395325,0,1300,5,1866
16169336,2339176,257881787,402832743,0,1300,5,1866
16697784,1451202,148467627,403995924,2,1300,5,1866
14965584,1677721,205446320,403759771,4,1300,5,1866
16700656,2385444,256924551,404008553,0,1300,5,1866
15280115,1661531,194127182,403805112,4,1300,5,1866
16237942,2119409,211312154,402628987,4,1300,5,1866
14832353,2378212,207272265,395870264,4,1300,5,1866
15348730,2093638,214870642,401390750,10,1300,5,1866
14673995,2092600,211497458,392165265,0,1300,5,1866
15341342,1519721,194020379,383396213,2,1300,5,1866
15515349,2219443,225040698,404521331,1,1300,5,1866
16373536,1993416,217089980,403225686,7,1300,5,1866
15020389,1970763,215984670,400962360,13,1300,5,1866
15708254,1566890,192307479,404077336,3,1300,5,1866
14502339,1965861,220262586,405016203,2,1300,5,1866
14636270,2934771,304055271,498295947,0,1300,6,1866
16000058,3643308,821994883,743907938,0,1300,7,1866
7301364,1698131,718091564,787247873,0,1300,7,1866
30089240,5691587,409158129,777685889,0,1300,7,1866
