llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
3865815,630062,89022451,152626226,0,1300,1,1866
8225269,1235197,227934570,348376486,0,1300,1,1866
10642301,1022809,218113619,287514592,0,1300,1,1866
6346212,998049,111498965,207049249,0,1300,1,1866
13206763,580235,94800254,213402671,0,1300,2,1866
17301023,1232952,182816566,365801623,0,1300,2,1866
9980659,1005826,239489714,323763660,0,1300,2,1866
9471475,1550985,127878792,285715930,0,1300,2,1866
7150915,1119630,203586649,255497910,0,1300,2,1866
3913606,770188,684720421,407001878,1,1300,2,1866
5875363,1117598,497861949,361687530,0,1300,3,1866
7553758,1817067,86720417,190434788,0,1300,3,1866
8889546,2253702,548162414,332561509,1,1300,4,1866
12490151,3224220,451891112,585131653,0,1300,4,1866
27299242,5093337,590627427,711807366,0,1300,4,1866
25050868,4320438,517670970,711549075,2,1300,4,1866
25897088,5610096,717408559,740586649,1,1300,5,1866
23334370,3873904,406643059,642052212,0,1300,6,1866
13700586,1368767,153893883,345346391,5,1300,6,1866
11629934,1625485,185238947,330983590,0,1300,6,1866
13979919,1786676,199502137,370239622,3,1300,6,1866
13044912,1691684,185311223,342929134,6,1300,6,1866
11655087,1512267,177614128,309451202,2,1300,6,1866
14750090,1861942,211318601,385363343,2,1300,6,1866
15817513,2112113,251151091,406853146,2,1300,6,1866
15791094,1950918,183386889,408270520,0,1300,6,1866
16639090,1690158,215935480,407100907,0,1300,6,1866
16903316,2127002,222265954,404203869,5,1300,6,1866
14659280,1941454,201379844,407871589,1,1300,6,1866
16360897,1838020,214130348,405113636,5,1300,6,1866
15321075,2416652,209523703,405781523,6,1300,6,1866
15742764,2064936,221557872,408678188,10,1300,6,1866
14503463,2158987,219721525,390721777,0,1300,6,1866
16895661,1668739,201265008,406675675,10,1300,6,1866
15593847,2230863,229100193,404706460,22,1300,6,1866
15824252,1947179,209145982,396242027,4,1300,6,1866
15011064,2026130,213929622,405053242,7,1300,6,1866
15848021,1551658,188043804,406415420,7,1300,6,1866
14573112,2009435,222610778,407456674,8,1300,6,1866
15833654,3104390,320702987,503570176,0,1300,6,1866
14558864,3362251,820137065,743611469,3,1300,6,1866
9029916,2056359,576077731,639346468,0,1300,6,1866
28692679,5625850,366646888,716462801,1,1300,7,1866
53997063,4102997,778335780,747786606,1,1300,7,1866
45462706,2507279,973672009,790975025,0,1300,7,1866
40393307,2226905,942250748,765235912,2,1300,7,1866
40429183,2345763,908943653,748490606,0,1300,6,1866
42128349,2350631,831180554,666568848,0,1300,6,1866
51559796,2767178,1001197834,796618567,0,1300,6,1866
8025186,1195499,815300084,798036721,3,1300,6,1866
10628412,2431685,527498315,774825700,1,1300,6,1866
48074728,2721037,929212114,787258431,6,1300,6,1866
34150165,1641794,862763294,696548663,44,1300,6,1866
48582600,2130725,1006996627,797097880,99,1300,6,1866
12174555,2157817,714842893,810245270,99,1300,10,1866
34691599,3378435,698108073,775164850,48,1300,12,1866
44375642,2000343,1018207817,806007325,99,1300,14,1866
43653838,1949945,858985290,673682482,95,1300,15,1866
47393008,2136778,990703771,801229351,99,1300,16,1866
72241137,3182461,1000825573,804501966,19,1300,16,1866
30950330,1922168,842478203,788914075,99,1300,15,1866
8457782,1597074,609188431,749789238,37,1300,16,1866
39119085,1800578,812977361,640280251,99,1300,15,1866
28849893,1356675,679211856,533659613,99,1300,15,1866
22892171,1048682,525195653,416935899,0,1300,14,1866
34100826,1509858,789214679,611791057,3,1300,14,1866
24560175,2763782,713072217,734603108,99,1300,14,1866
27866389,1251273,852357606,660683286,2,1300,14,1866
38829991,1638600,857635268,664493938,1,1300,13,1866
44762718,1806874,1023495227,783314037,2,1300,12,1866
38668084,1655241,1013488123,793711136,8,1300,12,1866
44921959,1835769,1009776307,793676289,99,1300,12,1866
45306107,1556019,1031097421,807481292,3,1300,12,1866
22135677,2635251,728127033,787372210,75,1300,10,1866
50724880,1997091,1050758151,810851671,2,1300,11,1866
40908434,1605252,1020224903,786480380,99,1300,10,1866
40186050,1562292,1026208262,802987620,99,1300,11,1866
46556958,1783770,1000937082,787745396,3,1300,11,1866
38654576,1509560,940646643,737009435,99,1300,10,1866
24816627,1239373,892418064,782786171,99,1300,10,1866
16620257,1332991,723090297,717058318,0,1300,11,1866
40984739,1620397,1029058329,789665164,8,1300,10,1866
37325040,1388152,1016434531,788848466,0,1300,10,1866
36095470,1344317,961195881,740089841,0,1300,9,1866
7516954,1323823,660240079,715509694,2,1300,10,1866
44762693,1675203,999070890,769471804,5,1300,9,1866
40044261,1373934,1057781813,800592331,99,1300,9,1866
42753448,1900602,984015040,763729694,99,1300,9,1866
41083538,1505315,1014685450,779804125,2,1300,9,1866
39807335,1499032,985213727,754702841,2,1300,8,1866
39483498,1451902,1043436875,801974596,0,1300,9,1866
11741073,1281707,708528919,679465717,7,1300,8,1866
34869926,1477959,930781073,737669220,99,1300,9,1866
39661563,1438049,1044829402,797871405,1,1300,9,1866
43539457,1589119,976488363,739900512,2,1300,9,1866
30170072,1120855,1017686329,793210316,2,1300,8,1866
39112159,1392240,1037614557,792131614,0,1300,7,1866
41833556,1490941,1055920097,796497872,99,1300,7,1866
27824917,1175162,991608277,796039666,6,1300,8,1866
3715028,1019242,521017653,600698543,2,1300,9,1866
13723252,840626,932741662,758935071,3,1300,9,1866
12967363,593664,1015752922,805726475,0,1300,9,1866
10585979,521291,1001505052,810621729,5,1300,9,1866
16156679,734888,1021153365,808597348,99,1300,9,1866
12765321,636705,1008389778,804240181,95,1300,9,1866
10019843,756049,885597433,746450293,2,1300,10,1866
14420879,678093,1029818673,810688963,99,1300,10,1866
13377002,660191,1006130751,798024447,99,1300,10,1866
13594328,665315,1009177507,804609004,2,1300,10,1866
14997431,697983,1042813579,834916274,45,1300,10,1866
9245661,727820,791640220,690054529,99,1300,10,1866
13103519,679128,928254947,741456831,99,1300,10,1866
13286239,637462,996364221,785813920,5,1300,11,1866
9229678,473013,969624848,781619180,92,1300,10,1866
11240132,559999,1002947274,800466516,2,1300,10,1866
11909938,592801,935802510,745945214,2,1300,10,1866
11672080,726107,868364180,762478957,93,1300,10,1866
28811313,1244020,1030373376,807897979,1,1300,10,1866
25959569,1161730,1019661792,804810308,1,1300,9,1866
21345881,998446,965141629,793073768,4,1300,8,1866
32620022,1483276,975053366,762192605,99,1300,8,1866
24540041,1383723,788959921,647439595,3,1300,8,1866
18878100,1073651,905024500,735916103,7,1300,8,1866
6225628,363729,945777064,785253167,40,1300,8,1866
2831404,447110,998324092,797819891,99,1300,8,1866
3031236,517231,988713779,795086675,1,1300,9,1866
791040,197443,911418643,750723551,0,1300,9,1866
815464,219724,978770048,810586841,1,1300,9,1866
558126,159640,969857313,810619730,0,1300,9,1866
587121,152747,980619353,797941228,2,1300,9,1866
2374850,514349,863842949,766294434,4,1300,7,1866
5346996,928287,814141438,695916491,99,1300,8,1866
3374411,406975,1006845734,801705161,3,1300,8,1866
4000533,477506,915266641,737220048,99,1300,8,1866
4285170,510497,967997809,795326212,3,1300,8,1866
5995680,739070,888102495,731894584,99,1300,8,1866
10564972,1394410,615525634,561731764,99,1300,9,1866
12089319,674017,980516850,775471311,99,1300,9,1866
10801838,609377,1015893103,808584510,2,1300,9,1866
11017839,579300,969941271,779961232,2,1300,9,1866
12309527,621256,1000199816,795626135,61,1300,9,1866
7891264,793125,942380727,813274816,99,1300,10,1866
1727216,123812,1020969997,813166475,2,1300,10,1866
1736173,109072,1012668477,806801878,0,1300,10,1866
1601425,99537,1013264713,805200589,99,1300,9,1866
1768996,108846,1010368704,805252586,7,1300,9,1866
1517890,98991,1007378486,813029883,99,1300,9,1866
1733091,125993,1001774471,807074171,5,1300,9,1866
1791867,93126,1010539553,814982929,1,1300,7,1866
1361778,111651,1010944246,814481307,3,1300,8,1866
1368382,82030,999758634,803344419,3,1300,7,1866
1424319,105438,1012540199,815019681,9,1300,6,1866
3777436,617362,947529907,814905634,4,1300,7,1866
3725316,178688,1011792658,805491156,99,1300,6,1866
3569473,183197,1021454612,812616088,0,1300,7,1866
3853216,213511,1004965485,799685682,99,1300,6,1866
3641047,169545,1019887885,812014185,4,1300,7,1866
3157564,186629,1009282539,814866870,4,1300,6,1866
3903532,163863,1005520315,806684811,99,1300,6,1866
3715419,161804,1005346339,807012679,4,1300,6,1866
3727885,196325,1004087440,806415743,4,1300,5,1866
3771760,204579,1006646915,812397981,5,1300,4,1866
2134165,181911,976916009,806855868,4,1300,4,1866
312509,37851,1012992788,806750924,99,1300,4,1866
310011,38593,1015072690,806944815,5,1300,4,1866
294757,42587,1003442056,812197753,32,1300,5,1866
323256,43805,1015242218,814999674,5,1300,5,1866
633787,130642,980967030,815867861,99,1300,4,1866
762498,100290,1016009537,806707629,4,1300,5,1866
700156,70711,1016228198,805061207,4,1300,5,1866
607961,77267,1003090892,814875863,99,1300,5,1866
734789,97689,1002304043,807002459,4,1300,5,1866
593902,66569,989669076,814872323,4,1300,4,1866
153042,24373,1027116259,814866441,99,1300,4,1866
142092,18261,990559097,805212927,7,1300,4,1866
269975,48110,979695792,806815167,99,1300,4,1866
349533,49526,1008189954,805035053,6,1300,5,1866
359474,57699,1015680665,815011944,4,1300,6,1866
196473,35517,996852568,806713050,4,1300,5,1866
108459,15461,1000813732,810432569,99,1300,5,1866
184174,31048,982514539,804927435,7,1300,6,1866
222760,26723,1018966809,813343954,3,1300,5,1866
233931,37746,998881898,806723009,3,1300,5,1866
2485332,454743,799230880,795076899,3,1300,4,1866
1866209,335181,860013706,809924967,29,1300,3,1866
338982,71948,916246770,813880158,5,1300,4,1866
963501,207199,904596218,814348005,81,1300,4,1866
548951,122155,919315888,811770970,4,1300,5,1866
2507047,697775,894415474,811974508,3,1300,5,1866
5372384,365643,915945039,812057893,8,1300,5,1866
15340045,1037293,898696244,808855177,0,1300,6,1866
24459224,1684366,965437177,812435329,4,1300,5,1866
28320122,1162207,939148921,815155682,2,1300,5,1866
9882622,1733288,891308880,812060916,87,1300,6,1866
24010339,1697576,874348118,804370820,3,1300,6,1866
29159499,2742993,1010348371,814963555,3,1300,5,1866
30183179,1254588,1040170327,813863045,99,1300,5,1866
23064366,1177430,926437064,814881239,9,1300,5,1866
10998814,2882596,908957280,813785077,5,1300,6,1866
9076920,827726,976422182,806847709,99,1300,6,1866
8742952,1103999,916627305,809418470,3,1300,6,1866
307700,73923,926776499,813116742,8,1300,6,1866
611944,114522,940808524,813842486,3,1300,6,1866
437416,95819,911182435,806741007,3,1300,6,1866
554217,103301,921271924,804723907,3,1300,5,1866
717091,162246,904485521,801698970,4,1300,4,1866
779665,90997,911097930,813380604,4,1300,4,1866
4679681,862158,989090399,813099632,96,1300,5,1866
11842596,638965,964321805,811653770,2,1300,5,1866
10327531,638509,938791639,812986059,99,1300,5,1866
16295881,799856,992217204,807434942,2,1300,6,1866
26836545,1061440,1023312728,805260582,2,1300,5,1866
39349642,1628780,1040003817,815118838,99,1300,5,1866
45880799,2091180,1033407423,812096210,1,1300,6,1866
58445496,2403811,1050565430,812920758,2,1300,6,1866
61295255,1967060,1087507462,804279468,39,1300,5,1866
43766157,1493346,962590684,799955325,0,1300,6,1866
45616458,1984455,992474240,813096660,3,1300,6,1866
37154430,1776282,998468107,809009734,2,1300,5,1866
50223049,1819143,1014566844,794921100,99,1300,5,1866
40991681,1785774,988146475,794379383,0,1300,6,1866
40542946,1760413,999458613,805666010,3,1300,6,1866
49718657,1505820,1068563064,806306430,3,1300,7,1866
38249073,1718886,998568909,812013186,99,1300,7,1866
38241339,1832351,1011270918,806012866,2,1300,8,1866
54668384,1385893,1089542570,812027368,2,1300,7,1866
