llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4985534,694660,563357531,686836195,0,1300,0,1866
6215896,702274,143669677,229395696,0,1300,1,1866
10545355,850577,255907643,322777185,0,1300,1,1866
6617206,584865,144756702,192712022,0,1300,1,1866
24470277,1187961,189752327,405684334,0,1300,1,1866
13976983,1339282,265227502,406435424,0,1300,1,1866
12894898,1893616,245503700,406939259,0,1300,1,1866
6906555,1037268,524670910,394564811,0,1300,1,1866
3395926,723018,703034169,406941403,10,1300,1,1866
3546734,711370,598796342,360244485,3,1300,1,1866
8479654,1891457,250413886,268925378,4,1300,1,1866
9711223,2484728,580737061,351465016,0,1300,1,1866
15135535,3336006,428515796,584907450,3,1300,1,1866
23995544,2322330,426874736,567761049,0,1300,1,1866
16293780,3834109,508948592,472209766,12,1300,1,1866
22689835,5019368,525630254,602028123,4,1300,2,1866
21011505,3278192,465468566,558210459,0,1300,2,1866
15944130,1121826,152122248,372218212,6,1300,2,1866
12593551,1761648,184312621,342114084,0,1300,3,1866
8366290,916490,121190375,283405451,0,1300,3,1866
10353673,1580278,152298048,282073781,5,1300,3,1866
5635187,741027,86574901,143530166,6,1300,3,1866
3252933,362325,53992491,83486086,0,1300,3,1866
3056077,208718,34493029,75530669,3,1300,3,1866
2992237,541679,50995680,84274336,4,1300,3,1866
3410725,308616,43935188,80258422,2,1300,3,1866
2957030,265366,43600174,79745992,3,1300,3,1866
3840324,546996,52896566,85405209,0,1300,3,1866
2992810,436786,39313385,78680266,13,1300,3,1866
3005421,424770,51636448,79399951,3,1300,3,1866
3385519,317474,43775379,79312793,1,1300,3,1866
3593930,196258,54533201,79260296,3,1300,3,1866
3473256,496699,44233066,81076077,3,1300,3,1866
3032674,280105,49596031,79717810,17,1300,4,1866
2860826,431347,43441699,81220658,0,1300,4,1866
3422471,321413,52743374,82498808,2,1300,4,1866
3363468,488279,57311433,76825470,2,1300,5,1866
3079880,603304,68869569,80490876,1,1300,5,1866
3783970,426562,45964285,79594905,99,1300,6,1866
2868327,383985,35280416,80738076,16,1300,9,1866
4060865,330044,33530731,86515607,4,1300,9,1866
6879550,53840,40093385,105796805,0,1300,9,1866
4129364,582038,55420461,108005828,99,1300,10,1866
1251013,159279,28336895,39760430,99,1300,13,1866
1671782,113436,20033130,40126453,0,1300,14,1866
1573299,212233,19746029,38114970,99,1300,15,1866
1301451,184965,31949520,40211953,0,1300,16,1866
3806993,349491,49349858,91045100,99,1300,16,1866
2635417,349784,27762890,90857766,97,1300,18,1866
2030988,96093,12998601,57375341,30,1300,19,1866
2280507,31185,18769743,39670136,99,1300,20,1866
1587138,262265,24080645,48393949,84,1300,21,1866
1280304,187989,16334057,35387596,99,1300,21,1866
1325849,175037,23596423,37416483,6,1300,21,1866
2052453,335322,46620017,45724721,3,1300,20,1866
1879450,363574,29965165,35957489,99,1300,19,1866
2782265,547156,59283995,74715177,99,1300,19,1866
3832260,421758,40367302,80270800,99,1300,19,1866
4824558,684016,54574683,114131300,98,1300,19,1866
1374825,139779,20034269,39862488,0,1300,20,1866
2264016,48642,26862554,40037399,99,1300,18,1866
5569694,276097,75101523,117970462,99,1300,18,1866
4928568,683332,74441272,118910142,95,1300,18,1866
9073986,921594,103452106,205761231,98,1300,18,1866
8114722,1119579,114637202,202741947,7,1300,18,1866
8381407,1173639,115972902,206877615,0,1300,17,1866
10612928,1378903,150660941,264735457,99,1300,18,1866
9794765,1197675,140841592,242506924,0,1300,18,1866
9242507,1247245,131742658,235427300,0,1300,18,1866
10958283,1128794,136797417,261931875,99,1300,17,1866
9848504,906955,126379722,225465197,0,1300,17,1866
5098586,662151,67021408,122146732,98,1300,19,1866
4056229,561321,66064847,104403996,99,1300,19,1866
4014061,331090,42518845,88652708,99,1300,18,1866
1675607,216981,25061615,40229015,99,1300,17,1866
3912234,580719,49185448,94150919,99,1300,17,1866
3485957,466780,50843726,87928339,99,1300,16,1866
3497057,276470,39837735,79090518,6,1300,16,1866
2589028,371814,45158107,77113300,99,1300,15,1866
1438304,159872,19249391,38215978,94,1300,15,1866
3122927,367115,48951144,77735440,99,1300,14,1866
6578009,704727,79346255,154731122,96,1300,13,1866
7421063,839456,110043188,179683756,99,1300,13,1866
6797813,602690,79248021,166594704,4,1300,14,1866
9738478,887142,125758951,231474898,12,1300,14,1866
12777718,1465113,190575070,329499948,12,1300,14,1866
10292144,1726854,189579141,275432086,91,1300,14,1866
7177233,690229,187577575,283408093,99,1300,14,1866
6547195,1107635,324652212,297052571,99,1300,13,1866
2959354,739893,276584886,247900212,99,1300,13,1866
7670834,1640646,291314532,283972025,8,1300,13,1866
13127379,2239623,118243943,250384392,99,1300,12,1866
10228247,1846931,85795380,187560267,99,1300,12,1866
9643320,1669527,81182039,177430006,99,1300,12,1866
4100434,658978,68716225,98917884,3,1300,12,1866
95396,21605,76026653,61999046,99,1300,11,1866
3882134,213012,49160517,40773143,72,1300,11,1866
8221349,419843,101693779,80778205,99,1300,11,1866
13931389,669952,207387219,159217502,20,1300,12,1866
14473417,710940,212346851,162490814,5,1300,12,1866
13600854,681209,202284279,156320265,76,1300,12,1866
17967559,851149,333448998,252681092,40,1300,12,1866
25198828,1164497,416607378,313389805,99,1300,12,1866
23573852,1094112,366054622,274505893,99,1300,12,1866
24246284,1109531,449070866,349912569,99,1300,12,1866
33346157,1514457,483202112,373526876,99,1300,12,1866
29306875,1367591,479087000,366921982,99,1300,13,1866
30655919,1362068,487084057,366336153,99,1300,14,1866
32904240,1511490,490070890,374968581,4,1300,13,1866
3447049,632197,384884065,350161744,12,1300,13,1866
2893181,933037,272747198,341889670,6,1300,13,1866
6993131,1557460,163743699,276814806,4,1300,12,1866
10018164,1417109,189815795,210437924,99,1300,12,1866
21162403,825202,314339551,236184003,3,1300,11,1866
15497475,563759,286441869,211542672,99,1300,11,1866
8485324,361891,207522683,157751858,99,1300,11,1866
8442272,294110,128080489,91584328,99,1300,11,1866
4472519,165264,66947216,48593750,99,1300,11,1866
2500787,93343,54220252,40412007,3,1300,11,1866
991295,63738,137522312,115688870,99,1300,10,1866
14595270,480541,189672082,140255256,9,1300,10,1866
12290091,397746,166910373,122287887,4,1300,10,1866
14903996,560723,245806439,182881514,99,1300,10,1866
3703008,159109,91238746,70445357,99,1300,11,1866
206365,19045,69888106,56403424,99,1300,11,1866
2758798,96633,54880336,40712153,99,1300,11,1866
9978651,370236,124963544,90334434,99,1300,11,1866
5581381,233706,188863195,162627841,99,1300,12,1866
1077775,359314,171848896,155183235,99,1300,12,1866
8137030,1491437,105222121,162343191,99,1300,13,1866
14599952,2604558,173728819,267063775,5,1300,13,1866
23358788,962614,384766598,295251514,4,1300,13,1866
19012650,715352,329102326,244862236,99,1300,12,1866
25447909,916198,437326966,325050493,6,1300,11,1866
15921436,600669,293724486,219415082,99,1300,10,1866
17534967,652773,271256040,195360877,5,1300,10,1866
15043726,556123,293405519,216373109,5,1300,9,1866
12467290,481910,190336857,137980066,99,1300,9,1866
1221532,79686,106390898,89863734,33,1300,9,1866
2763963,109535,52839802,40079838,11,1300,9,1866
5862159,236844,70207446,53348142,99,1300,9,1866
12726947,424594,153077129,111655144,10,1300,9,1866
5819083,225865,106191050,81540934,99,1300,8,1866
398714,30565,70076650,56550616,5,1300,8,1866
4636704,147313,55512699,40172019,2,1300,7,1866
8394867,328059,101121849,75758055,4,1300,7,1866
10421575,400607,124242201,93219858,35,1300,5,1866
10977749,418714,234494700,180141563,3,1300,6,1866
18632844,557805,235724333,170447739,1,1300,6,1866
10856738,396533,214573513,160949681,4,1300,8,1866
14985498,562628,281454528,211252865,4,1300,7,1866
14311427,584131,177780759,130381299,99,1300,7,1866
9149010,327262,154860177,113818828,4,1300,7,1866
668098,102383,78521994,72178474,8,1300,6,1866
412136,138215,46575296,37993924,5,1300,7,1866
1308191,427297,94193810,120539136,7,1300,6,1866
3013919,727297,99004014,146205895,99,1300,6,1866
4029392,702683,123993285,126653004,4,1300,7,1866
14116066,445388,268311430,199400555,92,1300,7,1866
22505687,709736,389826449,285085648,99,1300,7,1866
