llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
5870749,782611,399681182,516194983,0,1300,0,1866
10295896,997151,251427718,355246550,0,1300,0,1866
10960957,862891,254882702,315845493,0,1300,0,1866
1082250,120356,11903310,28365906,0,1300,1,1866
25687284,1106078,174574238,405697784,0,1300,1,1866
12352110,1311050,299507607,406618966,0,1300,1,1866
12791864,2072714,218086046,403164657,0,1300,1,1866
5370371,909522,622566269,405490164,0,1300,1,1866
3396038,719273,706390769,407291681,4,1300,1,1866
4904499,885873,636942330,406746285,0,1300,1,1866
1652323,368782,19175119,43128522,4,1300,1,1866
13864996,3511730,558829867,386838619,0,1300,1,1866
14233066,3426600,476470066,585060677,0,1300,1,1866
26441366,2310023,422885374,639826830,3,1300,1,1866
16268960,1787118,287800579,403440046,4,1300,1,1866
11917466,2332546,303693143,358600371,1,1300,1,1866
11423323,2340628,265497298,316008221,0,1300,2,1866
10115649,2281613,218448349,303583930,5,1300,2,1866
10479931,1648596,232343701,276636243,6,1300,2,1866
14604487,1161151,203234483,324214824,3,1300,3,1866
17003121,192314,168743504,324856950,4,1300,3,1866
13946337,1148090,203996146,325204623,1,1300,3,1866
11077329,2237115,282126950,313300328,0,1300,3,1866
4858853,829503,81510793,131459044,0,1300,3,1866
4227806,449339,72441213,121121281,0,1300,3,1866
7891567,644800,109179056,171803041,7,1300,3,1866
5138962,774656,73610307,141899387,1,1300,3,1866
3345043,450496,51959179,90880357,3,1300,3,1866
1323119,169735,19374647,36477488,0,1300,3,1866
1616702,231599,24670341,46310040,0,1300,3,1866
1373974,194330,26117143,36046352,0,1300,3,1866
1605402,161438,23341754,40154442,3,1300,3,1866
1326956,157937,17353355,38908480,3,1300,3,1866
2433694,142590,25794051,44323787,3,1300,4,1866
1416688,298130,32536052,40409802,11,1300,4,1866
1880895,214984,22921141,39667824,99,1300,5,1866
1531458,205971,18707059,39634253,2,1300,8,1866
1337332,99252,18547160,39801617,0,1300,10,1866
2016406,33692,30905747,36286727,0,1300,10,1866
1629297,236512,22691516,38419788,99,1300,10,1866
1625189,312965,24495627,46179566,99,1300,12,1866
1714161,206194,18831176,38033100,0,1300,14,1866
1525992,213204,16203558,38517600,99,1300,15,1866
1512432,225416,25027949,39479938,0,1300,16,1866
1656718,186639,19681402,38715339,99,1300,16,1866
1212303,232095,29616415,40035905,93,1300,18,1866
1648605,202065,21507307,40655528,57,1300,19,1866
1612776,136141,20959564,39772265,99,1300,20,1866
2139156,67909,30496059,48161235,97,1300,22,1866
1337372,144733,21737222,34661097,99,1300,22,1866
1905902,313661,26745315,46236105,8,1300,21,1866
1484507,160682,17838661,34195578,0,1300,21,1866
4237599,514983,73984205,111911889,99,1300,19,1866
4577308,536435,65935510,114758830,99,1300,19,1866
6969654,1126443,133705144,170640206,99,1300,19,1866
8415799,1109964,104505191,206988833,99,1300,19,1866
12953218,590566,112359237,239046868,0,1300,19,1866
11976597,1239481,171444482,304451163,99,1300,18,1866
11500481,1125691,165751188,243524132,99,1300,18,1866
12534446,1885516,168090541,293669575,77,1300,18,1866
11059071,835948,145722657,249167119,99,1300,19,1866
13572366,1517415,179731901,319838070,0,1300,19,1866
10795387,1601801,143420958,264074044,41,1300,17,1866
10124956,1417174,158562765,258631184,99,1300,18,1866
7566607,809065,93684154,173358532,98,1300,18,1866
4757635,631887,74957519,128499973,0,1300,18,1866
4863228,643474,74099294,122866210,99,1300,18,1866
2747228,412468,44303812,71019634,58,1300,18,1866
1770589,204603,20377288,39073225,49,1300,19,1866
4342065,651243,63437278,105255156,4,1300,18,1866
4642858,518563,61954708,126898360,99,1300,15,1866
7186249,311780,72461613,147550715,3,1300,15,1866
8779024,1184850,123133698,215940499,6,1300,13,1866
6496425,810323,97029918,154359417,99,1300,12,1866
9043285,1150113,118194102,217042265,37,1300,13,1866
4942414,417155,58342219,109523242,24,1300,13,1866
3890125,513916,63398913,109986303,23,1300,12,1866
1611314,157582,22924829,41528142,3,1300,12,1866
1497104,230132,26695700,40003323,56,1300,12,1866
1680432,180340,22374614,40076928,99,1300,11,1866
5186711,530473,60935350,117590034,4,1300,11,1866
