llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
5277768,790299,377431816,485967249,0,1300,0,1866
9982457,1048582,272114800,390294366,0,1300,0,1866
2715209,188426,59094693,63999915,0,1300,0,1866
16075236,1400454,253119323,403246744,0,1300,0,1866
23134916,1249342,187394442,403613267,0,1300,0,1866
13595292,1140936,299543724,403739849,0,1300,0,1866
12318204,1985099,271162413,403966201,7,1300,0,1866
3522274,737778,691711973,404018392,3,1300,0,1866
1660069,354825,345717138,199817595,6,1300,0,1866
3845772,783935,676931761,403751052,5,1300,1,1866
13656916,3162212,360844141,342049419,10,1300,1,1866
7894765,2183500,615922606,472777033,4,1300,1,1866
17679090,4086763,696486273,568489004,1,1300,1,1866
16935153,3398412,372957894,426799978,0,1300,2,1866
13198161,2477322,315360530,422567811,0,1300,2,1866
10370201,2072665,200968511,297735272,4,1300,2,1866
8381069,1686798,223765386,241389536,5,1300,2,1866
7306470,774836,118612721,153244209,5,1300,2,1866
6545059,766437,123075223,157445257,0,1300,2,1866
7019331,718560,111477975,159975179,4,1300,2,1866
6585081,1018498,120172609,160785114,1,1300,2,1866
1803623,272441,26672403,50001263,4,1300,2,1866
1652309,211102,24457437,41343625,0,1300,2,1866
1576885,227952,20862374,39222459,2,1300,2,1866
1407159,195801,23345372,40043579,5,1300,2,1866
1715023,238406,23468502,40083122,11,1300,2,1866
1594814,250422,19981058,37071345,5,1300,3,1866
1464058,228783,23182300,43523365,0,1300,3,1866
1379696,222861,27002504,39029878,2,1300,3,1866
1436016,156663,23291789,39989260,3,1300,3,1866
1306843,168927,17730732,38925195,4,1300,3,1866
2385917,97703,28284428,44316338,0,1300,4,1866
1563742,197244,24349226,37988999,4,1300,4,1866
1828439,271531,36763992,41451139,96,1300,5,1866
1886369,317694,39281425,39808985,0,1300,8,1866
1941153,464283,19651086,40203272,0,1300,9,1866
981544,168710,39872933,39540384,0,1300,9,1866
1899504,218697,20157736,39633176,99,1300,9,1866
1495924,193857,15856032,39041705,99,1300,12,1866
1373262,187451,14388940,35430877,0,1300,14,1866
1843757,220821,19580979,39802068,98,1300,14,1866
1499359,280931,18186772,40217082,1,1300,16,1866
1265917,201995,17074009,39592422,99,1300,16,1866
1444130,168709,19256513,45707979,54,1300,18,1866
1222213,120611,14758014,40372162,98,1300,19,1866
2539697,22661,30559181,39617210,99,1300,20,1866
1607019,84333,20530227,39228029,99,1300,21,1866
1310467,119535,19633439,34796850,99,1300,21,1866
1777879,318149,36098355,47681375,60,1300,21,1866
1756410,167933,22838404,40242970,0,1300,20,1866
1653556,155553,22165452,39453809,99,1300,19,1866
3595065,318241,36162632,94166692,99,1300,18,1866
5285774,350949,63838471,107272519,99,1300,18,1866
6298245,412225,90669630,135022002,99,1300,18,1866
9128250,1034821,125793207,215744610,0,1300,19,1866
10216014,1126036,143371580,242531564,99,1300,18,1866
9394882,1058908,147077688,237449246,99,1300,18,1866
9487480,1216990,156715113,243805905,82,1300,18,1866
13321070,1257659,150377863,293672578,1,1300,18,1866
11956382,1345158,178474190,286434295,0,1300,18,1866
