llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4374110,652309,469363967,568812986,0,1300,0,1866
5543568,709907,143619458,227423808,0,1300,0,1866
10125828,825545,254953341,316777692,0,1300,0,1866
8491738,657812,180257089,239589126,0,1300,0,1866
2986227,256206,52397746,87285945,0,1300,0,1866
25729071,403372,178300305,341255952,0,1300,0,1866
9279544,803474,223971921,290649365,0,1300,0,1866
11489836,1194898,207403436,324482589,0,1300,0,1866
6701305,795667,214488591,241952448,0,1300,1,1866
3510714,748127,695266508,407177523,9,1300,1,1866
3270266,710733,703720822,407139246,3,1300,1,1866
5915177,1061416,482191596,346913756,2,1300,1,1866
8078366,1896002,88350353,180012145,0,1300,1,1866
8077255,2041821,683516876,374239379,3,1300,2,1866
19865372,4937709,657495445,715113407,0,1300,2,1866
30263590,6173352,754057427,795200196,0,1300,3,1866
32100401,5122676,637987622,803329267,0,1300,3,1866
25595004,2534364,343558720,589260007,4,1300,4,1866
13948737,1997074,222425528,360471515,2,1300,4,1866
16855369,1789525,235418542,399121179,4,1300,4,1866
14971836,1881566,227978248,378951919,1,1300,4,1866
14818828,1752164,209329577,348409884,0,1300,4,1866
16499592,1781833,253301825,407832515,26,1300,4,1866
16682185,2287956,265122293,407339353,0,1300,4,1866
18882245,1409567,195239571,407393861,12,1300,4,1866
16621168,1568550,223889921,402749854,5,1300,4,1866
16825377,2414306,243745287,407843530,3,1300,4,1866
17972561,1664095,235218844,406422856,10,1300,4,1866
16521246,2344010,231303219,406004362,6,1300,4,1866
16732278,2100852,239012416,407453468,5,1300,4,1866
15882596,2245679,229225494,399201075,1,1300,4,1866
16737405,1531728,222926185,407806648,0,1300,4,1866
16228785,2018744,221984679,406175276,12,1300,5,1866
15978741,2070197,231778931,407385926,6,1300,5,1866
16581268,1873304,226212466,404761095,2,1300,5,1866
16466140,1651758,214655179,405876156,12,1300,5,1866
15526534,2018425,233936735,405197877,5,1300,5,1866
15785112,3011564,656519911,718422304,17,1300,5,1866
8101743,1941196,815787406,800954150,0,1300,5,1866
26337758,4783158,475514830,800362907,7,1300,5,1866
58818849,4338737,818802847,795565013,2,1300,5,1866
45138698,2253308,1006047491,795564682,0,1300,5,1866
41509761,2069695,1019649630,813730624,32,1300,6,1866
54710071,2447868,1026224747,809545321,31,1300,8,1866
44764023,2394206,960694948,813275657,99,1300,10,1866
35481925,1912879,977773993,806974660,98,1300,12,1866
4047769,1319923,668931440,814616452,99,1300,14,1866
38524311,3276517,724747428,739406815,91,1300,16,1866
46157457,1580695,1061157887,815064677,98,1300,16,1866
49825271,1609409,1080925042,813278560,90,1300,16,1866
16787476,2558986,748155485,807563306,76,1300,16,1866
36254706,3354471,739792326,783301852,4,1300,14,1866
48236503,1944339,1040062949,803313381,99,1300,14,1866
45799148,1559884,1099335340,814983685,99,1300,13,1866
43758706,1478406,1051425287,803573731,17,1300,13,1866
55588383,1924319,1056172683,803153530,56,1300,13,1866
38625085,1550030,1013690477,810484268,87,1300,13,1866
6492075,1564622,679130730,810400644,0,1300,14,1866
42930741,1569219,1050996223,815187967,99,1300,13,1866
41474413,1172905,1077018573,814280827,99,1300,12,1866
41423611,1396496,1053841935,809534832,99,1300,13,1866
23552144,2354078,799872772,811965723,1,1300,12,1866
47269696,1443119,1061265650,799889729,7,1300,12,1866
44738110,1346669,1076756143,812058399,3,1300,13,1866
42330887,1218388,1051471291,804372417,11,1300,13,1866
44713225,1284103,1072578965,811737730,4,1300,13,1866
46674158,1303564,1078918954,808707760,61,1300,13,1866
20725630,2420519,779362783,810866436,99,1300,12,1866
51453018,1632677,1072280089,807407458,99,1300,12,1866
52390765,1565117,1086976761,813398774,6,1300,12,1866
40046021,1202727,1054261265,801569801,75,1300,12,1866
44959827,1242480,1066612158,804343780,99,1300,11,1866
46993865,1268818,1076035420,805676753,99,1300,12,1866
14124192,1043623,865185833,814521806,68,1300,11,1866
37828149,1528371,1042186160,811288701,4,1300,11,1866
37552385,1081022,1085320437,814922451,99,1300,11,1866
42220142,1296518,1080802109,812169916,8,1300,11,1866
22308364,1652613,911521685,813569042,5,1300,11,1866
44955618,1271638,1100412481,812972276,75,1300,11,1866
41058537,1226716,1094098934,814127769,94,1300,11,1866
34419076,1029345,1067831583,813913664,99,1300,12,1866
44358040,1301062,1068485838,801698387,4,1300,11,1866
40937437,1340901,1063871454,800792833,99,1300,11,1866
39308618,1544417,996369294,775451585,99,1300,11,1866
33848023,2168294,907929916,792947226,1,1300,11,1866
45863031,1281698,1103445885,813933143,99,1300,10,1866
41956114,1287272,1087323902,805826348,8,1300,10,1866
32910569,1043140,1059609172,813996160,9,1300,10,1866
39298197,1205638,1067464281,805325638,99,1300,10,1866
42979635,1318582,1081618618,810386148,99,1300,10,1866
22864844,1352394,903219547,795204175,5,1300,10,1866
8631984,669519,922573318,813611704,87,1300,10,1866
13656875,479507,1037800079,813871781,48,1300,11,1866
11624738,416111,1017305481,814913270,70,1300,11,1866
13679830,494460,1012550927,803739668,68,1300,11,1866
14025852,469358,1027948241,812954122,99,1300,11,1866
12113203,684755,998255529,813723649,99,1300,11,1866
14438145,481918,1041913446,815187896,3,1300,11,1866
11152965,417072,1014835397,807625363,4,1300,11,1866
14242078,511901,1029361343,813837729,99,1300,11,1866
13415092,495753,1032342859,814746074,99,1300,11,1866
11376426,684148,980646619,805855118,99,1300,11,1866
13391284,436457,1032427423,806937791,99,1300,11,1866
12088009,395117,1019587186,805853927,0,1300,11,1866
13038261,455184,1012196809,805550555,99,1300,10,1866
13913001,510470,1020613819,805323492,4,1300,10,1866
8170637,504008,951320731,814201553,67,1300,10,1866
26666904,982698,1038405545,805096627,99,1300,10,1866
27376285,848172,1046278602,805968212,99,1300,10,1866
17471630,659767,985884092,804993874,99,1300,10,1866
27913466,954289,1055134456,813823812,4,1300,10,1866
26023860,911709,1041342624,813704222,99,1300,10,1866
16004234,718018,988267820,813910872,99,1300,10,1866
14531010,661618,981624142,803533040,99,1300,10,1866
5694852,231070,1007452819,812239525,99,1300,10,1866
2188808,267623,992982553,805627613,5,1300,10,1866
1692923,213154,1017632229,814792941,81,1300,9,1866
1930449,230340,1010549957,814755687,4,1300,9,1866
469841,80763,968990961,805214840,5,1300,8,1866
555316,96604,990406298,811800866,99,1300,8,1866
384296,67994,985379849,814665365,99,1300,8,1866
434542,76325,1002366316,815000383,6,1300,8,1866
420529,72719,973659922,814733005,99,1300,8,1866
6359831,1228631,872466668,799411002,5,1300,8,1866
4229753,447229,1009391453,803714427,99,1300,8,1866
2832945,300384,1017220145,805278032,3,1300,8,1866
2629449,291071,1005013590,805416775,4,1300,7,1866
8232881,812828,988249795,800923033,4,1300,6,1866
13674480,1515079,915069365,795597176,4,1300,6,1866
12438486,636506,1009845744,795476336,99,1300,6,1866
9974711,475708,1008272036,807100954,3,1300,6,1866
12104240,580018,1010402597,805096655,3,1300,5,1866
14054755,672468,992546939,798754171,0,1300,6,1866
4209730,637536,943435695,792475809,4,1300,6,1866
2338037,162494,999235848,800841971,99,1300,6,1866
1691654,106701,1002874388,806565629,4,1300,6,1866
1917153,141444,1018726635,814714987,99,1300,6,1866
1626690,106274,995189883,806391511,5,1300,6,1866
1890424,135523,991160668,800028514,99,1300,6,1866
2011439,120169,994653548,802931828,5,1300,6,1866
1885851,139226,1005574910,809314179,69,1300,7,1866
1715592,104687,1009339505,813095127,4,1300,6,1866
5113913,668043,960846979,814764837,99,1300,6,1866
3683870,169071,1026893119,813279264,4,1300,6,1866
4047586,204361,1026546160,814935856,4,1300,6,1866
3809812,182064,1018049279,812947450,99,1300,6,1866
3730119,201064,983749968,798667160,4,1300,6,1866
8360010,392537,996339016,801020220,99,1300,6,1866
2893844,128726,1004218196,804970851,4,1300,6,1866
5798600,282004,1001207233,803301395,99,1300,7,1866
993166,150099,1011772682,814904419,99,1300,7,1866
288520,49525,1025961614,813043912,4,1300,7,1866
211111,27736,1010759237,815066043,99,1300,7,1866
