llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
5924785,664196,191322543,282562145,0,1300,0,1866
12306334,968292,306013393,375455948,0,1300,1,1866
9060357,764657,183656809,258775218,0,1300,1,1866
1654642,72101,32045305,48596432,0,1300,1,1866
24580043,333222,166273866,311935430,0,1300,1,1866
12019330,858657,262976886,343536425,0,1300,1,1866
12762698,1465260,251366240,378992746,0,1300,1,1866
5709757,697726,436566141,315871171,0,1300,1,1866
3470664,733465,697114660,404333795,0,1300,1,1866
3966673,806622,675250203,404511321,7,1300,1,1866
7072581,1449045,246437677,247202181,0,1300,1,1866
9004300,2099596,221252780,207563019,4,1300,2,1866
7122628,1999600,591472256,471507378,0,1300,2,1866
27436412,6031312,787055684,738070516,0,1300,2,1866
33078172,5526827,645762097,805775697,0,1300,3,1866
33180117,2656593,502958595,796210033,4,1300,4,1866
31862590,3946999,502050272,805880436,3,1300,4,1866
27278808,2788512,374927501,671630475,8,1300,4,1866
15707471,1667420,239569829,394029433,4,1300,4,1866
16037197,1975344,232226786,394857959,0,1300,4,1866
17014900,2069920,246508458,401302244,0,1300,4,1866
16160130,1742489,253480902,403869118,10,1300,4,1866
16903093,2279046,264634597,402909605,3,1300,4,1866
18385490,1306306,189782514,403425887,6,1300,4,1866
17054050,1674967,224094280,404794275,0,1300,4,1866
18138855,2362216,263369308,404688959,4,1300,4,1866
17561331,1672214,236547205,404048057,15,1300,4,1866
16184037,2328278,221535648,400036162,2,1300,4,1866
16719928,2106713,236083557,405143937,1,1300,4,1866
15721590,2276078,223461533,401338280,7,1300,4,1866
16488328,1551885,219636733,404598332,3,1300,5,1866
17375857,2004132,233936880,403556645,0,1300,5,1866
16887310,1998882,241552792,404090570,1,1300,5,1866
16929181,1874032,228478024,404798606,0,1300,5,1866
16020186,1714053,208346137,402984626,1,1300,5,1866
15281295,1990291,237731639,403610638,2,1300,5,1866
15756594,2867339,637022390,724515778,0,1300,5,1866
9564175,1905565,838334422,808430345,1,1300,5,1866
21518048,3894680,492841210,798398923,0,1300,6,1866
46781926,4409234,719296654,804462957,99,1300,7,1866
52311448,2538227,973999172,800529564,98,1300,9,1866
50604046,2386516,1033363644,807597946,99,1300,12,1866
43021460,1981504,990654492,799893410,99,1300,14,1866
51764906,2257420,1040413178,799373349,99,1300,15,1866
42643762,1927171,1008992906,800934155,98,1300,17,1866
3310011,1087130,765167726,805794612,99,1300,18,1866
15091745,2947113,464689822,720044018,99,1300,20,1866
44739129,1774062,1021687947,806984663,98,1300,21,1866
38147374,1310255,1025124705,799550222,98,1300,21,1866
38405495,1481434,1022699671,804680439,98,1300,21,1866
15565465,2129907,770581222,807378358,94,1300,21,1866
28943476,2959588,720472532,806058251,79,1300,22,1866
40851716,1595217,1035498542,803075127,3,1300,21,1866
49080132,2313705,999861851,769497324,4,1300,18,1866
48517470,1999752,998460517,767978482,99,1300,16,1866
52158502,1724030,1061407324,799112975,3,1300,15,1866
47996136,1877172,1006805180,763485788,4,1300,13,1866
6176296,1059041,712003894,757852333,99,1300,12,1866
30153403,1885006,857182999,800309975,99,1300,12,1866
38546754,1247565,1038058128,788975849,4,1300,12,1866
47616863,1732730,1008489382,764303686,99,1300,11,1866
23919085,2264418,822061673,802232285,3,1300,11,1866
42495954,1996702,946047971,765498742,8,1300,10,1866
48364261,1681438,1020711464,769574301,99,1300,10,1866
38516345,1105467,1068727280,793838407,8,1300,9,1866
53832592,1958002,1002440715,763605549,5,1300,8,1866
48930863,1958521,994787015,763211461,4,1300,7,1866
28073227,2176586,827247935,763769129,3,1300,7,1866
44682306,2333943,914579978,770481260,99,1300,7,1866
48706228,1395134,1075089558,800831804,3,1300,7,1866
42106486,1546590,996552289,760454405,9,1300,6,1866
54990753,1956950,1014416089,770269728,49,1300,7,1866
52895362,1539283,1068192442,797834771,2,1300,6,1866
15690874,1489224,777549794,767115459,3,1300,7,1866
44629679,1325684,1078940623,794459170,3,1300,7,1866
45940022,1630584,1006811409,760884193,99,1300,6,1866
38836773,1878742,952716058,780157709,4,1300,7,1866
43361131,1917453,995803630,788649222,9,1300,7,1866
56208802,1953158,1046976898,765195212,4,1300,7,1866
35677847,1077364,1036842365,790797699,99,1300,7,1866
47004197,1465967,1060956802,790718443,3,1300,7,1866
48734229,1648487,1035508324,772080854,1,1300,7,1866
29079957,1809501,866392137,757677545,4,1300,7,1866
38994540,1327885,1033870751,787859327,3,1300,7,1866
46614570,1696397,1026784139,760487507,5,1300,6,1866
42808913,1640724,1014523655,760233577,99,1300,6,1866
46560171,1371666,1060401208,791317022,3,1300,7,1866
51352368,1740915,1028153274,764970047,60,1300,7,1866
29554551,1294758,943484449,794923289,5,1300,7,1866
12480667,1247746,851142678,762240636,54,1300,7,1866
13430576,440578,1009353187,788712351,99,1300,8,1866
11247629,431609,983207007,784165424,5,1300,8,1866
14327073,505425,979430813,772276310,49,1300,8,1866
13490156,516070,997070840,787580609,11,1300,7,1866
11398862,681151,920805903,768671116,5,1300,8,1866
12997867,446661,1023288073,798763072,80,1300,7,1866
12826199,514625,955306379,754788160,5,1300,8,1866
13029249,423898,1007730542,798135666,5,1300,7,1866
14298648,577794,953768314,755313548,75,1300,7,1866
11209113,666098,937122763,781253703,9,1300,6,1866
14034344,491159,989815418,771403709,7,1300,7,1866
13002989,468578,996564399,780215746,8,1300,6,1866
12674595,485494,960375737,768034288,4,1300,7,1866
13446704,492663,991718965,783814835,99,1300,7,1866
7177090,378737,901970485,769930955,4,1300,7,1866
27203956,1003535,1025683055,798703149,5,1300,6,1866
28208553,1111247,973957259,753725883,99,1300,6,1866
16006836,695001,910092147,762436321,5,1300,6,1866
28366237,956377,1023988832,789083728,99,1300,6,1866
27940579,1112889,973626674,753945981,9,1300,6,1866
16304086,692521,969527017,790974506,4,1300,6,1866
15278280,748657,917344784,760305498,6,1300,7,1866
5463833,238166,951330486,768267735,4,1300,6,1866
3163058,272018,946635842,783149934,5,1300,5,1866
2035601,304232,940609337,753490050,99,1300,5,1866
2436727,374425,948737380,758300724,4,1300,5,1866
489186,98871,969309161,803564811,4,1300,5,1866
504213,95204,983233700,807693405,2,1300,4,1866
450720,75833,976058638,809071082,5,1300,5,1866
386444,78973,983016044,808285834,99,1300,5,1866
426844,57965,973009977,807393007,5,1300,6,1866
4877950,1019037,897547907,808272583,5,1300,5,1866
4398008,454877,1013102274,808190643,33,1300,5,1866
3330389,349751,999775150,792595168,4,1300,5,1866
3063237,295095,1002054809,806688478,99,1300,6,1866
4126820,433922,1003710622,809184541,4,1300,6,1866
3983316,390505,993302565,799167448,80,1300,6,1866
10755359,1310425,927209644,809285017,4,1300,6,1866
11480584,480678,1024180064,799749829,99,1300,6,1866
11239250,547565,1026541214,808381438,6,1300,6,1866
10530677,495182,991994333,796158710,99,1300,6,1866
13017329,625445,1002897003,795352554,3,1300,6,1866
8030031,859502,932710092,795835528,5,1300,5,1866
