llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4634568,570499,630913344,750642851,0,1300,0,1866
6999075,482728,236446019,333452124,0,1300,0,1866
8225192,644595,203380956,281220525,0,1300,1,1866
11076604,803424,244297949,292322810,0,1300,1,1866
3979051,392992,76384065,120964868,0,1300,1,1866
10075901,170690,75771343,139995078,0,1300,1,1866
19574024,674535,188911224,327012752,0,1300,1,1866
9385202,577896,236039799,284221718,0,1300,1,1866
10465118,1335152,194511885,315795828,0,1300,1,1866
6459484,706109,266479584,248821065,0,1300,1,1866
3297350,715614,703987675,406873471,4,1300,1,1866
3415970,728355,698460613,407161022,3,1300,1,1866
6411833,1246041,395189474,315607362,0,1300,1,1866
10019035,2365108,192801127,214972354,3,1300,2,1866
6716109,1823477,599580290,431355959,2,1300,2,1866
27149639,3893652,559698241,765773749,0,1300,2,1866
29623330,4534185,773020147,808138197,4,1300,3,1866
32464902,5221628,654462738,807856115,14,1300,4,1866
31523733,4482247,647748087,815293160,4,1300,4,1866
32078157,2621357,437203155,773269877,0,1300,4,1866
14423278,2054376,224323678,364662356,9,1300,4,1866
16388080,1704926,234399853,394046137,3,1300,4,1866
15919151,1972591,243567810,398255636,0,1300,4,1866
17286246,2041064,246229858,407344576,10,1300,4,1866
16875676,1697209,245811555,402255480,8,1300,4,1866
16647895,2397036,259700042,406306078,0,1300,4,1866
18383161,1387908,202199634,406471259,1,1300,4,1866
18084216,1782961,246380317,409753165,5,1300,4,1866
17631716,2127851,229522507,407479406,15,1300,4,1866
17657861,1914087,234546504,407305507,5,1300,4,1866
16376581,2355999,230844901,403304215,2,1300,4,1866
16281960,2053606,230002779,399399988,3,1300,4,1866
16019330,2278488,237924502,403738796,1,1300,4,1866
16827917,1628360,205211218,407882006,1,1300,5,1866
17196289,2032656,231436339,407351862,6,1300,5,1866
16015144,1903793,231529872,405795030,4,1300,5,1866
17032531,1813969,229710947,407574742,0,1300,5,1866
16880945,1732013,227692727,406404386,4,1300,5,1866
15908058,2197083,262763429,418892919,4,1300,4,1866
16024388,3462449,834236165,808416173,2,1300,4,1866
5489442,1313687,785620675,798611202,0,1300,4,1866
28721515,5274881,452071557,806980214,0,1300,5,1866
57357970,4142454,864697293,811624321,1,1300,6,1866
45276172,2270161,1024164764,811816086,0,1300,6,1866
44289904,2011871,1013716511,802519235,99,1300,6,1866
52494423,2539419,983883151,812435297,97,1300,9,1866
53304794,2464167,1025645193,811056967,99,1300,12,1866
27635187,1957067,903071315,813958601,98,1300,13,1866
4041089,1287173,571220658,760696111,97,1300,15,1866
44451132,3199552,868087774,804564596,96,1300,16,1866
44968346,1481399,1064750462,809207349,98,1300,16,1866
48789016,1680272,1061384306,805021432,94,1300,16,1866
13475359,2542804,711879701,810998416,0,1300,15,1866
35310740,2932956,811552964,811775985,4,1300,15,1866
50745355,2115042,1046406037,795620039,7,1300,13,1866
51120116,2048327,1081686960,808547281,42,1300,13,1866
37942684,1678556,1009422049,793403992,3,1300,12,1866
50193448,2072276,1039512050,806283714,66,1300,12,1866
44439349,1574430,1048937386,813769426,99,1300,11,1866
3161933,1010350,699657055,804497208,0,1300,11,1866
32775896,1959878,891983328,785865357,99,1300,11,1866
43412441,1268104,1091979613,810921950,8,1300,10,1866
43228704,1578847,1043805161,799277726,6,1300,11,1866
27307489,2451687,849945422,819128078,99,1300,11,1866
48191366,1651706,1061837890,812155562,99,1300,11,1866
52413092,1491359,1090004133,812954821,99,1300,11,1866
41793947,1184089,1073825918,813294511,0,1300,11,1866
43754850,1312448,1077352245,812947543,2,1300,10,1866
47644550,1607140,1070497880,812274593,4,1300,9,1866
20567191,2191943,807280539,807217355,99,1300,9,1866
44729830,1537643,1020993811,803672081,99,1300,9,1866
56022976,1690592,1082927997,805005338,99,1300,9,1866
46406619,1367923,1073833195,811333583,3,1300,10,1866
53590093,1699953,1066742732,806625862,5,1300,10,1866
48847387,1447588,1066712871,801949204,99,1300,9,1866
