llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
9365002,1499749,253032040,403763482,0,1300,0,1866
14880865,1308699,308236422,402873158,0,1300,1,1866
27395956,923868,218184693,406474088,0,1300,1,1866
13550883,1114830,309766377,406536868,0,1300,1,1866
12307577,1902118,264185584,395089794,0,1300,1,1866
4171650,756950,688632160,407106436,9,1300,1,1866
3789558,713094,702924427,406985454,3,1300,2,1866
6251086,1096575,503245490,361693983,4,1300,2,1866
9653161,2215968,132866709,202535252,0,1300,2,1866
8481277,2311420,676822279,445775388,9,1300,2,1866
37963865,4072029,687150570,1031096317,0,1300,2,1866
41008772,7760231,877554586,1163583895,0,1300,3,1866
40055685,7276746,989859900,1147783203,0,1300,4,1866
22344157,2950484,385932008,594569194,6,1300,4,1866
16443585,1834082,242080577,407414675,9,1300,4,1866
16088527,2250798,239598229,405314526,3,1300,4,1866
17237229,1849074,248810538,406824454,5,1300,4,1866
16844141,1965551,247436935,407560826,2,1300,4,1866
16669821,2289916,268804973,407089832,8,1300,4,1866
18534164,1410840,179061953,407297541,21,1300,4,1866
15571617,1819313,229071911,405996217,3,1300,4,1866
18302320,2268927,266281965,407305612,3,1300,4,1866
18156184,1759134,244281582,407452626,0,1300,4,1866
17245118,2035360,219342317,405146338,10,1300,4,1866
15604261,2305927,219340660,401516212,3,1300,4,1866
15330146,2150002,214107121,406383049,3,1300,5,1866
16033692,2103868,225398573,407325680,4,1300,5,1866
17196187,1746126,209610896,407403803,7,1300,5,1866
16488353,2136814,228279285,407216807,13,1300,5,1866
16640118,1807700,226853242,407369261,22,1300,5,1866
17503857,1569515,217942954,406276874,16,1300,5,1866
15518261,1877250,232662604,404181822,4,1300,5,1866
16633845,2869524,292407704,512902731,0,1300,5,1866
15447099,3352404,1272728447,1128666549,0,1300,6,1866
24282299,4719454,1199310230,1492090485,99,1300,8,1866
59921426,6193676,966038839,1207599588,99,1300,10,1866
76625142,3534186,1966106442,1546794175,99,1300,12,1866
112971214,5680956,1783757079,1546127307,98,1300,14,1866
43414258,3317897,1471536940,1494552220,74,1300,16,1866
28989208,3468950,1207103471,1429700921,97,1300,17,1866
73588718,2505496,2032944494,1561515459,97,1300,17,1866
43777609,2579647,1660000148,1412064705,95,1300,17,1866
19685177,3429311,1030133537,1249257437,34,1300,17,1866
71881023,2705987,1716200617,1355388159,8,1300,15,1866
70014172,2655868,1591475230,1235589291,0,1300,14,1866
76602844,2641576,1990232660,1550780353,0,1300,12,1866
38114594,1801077,1579030574,1323471619,90,1300,12,1866
19482596,1977382,1242997338,1363784334,2,1300,12,1866
53194531,1543530,1876326659,1442290302,1,1300,12,1866
53807745,1717851,1717966621,1330182742,99,1300,12,1866
43629154,3319771,1417107967,1288291433,3,1300,12,1866
71663170,2157430,1776136775,1378409813,4,1300,12,1866
50324353,1649828,1663418021,1313328323,99,1300,11,1866
53483335,1646410,1832586463,1435854582,99,1300,11,1866
51237531,2449910,1577215077,1304704090,0,1300,12,1866
59150723,2910616,1481180153,1255202718,6,1300,10,1866
51335951,1767792,1423687975,1107065670,99,1300,10,1866
63407249,1977119,1612392910,1232353648,99,1300,10,1866
76899114,2274838,1874732824,1454426344,71,1300,10,1866
22512402,1624175,1435771009,1348616658,2,1300,10,1866
53828939,1663383,1818966296,1383009602,9,1300,10,1866
58342922,1642373,1833840086,1457076289,2,1300,11,1866
41866397,2281021,1674589609,1399530826,99,1300,10,1866
61686757,1911423,1865761628,1421226489,1,1300,10,1866
33960805,1032416,1769764041,1390940221,1,1300,10,1866
46946181,1375845,1914591786,1484213696,8,1300,9,1866
65961696,2148501,1664313253,1285347629,3,1300,10,1866
37496807,2329224,1419502276,1252397086,99,1300,10,1866
48559410,1447852,1859209251,1424510792,7,1300,10,1866
49180072,1707157,1377825132,1050220617,2,1300,10,1866
36627910,1171895,1552459807,1213211346,99,1300,10,1866
53949550,1600019,1764409301,1382480011,2,1300,9,1866
32126010,1069211,1632117130,1276383103,3,1300,10,1866
16269874,1640636,1412961394,1335432218,5,1300,8,1866
27153720,848402,1494271937,1178938986,99,1300,8,1866
66222148,2082595,1702031670,1365258355,3,1300,8,1866
37661833,1387824,1526338139,1235218917,99,1300,8,1866
32222604,929036,1760779178,1390878467,99,1300,8,1866
27315110,843913,1836134422,1463268420,3,1300,8,1866
50822466,2017786,1553558930,1244392671,3,1300,9,1866
79382909,2705953,1672416015,1364221955,99,1300,10,1866
44591825,2330405,1731050502,1394215853,99,1300,10,1866
24055213,2750159,1387866587,1296162272,99,1300,10,1866
28785579,1625514,1569646525,1265650742,50,1300,11,1866
28529238,1175653,1750520858,1397138872,7,1300,11,1866
5390049,727530,1719431807,1429463602,8,1300,11,1866
37043897,1603917,1769606924,1474879166,99,1300,11,1866
21966393,1440032,1651905651,1424222980,99,1300,11,1866
36468304,3046651,1505215196,1413386457,99,1300,12,1866
50185907,3674980,1623975283,1470692656,3,1300,11,1866
49854479,3908047,1411572672,1235676523,41,1300,12,1866
62453164,3784430,1572635803,1422295832,99,1300,12,1866
34539273,4839624,1560260349,1431939592,3,1300,11,1866
78871881,3187566,1742587536,1448976759,4,1300,10,1866
68397087,2932909,1474462920,1183566637,99,1300,9,1866
48793459,1934986,1506858575,1183847848,2,1300,10,1866
100486857,3008375,1876073232,1478862537,3,1300,9,1866
38012915,1481641,1438500686,1222336331,99,1300,8,1866
44281323,1895811,1510445422,1197086688,99,1300,9,1866
90570413,2937591,1835060966,1482309294,8,1300,10,1866
80919516,3110266,1740458909,1415721033,14,1300,10,1866
91897841,3501087,1815793347,1486682177,99,1300,10,1866
71682185,4489631,1653704079,1480833548,2,1300,10,1866
61443623,2309947,1718049672,1435730627,3,1300,9,1866
74403304,3201075,1556521589,1199302303,99,1300,9,1866
77984538,2783720,1604420770,1210362428,2,1300,9,1866
61040474,2973781,1770436015,1393200017,99,1300,8,1866
83402492,2219419,1721791259,1324387187,3,1300,8,1866
94952405,2651046,1807272983,1418249220,99,1300,8,1866
80271967,2933577,1655477853,1374154967,99,1300,10,1866
77498421,2793476,1911760421,1435787321,99,1300,10,1866
79934042,2585068,1880847680,1415791540,2,1300,10,1866
77209961,3665657,1883078413,1487491958,99,1300,9,1866
81903099,2235443,1677317806,1293528082,99,1300,10,1866
90301435,2556508,1742952199,1377455760,0,1300,10,1866
81272884,2846440,1742516170,1461123852,99,1300,10,1866
80991154,2990770,1824783845,1407435291,99,1300,10,1866
102456025,3235380,1880167578,1492111463,99,1300,11,1866
62848318,2867395,1620166831,1464530595,9,1300,11,1866
71282630,3025441,1738013323,1386512218,41,1300,11,1866
81685418,3177423,1777812230,1385630042,8,1300,10,1866
75300864,2943219,1813385143,1416661572,34,1300,11,1866
38917803,3055024,1602226583,1277581927,3,1300,9,1866
116002335,3397718,1883296960,1490799087,4,1300,9,1866
51658867,1632190,1584110698,1244248624,99,1300,9,1866
63462596,2272456,1509079377,1185640578,2,1300,9,1866
38722514,2353345,1360406174,1353354720,2,1300,8,1866
71565833,2893606,1713557237,1315942839,3,1300,8,1866
76116370,3958466,1493985068,1163144804,7,1300,7,1866
66020397,2765373,1594115347,1253807121,67,1300,8,1866
67165142,2997082,1656385331,1313825299,12,1300,7,1866
91075687,2766628,1843881277,1457827237,1,1300,8,1866
44470773,1454330,1539367889,1210575752,19,1300,8,1866
56363693,2599943,1667246383,1486812510,0,1300,8,1866
75959605,2967266,1573179515,1209234392,3,1300,8,1866
70580032,3130714,1843786527,1453674721,3,1300,7,1866
43706016,1360665,1550194562,1345175227,99,1300,7,1866
57858016,2125557,1468860400,1142825585,2,1300,8,1866
14938520,2909674,1121515803,1241507673,2,1300,7,1866
95930739,3610604,1684671057,1388415377,4,1300,6,1866
33356209,1408658,1539251630,1208673308,3,1300,6,1866
86621813,3717008,1491769203,1168935666,3,1300,6,1866
44684062,4625048,1354345803,1116014292,99,1300,6,1866
