llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4181586,549737,465850425,570774150,0,1300,0,1866
6375734,756443,166657189,262064207,0,1300,0,1866
10110757,730194,259801803,306558017,0,1300,0,1866
8846350,748485,174141411,249331041,0,1300,0,1866
10942491,168701,84532451,152373261,0,1300,0,1866
19826639,690189,200595390,343702300,0,1300,0,1866
10328562,519694,256267909,300175948,0,1300,0,1866
10096070,1484327,181448361,307300730,0,1300,0,1866
5884605,738908,472082931,338401356,0,1300,0,1866
3599853,709462,695523385,404535034,19,1300,1,1866
4112569,768773,670826617,403781828,0,1300,1,1866
7313228,1506780,219145098,244527167,5,1300,1,1866
8846605,2031678,218117781,212903599,7,1300,2,1866
6354798,1722632,570478372,445697802,4,1300,2,1866
36918957,7491680,950808647,1062868829,0,1300,2,1866
41765022,6534394,885976920,1113191383,0,1300,3,1866
29176408,4872852,559885694,759194368,2,1300,4,1866
12575059,1480560,194365259,313605205,1,1300,4,1866
13410854,1208537,159548902,311096346,13,1300,4,1866
13864340,1831744,212958162,347525848,6,1300,4,1866
15939362,1979805,218943369,386220515,0,1300,4,1866
17265449,2529798,276833971,403722562,4,1300,4,1866
17504913,1593909,238454261,404001310,0,1300,4,1866
16668567,1813974,227705297,403693298,1,1300,4,1866
15713670,2001437,232563790,389257385,10,1300,4,1866
16953306,1893901,262485173,403713872,17,1300,4,1866
17710010,1427096,189984983,404466688,3,1300,4,1866
16953940,1928746,220846841,391210190,0,1300,4,1866
16151783,1911846,225090744,404014636,1,1300,4,1866
18288036,1570363,213345479,404030748,13,1300,4,1866
17082484,1805805,211159239,400214389,10,1300,4,1866
15650878,1993967,238173018,402155522,3,1300,4,1866
16088288,1532728,235598955,404066579,4,1300,4,1866
15722167,2146799,224832913,404076246,1,1300,5,1866
17116918,2179908,215066003,403752777,3,1300,5,1866
16943197,2013263,244608682,403282393,0,1300,5,1866
16064085,2051964,267804946,410216610,8,1300,5,1866
18255910,4058172,1071130858,1063403143,0,1300,5,1866
26189285,4727394,923504873,1276797652,0,1300,5,1866
56942455,4856993,1132781253,1119086920,2,1300,6,1866
44223195,2203093,1561087252,1233491320,1,1300,6,1866
60776245,3140689,1419480805,1132852724,0,1300,6,1866
75550553,3904930,1431928630,1188933188,0,1300,6,1866
50721623,3171773,1640108918,1466950867,99,1300,8,1866
7562590,1874856,974948274,1249221634,99,1300,10,1866
56372605,3037719,1632369329,1389547804,17,1300,12,1866
75251008,2572667,1914408485,1479914045,86,1300,13,1866
25988949,3971810,1198665080,1351605628,96,1300,14,1866
78523193,3392776,1817802585,1479978598,1,1300,15,1866
74045378,2701657,1868393283,1477496467,98,1300,15,1866
89185181,3250035,1878620326,1494661002,73,1300,15,1866
