llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4468882,530009,296169420,373058064,0,1300,0,1866
8485189,829289,242917359,345107652,0,1300,0,1866
11925396,924205,261393327,321317355,0,1300,0,1866
4122912,380799,75281956,121004089,0,1300,0,1866
22658078,359246,150667042,290348901,0,1300,0,1866
12726858,838388,249221300,333897203,0,1300,0,1866
12665279,1213139,243940402,360191199,0,1300,0,1866
7508651,956580,420715184,346156339,0,1300,0,1866
3328862,718670,704048724,406883769,0,1300,1,1866
3873890,786098,681334704,406930996,0,1300,1,1866
9658822,2172772,306162523,311606377,0,1300,2,1866
9269861,2359274,629547010,357885192,0,1300,2,1866
25174613,6267777,860563543,904981969,0,1300,2,1866
39768334,9217219,1134576458,1156412942,6,1300,3,1866
29336637,6101467,752778080,793756447,4,1300,5,1866
16175319,2090616,261968805,390943811,22,1300,5,1866
16737899,2162222,222017320,406484008,19,1300,5,1866
18134467,1512474,237570637,406263146,13,1300,5,1866
16843486,1754475,241736053,403506290,4,1300,5,1866
16217931,1767496,236797335,401432268,10,1300,5,1866
15889492,1872284,228965492,402714648,4,1300,5,1866
17164640,1941825,235867879,402330093,9,1300,5,1866
17425386,2014685,236767012,404511579,7,1300,5,1866
16831845,2049460,246670871,402830466,2,1300,5,1866
17980921,1417404,179000577,405817595,7,1300,5,1866
17030720,1855247,243028792,406940938,1,1300,5,1866
17141122,2350670,245290777,406766372,27,1300,5,1866
17233080,2079829,242119552,407745154,13,1300,5,1866
18862416,1121261,179088463,407284309,0,1300,5,1866
15379266,2377592,219506333,401466147,8,1300,5,1866
16003888,2230274,227270081,403797548,0,1300,5,1866
16928558,2106304,238045215,407118294,6,1300,5,1866
16803551,1709528,253095086,407161960,8,1300,5,1866
15213686,2174490,257500714,411810226,1,1300,5,1866
19999017,4604305,1208071553,1048989672,0,1300,5,1866
18206186,3628980,1059459657,1220111107,1,1300,5,1866
35437151,5337986,754666385,1027911833,1,1300,6,1866
66038421,3451949,1516456545,1204070148,0,1300,6,1866
61362559,3104691,1489154424,1200491444,0,1300,7,1866
92106172,4407003,1719203123,1412437746,99,1300,7,1866
44163554,2780252,1640213801,1370392031,95,1300,9,1866
7243806,1873815,1287362192,1579367798,49,1300,11,1866
58780118,3229890,1654652786,1426502727,98,1300,13,1866
70514355,2411999,1998639214,1555038069,64,1300,15,1866
21446900,3081831,1129401728,1183969736,99,1300,16,1866
65773984,3688734,1732283877,1503809152,84,1300,17,1866
77125913,2846940,1754611186,1386770122,99,1300,18,1866
72068762,2771419,1726444752,1407377092,77,1300,18,1866
49365797,2035125,1729778844,1388424510,53,1300,17,1866
7920045,1706274,950674301,1120333360,64,1300,18,1866
62409308,2229046,1678805935,1322439466,99,1300,17,1866
50272573,1518884,1821122402,1428698072,4,1300,16,1866
19811182,1848658,1215107788,1125945944,84,1300,14,1866
55756637,2300043,1672261909,1361908779,4,1300,14,1866
59745100,1946552,1600354177,1230421108,3,1300,12,1866
52851947,1724051,1674269678,1298799816,6,1300,12,1866
46246089,1392170,1729471494,1350015387,99,1300,11,1866
45912633,2661658,1546719994,1370715867,4,1300,12,1866
52579158,2700898,1398093079,1188904150,99,1300,11,1866
51699674,1495829,1823649748,1393478898,25,1300,11,1866
50599095,1511272,1762762005,1351307930,4,1300,11,1866
52256809,1755156,1660071398,1294169808,99,1300,10,1866
51559600,2314656,1690036628,1451982910,99,1300,11,1866
54139868,1756669,1909898302,1459195212,99,1300,11,1866
54072535,1547124,1906337522,1461270691,4,1300,10,1866
19456621,747676,1435842069,1157471805,4,1300,10,1866
43373928,2494554,1281523385,1079333517,99,1300,9,1866
60638337,1822347,1845923341,1421076967,13,1300,9,1866
47611592,1454379,1692840406,1322419777,99,1300,10,1866
73464981,2078272,1883445753,1477243495,3,1300,10,1866
33442405,1215272,1662749763,1335881728,6,1300,10,1866
51789659,2424532,1640667563,1382368824,6,1300,9,1866
45114925,1388105,1697068566,1295949648,99,1300,9,1866
40856113,1178690,1935376111,1480571414,99,1300,9,1866
44128149,1331640,1859227722,1439276873,2,1300,9,1866
59943493,1717466,1845474418,1427490191,3,1300,9,1866
23282842,1863475,1697135968,1485565140,92,1300,10,1866
16983945,545073,1916425326,1499791313,0,1300,9,1866
19593924,629581,1682662650,1327133608,2,1300,9,1866
19397669,611097,1887495792,1500059511,99,1300,9,1866
36236159,1215473,1784364115,1431330346,99,1300,9,1866
54560133,1704818,1712901093,1386359927,3,1300,10,1866
56499868,1648137,1796833224,1462266995,15,1300,10,1866
102346801,3092758,1882526191,1495520927,99,1300,9,1866
40839179,1579315,1688538588,1354434001,99,1300,10,1866
27846853,2631810,1524993108,1328669043,99,1300,10,1866
27610837,2362319,1582638667,1410184186,3,1300,10,1866
45584717,2145333,1730234015,1457920945,3,1300,10,1866
4532279,243154,1797552155,1429540290,2,1300,9,1866
5725660,320753,1560232839,1258376548,2,1300,9,1866
2280869,148136,1724902540,1386718031,4,1300,8,1866
6212106,760132,1445310434,1209267080,99,1300,8,1866
4566691,224575,1433252587,1136595214,8,1300,8,1866
4338905,191799,1909596274,1508863191,4,1300,8,1866
32215393,1377081,1674590291,1365237477,99,1300,8,1866
15460115,1876472,1482186921,1386783378,4,1300,8,1866
65269920,3496096,1650842346,1429786137,99,1300,8,1866
17994096,2229928,1273277074,1151032155,3,1300,9,1866
40388441,3298389,1445260250,1331445570,2,1300,8,1866
48239635,2379630,1604424434,1304173038,99,1300,8,1866
32150217,4349972,1467667595,1343128137,99,1300,8,1866
52128300,3689390,1623047455,1435854490,89,1300,9,1866
67664882,2646145,1746898975,1438138517,0,1300,10,1866
80518891,3299813,1746223446,1436764304,99,1300,9,1866
113371852,3615880,1959851409,1534920993,0,1300,10,1866
75223873,2907525,1838008008,1488431521,3,1300,8,1866
63452291,2143641,1717114738,1374687354,3,1300,8,1866
37581279,1378403,1635726389,1318012626,99,1300,8,1866
43780636,1881468,1566280365,1251426483,3,1300,8,1866
92361076,3220703,1825071900,1458505362,2,1300,7,1866
36106520,1489749,1479571822,1192531150,99,1300,7,1866
59468532,2076446,1401171663,1087464347,40,1300,7,1866
59095671,4776728,1537001444,1463692240,4,1300,8,1866
60393456,2394984,1725318058,1300769373,99,1300,8,1866
89265249,3066551,1961965913,1468909703,1,1300,9,1866
63642426,3352826,1735708542,1379124942,2,1300,9,1866
94613893,2312698,1788057364,1388847060,2,1300,8,1866
104684362,2741719,1914073838,1505457350,12,1300,9,1866
43540749,1349397,1601576236,1269349500,99,1300,9,1866
65548138,2694643,1776302074,1507988387,8,1300,9,1866
84965289,3040790,2000582429,1520698465,10,1300,9,1866
79270781,2979205,1562777125,1175596344,99,1300,9,1866
103080334,3753514,1900035026,1480616687,3,1300,9,1866
87038327,2475017,1755640431,1374530683,3,1300,8,1866
92684377,3048022,1757405286,1442495655,99,1300,8,1866
70086578,2608784,1632887122,1232143281,2,1300,8,1866
61929271,2712315,1644061240,1278769509,99,1300,8,1866
93092832,2496538,1829528487,1423925305,3,1300,9,1866
36929870,2599444,1385518494,1271778210,99,1300,8,1866
89912704,3555289,1923493641,1467715676,3,1300,9,1866
72952477,2971798,1627983671,1273380954,37,1300,9,1866
78244033,4590521,1821963560,1445435468,1,1300,9,1866
95985004,3059559,1625055101,1271146590,99,1300,8,1866
72484905,2293364,1767315629,1398394864,2,1300,9,1866
44168122,1377820,1626475582,1269409260,11,1300,8,1866
41113262,2361391,1599040906,1455444060,6,1300,9,1866
63420868,2663372,1645978315,1292417150,99,1300,9,1866
70716073,2959805,1698801422,1304978824,4,1300,9,1866
86724022,3545003,1832425119,1420180124,55,1300,8,1866
66362582,3847478,1828747324,1465630523,0,1300,8,1866
45636061,1528028,1478410619,1158559159,99,1300,8,1866
70159187,2219189,1733427544,1372156434,2,1300,9,1866
89482364,2642309,1774452960,1394160867,8,1300,8,1866
41199017,2367336,1712961609,1466710952,47,1300,8,1866
68854069,2605816,1686686676,1286321593,99,1300,8,1866
50931324,2575543,1573342656,1265022561,99,1300,9,1866
88451262,2550852,1848616230,1472157934,2,1300,10,1866
19436280,2697943,1427448677,1440674164,3,1300,9,1866
74606930,3284705,1678181578,1394561132,2,1300,8,1866
63753146,2387813,1844526656,1412849687,2,1300,8,1866
99292141,4158968,1593404366,1241546501,61,1300,8,1866
31940970,4455180,1434787639,1223418748,1,1300,8,1866
53355914,2082139,1616771175,1301480212,99,1300,7,1866
83028464,3049955,1846308812,1511833056,3,1300,8,1866
44572444,1595117,1637874564,1319894437,99,1300,8,1866
70695699,2518186,1734036418,1415142797,0,1300,8,1866
30828947,2784230,1513480659,1437614998,3,1300,8,1866
91754333,3068444,1780971525,1390924738,4,1300,8,1866
25506964,2488246,1572855632,1297217973,6,1300,7,1866
72607310,2196823,1858691088,1490325163,99,1300,8,1866
42529216,1277165,1669319031,1330454675,10,1300,8,1866
11220060,1627708,1370662442,1259072076,50,1300,10,1866
29354012,4430581,1192068493,1366854933,1,1300,10,1866
38075388,4506309,1725713979,1332274078,86,1300,10,1866
37644199,5078530,1831159647,1476925148,2,1300,9,1866
47364409,7225429,1594688605,1305590214,99,1300,9,1866
53156870,6232439,1569488815,1435704802,1,1300,9,1866
32224071,1355098,1589575694,1291916053,3,1300,9,1866
40460356,1683785,1540886842,1259095236,2,1300,8,1866
37621592,1738511,1578955691,1409191583,99,1300,8,1866
98939281,3937906,1742180212,1507390078,2,1300,8,1866
29534731,1304740,1548374433,1255641110,2,1300,7,1866
10421083,997573,1532831390,1283639528,6,1300,7,1866
15931887,3138100,1435343589,1386018687,99,1300,8,1866
9089646,1303026,1713033320,1320622540,1,1300,9,1866
16454620,5028978,922925049,1199275859,1,1300,9,1866
22765723,7331471,314771755,1065554723,99,1300,8,1866
21691956,5333802,1150578330,1305143237,2,1300,9,1866
28450035,5151182,868128464,1192744195,3,1300,8,1866
50874839,5611470,941678413,1035027511,2,1300,8,1866
65511828,3033720,1891224149,1473702960,99,1300,8,1866
79204819,4181897,1468550858,1194805804,43,1300,9,1866
60077197,2994368,1492771011,1197325115,0,1300,9,1866
39758494,3175612,1300165161,1184158741,2,1300,9,1866
39010824,3630619,1384981298,1462528785,55,1300,9,1866
66426661,2381446,1829783067,1413351273,1,1300,9,1866
46301064,3366318,1504751422,1384791486,2,1300,9,1866
48785024,3698910,1271711294,1256845139,99,1300,9,1866
56806450,1925214,1880912870,1442244892,2,1300,9,1866
45871844,1704292,1705534437,1322825850,2,1300,8,1866
66631320,2333835,1842136153,1427835015,3,1300,7,1866
52246870,2160054,1856174170,1487502969,5,1300,8,1866
20664991,2050893,1225159711,1253313105,99,1300,8,1866
66690937,2259804,1615663792,1227937559,99,1300,8,1866
50651123,2676990,1440128383,1215827266,2,1300,9,1866
48316760,2130657,1939548288,1552715720,99,1300,9,1866
54599047,1582613,1893213290,1437266845,3,1300,8,1866
71666211,2155460,1886382237,1442121364,1,1300,8,1866
73762984,2221503,1815467264,1404626180,99,1300,7,1866
40559017,3048384,1627823672,1419751581,4,1300,7,1866
53246168,1805401,1606631169,1228984191,3,1300,7,1866
49406597,1557193,1721325204,1330950552,7,1300,8,1866
58553971,1860558,1716106778,1331047041,99,1300,8,1866
54384206,1650437,1832203305,1415448231,3,1300,8,1866
31808619,2078234,1193950411,1074034708,99,1300,8,1866
45532051,1255507,1947528106,1479404693,4,1300,8,1866
47013479,1348363,1898911695,1468998029,99,1300,7,1866
35273361,2122635,1401352989,1222249000,6,1300,8,1866
65192594,1863379,1856287746,1417572390,8,1300,7,1866
62975981,1986967,1634937380,1274856883,9,1300,8,1866
76717814,2580969,1590730102,1219018127,6,1300,9,1866
58899881,2736311,1619951065,1361441093,99,1300,9,1866
48121623,1686461,1523829300,1141316510,99,1300,9,1866
82479424,2319935,1919493554,1475610605,99,1300,10,1866
97086586,2811572,1764620704,1370585312,99,1300,10,1866
47751579,2331365,1586287366,1381929601,3,1300,10,1866
47682286,1556079,1744535950,1383683738,3,1300,9,1866
18714338,647274,1829361185,1446795077,99,1300,9,1866
25220825,1025882,1693234686,1369589528,4,1300,9,1866
73000159,2010568,1874011668,1500888626,12,1300,9,1866
50107663,1593126,1577170194,1241509247,2,1300,8,1866
53385420,1799097,1596658900,1259552223,99,1300,7,1866
52396334,1919484,1785579800,1443021728,99,1300,8,1866
9093815,1451656,1484492815,1364624500,99,1300,9,1866
9204989,960312,1490242386,1223357296,3,1300,9,1866
11460304,1424416,1294219560,1216424699,93,1300,9,1866
18892187,1128817,1820162362,1444279528,85,1300,9,1866
41404678,1956035,1774413640,1445336439,1,1300,9,1866
2125141,144078,1871651230,1481841310,4,1300,9,1866
2337065,164241,1630293064,1290668420,99,1300,9,1866
1860293,137509,1822771509,1450221977,3,1300,9,1866
12045203,804820,1641558448,1389113829,99,1300,8,1866
41986233,1713858,1664075003,1384194590,4,1300,9,1866
3516316,466037,1169871235,1271639653,99,1300,8,1866
17491133,1939248,1442921894,1342695972,2,1300,9,1866
43708993,2444112,1551971509,1280065903,26,1300,10,1866
40494268,3346650,1477835866,1403218130,3,1300,11,1866
30519544,2196356,1513038358,1271113295,3,1300,10,1866
62447462,3473589,1665396841,1368381309,99,1300,10,1866
28888057,4444756,1477108451,1395646900,5,1300,10,1866
43061777,3245257,1610844972,1419848795,99,1300,9,1866
86324233,3465964,1680078999,1395196185,4,1300,9,1866
63624731,2773706,1438732311,1164896477,99,1300,9,1866
97853284,3147569,1875885295,1480737586,4,1300,9,1866
57635405,2582344,1434257298,1163326873,99,1300,9,1866
