llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4168576,646403,507873168,623720291,0,1300,0,1866
7538468,779720,189242641,283990214,0,1300,0,1866
10055529,732275,251494208,293890338,0,1300,0,1866
20436596,1299447,215171376,405521802,0,1300,0,1866
18560616,1387045,201845978,405809496,0,1300,0,1866
13486729,1563938,271337430,405228566,0,1300,0,1866
10501427,1472667,372857206,405662388,0,1300,0,1866
3460123,726953,702155780,406486836,5,1300,0,1866
2006849,421445,410573294,237305790,0,1300,0,1866
5110707,896030,630887462,406341347,5,1300,0,1866
14648202,3641289,430497262,334616316,3,1300,1,1866
6304728,1676484,433355700,421439049,0,1300,1,1866
19006107,4920955,620741404,548931720,4,1300,1,1866
12949765,3335927,676998427,436615713,4,1300,1,1866
6925756,1776899,245287525,225265108,3,1300,2,1866
10916949,2756458,333886865,326140934,12,1300,2,1866
6121227,1066013,144075291,162833047,0,1300,2,1866
4949077,1023036,110954615,134179129,5,1300,2,1866
2555085,541914,71368887,75890155,5,1300,2,1866
2456330,596020,64131047,79846340,1,1300,2,1866
3649502,772907,81527117,77533681,6,1300,2,1866
3207115,406045,60229051,88627666,3,1300,2,1866
3258715,433479,62442459,80321025,3,1300,2,1866
2592782,347633,53049922,75677745,0,1300,2,1866
3219255,520911,68549761,80634367,4,1300,2,1866
3532553,427432,59557160,80326787,0,1300,2,1866
3005447,419325,54110502,80469774,6,1300,3,1866
3507922,129863,55162402,79997854,4,1300,3,1866
3302775,478230,57801800,80685815,0,1300,3,1866
3320933,367129,47648776,81277614,4,1300,3,1866
3345785,514637,56333574,79456250,5,1300,3,1866
3218574,443227,51142510,83029008,2,1300,4,1866
3200254,497433,44111341,76402505,0,1300,4,1866
2740843,370910,51910527,78531558,0,1300,4,1866
3027374,261812,36954677,81429035,97,1300,6,1866
3502436,418771,57650091,84631497,0,1300,9,1866
4264838,811901,70949727,79825914,0,1300,10,1866
2451246,401435,59469841,80576382,0,1300,9,1866
3356759,415058,36293488,78831510,99,1300,10,1866
3237577,486652,37056126,80397959,99,1300,13,1866
3201149,302261,44371202,81354745,99,1300,14,1866
5152223,39883,63076114,80212134,21,1300,16,1866
2883366,423917,53486048,77820027,98,1300,16,1866
2961671,338426,39505824,81298250,99,1300,17,1866
3109999,292126,36462761,79977666,99,1300,18,1866
4193659,90653,31451076,81085216,98,1300,19,1866
2600965,432477,47230071,82055380,96,1300,20,1866
3756443,194281,51762402,80009105,99,1300,21,1866
3757879,422623,57297811,84433788,99,1300,21,1866
3167566,361598,43608895,78506788,0,1300,21,1866
3428614,353725,48368569,78241860,98,1300,20,1866
3554141,450882,56008746,84551825,99,1300,19,1866
3727536,298906,42074447,80288456,99,1300,19,1866
3193359,431226,49658628,80110484,99,1300,19,1866
3097520,334984,50435147,80315601,0,1300,19,1866
2845235,363585,45363373,80931804,97,1300,18,1866
4870433,676964,75962150,127919439,99,1300,17,1866
5348725,724158,84024271,138314903,0,1300,17,1866
4810265,500739,79582179,123417116,55,1300,18,1866
5788194,328745,51389533,120706807,99,1300,19,1866
4886552,684362,64604199,118716862,0,1300,18,1866
6105027,661299,102352820,160743744,99,1300,17,1866
6063813,818226,82929231,147032041,99,1300,18,1866
10986175,1409834,164591756,260383853,55,1300,18,1866
8491348,947423,117097917,200923453,99,1300,18,1866
8479751,973874,106738653,186508091,97,1300,18,1866
8477407,902816,118838686,220446644,75,1300,19,1866
10455118,449129,97317331,199160754,99,1300,19,1866
8296372,1139839,120637504,204346346,99,1300,18,1866
8817179,872138,125559430,201297387,99,1300,17,1866
8881584,1172271,115079067,205221827,99,1300,16,1866
8315655,1176987,128636869,205255645,99,1300,16,1866
8342295,1080039,153324418,200475478,99,1300,16,1866
8576099,1068622,100919899,199368138,99,1300,15,1866
10800165,425844,93462095,199063558,99,1300,15,1866
9535218,572270,97831472,207804311,14,1300,14,1866
7382910,1043969,107218623,187600941,29,1300,14,1866
8719421,1283790,123581840,214340735,41,1300,14,1866
