llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
7477032,1469979,377158588,523491965,0,1300,1,1866
14080884,1069568,328613703,403911527,0,1300,1,1866
23708059,1139294,216769534,402435671,0,1300,1,1866
16716483,1140228,280847970,403918997,0,1300,1,1866
13434302,1755733,256589429,404037980,0,1300,1,1866
7061604,981176,544461638,397422186,7,1300,1,1866
3706661,724590,695299149,404316513,0,1300,1,1866
4270541,811141,669276793,404313343,6,1300,1,1866
15768501,3910259,536664876,403769571,2,1300,2,1866
9330684,2358739,487339626,542514909,4,1300,3,1866
27904925,6818725,1028256863,807184788,2,1300,3,1866
30298738,5023699,764272997,807939613,2,1300,4,1866
30316493,5662669,757139983,798377125,2,1300,4,1866
21738988,2259193,347463875,523083069,8,1300,4,1866
15805571,2127464,247664092,402753585,19,1300,4,1866
16620505,1910008,241774217,402716609,31,1300,4,1866
16676697,1746248,250766070,404240536,2,1300,4,1866
16544123,1981169,242950440,403485320,10,1300,4,1866
16799544,2124304,269430403,403808145,2,1300,4,1866
17569299,1805040,198438926,405316322,0,1300,4,1866
16656766,1754210,235031456,403879794,3,1300,4,1866
17710529,2159256,257994026,406114736,0,1300,4,1866
17193772,1674900,221033365,405474515,4,1300,4,1866
17090817,2113468,230313687,402516241,3,1300,4,1866
14844021,2328388,207844424,391263035,14,1300,4,1866
15815757,2075369,230517806,403625272,8,1300,5,1866
16027363,2113270,232918227,403559108,10,1300,5,1866
16655742,1694702,209649980,404316434,4,1300,5,1866
17627411,2135801,246343740,403767426,9,1300,5,1866
16214977,1818743,224108641,404013857,2,1300,5,1866
16067701,1674301,208533788,403556366,4,1300,5,1866
15462580,1836903,233804256,402625081,11,1300,5,1866
15988356,2808757,313005411,491257307,0,1300,6,1866
13975124,2849358,880412979,779450489,99,1300,8,1866
13071511,2578905,685096252,808189378,99,1300,11,1866
37934417,5433645,536694111,806997569,99,1300,14,1866
54184379,2982622,965291069,807911268,98,1300,15,1866
54439383,2457433,1045986548,799936690,99,1300,15,1866
48245898,2193355,1027437226,807964051,99,1300,15,1866
55881135,2562169,1028354432,806308704,69,1300,15,1866
48101120,2332125,1017596740,807916527,5,1300,14,1866
5359707,1401657,816737594,808977412,3,1300,13,1866
15684988,2937472,509581427,760098237,3,1300,13,1866
45003037,1613253,1063290714,802758437,4,1300,11,1866
43578452,1739072,1028967355,793070581,99,1300,11,1866
38125658,1265142,1042866004,802851695,2,1300,11,1866
12216513,2266578,687556556,793674386,7,1300,10,1866
38097745,3418648,727312428,789876144,99,1300,9,1866
54874020,1796004,1080665558,808632370,9,1300,9,1866
48789234,1827674,1076437170,808896108,8,1300,9,1866
52341381,2212024,1017595657,792587348,8,1300,9,1866
50493295,1691208,1072227446,808327697,5,1300,8,1866
27223050,1539193,939490590,795984617,99,1300,7,1866
18054437,1864430,739350878,802849976,3,1300,8,1866
44131864,1308997,1073353970,800208983,4,1300,7,1866
42338618,1362966,1051590010,808131508,99,1300,7,1866
31627574,1729672,955653777,796188516,3,1300,7,1866
34075909,2233344,875456356,798236449,3,1300,7,1866
43719560,1535203,1043599636,795755260,99,1300,7,1866
51130863,1467403,1090435343,808388996,3,1300,7,1866
39341671,1157389,1036338021,798631793,2,1300,6,1866
47667450,1521777,1060702452,808950295,99,1300,6,1866
41788728,1301747,1041661805,800188308,4,1300,7,1866
33945809,2895766,877915245,807399113,3,1300,6,1866
43323231,1386123,1075269858,808636791,99,1300,6,1866
49411106,1481665,1082634524,808410535,3,1300,6,1866
46518064,1412393,1052766241,808487175,4,1300,6,1866
