llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
6120011,797420,663762530,783184266,0,1300,1,1866
5976019,647445,153164662,243370304,0,1300,1,1866
10354833,798754,247664634,310875573,0,1300,1,1866
9190066,710518,196444312,256842485,0,1300,1,1866
2852208,257833,49545138,84655206,0,1300,1,1866
26277352,406531,199429183,355491682,0,1300,1,1866
9629603,788182,226481154,292056754,0,1300,1,1866
11326768,1206571,207285764,324095135,0,1300,1,1866
6967072,807942,258916856,262070141,0,1300,1,1866
3504363,729989,696849616,406716435,6,1300,1,1866
3480869,725159,699834456,407363376,2,1300,1,1866
6129840,1149130,436189612,328656150,5,1300,1,1866
7416985,1713837,85656626,175084992,0,1300,2,1866
8110385,2096588,657968677,366445823,2,1300,2,1866
20315697,4291007,468310534,691702124,3,1300,2,1866
27762895,6330220,848278349,801575638,0,1300,3,1866
29523441,6675760,898608317,809137020,3,1300,4,1866
21067410,2004754,255777601,487317823,0,1300,4,1866
15296532,2135326,243794050,394685954,6,1300,4,1866
16654880,1855778,239928275,399313703,4,1300,4,1866
17019990,1775966,252315010,397679335,0,1300,4,1866
17219107,1940654,252047622,400259989,1,1300,4,1866
16829647,2141838,262497302,407465493,14,1300,4,1866
19510121,1666674,215602979,407005916,47,1300,4,1866
16116827,1866155,232135828,405632696,0,1300,4,1866
18289570,2260398,265801055,406547103,0,1300,4,1866
17689135,1813539,239975502,406429051,2,1300,4,1866
17249576,2034951,222244695,404706380,4,1300,4,1866
16424809,2382785,239828221,406301764,33,1300,4,1866
16390002,2041913,228386624,401881917,1,1300,4,1866
17232602,1824982,219503734,406419750,9,1300,4,1866
16486948,2069238,231206963,406531125,16,1300,5,1866
17282294,1962341,232586008,404804489,14,1300,5,1866
16516037,1953883,233599463,407143114,6,1300,5,1866
17408693,1551973,213236366,406931865,2,1300,5,1866
15916365,1945219,242172343,405112557,3,1300,5,1866
17508797,2956204,488091569,620545192,0,1300,5,1866
10537101,2068901,883953215,809165906,5,1300,5,1866
11312096,2093750,670169365,813945007,1,1300,5,1866
40609832,6111460,468407063,798781706,0,1300,6,1866
48717800,2399190,981567038,785669163,3,1300,6,1866
50120951,2525824,1008907629,801499981,0,1300,6,1866
45806464,2164507,1021320869,812613943,99,1300,6,1866
53599381,2460419,1009613227,812685410,99,1300,9,1866
56488606,2661300,1014718172,806865809,99,1300,11,1866
10455539,1072711,872877737,808444186,96,1300,13,1866
3814271,1217689,541841267,738393670,96,1300,15,1866
39729437,3070988,808678181,802432854,98,1300,16,1866
36828756,1246511,1051705331,811165820,96,1300,16,1866
50914942,1762348,1062968655,812991433,99,1300,16,1866
18769637,1642032,837288471,812621491,49,1300,16,1866
19259331,3249428,628034218,797126930,99,1300,16,1866
53034011,1774542,1079397929,808410010,99,1300,15,1866
51085436,1693185,1084177907,802687626,99,1300,15,1866
42008404,1447923,1065971223,810293135,99,1300,15,1866
49692924,1728742,1057678782,812625192,99,1300,15,1866
54408197,1815140,1088444782,812354556,99,1300,14,1866
9391619,1112260,760938400,813908357,0,1300,13,1866
28353260,1979219,837220451,810796547,96,1300,13,1866
40949803,1105754,1090501423,809246491,99,1300,13,1866
49371825,1423211,1070650504,804827864,99,1300,13,1866
21146345,1978641,818344389,804858088,99,1300,13,1866
42251503,1844753,959194163,802862707,9,1300,12,1866
53575564,1516030,1093934916,813111837,7,1300,12,1866
36038133,1081579,1067633851,812453165,0,1300,12,1866
