llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
4860722,627513,261886820,347759402,0,1300,0,1866
9427929,997982,245791126,347265491,0,1300,0,1866
10738056,774579,251504855,300724408,0,1300,0,1866
2544839,245041,47150252,78465679,0,1300,1,1866
19812892,311623,132122916,254433342,0,1300,1,1866
14541635,854944,252205914,348509682,0,1300,1,1866
12834543,1205359,234652588,353201397,0,1300,1,1866
7436154,925384,365998537,324977810,0,1300,1,1866
3554344,730262,700211343,407028477,2,1300,1,1866
3734585,755600,691293613,406674638,0,1300,1,1866
7616379,1608415,352952844,309660672,3,1300,1,1866
11422344,2822132,455587631,304874689,7,1300,2,1866
16174550,3611896,589849113,690683052,0,1300,2,1866
41911039,7017162,947156730,1170833169,2,1300,3,1866
48212142,5350547,853534930,1184402716,2,1300,3,1866
41086187,6688262,926708110,1157263704,10,1300,4,1866
21200110,3253156,340727874,478587213,2,1300,5,1866
16752703,1599980,233770250,407407110,12,1300,5,1866
17708897,1438306,232270049,406836374,2,1300,5,1866
16507998,1843478,233274673,397051518,9,1300,5,1866
15160007,1972679,249397649,401107413,11,1300,5,1866
17536777,1737625,223968371,406846332,12,1300,5,1866
16961518,2045369,245881063,407444205,2,1300,5,1866
17015310,1893876,221271576,394753128,3,1300,5,1866
18129859,1554992,207918438,407443883,16,1300,5,1866
17206621,1903611,240223899,406250228,0,1300,5,1866
17682523,2205907,234516342,405539635,2,1300,5,1866
17029072,2226138,276920455,407040456,55,1300,5,1866
18419332,1424530,183315579,407726389,0,1300,5,1866
16225849,1806218,190002500,407368683,7,1300,5,1866
16422069,2320398,227046181,405838275,5,1300,5,1866
15808646,2041994,231836712,407259105,1,1300,5,1866
16404925,1968416,246622511,407303612,1,1300,5,1866
15893622,1998067,232228993,406298976,4,1300,5,1866
23415743,5149377,925802117,942574571,5,1300,5,1866
13503781,2978150,1127136689,1205026683,2,1300,5,1866
38103841,6294622,731450734,1117550185,8,1300,6,1866
76553073,4047819,1470794077,1186908159,0,1300,6,1866
57598366,2987864,1469091339,1196081394,0,1300,7,1866
87218002,4219913,1615566159,1326741701,99,1300,8,1866
43066336,2358010,1654489834,1374007407,91,1300,9,1866
5171648,1651534,984909214,1259087461,99,1300,12,1866
57001227,3555973,1640218723,1425932667,98,1300,12,1866
75753570,2685112,1987778776,1551359526,99,1300,14,1866
33085936,4448394,1279919929,1455959177,99,1300,16,1866
73444686,2792488,1967909551,1561286083,98,1300,17,1866
77451711,2814189,1906594522,1513501613,96,1300,18,1866
100447042,4207689,1741308124,1542081310,99,1300,18,1866
19776062,2072933,1131814260,1253292061,99,1300,19,1866
37863183,1450667,1369764492,1107419609,60,1300,20,1866
61007235,1912697,1805866446,1422771688,86,1300,20,1866
37018338,2934050,1427059058,1298751418,2,1300,18,1866
70855096,2722842,1487756732,1159146257,4,1300,15,1866
62768578,2161602,1496528485,1166440397,0,1300,15,1866
108902549,4231784,1766300444,1533275882,3,1300,14,1866
52141855,2836114,1413240965,1236937281,3,1300,12,1866
65862943,2366600,1478941252,1141512965,99,1300,11,1866
65607708,2159464,1669747039,1310074374,3,1300,11,1866
71081293,2498863,1595281373,1229052904,2,1300,11,1866
30415969,2126745,1132401109,1055550029,99,1300,9,1866
54552340,1640854,1862736749,1431806696,5,1300,10,1866
38679692,1269790,1551798203,1214785812,3,1300,9,1866
32399483,2176980,1220857720,1093162107,99,1300,9,1866
46000925,1275553,1921812116,1464643976,3,1300,8,1866
45679413,1706052,1511002127,1144091120,7,1300,8,1866
30829366,1034291,1557736905,1234748013,6,1300,8,1866
69446028,1962939,1857509565,1443942510,3,1300,8,1866
42937789,1622206,1475925500,1149729401,99,1300,7,1866
43962748,2373480,1489950953,1264696970,3,1300,8,1866
39023190,1268538,1777550835,1359447581,3,1300,7,1866
48461246,1841510,1456482840,1106624140,99,1300,7,1866
88781337,2579575,1759369177,1393372281,4,1300,7,1866
42054110,2259345,1375406812,1238865565,3,1300,7,1866
63359454,2464855,1450217744,1138797832,86,1300,7,1866
14441322,769608,1763747994,1445278863,3,1300,7,1866
27439828,1096078,1378370354,1088844081,99,1300,6,1866
33795513,1550177,1479363254,1215606975,5,1300,7,1866
42325155,1167739,1670872258,1330263158,2,1300,6,1866
14651971,565628,1406706427,1134575668,3,1300,7,1866
78793919,2725361,1734598777,1429998220,3,1300,7,1866
32648494,1147222,1441006453,1143251676,99,1300,6,1866
29325318,1242388,1608424684,1278854530,8,1300,7,1866
16573967,583784,1632258681,1316920078,41,1300,6,1866
9017025,587869,1419503990,1150695449,7,1300,7,1866
11390186,1671167,1700400943,1455299682,3,1300,6,1866
16118433,1642981,1328666171,1101419897,99,1300,6,1866
24653912,2306305,1313046234,1123825485,5,1300,7,1866
12065778,523422,1805408601,1428255907,3,1300,6,1866
30563950,1884901,1322935837,1119915784,15,1300,6,1866
33538248,1783097,1560184827,1351507294,3,1300,6,1866
20390867,652734,1595504186,1275518521,99,1300,6,1866
2145890,262331,1394164146,1145601863,6,1300,7,1866
8568871,1117528,1586163368,1439718700,3,1300,6,1866
2113659,331692,1277737101,1105356581,4,1300,6,1866
44412060,3468381,1429463350,1287573493,1,1300,6,1866
40229331,2849129,1452503081,1299100396,8,1300,6,1866
46058620,3386152,1324102242,1158690525,3,1300,7,1866
61208536,3413030,1623178580,1353088250,4,1300,7,1866
16437170,3365728,1406920074,1320860396,99,1300,6,1866
28814348,3255921,1302045667,1144046595,4,1300,7,1866
71075629,2706820,1749886730,1440265602,3,1300,7,1866
45932564,1989522,1568012628,1280074532,99,1300,7,1866
60431118,2673617,1444504679,1154852803,2,1300,7,1866
101738631,3325244,1808673149,1431225540,4,1300,7,1866
48043641,1877459,1383794009,1184249368,99,1300,7,1866
45216854,1899156,1446340954,1153781192,6,1300,7,1866
77536691,2562876,1703905375,1397102575,3,1300,7,1866
32918687,1545997,1337085125,1158005632,3,1300,7,1866
67140751,2561299,1582133415,1299462579,3,1300,7,1866
57343033,2028768,1708741641,1386681584,3,1300,6,1866
33767091,1497105,1572390623,1270683916,4,1300,7,1866
57072161,1874519,1563841518,1223761116,2,1300,7,1866
47424619,4689126,1394824367,1362054674,2,1300,6,1866
66610981,2500462,1620346965,1224548692,2,1300,7,1866
75341632,2730966,1619088588,1236735973,3,1300,7,1866
72965462,2739663,1813871527,1394209149,54,1300,6,1866
54079317,2554520,1446588757,1150038182,3,1300,7,1866
77271000,2263554,1661674305,1289367872,5,1300,7,1866
100760615,2539496,1826670634,1425744993,99,1300,6,1866
25249560,1328692,1388167900,1170404606,3,1300,7,1866
78486638,2887741,1705972635,1339969797,3,1300,7,1866
66644952,2839477,1681612479,1280231751,99,1300,7,1866
70662178,2717960,1450877414,1092390135,4,1300,7,1866
76299272,3401487,1734943532,1358122058,4,1300,6,1866
65685691,1696115,1683518815,1316197186,99,1300,7,1866
46353296,1600966,1516434393,1216795755,4,1300,7,1866
99276089,2739096,1844620659,1480212854,2,1300,6,1866
52052851,2170989,1552179474,1226876350,99,1300,6,1866
71384372,2858358,1595744352,1218218267,4,1300,7,1866
61269476,2070679,1639703704,1265685151,3,1300,6,1866
79437491,3652054,1635615078,1472093770,6,1300,6,1866
54725919,2340551,1620009084,1250332196,99,1300,7,1866
59078585,2524662,1552014208,1174949944,4,1300,7,1866
100758999,4726700,1729530813,1362727891,3,1300,6,1866
56828687,2628322,1695446225,1361238569,99,1300,6,1866
71527952,2434761,1586331748,1220288517,3,1300,6,1866
57727986,1910005,1576879266,1284350762,2,1300,6,1866
92088924,2768550,1796695930,1438415324,2,1300,6,1866
14031608,1631912,1190073071,1250403093,21,1300,6,1866
81976990,3495539,1576491328,1196819846,3,1300,6,1866
74503116,2957037,1863894350,1445320336,27,1300,6,1866
68195439,2967021,1651485454,1273580523,3,1300,7,1866
33864971,2877692,1306143432,1036456151,3,1300,6,1866
107518372,3174970,1807235357,1422558769,3,1300,6,1866
38917429,1335395,1645986427,1297896705,3,1300,6,1866
66612759,2293054,1544820210,1183879622,2,1300,6,1866
27082411,1831407,1518699475,1373874173,3,1300,6,1866
56172090,2091525,1736400602,1346548373,99,1300,7,1866
62156070,2647168,1472364744,1142045818,2,1300,7,1866
65963994,3002554,1597871592,1249529366,2,1300,7,1866
68018084,3530153,1592545994,1452608953,99,1300,7,1866
47779403,2962226,1257841382,1229976773,4,1300,7,1866
77681930,3423518,1523836081,1171639700,3,1300,7,1866
99398805,3770421,1734257071,1382004864,99,1300,6,1866
36410618,3067734,1532172854,1240892179,5,1300,7,1866
21550016,2496802,1445335531,1181991154,2,1300,6,1866
95226374,3356506,1774218548,1449774601,99,1300,6,1866
30745399,1364587,1618078374,1285247211,3,1300,6,1866
29137067,1368197,1433599260,1138423839,1,1300,6,1866
87935735,3115989,1754058881,1431937103,71,1300,6,1866
27896805,2710454,1368432614,1260930806,0,1300,7,1866
81839813,4072016,1519134545,1191023942,4,1300,6,1866
67043454,3007493,1645980994,1322021633,14,1300,6,1866
65272832,2070003,1800621936,1436032128,2,1300,7,1866
8369830,382925,1489653132,1193107769,3,1300,8,1866
23308952,1508761,1388420033,1248792949,7,1300,7,1866
27750988,5073045,1205202751,1447613805,99,1300,8,1866
36302902,4025945,1557929207,1214289179,2,1300,8,1866
20594208,2528334,1448900271,1136293115,2,1300,8,1866
49147228,5427713,1836159998,1453836913,99,1300,7,1866
28769809,5835691,1465504638,1303228186,3,1300,8,1866
35379784,5585153,1286951872,1176697215,8,1300,7,1866
63064532,2803966,1558713298,1284567384,99,1300,7,1866
58544220,2678573,1752291733,1418302700,3,1300,7,1866
26791112,1178020,1492003483,1211838030,2,1300,6,1866
43376924,1851060,1605107997,1310378705,99,1300,6,1866
66268458,2721654,1600223345,1445319630,3,1300,7,1866
1624127,369665,1135708283,1098611064,3,1300,7,1866
17015891,3314254,1009613801,908368987,7,1300,7,1866
8816343,1298996,1801639577,1421023841,6,1300,8,1866
17317157,5038217,1002036498,1198221132,3,1300,8,1866
23461304,7446124,312220066,960693577,2,1300,8,1866
19841231,4309895,1113697097,1247904710,99,1300,8,1866
21530547,3676216,1037261167,1267823578,2,1300,8,1866
52033270,7038753,695533401,970160036,2,1300,8,1866
70015192,3716682,1510900563,1198143037,2,1300,7,1866
77360792,3857859,1861129947,1481079232,7,1300,8,1866
65499945,3460097,1493135120,1197011263,5,1300,8,1866
39703253,2944107,1316865073,1192245810,3,1300,7,1866
19285572,3199427,1049728312,1276953817,99,1300,8,1866
49281773,1749140,1780653341,1367119941,4,1300,8,1866
53681646,2175932,1527040176,1202505705,3,1300,7,1866
33735340,3525861,1217495205,1230553969,99,1300,7,1866
