llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
3361015,412171,432249891,520855521,0,1300,0,1866
9872323,946674,253814321,363478110,0,1300,0,1866
12486131,1001783,278629014,342766271,0,1300,1,1866
2934866,277760,46645160,83371116,0,1300,1,1866
23779208,385539,158543298,299735246,0,1300,1,1866
12587614,895815,273284505,358435411,0,1300,1,1866
10661323,1173000,203382900,314558402,0,1300,1,1866
7309761,942840,413212159,342324065,0,1300,1,1866
3626949,730295,693907005,406139767,8,1300,1,1866
4068814,800051,673997844,406632727,0,1300,1,1866
9381644,2035824,322592219,314661156,1,1300,1,1866
9883314,2506406,610473787,357578289,0,1300,2,1866
25632621,5368600,662589768,888673841,3,1300,3,1866
40552609,7934355,1134266601,1179680652,5,1300,3,1866
43671720,8657420,1007532693,1139333222,0,1300,5,1866
24435921,1965725,270649769,548197379,8,1300,5,1866
16567764,2165946,239231248,406752339,0,1300,5,1866
18697508,1324462,198593369,403432021,18,1300,5,1866
17009766,2655875,261870159,392243876,9,1300,5,1866
16790217,1755848,223198438,407396338,4,1300,5,1866
17136773,2039447,246683305,407704688,7,1300,5,1866
16222079,1545323,235235394,407189014,7,1300,5,1866
17175462,1752796,231248735,406967292,4,1300,5,1866
16701509,2088618,235585220,406863044,9,1300,5,1866
16271806,2228305,238513920,405095417,16,1300,5,1866
16819902,2324495,232513126,406572691,18,1300,5,1866
16869114,1890389,244376536,406350451,4,1300,5,1866
17012033,2023541,227478328,404813378,6,1300,5,1866
14971022,1777086,195522421,403834799,23,1300,5,1866
16308088,1867850,224022155,406934045,7,1300,5,1866
15873574,2128148,243782671,407189744,0,1300,5,1866
18198292,1411356,234902639,407418864,2,1300,5,1866
15772925,2159969,239337420,406078548,0,1300,5,1866
16539580,1905722,232530641,406644856,15,1300,5,1866
19599696,4103756,912714302,952373088,2,1300,5,1866
10988702,2263025,1155506983,1293791959,0,1300,5,1866
33744473,6222843,603483318,960846450,0,1300,6,1866
85371997,4510131,1494847240,1259429237,0,1300,6,1866
74025616,3465004,1692872189,1339900624,99,1300,7,1866
56722934,2670965,1743263524,1417534727,69,1300,9,1866
53024309,2961073,1939388737,1553230005,99,1300,10,1866
4358428,1397800,1088076936,1343267352,99,1300,13,1866
51909594,3396426,1423769700,1329067266,99,1300,15,1866
66346557,2310080,2005715978,1554897925,99,1300,17,1866
45708535,4477694,1461359343,1535156460,99,1300,18,1866
90691253,3951448,1872990906,1555009397,98,1300,20,1866
60320812,2159048,1868842722,1465283944,0,1300,20,1866
68551507,2490063,1744395430,1382332520,96,1300,19,1866
34462611,1982850,1424670344,1337134756,0,1300,17,1866
36481357,2265797,1348869973,1326584218,12,1300,16,1866
77600743,2286707,1922522021,1470583373,92,1300,14,1866
38417798,3038016,1539939088,1448948958,10,1300,13,1866
54893625,1706541,1729413868,1332664868,99,1300,13,1866
60527918,1955593,1732691964,1348995441,99,1300,13,1866
87929592,2728390,1685149692,1337962229,2,1300,12,1866
47306068,3301373,1497669184,1441421562,5,1300,12,1866
66163646,2081482,1850782403,1450785554,99,1300,12,1866
49804423,1585422,1766694929,1363317106,99,1300,12,1866
62030022,1764034,1965610502,1517589769,99,1300,12,1866
71351974,2368261,1810361228,1461661710,2,1300,11,1866
35590998,1714629,1608069264,1427571769,9,1300,11,1866
55619240,1667089,1873276597,1425099915,5,1300,12,1866
38762814,1318133,1671125357,1337213476,99,1300,12,1866
52827217,2587563,1679521048,1450657043,99,1300,12,1866
50253240,1541069,1800684705,1381572684,99,1300,12,1866
48738562,1433772,1961458013,1511999060,99,1300,12,1866
51267212,1489403,1873092094,1448076927,55,1300,12,1866
54978012,1865129,1725930518,1363648419,4,1300,12,1866
50848345,2356529,1680073228,1398933926,4,1300,12,1866
63517042,1802570,1870322575,1449632708,20,1300,12,1866
42461888,1242320,1868485963,1471750456,99,1300,11,1866
69855071,2007044,1901602141,1482462777,99,1300,11,1866
32482356,1778659,1642681054,1401547419,99,1300,12,1866
35783225,1378426,1710209344,1422488667,99,1300,12,1866
59960477,1745773,1817912198,1463600406,99,1300,12,1866
58650213,1774518,1792520648,1442346742,99,1300,12,1866
63349553,1937686,1765361410,1449299943,2,1300,12,1866
86631049,2710349,1765775324,1393063961,4,1300,12,1866
63128939,2951836,1783620219,1485904754,99,1300,12,1866
