llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
7243809,951879,328129989,448281468,0,1300,0,1866
12698040,920046,315848591,382627830,0,1300,1,1866
7935163,721822,142514090,223923484,0,1300,1,1866
27141480,548886,217039473,383829530,0,1300,1,1866
13827846,914650,311952235,397135111,0,1300,1,1866
11829527,1665257,233679951,365129577,0,1300,1,1866
18166853,1753525,224307401,402037989,0,1300,1,1866
17495128,2045469,252507842,401940908,4,1300,1,1866
17086672,1941678,243004769,401993302,4,1300,1,1866
15588360,2201441,232758760,401601227,10,1300,2,1866
17866509,1919245,258645707,406044983,4,1300,3,1866
16560333,2088178,249749688,404733625,4,1300,3,1866
16485100,2077288,218728618,407298348,6,1300,3,1866
16995901,1686463,218751923,406522945,1,1300,3,1866
18184815,2164029,265568679,406159620,4,1300,3,1866
16611584,1726821,208004288,406361545,0,1300,3,1866
16733299,2150406,225194031,404189706,4,1300,3,1866
16120746,2493476,227117658,404719982,4,1300,4,1866
15764209,2141386,228409950,402086114,5,1300,4,1866
15870127,2168752,235273194,406429735,0,1300,4,1866
17981811,1811261,227921847,404397908,4,1300,4,1866
17377158,2101898,231825697,405298237,7,1300,4,1866
16080233,2016479,235601808,403435656,0,1300,4,1866
17197840,1591028,213573361,405982075,5,1300,4,1866
15599259,2029687,239092246,403983395,3,1300,4,1866
13228284,2236893,176345977,321077994,0,1300,4,1866
14790037,4202509,158220017,376424253,0,1300,4,1866
23814225,4211653,451760484,661033027,0,1300,4,1866
28602907,3822827,647587533,712502102,0,1300,4,1866
27154690,5349259,667577085,719519315,3,1300,4,1866
30104491,5557441,653693626,768679293,0,1300,4,1866
27666936,4595380,502527712,693589408,2,1300,5,1866
17372643,2789063,271208827,405177114,2,1300,5,1866
18049259,2997988,253126572,390793839,3,1300,5,1866
15667297,2403385,257474686,404000004,0,1300,5,1866
20775203,549092,118555488,406109281,0,1300,4,1866
18796612,2727780,268753044,403359501,5,1300,4,1866
18292027,2548876,255908260,405973511,3,1300,4,1866
18716688,3708685,236499943,405807094,0,1300,4,1866
1335834,270470,81996395,155111710,83,1300,7,1866
9588020,2231600,112935504,287076684,99,1300,9,1866
353403,97561,28730109,79398520,99,1300,10,1866
392689,9717,5450865,10372543,82,1300,12,1866
2437259,890045,62728550,123026061,98,1300,13,1866
5003265,1304609,52358721,134367526,0,1300,15,1866
8940642,1843526,146217751,289774161,98,1300,14,1866
150114,18039,1697312,4634219,99,1300,16,1866
2012152,711468,63867666,114971614,98,1300,17,1866
206869,52407,12630514,23569684,99,1300,18,1866
1413702,543292,24558062,54745182,99,1300,19,1866
70863,11238,732871,2370807,93,1300,20,1866
3080771,993370,56244189,127094229,99,1300,20,1866
33637,4619,363351,1060735,99,1300,20,1866
107556,34258,3119927,10235684,98,1300,20,1866
1385475,562287,18811670,50948727,99,1300,21,1866
1386020,469994,16169576,53213268,68,1300,21,1866
2265602,756659,30454143,84664602,65,1300,21,1866
2609678,911345,43905028,103705640,98,1300,20,1866
1065675,391468,18023443,47736043,98,1300,21,1866
2574970,973328,50816553,108369006,98,1300,20,1866
1187260,463633,14568355,51089914,52,1300,20,1866
2716886,913283,39268017,102439763,50,1300,21,1866
6145948,1287406,61221325,192936365,99,1300,21,1866
3403195,1035269,56044186,141439780,99,1300,21,1866
2205546,782771,38783296,81134059,97,1300,20,1866
1746639,659456,29815906,84394677,99,1300,21,1866
1897515,725243,35698981,88831790,99,1300,21,1866
1381193,496698,27921506,67891456,51,1300,21,1866
3893626,1377709,62749613,162887164,82,1300,22,1866
4108005,1367470,57949048,160219341,98,1300,22,1866
535673,171316,5144006,20478077,75,1300,22,1866
1848631,602264,30047572,70242028,99,1300,22,1866
67579,14494,468640,2293975,99,1300,23,1866
669764,270227,8566991,29280890,98,1300,23,1866
1559572,572546,33151215,64212626,99,1300,22,1866
50158,8882,458389,1572780,99,1300,23,1866
1136512,465087,13892524,50603596,98,1300,23,1866
1188332,435980,24074784,47727393,99,1300,23,1866
69824,9685,741846,2202854,99,1300,24,1866
839007,349639,10589837,36702146,98,1300,24,1866
1088471,411903,20932455,50264371,99,1300,25,1866
872733,350824,10790571,42213122,99,1300,25,1866
504401,182546,7159818,22945683,70,1300,24,1866
151676,19049,1735920,4832820,88,1300,24,1866
512625,191878,7906328,23070325,96,1300,24,1866
591062,184299,8456352,24233170,99,1300,23,1866
833964,313091,12082906,36368755,99,1300,23,1866
459435,23235,5988459,14276822,99,1300,22,1866
641822,251229,11682527,25494331,95,1300,22,1866
875440,338416,14568544,35610658,99,1300,23,1866
7957310,1814338,165452903,251173713,35,1300,22,1866
5822169,1309057,114774332,159754421,99,1300,23,1866
7136373,1044699,67021564,192667280,99,1300,25,1866
4184,1954,10694,213096,99,1300,26,1866
3725,1733,10524,275246,99,1300,24,1866
15243960,1993920,246364816,360336289,99,1300,24,1866
6115215,473591,46705738,139237197,99,1300,26,1866
4748,1704,22375,257886,99,1300,28,1866
3961,1759,10847,213960,99,1300,26,1866
10282039,1424226,181480151,264292298,99,1300,25,1866
9228501,762684,121877113,211765974,99,1300,27,1866
2503672,71736,15656294,49438597,99,1300,27,1866
3626,1478,11532,214194,99,1300,27,1866
8637929,883258,133847819,222636134,99,1300,26,1866
5988566,825582,118580346,136022618,99,1300,27,1866
5519600,238533,37270607,114532072,99,1300,28,1866
3719,1487,10816,185756,99,1300,27,1866
2792612,666486,59570703,80574972,99,1300,26,1866
13070885,1000930,220930874,287379201,99,1300,27,1866
5589359,303728,37108949,118440501,99,1300,28,1866
3930,1647,10820,203475,99,1300,28,1866
4971,1894,30538,228233,99,1300,26,1866
15405133,3086442,448266946,404725610,99,1300,26,1866
5750401,386423,37419591,126534347,99,1300,28,1866
5053,2031,31124,243809,99,1300,28,1866
4972,1954,30447,233161,48,1300,26,1866
8685035,1879088,219350322,225021322,99,1300,26,1866
3043624,218300,28460188,66906688,99,1300,28,1866
2658936,45541,17270107,48534448,99,1300,28,1866
3198,1108,10819,167833,99,1300,26,1866
7596852,1351222,204488431,224257748,99,1300,25,1866
2744727,611156,76688611,67399873,99,1300,28,1866
5664600,236127,38021753,115203084,99,1300,29,1866
4067,1789,10890,219198,99,1300,27,1866
2921224,563163,50435050,79809492,99,1300,25,1866
17026898,1688395,377017995,374990710,99,1300,27,1866
11166713,765347,131670475,239103959,80,1300,28,1866
4475,1367,21483,201154,99,1300,27,1866
3521,1254,10817,162768,99,1300,25,1866
14643386,3184236,447565891,368931940,99,1300,26,1866
6033772,337424,40973123,128190662,99,1300,28,1866
4537,1442,21362,227516,99,1300,27,1866
3541,1178,11048,167407,99,1300,25,1866
8943689,1905197,223037774,225410104,99,1300,25,1866
1493454,204909,10549754,37727667,99,1300,27,1866
4178238,147488,28125645,84231844,99,1300,28,1866
4459,1188,33021,187239,47,1300,26,1866
3154308,670242,61488575,88887762,99,1300,26,1866
9365917,1502138,231575250,210511666,99,1300,27,1866
5508528,204285,37552519,110881553,99,1300,28,1866
4510,1323,30465,196954,92,1300,26,1866
1390585,236492,26576511,43621731,99,1300,26,1866
20146502,1260753,341382308,438796098,99,1300,27,1866
5488671,214189,41939933,109821144,99,1300,28,1866
3499,1291,10820,174775,99,1300,26,1866
3465,1239,10528,159644,99,1300,26,1866
10561924,1715793,195007933,243270885,99,1300,28,1866
6048419,551743,38107762,141696397,99,1300,29,1866
4069,1733,11109,225071,99,1300,28,1866
3557,1539,10526,201055,99,1300,27,1866
8493029,2109915,204072260,253151055,99,1300,28,1866
1711251,169288,11168448,39118730,99,1300,29,1866
3917513,175904,26000583,82426851,99,1300,28,1866
4881,1687,30714,233171,99,1300,27,1866
1787289,466267,36097748,64907303,99,1300,28,1866
10199476,1583645,174326278,251128755,99,1300,28,1866
5857265,541025,37227005,142410794,99,1300,29,1866
3875,1609,10591,227954,99,1300,27,1866
1581460,353278,29148629,54644276,99,1300,27,1866
12607801,2120867,292423257,293650988,99,1300,29,1866
5924256,507679,37546606,141892725,99,1300,29,1866
4919,1899,30537,265525,36,1300,27,1866
5093,2051,33010,231453,99,1300,26,1866
10506544,2011191,205984703,264246473,99,1300,28,1866
2535881,335838,16079946,64775328,99,1300,29,1866
3313872,139469,21371168,70321407,99,1300,27,1866
4458,1737,30403,301238,99,1300,26,1866
2702339,632266,44633744,80366717,99,1300,28,1866
7945646,1557176,189257843,193195348,77,1300,29,1866
5709498,407136,37229065,129301332,99,1300,28,1866
3629,1525,10559,201623,99,1300,26,1866
2895778,616206,46511096,83202370,99,1300,27,1866
7174976,1054220,134321702,166662539,99,1300,28,1866
5540778,238832,37393124,113354756,99,1300,27,1866
4076,1593,12386,214726,99,1300,26,1866
3666,1523,10532,186454,99,1300,27,1866
9908106,1963264,243388262,241489842,99,1300,28,1866
5579580,313720,37080929,119657142,99,1300,28,1866
3706,1586,10588,199931,99,1300,26,1866
4962,1713,32403,211422,99,1300,27,1866
12649040,2338425,331904182,319037486,99,1300,28,1866
9564764,741751,115676498,209006236,99,1300,28,1866
1478169,45909,8638920,29694902,77,1300,26,1866
4022,1578,10824,194114,99,1300,26,1866
3577518,734349,74554535,104929291,99,1300,28,1866
8410604,1792398,254006804,199369964,99,1300,29,1866
4585973,128519,31774861,91342675,50,1300,27,1866
4532,1260,30765,201304,99,1300,26,1866
3976104,810851,95334029,116094662,99,1300,28,1866
8835823,2046342,276923176,196492962,99,1300,29,1866
5495528,243701,37116202,112987692,99,1300,27,1866
3795,1569,10858,190139,99,1300,26,1866
1626993,352834,31887946,49832604,99,1300,27,1866
