llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
6278260,659602,360220757,453992791,0,1300,0,1866
10043636,694636,236979481,336864002,0,1300,0,1866
13458122,1111855,282814823,362837145,0,1300,0,1866
1741899,86929,25712280,44651700,0,1300,0,1866
25918488,351285,174480752,329947558,0,1300,0,1866
10778233,830705,267927519,336356341,0,1300,0,1866
12183369,1476159,228622952,359491754,0,1300,0,1866
12006205,1606449,233617441,323120268,0,1300,1,1866
19519562,1391827,199573198,404152503,0,1300,1,1866
16277588,1734060,256987541,395078869,2,1300,1,1866
15271223,2423641,237113217,394940787,5,1300,1,1866
17069423,1973826,241834896,399520255,8,1300,2,1866
16702736,2004114,252580770,405516357,0,1300,3,1866
15737192,2367486,265599262,402532877,2,1300,3,1866
17451359,1508301,159131230,405770754,0,1300,3,1866
17130218,1610926,228277144,406332011,0,1300,3,1866
17861435,2778324,277195477,406991071,0,1300,3,1866
16254346,1582383,229124788,400633261,2,1300,3,1866
16681820,2309708,218508674,402154118,4,1300,3,1866
15825305,2147631,230944376,400050903,4,1300,3,1866
15101739,2279573,230625331,402985753,7,1300,4,1866
17502403,1665054,222942982,398494597,0,1300,4,1866
16893599,2181074,234303095,405925409,0,1300,4,1866
16117551,2050047,235083411,397307364,3,1300,4,1866
16530427,1926463,226382579,401723846,0,1300,4,1866
16507463,1728793,217143961,405500245,3,1300,4,1866
15584303,2091194,226794397,403485711,4,1300,4,1866
17275328,4002969,151767140,332273981,9,1300,4,1866
13009322,4259773,316855730,550284794,0,1300,4,1866
32072483,5760709,715851531,788861493,0,1300,4,1866
28673070,5000731,642140108,772102410,3,1300,4,1866
32067586,3463911,642262036,794618316,1,1300,4,1866
32735427,4257206,489582247,773390625,5,1300,4,1866
21250913,3409290,355862886,512387106,2,1300,4,1866
17810265,2998186,250175664,385896781,2,1300,4,1866
15861747,2434166,259403187,405213155,17,1300,4,1866
19804614,608738,115598130,405088985,0,1300,4,1866
17968301,2453126,240183139,382234123,0,1300,4,1866
17526543,2462824,253078241,405686688,2,1300,4,1866
18581564,3618708,244292888,406043970,0,1300,4,1866
4248308,858324,115172567,219835741,99,1300,5,1866
8240125,1944703,90464840,223890394,0,1300,8,1866
1885487,396267,53505232,144003761,99,1300,9,1866
