llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
101821850,780731402,1698782587,3475638446,0,1122,1,1600
101599666,811328410,1794208283,3592287971,0,1122,3,1600
101986616,699048546,1496151906,3504230196,0,1122,4,1600
105410770,879261663,1896265355,3775594169,0,1122,5,1600
107637386,949512946,2101416415,3906402579,0,1122,6,1600
116589860,876986308,1920336416,3880228461,0,1122,6,1600
110287574,966586804,2129665476,3990689821,0,1122,6,1600
109968870,982668520,2130636047,3989235659,0,1122,6,1600
109893038,863651705,1901289629,3888439837,0,1122,6,1600
110124344,953264249,2057148939,3862193211,0,1122,6,1600
83480124,758735206,2043641627,3491804254,0,1122,6,1600
112348485,909897880,2171378496,3883880865,0,1122,6,1600
121996879,879688750,1957850306,3976698721,0,1122,6,1600
103344814,797675055,1853332475,3839885933,0,1122,6,1600
84086059,854568540,2474951494,3737855685,0,1122,6,1600
112653566,896430581,2037869953,3587087335,0,1122,6,1600
97530434,725739828,1643311198,3440085230,0,1122,5,1600
113347787,792114899,1753957514,3677764031,0,1122,5,1600
125104459,758306965,1714765064,3976215857,0,1122,5,1600
116614268,777786595,1716016460,3668616921,0,1122,6,1600
116811764,689171748,1493335696,3740148101,0,1122,6,1600
118157501,797322142,1737985381,3915786591,0,1122,6,1600
111133820,759743102,1692246653,3794204838,0,1122,6,1600
119685207,730965153,1606594706,3914280554,0,1122,6,1600
119363416,732359717,1660837200,3886391234,0,1122,6,1600
119193179,640030455,1392713988,3876916909,0,1122,6,1600
113855825,725335687,1603368210,3853068865,0,1122,6,1600
115975345,659494900,1458098258,3856197311,2,1122,6,1600
118976869,622461008,1357822193,3869286445,0,1122,6,1600
118062097,636888533,1400313886,3902808199,0,1122,7,1600
117927592,678537069,1487001023,3934417666,0,1122,7,1600
80545559,905801170,2161396012,3718159852,0,1122,7,1600
80823141,731188376,2879843403,3930440872,0,1122,6,1600
115153741,631879921,1410120884,3906345530,4,1122,6,1600
118754332,650511460,1458093927,3881835949,0,1122,6,1600
123727142,619360003,1413730576,3900982947,0,1122,6,1600
120403580,650553620,1442675447,3899323231,0,1122,6,1600
117282519,666205768,1464754308,3889865394,0,1122,7,1600
121696695,594090864,1328039299,3901312125,0,1122,7,1600
120407808,590517158,1324613205,3921807152,0,1122,7,1600
