llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
98265093,756193198,1643073878,3360937186,1,1122,1,1600
97599894,763042066,1708333482,3421907235,0,1122,3,1600
102462150,711923372,1532853685,3542344049,0,1122,5,1600
104293910,854266645,1835334989,3606188317,0,1122,5,1600
108741019,947254818,2078677357,3909975451,4,1122,5,1600
115533221,899722456,1939322501,3910899070,0,1122,5,1600
104366835,931953177,2068559529,3956623309,0,1122,5,1600
105314897,894523051,1943155090,3911596845,0,1122,6,1600
101950072,829059905,1811531278,3534601354,0,1122,6,1600
116967885,825761057,1851683778,3791997696,0,1122,6,1600
235306231,945726431,2581652387,3947266004,0,1122,6,1600
111934526,942965259,2225240097,3955775892,0,1122,5,1600
113486061,939348210,2028825846,3857846735,0,1122,5,1600
112384679,957795985,2360244116,3908876546,0,1122,5,1600
103839783,1003381775,2463143472,3934034585,0,1122,5,1600
74850921,905036760,2517622475,3710023534,0,1122,5,1600
105362000,1105518520,2883981110,3963496383,0,1122,5,1600
109110482,955684948,2177265818,3822513835,0,1122,5,1600
114965198,927864282,2060825912,3857302676,0,1122,5,1600
103568672,775166789,1718248215,3622565739,0,1122,5,1600
104492053,783227548,1712631775,3468253723,0,1122,5,1600
81487501,643816203,1441195562,3056972762,0,1122,5,1600
89506063,716122297,1658864891,3232596267,0,1122,5,1600
82331638,651300908,1508019099,3119448091,0,1122,5,1600
105903037,665412160,1459541236,3757434574,0,1122,5,1600
128909405,873732098,1937882332,3844870247,0,1122,5,1600
143509971,849951953,2035150599,3936999657,0,1122,6,1600
119690574,838257667,1944764977,3608900044,0,1122,6,1600
5645443,62744292,157529382,264939401,0,1122,6,1600
