llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
100353423,775429205,1691092671,3420868370,0,1122,1,1600
104349595,813574423,1814671720,3600451370,0,1122,3,1600
102013529,701757073,1512833608,3520247178,0,1122,4,1600
106013278,868840459,1874523864,3756953607,0,1122,5,1600
105246009,950739121,2043657807,3798579160,0,1122,5,1600
110949808,890505309,1933340014,3861760065,0,1122,5,1600
113206440,896710638,2000290009,3880082132,0,1122,5,1600
106478878,895854138,1946563628,3866656637,0,1122,6,1600
109495030,941801956,2064606108,3855747042,0,1122,6,1600
110017679,861393503,1902624716,3753673904,0,1122,6,1600
105328156,872216552,2275580295,3837834674,0,1122,6,1600
107641318,846214894,1989055863,3643744732,0,1122,5,1600
110546752,889382453,1916444817,3712073631,0,1122,5,1600
108559704,871684014,2070328387,3710729756,0,1122,5,1600
98862945,939121304,2324616977,3915089331,0,1122,5,1600
88048705,995084086,2612899341,3903561439,0,1122,6,1600
109378329,1105160340,2946890403,3962522795,0,1122,6,1600
115917003,956428126,2168508701,3934216689,0,1122,6,1600
126230187,941542941,2090798446,3893362963,0,1122,6,1600
102982660,766871327,1715050449,3566606801,0,1122,6,1600
109060807,845483642,1837871575,3792562627,0,1122,6,1600
89261130,686947939,1542078560,3277653769,0,1122,6,1600
80510566,663238739,1550155516,3004590452,0,1122,6,1600
83389176,649406289,1479422829,3075860578,4,1122,5,1600
97398191,728351481,1669866039,3701990594,0,1122,5,1600
106904503,831624523,1895479894,3870790066,0,1122,5,1600
94795970,634794520,1453764390,3264724993,0,1122,6,1600
114353198,640677599,1396087047,3489782238,0,1122,6,1600
124163677,643204307,1371130265,3778769317,0,1122,6,1600
90260673,621277700,1453599880,3287106150,0,1122,6,1600
97043695,657293653,1478005980,3464772565,0,1122,6,1600
75141715,563336171,1312405847,2904913331,0,1122,6,1600
104287276,923914997,2338571210,3858388581,0,1122,6,1600
102146122,792858839,1809782349,3834472748,0,1122,6,1600
101762631,752482541,1654497640,3852638403,0,1122,6,1600
112318463,1010016784,2476044651,3958786523,0,1122,6,1600
101195550,1058027820,2382867319,3861777320,0,1122,6,1600
90027898,711538876,1822532833,3618686107,0,1122,6,1600
120011279,970237873,2146931257,3865214621,0,1122,6,1600
91577317,856168308,1927550132,3277162216,0,1122,5,1600
121119768,910282238,2061533419,3547736840,0,1122,4,1600
136059997,940802923,2065107062,3997362849,0,1122,4,1600
142523695,886500960,1982621167,3969938084,0,1122,3,1600
125441032,1123984781,2526351129,3866351811,0,1122,3,1600
139625379,987713222,2236305474,3946674451,0,1122,3,1600
144272757,904429653,2048361050,3957583252,0,1122,3,1600
134570903,843886789,1889371107,3963192887,0,1122,3,1600
131073265,909573350,2056354388,3903885791,0,1122,3,1600
133402061,922829562,2095173425,3944973357,35,1122,4,1600
126718737,999834972,2269155876,3879739077,0,1122,4,1600
59734642,574579113,1370847539,2097873964,0,1122,4,1600
