llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
17940049,134159807,285832775,602242641,0,1122,0,1600
18371070,159489938,348505629,643020931,0,1122,1,1600
22025337,168799221,369948875,743588973,0,1122,2,1600
22300002,175821232,393764299,697740401,0,1122,2,1600
25301689,206420138,449229689,769218328,0,1122,2,1600
22179540,214376567,506602022,733500411,0,1122,2,1600
23700632,182770990,391610933,739644040,0,1122,2,1600
20553545,159509023,363318339,668102933,0,1122,2,1600
21153820,156556565,355555859,671389593,0,1122,2,1600
20488839,166738462,368990140,684223808,0,1122,2,1600
20832145,167969124,373653255,665426224,0,1122,2,1600
26503455,165835915,345605794,711293308,0,1122,2,1600
24671530,172957558,363919757,791912931,0,1122,2,1600
22119716,157542835,331112934,762942305,0,1122,2,1600
19324834,157884871,341053373,740576575,2,1122,3,1600
21622218,180919478,398394043,778507384,0,1122,3,1600
21077641,157034970,337128507,684217689,4,1122,4,1600
19675877,144349223,338124644,725834550,0,1122,4,1600
20150877,130443413,270771559,748334398,0,1122,5,1600
21383169,163752774,402735752,739358816,0,1032,5,1600
24521723,165014567,381902129,751066926,0,943,5,1600
26302954,213298430,464174586,772192467,0,854,5,1600
21193936,212191483,465346233,758153401,0,943,5,1600
18146616,192020530,486316733,766492625,0,1032,5,1600
20252023,191232931,438312518,757603132,0,1032,5,1600
21069163,181147984,407122901,736201837,0,1122,5,1600
21466582,191835961,443420603,787379817,0,1122,5,1600
20602782,193325337,438209763,779439454,0,1122,5,1600
20927293,191066427,426775427,758549471,0,1122,5,1600
21912035,206322804,447997384,785502130,0,1122,5,1600
20229798,183300334,401089404,743554047,0,1122,5,1600
20270345,208367464,438515890,766468236,0,1122,5,1600
21187895,176234925,383355768,786279081,0,1122,5,1600
22356010,186849862,394373639,749281547,0,1122,5,1600
19918581,141556658,301093838,747086836,0,1122,5,1600
21167310,164746445,363361881,724698457,0,1122,5,1600
19058969,182793823,407715526,738712215,0,1122,5,1600
23390119,164614551,356222214,771759215,0,1122,5,1600
23802382,170666401,357609219,782911496,0,1122,5,1600
24032703,188502997,412836203,784253687,0,1122,5,1600
19902429,175008257,398288542,767016340,0,1122,5,1600
18572119,198432028,445664403,738268357,0,1122,5,1600
21128532,217225629,472209659,786097576,0,1122,5,1600
22382987,197315263,426370378,785855738,0,1122,5,1600
22238963,168303498,375646008,746632678,0,1122,5,1600
20559444,160553014,346900030,761031839,0,1122,5,1600
18963139,136712785,298264723,648976224,0,1122,5,1600
22431950,178346053,381693072,781942715,0,1122,5,1600
24514434,210801866,486574430,779926532,0,1122,5,1600
23282893,217832460,459360444,765180091,0,1122,5,1600
20734474,163657087,347329528,745870048,0,1122,5,1600
20063850,165355177,380287699,707644278,0,1122,5,1600
20160682,192437578,418621724,772368341,0,1122,5,1600
6648334,156269745,587052798,688563520,0,1122,5,1600
18994789,195051924,572391193,770490522,0,1122,5,1600
19144042,159095008,370700977,581279133,0,1122,4,1600
20276902,221536545,580459655,698800545,0,1122,4,1600
30454374,220313615,529400137,777469736,0,1122,4,1600
24051717,195186335,425208479,737955071,0,1122,3,1600
24128387,221883895,459930892,758892836,0,1122,3,1600
26763536,215490553,458146163,774789920,4,1122,3,1600
27238645,230000559,517646995,796284672,0,1122,3,1600
23908635,205781256,457105728,752793660,4,1122,3,1600
20760437,211229429,495342077,727893504,0,1122,3,1600
20358960,170927162,403821225,689878961,0,1122,3,1600
17495779,174138701,427452652,617556577,0,1122,3,1600
20607798,203026073,536711063,771410235,0,1122,4,1600
18971025,172965157,434762042,741457281,0,1122,4,1600
22730729,227970118,605686635,759050130,0,1122,4,1600
21320801,205297240,477862644,799764712,0,1122,4,1600
22293701,200688249,467579793,766822011,0,1122,4,1600
21081405,178170264,377895521,764741864,0,1122,4,1600
18601382,170862372,390515865,730954886,0,1032,4,1600
11694742,142676270,347653379,490859586,0,1032,4,1600
8617311,176539008,450502171,629946005,0,943,4,1600
7521160,181430347,832489817,779113478,0,854,4,1600
22603631,169230817,410729250,786327312,0,765,4,1600
20637090,236880537,570313385,796436329,0,675,4,1600
19929743,272243992,711032742,785853077,0,765,4,1600
20668804,233754985,580683280,786406219,0,765,5,1600
23329864,188578920,436014191,783786608,0,854,5,1600
20993128,180635757,397967425,788365698,0,943,5,1600
20497000,145409804,293371324,782003297,0,854,5,1600
28123979,212941494,473235348,784931210,0,765,5,1600
22219293,216804704,517486829,801496248,0,854,5,1600
22578416,199798116,478024517,788505649,0,943,5,1600
25900688,226022087,521279492,793477481,0,943,5,1600
21400605,210641214,491620035,798665748,0,1122,5,1600
18290628,162177987,339543192,612614587,0,1122,4,1600
24316367,179614091,396162092,708255066,0,1122,4,1600
25276987,191191220,422329002,750841579,0,1122,4,1600
21418642,170175242,381085105,646022371,0,1122,4,1600
24153782,184755994,412830468,737143942,0,1122,3,1600
22657583,182989609,415574509,800252927,0,1122,3,1600
20358839,166859028,367879408,661127551,0,1122,3,1600
22751313,197863199,422180821,703531962,0,1122,3,1600
27926810,229717236,490272880,797237705,0,1122,3,1600
26682136,182944949,394449624,805865214,0,943,3,1600
22698771,176487349,405716513,764736904,0,854,3,1600
19784913,161376076,355948338,726936968,0,765,3,1600
16895838,139554093,310755882,614366350,0,675,3,1600
21488353,159785256,344052273,766198683,0,586,3,1600
16657030,146125088,345641697,693960789,0,586,4,1600
17152900,120276406,277646201,553426376,0,497,4,1600
17840890,130286250,290370983,610264244,0,408,4,1600
12662017,136042228,359541922,567918443,0,318,4,1600
17299019,146625624,330872145,628399568,0,229,4,1600
21276234,142100320,302655236,724650897,17,140,5,1600
22769726,164558383,362863038,770592609,0,140,5,1600
21782876,168388467,394134023,780879539,0,140,5,1600
12413458,113236916,274219544,507817032,0,140,5,1600
21849202,149169932,345894597,780846019,0,140,5,1600
18869486,126600483,278178350,746953748,0,140,5,1600
21455806,157705990,355111688,785311818,0,140,5,1600
23905513,150310109,373540737,797774254,0,140,5,1600
30645333,227191841,470420681,799976850,0,140,5,1600
18297595,170390502,411882025,803283000,0,140,5,1600
17520117,190987567,474098401,772148392,0,140,5,1600
20437624,196989936,459341887,755423308,0,140,5,1600
16003033,109526356,257254268,518134137,0,140,5,1600
17941920,106760145,237690703,552740371,0,140,5,1600
25782302,151673088,327400894,743237123,0,140,4,1600
25526078,161364794,342428646,740809374,0,140,4,1600
18705357,155121857,397638416,686443326,0,140,4,1600
15736692,117324265,279756015,519357188,0,140,4,1600
24884517,160616524,351433075,751673975,0,140,4,1600
27361143,144153606,319539984,702466765,0,140,4,1600
32256822,186164003,409786922,789836886,0,140,4,1600
23175260,136136138,303142194,701959266,0,140,4,1600
18416627,111977324,261718331,588092901,0,140,4,1600
26062393,156637894,338903298,755435362,0,140,4,1600
30101781,156716739,341746301,799931235,0,140,4,1600
30300657,156609000,326909089,801078364,0,140,4,1600
30588691,152258651,322364488,804221861,0,140,4,1600
25915306,168366423,385497473,800736678,0,140,3,1600
18898437,183827846,435317253,804980204,0,140,3,1600
14683918,127231910,311537040,555358563,0,140,3,1600
16191201,127082959,300588269,583026145,0,140,3,1600
18152306,157550560,368771246,665323916,0,140,3,1600
25246188,161889259,359975929,775149310,0,140,3,1600
25419234,155961959,334982799,735441739,0,140,3,1600
19784747,147821876,332914003,666053561,0,140,3,1600
15143445,112099470,271152765,540991819,0,140,3,1600
14178263,98396437,238602840,471985176,0,140,3,1600
23637457,156339434,355647743,795947440,0,140,3,1600
20817559,153101703,338726049,801718812,0,140,3,1600
23093394,164717049,382711340,802423449,0,140,3,1600
30196864,250518515,589712259,799341392,0,140,3,1600
19589163,212240500,552909261,798320402,0,229,3,1600
18353101,213457844,613026018,782758979,0,318,3,1600
20344455,173744961,469951636,805417804,0,318,3,1600
21969938,159517593,350951273,802850786,0,408,3,1600
30910162,177576959,413585524,802984252,0,318,3,1600
27221987,225954893,465664305,803052284,0,229,3,1600
18217452,160556304,402859376,804793944,3,318,3,1600
21934292,172617452,383645276,764719631,0,229,3,1600
22258709,179095443,397561665,733327767,1,140,3,1600
23072469,183030071,392205557,782658647,0,140,3,1600
18897070,172700813,356505506,671818249,0,140,3,1600
21633181,164670974,353920167,731560906,0,140,3,1600
16210147,116436998,258683791,551914297,17,140,3,1600
24107348,194298409,428211285,777664405,0,140,3,1600
26036872,205284938,443472394,789088275,0,140,3,1600
26384869,202271700,459969435,741404077,0,140,3,1600
18912143,215742550,489268521,712356243,0,140,3,1600
12797915,153250950,364907503,556300014,0,140,3,1600
15636800,185891928,432191283,653829028,0,140,3,1600
16865048,152719659,343937508,627951686,0,140,3,1600
11264022,163015928,404813334,627155696,0,140,3,1600
12151209,146600741,554872822,660424359,0,140,3,1600
22924797,163694774,357349397,786677285,0,140,3,1600
21052939,158636108,349709559,708592352,0,140,3,1600
25313875,186074944,396712622,788710085,0,140,3,1600
24878459,218743452,498346194,735473295,0,140,3,1600
23593248,204378641,434745124,770364911,0,229,3,1600
21930926,184668748,400856375,711761519,0,318,3,1600
23944556,168771180,390935375,775217714,0,229,3,1600
22483447,169178327,378730998,788368881,0,229,3,1600
27119702,167421594,373681111,794751253,0,140,3,1600
24264667,177096672,382257198,743771106,0,140,3,1600
26263343,230902099,506151669,756286397,0,140,3,1600
21946338,309695777,772301870,803822082,0,229,3,1600
28816662,190773736,433382524,799114897,0,318,3,1600
30455511,158800952,347883151,794564026,0,408,3,1600
31549337,127784957,299839950,787768826,0,318,3,1600
35135557,138633790,306311746,805767472,0,229,3,1600
27859753,175810155,386767980,804305195,0,229,3,1600
25918044,176039415,391547045,802359782,0,140,3,1600
24110939,222836968,509261421,783677608,0,140,3,1600
22629977,168049575,378941336,703542197,0,140,3,1600
23844229,201013850,439052055,790347481,0,229,4,1600
23120387,257014746,582044457,801615118,0,318,4,1600
25211784,213214030,469226771,798326109,0,408,4,1600
25079274,294429527,713060196,795283764,0,497,4,1600
21078033,149910155,342181558,535329810,0,586,4,1600
39317657,171057811,359521757,829868021,0,497,4,1600
37588688,177217581,381863842,775627764,0,408,4,1600
38478577,169818129,359002196,803525036,0,318,3,1600
38950840,153699741,330627333,799862481,0,318,3,1600
40479565,146123261,320004382,799615134,0,229,3,1600
40467568,154635201,334617047,805185312,0,140,3,1600
37121715,244540630,480088929,802660445,0,140,3,1600
32985589,228545002,523464696,789008084,0,140,3,1600
41702779,146605732,320471379,804668097,6,140,3,1600
41697348,146864999,324792474,804348614,0,140,3,1600
41828368,159740049,346962844,804500298,0,140,3,1600
33580429,150936763,322380781,790042823,99,140,3,1600
33659034,150579268,327578627,788212560,11,140,4,1600
32404246,218191756,447552829,790934679,0,140,4,1600
31855299,235408635,564364400,790490219,0,140,4,1600
39155773,227079213,512422989,805144744,0,140,4,1600
19151114,113413352,257961564,508624393,0,140,4,1600
25752919,172329009,387601414,616408034,0,140,4,1600
29156675,147380486,370763303,804197310,0,140,4,1600
25833383,169858023,414445363,800144533,0,140,4,1600
30426964,171050375,398513075,796362687,99,140,4,1600
28680394,149975520,344378695,777482389,0,140,5,1600
27062996,168760547,374135638,783565622,0,140,5,1600
25104432,177927596,405307599,784326880,0,140,5,1600
21245525,233326214,512071633,745809062,0,140,5,1600
17208329,165111872,367404765,547863112,0,229,4,1600
16308023,146339280,334671655,544875337,0,229,4,1600
28923052,170525128,380184424,797728020,0,140,4,1600
28156972,188329189,416330666,800507769,99,140,4,1600
27873380,172498858,395029167,803231036,15,140,4,1600
28658149,180197127,423416566,802556975,0,140,4,1600
24978470,173648509,399065566,779148445,0,140,4,1600
28153296,299311920,709317545,803576744,0,140,4,1600
10982491,126944051,299579151,417014585,0,229,4,1600
19014247,142576919,312976258,572336279,0,140,4,1600
27847226,174845966,389164079,803055561,99,140,4,1600
26957342,156720511,349197789,804452639,99,140,4,1600
26859882,181433324,412388740,795641631,0,140,4,1600
26688153,186568343,412714548,794498039,0,140,4,1600
22001339,198672644,448107496,784146124,0,140,4,1600
15010684,159085841,339340845,606002724,0,229,4,1600
24051948,122058407,280315254,494834933,0,140,4,1600
27353858,214848605,453467319,784197371,99,140,4,1600
21657568,174955294,431431839,804480815,35,140,5,1600
26997501,186741749,422190309,800477176,0,140,5,1600
29003815,154391507,349309793,800604927,0,140,5,1600
27188494,235014259,533509255,798337314,0,140,5,1600
22520042,212169327,466979182,677490116,0,140,5,1600
11546204,133838941,316744641,446102067,99,229,5,1600
22621872,158893963,360279285,693447205,99,140,5,1600
26534515,173331502,397301088,801009064,0,140,5,1600
27748196,171084550,377852665,803243633,0,140,5,1600
22686111,179402193,419290916,771992644,0,140,5,1600
19112081,243173632,540125082,717334897,17,140,4,1600
4617166,33518653,73243501,127813384,0,229,4,1600
19169906,238466122,607187373,692472448,22,140,4,1600
24846778,175720181,397027688,770839710,99,229,4,1600
26902498,185631094,421925697,792441066,0,140,5,1600
23182527,213853891,508207901,741006938,0,140,5,1600
24372970,211354159,504703297,777638431,0,229,5,1600
16643815,309011227,732264382,730914730,0,318,4,1600
12422360,168300356,381754928,511216184,0,318,4,1600
3639175,26946751,62320002,120370718,20,408,5,1600
24014461,193582888,451425351,744955911,0,318,5,1600
26996702,167774561,379049945,802450950,0,408,5,1600
24157027,147864750,327579648,805097120,0,318,5,1600
26316799,183884941,432084995,798353955,0,229,5,1600
23044287,260553047,558228861,720213039,99,140,5,1600
17091984,142988440,363006051,675328024,0,229,5,1600
21464890,169962276,437267772,804889094,0,140,5,1600
26122527,187552393,434721851,795515338,0,140,5,1600
